country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,rm_prod,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_reserves,oil_prod,uranium,reactor
Mongolstan,Khan,http://blocgame.com/alliancestats.php?allianceid=1568,1049k active personnel,100 ships,Advanced,Gandhi-like,45 factories,Elite,last online 8 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,150 Hundred Tons per month,$29108 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,143334 km 2,http://blocgame.com/stats.php?id=47945,167 Mbbl,5 Mbbl per month,6 Tons,
Best Syria,Bashar Hafez al-Assad,http://blocgame.com/alliancestats.php?allianceid=1599,569k active personnel,100 ships,Advanced,Pariah,22 factories,Standard,last online 7 hours ago,rankings.php?subregion=mes,Wreckage brothers,63 Hundred Tons per month,$28143 million,alliancestats.php?allianceid=1599,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,103642 km 2,http://blocgame.com/stats.php?id=52852,,130 Mbbl per month,1 Tons,
JucheBox,Lunin,http://blocgame.com/alliancestats.php?allianceid=1393,208k active personnel,14 ships,Persian Gulf War surplus,Gandhi-like,24 factories,Standard,last online 4 hours ago,rankings.php?subregion=chi,BAMF,30 Hundred Tons per month,$27888 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,44497 km 2,http://blocgame.com/stats.php?id=56203,,10 Mbbl per month,,
Shambala,Feranon,http://blocgame.com/alliancestats.php?allianceid=1580,259k active personnel,46 ships,Advanced,Gandhi-like,12 factories,Elite,last online 10 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,32 Hundred Tons per month,$26991 million,alliancestats.php?allianceid=1580,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,28432 km 2,http://blocgame.com/stats.php?id=41268,,,,
Falk,Seth,http://blocgame.com/alliancestats.php?allianceid=1401,100k active personnel,22 ships,Advanced,Gandhi-like,8 factories,Elite,last online 2 hours ago,rankings.php?subregion=pac,The Federal Colonies,11 Hundred Tons per month,$25884 million,alliancestats.php?allianceid=1401,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,14662 km 2,http://blocgame.com/stats.php?id=43574,,10 Mbbl per month,,
Cirno,jc99,http://blocgame.com/alliancestats.php?allianceid=1401,359k active personnel,73 ships,Advanced,Gandhi-like,15 factories,Standard,online now,rankings.php?subregion=ind,The Federal Colonies,25 Hundred Tons per month,$25698 million,alliancestats.php?allianceid=1401,East Indies,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,28182 km 2,http://blocgame.com/stats.php?id=43375,,5 Mbbl per month,,
Karat,TankGun,http://blocgame.com/alliancestats.php?allianceid=1401,135k active personnel,44 ships,Persian Gulf War surplus,Gandhi-like,10 factories,Elite,last online 11 hours ago,rankings.php?subregion=car,The Federal Colonies,10 Hundred Tons per month,$25420 million,alliancestats.php?allianceid=1401,Caribbean,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=car,23475 km 2,http://blocgame.com/stats.php?id=45853,,,,
Edtopia,Edgar,http://blocgame.com/alliancestats.php?allianceid=1401,279k active personnel,54 ships,Advanced,Angelic,12 factories,Elite,last online 11 hours ago,rankings.php?subregion=mex,The Federal Colonies,18 Hundred Tons per month,$25354 million,alliancestats.php?allianceid=1401,Mesoamerica,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,23265 km 2,http://blocgame.com/stats.php?id=249,,7 Mbbl per month,,45%
JaMon,amschind,http://blocgame.com/alliancestats.php?allianceid=1401,246k active personnel,0 ships,Advanced,Nice,15 factories,Good,last online 15 hours ago,rankings.php?subregion=car,The Federal Colonies,70 Hundred Tons per month,$25327 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,45065 km 2,http://blocgame.com/stats.php?id=44573,294 Mbbl,,,
Kennethland,Kenneth,http://blocgame.com/alliancestats.php?allianceid=1568,462k active personnel,63 ships,Advanced,Gandhi-like,21 factories,Good,last online 1 hours ago,rankings.php?subregion=gra,Brotherhood of Zion,87 Hundred Tons per month,$24563 million,alliancestats.php?allianceid=1568,Gran Colombia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=gra,74296 km 2,http://blocgame.com/stats.php?id=47662,,21 Mbbl per month,,
pelle,pelle,http://blocgame.com/alliancestats.php?allianceid=1393,512k active personnel,13 ships,Persian Gulf War surplus,Gandhi-like,25 factories,Poor,last online 8 hours ago,rankings.php?subregion=chi,BAMF,78 Hundred Tons per month,$24028 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,51183 km 2,http://blocgame.com/stats.php?id=52372,73 Mbbl,6 Mbbl per month,,
Gensokyo,DrKourin,http://blocgame.com/alliancestats.php?allianceid=1393,298k active personnel,71 ships,Advanced,Gandhi-like,16 factories,Good,last online 13 hours ago,rankings.php?subregion=pac,BAMF,24 Hundred Tons per month,$23689 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,29481 km 2,http://blocgame.com/stats.php?id=5212,,7 Mbbl per month,,
MoonMania,MoonMan,http://blocgame.com/alliancestats.php?allianceid=1393,221k active personnel,42 ships,Advanced,Gandhi-like,11 factories,Good,last online 13 hours ago,rankings.php?subregion=ama,BAMF,52 Hundred Tons per month,$23339 million,alliancestats.php?allianceid=1393,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,36253 km 2,http://blocgame.com/stats.php?id=53650,,14 Mbbl per month,,
Skhimm,Ept2415,http://blocgame.com/alliancestats.php?allianceid=1580,590k active personnel,91 ships,Advanced,Gandhi-like,29 factories,Elite,last online 5 hours ago,rankings.php?subregion=per,Brotherhood of Nod,100 Hundred Tons per month,$23261 million,alliancestats.php?allianceid=1580,Persia,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=per,187902 km 2,http://blocgame.com/stats.php?id=52362,3576 Mbbl,130 Mbbl per month,13 Tons,
Mmhat,Homermustdie,http://blocgame.com/alliancestats.php?allianceid=1595,238k active personnel,71 ships,Persian Gulf War surplus,Gandhi-like,10 factories,Elite,last online 12 hours ago,rankings.php?subregion=ama,The High Council,30 Hundred Tons per month,$22778 million,alliancestats.php?allianceid=1595,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,29206 km 2,http://blocgame.com/stats.php?id=45846,,9 Mbbl per month,2 Tons,
Whitey,Knee Grow,http://blocgame.com/alliancestats.php?allianceid=1568,379k active personnel,94 ships,Persian Gulf War surplus,Gandhi-like,16 factories,Elite,last online 2 hours ago,rankings.php?subregion=waf,Brotherhood of Zion,150 Hundred Tons per month,$22758 million,alliancestats.php?allianceid=1568,West Africa,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=waf,86699 km 2,http://blocgame.com/stats.php?id=4816,,10 Mbbl per month,,10%
Khuzestan,Georgy Zhukov,http://blocgame.com/alliancestats.php?allianceid=1401,212k active personnel,47 ships,Persian Gulf War surplus,Gandhi-like,12 factories,Elite,last online 9 hours ago,rankings.php?subregion=per,The Federal Colonies,5 Hundred Tons per month,$22277 million,alliancestats.php?allianceid=1401,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,35248 km 2,http://blocgame.com/stats.php?id=48914,2581 Mbbl,27 Mbbl per month,,
Lyranistan,Lyranistan,,40k active personnel,12 ships,Advanced,Pariah,15 factories,Good,last online 6 hours ago,rankings.php?subregion=mes,,25 Hundred Tons per month,$22144 million,,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,62236 km 2,http://blocgame.com/stats.php?id=56860,910 Mbbl,75 Mbbl per month,,
QonoS,Tmonsta,http://blocgame.com/alliancestats.php?allianceid=1595,343k active personnel,36 ships,Persian Gulf War surplus,Gandhi-like,16 factories,Elite,last online 9 hours ago,rankings.php?subregion=chi,The High Council,38 Hundred Tons per month,$21578 million,alliancestats.php?allianceid=1595,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,49825 km 2,http://blocgame.com/stats.php?id=44539,42 Mbbl,,,55%
Deponia,PYZILEND,http://blocgame.com/alliancestats.php?allianceid=1393,279k active personnel,51 ships,Persian Gulf War surplus,Gandhi-like,16 factories,Good,last online 9 hours ago,rankings.php?subregion=chi,BAMF,40 Hundred Tons per month,$21446 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,41102 km 2,http://blocgame.com/stats.php?id=54760,,,,
Canuckistan!!,Cosmic Canuck,http://blocgame.com/alliancestats.php?allianceid=1580,547k active personnel,52 ships,Advanced,Gandhi-like,22 factories,Good,last online 11 hours ago,rankings.php?subregion=per,Brotherhood of Nod,106 Hundred Tons per month,$21122 million,alliancestats.php?allianceid=1580,Persia,,Very Powerful,http://blocgame.com/rankings.php?subregion=per,103286 km 2,http://blocgame.com/stats.php?id=49526,2262 Mbbl,109 Mbbl per month,4 Tons,
Pooland,kurwa,http://blocgame.com/alliancestats.php?allianceid=1568,499k active personnel,18 ships,Advanced,Gandhi-like,24 factories,Good,last online 18 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,22 Hundred Tons per month,$21054 million,alliancestats.php?allianceid=1568,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,64773 km 2,http://blocgame.com/stats.php?id=49295,,102 Mbbl per month,1 Tons,
Great Poverty,SamoGrrr,http://blocgame.com/alliancestats.php?allianceid=1568,419k active personnel,51 ships,Advanced,Gandhi-like,18 factories,Good,last online 10 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,39 Hundred Tons per month,$20936 million,alliancestats.php?allianceid=1568,Congo,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,65491 km 2,http://blocgame.com/stats.php?id=52440,,9 Mbbl per month,,
Peach,Tanaille,http://blocgame.com/alliancestats.php?allianceid=1393,460k active personnel,79 ships,Advanced,Gandhi-like,24 factories,Good,online now,rankings.php?subregion=mes,BAMF,120 Hundred Tons per month,$20650 million,alliancestats.php?allianceid=1393,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,152255 km 2,http://blocgame.com/stats.php?id=54825,2227 Mbbl,133 Mbbl per month,,
Kalayaan,Fernindad E. Marcos,http://blocgame.com/alliancestats.php?allianceid=1393,279k active personnel,71 ships,Persian Gulf War surplus,Gandhi-like,12 factories,Elite,last online 7 hours ago,rankings.php?subregion=pac,BAMF,42 Hundred Tons per month,$20125 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,79555 km 2,http://blocgame.com/stats.php?id=52349,,12 Mbbl per month,,
Skanonia,Beefy,http://blocgame.com/alliancestats.php?allianceid=1568,429k active personnel,51 ships,Advanced,Gandhi-like,21 factories,Poor,last online 8 hours ago,rankings.php?subregion=con,Brotherhood of Zion,13 Hundred Tons per month,$20076 million,alliancestats.php?allianceid=1568,Southern Cone,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=con,40365 km 2,http://blocgame.com/stats.php?id=44384,,7 Mbbl per month,,
nation name,alysdexia,http://blocgame.com/alliancestats.php?allianceid=1393,236k active personnel,51 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Good,last online 9 hours ago,rankings.php?subregion=mes,BAMF,11 Hundred Tons per month,$19681 million,alliancestats.php?allianceid=1393,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,24512 km 2,http://blocgame.com/stats.php?id=49652,119 Mbbl,18 Mbbl per month,,
Crimea,Hayro Khan,http://blocgame.com/alliancestats.php?allianceid=1393,138k active personnel,55 ships,Advanced,Gandhi-like,6 factories,Elite,last online 4 hours ago,rankings.php?subregion=atl,BAMF,21 Hundred Tons per month,$19639 million,alliancestats.php?allianceid=1393,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,30742 km 2,http://blocgame.com/stats.php?id=2570,,21 Mbbl per month,,5%
Pheonix,Shockwave,http://blocgame.com/alliancestats.php?allianceid=1401,15k active personnel,24 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Elite,last online 122 hours ago,rankings.php?subregion=per,The Federal Colonies,18 Hundred Tons per month,$19079 million,alliancestats.php?allianceid=1401,Persia,Untapped,Small,http://blocgame.com/rankings.php?subregion=per,30420 km 2,http://blocgame.com/stats.php?id=40311,,17 Mbbl per month,,
Kardazar,Mahmud Ali,http://blocgame.com/alliancestats.php?allianceid=1393,279k active personnel,45 ships,Persian Gulf War surplus,Gandhi-like,15 factories,Good,last online 9 hours ago,rankings.php?subregion=ara,BAMF,14 Hundred Tons per month,$19050 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,32670 km 2,http://blocgame.com/stats.php?id=55305,5606 Mbbl,25 Mbbl per month,,
Almania,Almanich,http://blocgame.com/alliancestats.php?allianceid=1580,305k active personnel,52 ships,Persian Gulf War surplus,Good,21 factories,Elite,online now,rankings.php?subregion=chi,Brotherhood of Nod,23 Hundred Tons per month,$18527 million,alliancestats.php?allianceid=1580,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,42905 km 2,http://blocgame.com/stats.php?id=51725,,,,
FreakTopia,Remington Steel,http://blocgame.com/alliancestats.php?allianceid=1393,333k active personnel,71 ships,Advanced,Gandhi-like,19 factories,Elite,last online 9 hours ago,rankings.php?subregion=ama,BAMF,64 Hundred Tons per month,$18486 million,alliancestats.php?allianceid=1393,Amazonia,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,108831 km 2,http://blocgame.com/stats.php?id=45527,,16 Mbbl per month,,
OnlyJuanOvue,BigGuyBane,http://blocgame.com/alliancestats.php?allianceid=1599,285k active personnel,60 ships,Advanced,Gandhi-like,14 factories,Elite,online now,rankings.php?subregion=ara,Wreckage brothers,39 Hundred Tons per month,$18166 million,alliancestats.php?allianceid=1599,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,68339 km 2,http://blocgame.com/stats.php?id=52889,,45 Mbbl per month,1 Tons,
Celtic Nations,BigWilly526,http://blocgame.com/alliancestats.php?allianceid=1580,325k active personnel,64 ships,Advanced,Gandhi-like,16 factories,Elite,last online 18 hours ago,rankings.php?subregion=per,Brotherhood of Nod,66 Hundred Tons per month,$18104 million,alliancestats.php?allianceid=1580,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,64179 km 2,http://blocgame.com/stats.php?id=7511,3179 Mbbl,41 Mbbl per month,2 Tons,
bro dude,guy man,http://blocgame.com/alliancestats.php?allianceid=1568,278k active personnel,54 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Elite,last online 3 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,35 Hundred Tons per month,$17700 million,alliancestats.php?allianceid=1568,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,56539 km 2,http://blocgame.com/stats.php?id=49465,159 Mbbl,50 Mbbl per month,,
Genowia,ThePole,http://blocgame.com/alliancestats.php?allianceid=1393,318k active personnel,42 ships,Persian Gulf War surplus,Gandhi-like,13 factories,Standard,last online 4 hours ago,rankings.php?subregion=pac,BAMF,65 Hundred Tons per month,$17672 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,48327 km 2,http://blocgame.com/stats.php?id=50839,,15 Mbbl per month,,
Slavostan,Joe Tito-Hoxha,http://blocgame.com/alliancestats.php?allianceid=1393,164k active personnel,26 ships,Persian Gulf War surplus,Gandhi-like,10 factories,Elite,online now,rankings.php?subregion=sea,BAMF,15 Hundred Tons per month,$17180 million,alliancestats.php?allianceid=1393,Indochina,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,26582 km 2,http://blocgame.com/stats.php?id=48188,,12 Mbbl per month,,
Hashashin,moffe,http://blocgame.com/alliancestats.php?allianceid=1644,268k active personnel,39 ships,Advanced,Isolated,19 factories,Elite,last online 1 hours ago,rankings.php?subregion=per,Inter/pol/,51 Hundred Tons per month,$16916 million,alliancestats.php?allianceid=1644,Persia,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=per,98447 km 2,http://blocgame.com/stats.php?id=54220,2634 Mbbl,66 Mbbl per month,,
Markovia,RDM HC,http://blocgame.com/alliancestats.php?allianceid=1401,218k active personnel,34 ships,Almost Modern,Gandhi-like,9 factories,Elite,last online 14 hours ago,rankings.php?subregion=car,The Federal Colonies,35 Hundred Tons per month,$16697 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,38053 km 2,http://blocgame.com/stats.php?id=58369,,20 Mbbl per month,,
Large Man,LargeMan,http://blocgame.com/alliancestats.php?allianceid=1599,206k active personnel,43 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Elite,last online 2 hours ago,rankings.php?subregion=egy,Wreckage brothers,34 Hundred Tons per month,$16611 million,alliancestats.php?allianceid=1599,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,41707 km 2,http://blocgame.com/stats.php?id=52836,1064 Mbbl,35 Mbbl per month,,
Alexandrastan,TWAIN,http://blocgame.com/alliancestats.php?allianceid=1401,198k active personnel,51 ships,Advanced,Gandhi-like,8 factories,Good,online now,rankings.php?subregion=mes,The Federal Colonies,17 Hundred Tons per month,$16457 million,alliancestats.php?allianceid=1401,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,25694 km 2,http://blocgame.com/stats.php?id=39070,,18 Mbbl per month,2 Tons,
durkastan,ned kelly,http://blocgame.com/alliancestats.php?allianceid=1580,317k active personnel,81 ships,Advanced,Isolated,29 factories,Elite,last online 9 hours ago,rankings.php?subregion=ara,Brotherhood of Nod,100 Hundred Tons per month,$16410 million,alliancestats.php?allianceid=1580,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,150176 km 2,http://blocgame.com/stats.php?id=40488,,100 Mbbl per month,1 Tons,
Robots,stormbot28,http://blocgame.com/alliancestats.php?allianceid=1599,322k active personnel,41 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Good,last online 3 hours ago,rankings.php?subregion=car,Wreckage brothers,71 Hundred Tons per month,$16299 million,alliancestats.php?allianceid=1599,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,53756 km 2,http://blocgame.com/stats.php?id=40242,,,,
Iranzamin,Lord of War,http://blocgame.com/alliancestats.php?allianceid=1595,2k active personnel,51 ships,Persian Gulf War surplus,Angelic,13 factories,Elite,last online 14 hours ago,rankings.php?subregion=per,The High Council,46 Hundred Tons per month,$16296 million,alliancestats.php?allianceid=1595,Persia,,Very Powerful,http://blocgame.com/rankings.php?subregion=per,44692 km 2,http://blocgame.com/stats.php?id=49556,,34 Mbbl per month,,
Vizio,linkbro,http://blocgame.com/alliancestats.php?allianceid=1393,64k active personnel,16 ships,Persian Gulf War surplus,Gandhi-like,7 factories,Elite,last online 70 hours ago,rankings.php?subregion=ara,BAMF,31 Hundred Tons per month,$16210 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,34022 km 2,http://blocgame.com/stats.php?id=39037,,36 Mbbl per month,,
TheDesertFox,DesertFox,http://blocgame.com/alliancestats.php?allianceid=1393,339k active personnel,47 ships,Persian Gulf War surplus,Gandhi-like,12 factories,Standard,last online 4 hours ago,rankings.php?subregion=pac,BAMF,69 Hundred Tons per month,$16083 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,53252 km 2,http://blocgame.com/stats.php?id=52368,,13 Mbbl per month,,
The Deserted,Kamakazi Sunshine,http://blocgame.com/alliancestats.php?allianceid=1568,525k active personnel,100 ships,Advanced,Gandhi-like,22 factories,Elite,last online 3 hours ago,rankings.php?subregion=pac,Brotherhood of Zion,87 Hundred Tons per month,$15960 million,alliancestats.php?allianceid=1568,Pacific Rim,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,137053 km 2,http://blocgame.com/stats.php?id=40459,270 Mbbl,7 Mbbl per month,,
Arsinoe,Sobek,http://blocgame.com/alliancestats.php?allianceid=1568,927k active personnel,81 ships,Advanced,Good,27 factories,Good,last online 40 hours ago,rankings.php?subregion=egy,Brotherhood of Zion,30 Hundred Tons per month,$15951 million,alliancestats.php?allianceid=1568,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,96687 km 2,http://blocgame.com/stats.php?id=49868,4911 Mbbl,129 Mbbl per month,24 Tons,
Gandoria,zoneguy22,http://blocgame.com/alliancestats.php?allianceid=1568,185k active personnel,45 ships,Persian Gulf War surplus,Gandhi-like,8 factories,Elite,last online 14 hours ago,rankings.php?subregion=gra,Brotherhood of Zion,17 Hundred Tons per month,$15800 million,alliancestats.php?allianceid=1568,Gran Colombia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=gra,19833 km 2,http://blocgame.com/stats.php?id=50771,,10 Mbbl per month,,
Reality,fujisyugi,http://blocgame.com/alliancestats.php?allianceid=1393,164k active personnel,18 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Elite,last online 10 hours ago,rankings.php?subregion=saf,BAMF,161 Hundred Tons per month,$15764 million,alliancestats.php?allianceid=1393,Southern Africa,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,78805 km 2,http://blocgame.com/stats.php?id=53029,,22 Mbbl per month,,5%
Wielkopl,taikuh,http://blocgame.com/alliancestats.php?allianceid=1568,259k active personnel,51 ships,Persian Gulf War surplus,Gandhi-like,14 factories,Elite,last online 3 hours ago,rankings.php?subregion=pac,Brotherhood of Zion,127 Hundred Tons per month,$15481 million,alliancestats.php?allianceid=1568,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,95645 km 2,http://blocgame.com/stats.php?id=42376,,,7 Tons,
venua,bilbo swaggins,http://blocgame.com/alliancestats.php?allianceid=1393,123k active personnel,12 ships,Almost Modern,Angelic,5 factories,Elite,last online 1 hours ago,rankings.php?subregion=gra,BAMF,21 Hundred Tons per month,$15458 million,alliancestats.php?allianceid=1393,Gran Colombia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=gra,16377 km 2,http://blocgame.com/stats.php?id=54363,,12 Mbbl per month,,
South Park,cartman,http://blocgame.com/alliancestats.php?allianceid=1568,238k active personnel,44 ships,Persian Gulf War surplus,Gandhi-like,9 factories,Elite,last online 2 hours ago,rankings.php?subregion=car,Brotherhood of Zion,39 Hundred Tons per month,$15429 million,alliancestats.php?allianceid=1568,Caribbean,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=car,40103 km 2,http://blocgame.com/stats.php?id=228,,10 Mbbl per month,,
