country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,rm_prod,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_prod,oil_reserves,uranium,reactor
Khuzestan,Georgy Zhukov,http://blocgame.com/alliancestats.php?allianceid=1401,226k active personnel,47 ships,Persian Gulf War surplus,Gandhi-like,12 factories,Elite,online now,rankings.php?subregion=per,The Federal Colonies,5 Hundred Tons per month,$21688 million,alliancestats.php?allianceid=1401,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,35248 km 2,http://blocgame.com/stats.php?id=48914,27 Mbbl per month,2878 Mbbl,,
Skhimm,Ept2415,http://blocgame.com/alliancestats.php?allianceid=1580,625k active personnel,91 ships,Advanced,Nice,22 factories,Elite,last online 7 hours ago,rankings.php?subregion=per,Brotherhood of Nod,100 Hundred Tons per month,$21079 million,alliancestats.php?allianceid=1580,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,153763 km 2,http://blocgame.com/stats.php?id=52362,200 Mbbl per month,4355 Mbbl,13 Tons,
FreakTopia,Remington Steel,http://blocgame.com/alliancestats.php?allianceid=1393,442k active personnel,68 ships,Advanced,Gandhi-like,19 factories,Elite,last online 1 hours ago,rankings.php?subregion=ama,BAMF,64 Hundred Tons per month,$21481 million,alliancestats.php?allianceid=1393,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,105627 km 2,http://blocgame.com/stats.php?id=45527,16 Mbbl per month,,,
Great Poverty,SamoGrrr,http://blocgame.com/alliancestats.php?allianceid=1568,419k active personnel,51 ships,Advanced,Gandhi-like,18 factories,Good,online now,rankings.php?subregion=congo,Brotherhood of Zion,30 Hundred Tons per month,$21146 million,alliancestats.php?allianceid=1568,Congo,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,65491 km 2,http://blocgame.com/stats.php?id=52440,9 Mbbl per month,,,
QonoS,Tmonsta,http://blocgame.com/alliancestats.php?allianceid=1595,320k active personnel,35 ships,Persian Gulf War surplus,Gandhi-like,16 factories,Good,online now,rankings.php?subregion=chi,The High Council,38 Hundred Tons per month,$21199 million,alliancestats.php?allianceid=1595,China,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,49825 km 2,http://blocgame.com/stats.php?id=44539,,42 Mbbl,,45%
Canuckistan!!,Cosmic Canuck,http://blocgame.com/alliancestats.php?allianceid=1580,498k active personnel,50 ships,Advanced,Gandhi-like,22 factories,Elite,last online 1 hours ago,rankings.php?subregion=per,Brotherhood of Nod,102 Hundred Tons per month,$20886 million,alliancestats.php?allianceid=1580,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,103286 km 2,http://blocgame.com/stats.php?id=49526,109 Mbbl per month,3461 Mbbl,4 Tons,
Al-Petralia,El-Oil,http://blocgame.com/alliancestats.php?allianceid=1393,168k active personnel,50 ships,Persian Gulf War surplus,Gandhi-like,9 factories,Elite,last online 6 hours ago,rankings.php?subregion=ara,BAMF,23 Hundred Tons per month,$20897 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,34559 km 2,http://blocgame.com/stats.php?id=52484,25 Mbbl per month,,,
Pooland,kurwa,http://blocgame.com/alliancestats.php?allianceid=1568,519k active personnel,18 ships,Advanced,Gandhi-like,24 factories,Elite,last online 11 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,22 Hundred Tons per month,$20769 million,alliancestats.php?allianceid=1568,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,64773 km 2,http://blocgame.com/stats.php?id=49295,102 Mbbl per month,898 Mbbl,1 Tons,
Deponia,PYZILEND,http://blocgame.com/alliancestats.php?allianceid=1393,263k active personnel,51 ships,Persian Gulf War surplus,Gandhi-like,16 factories,Good,online now,rankings.php?subregion=chi,BAMF,40 Hundred Tons per month,$20745 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,41102 km 2,http://blocgame.com/stats.php?id=54760,5 Mbbl per month,,,
Kajima,Angelus,http://blocgame.com/alliancestats.php?allianceid=1580,323k active personnel,40 ships,Persian Gulf War surplus,Gandhi-like,15 factories,Elite,last online 58 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,60 Hundred Tons per month,$20205 million,alliancestats.php?allianceid=1580,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,48262 km 2,http://blocgame.com/stats.php?id=46908,,,,
Peach,Tanaille,http://blocgame.com/alliancestats.php?allianceid=1393,440k active personnel,73 ships,Advanced,Gandhi-like,24 factories,Good,online now,rankings.php?subregion=mes,BAMF,120 Hundred Tons per month,$20105 million,alliancestats.php?allianceid=1393,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,152255 km 2,http://blocgame.com/stats.php?id=54825,130 Mbbl per month,1527 Mbbl,,
Kalayaan,Fernindad E. Marcos,http://blocgame.com/alliancestats.php?allianceid=1393,271k active personnel,71 ships,Persian Gulf War surplus,Gandhi-like,12 factories,Elite,last online 1 hours ago,rankings.php?subregion=pac,BAMF,42 Hundred Tons per month,$19721 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,79555 km 2,http://blocgame.com/stats.php?id=52349,12 Mbbl per month,,,
nation name,alysdexia,http://blocgame.com/alliancestats.php?allianceid=1393,208k active personnel,51 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Elite,last online 19 hours ago,rankings.php?subregion=mes,BAMF,10 Hundred Tons per month,$19282 million,alliancestats.php?allianceid=1393,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,24512 km 2,http://blocgame.com/stats.php?id=49652,18 Mbbl per month,317 Mbbl,,
Crimea,Hayro Khan,http://blocgame.com/alliancestats.php?allianceid=1393,138k active personnel,54 ships,Advanced,Gandhi-like,6 factories,Elite,last online 28 hours ago,rankings.php?subregion=atl,BAMF,21 Hundred Tons per month,$19099 million,alliancestats.php?allianceid=1393,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,30742 km 2,http://blocgame.com/stats.php?id=2570,21 Mbbl per month,,,5%
Kardazar,Mahmud Ali,http://blocgame.com/alliancestats.php?allianceid=1393,271k active personnel,45 ships,Persian Gulf War surplus,Gandhi-like,15 factories,Elite,online now,rankings.php?subregion=ara,BAMF,14 Hundred Tons per month,$18392 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,32670 km 2,http://blocgame.com/stats.php?id=55305,25 Mbbl per month,1890 Mbbl,,
Iranzamin,Lord of War,http://blocgame.com/alliancestats.php?allianceid=1644,232k active personnel,50 ships,Persian Gulf War surplus,Gandhi-like,13 factories,Elite,last online 46 hours ago,rankings.php?subregion=per,Inter/pol/,46 Hundred Tons per month,$18167 million,alliancestats.php?allianceid=1644,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,49911 km 2,http://blocgame.com/stats.php?id=49556,34 Mbbl per month,,,
Pheonix,Shockwave,http://blocgame.com/alliancestats.php?allianceid=1401,13k active personnel,43 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Elite,last online 28 hours ago,rankings.php?subregion=per,The Federal Colonies,18 Hundred Tons per month,$18075 million,alliancestats.php?allianceid=1401,Persia,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=per,30420 km 2,http://blocgame.com/stats.php?id=40311,17 Mbbl per month,,,
OnlyJuanOvue,BigGuyBane,http://blocgame.com/alliancestats.php?allianceid=1599,295k active personnel,60 ships,Advanced,Gandhi-like,13 factories,Elite,last online 3 hours ago,rankings.php?subregion=ara,Wreckage brothers,39 Hundred Tons per month,$17896 million,alliancestats.php?allianceid=1599,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,68339 km 2,http://blocgame.com/stats.php?id=52889,45 Mbbl per month,,1 Tons,
jOOskoland,jOOsko,http://blocgame.com/alliancestats.php?allianceid=1595,198k active personnel,48 ships,Advanced,Gandhi-like,28 factories,Standard,last online 2 hours ago,rankings.php?subregion=atl,The High Council,131 Hundred Tons per month,$17831 million,alliancestats.php?allianceid=1595,Atlas,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,138729 km 2,http://blocgame.com/stats.php?id=55410,97 Mbbl per month,,,
Hashashin,moffe,http://blocgame.com/alliancestats.php?allianceid=1644,386k active personnel,58 ships,Advanced,Gandhi-like,17 factories,Elite,last online 10 hours ago,rankings.php?subregion=per,Inter/pol/,51 Hundred Tons per month,$17659 million,alliancestats.php?allianceid=1644,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,87765 km 2,http://blocgame.com/stats.php?id=54220,66 Mbbl per month,3360 Mbbl,,
Celtic Nations,BigWilly526,http://blocgame.com/alliancestats.php?allianceid=1580,330k active personnel,61 ships,Advanced,Gandhi-like,16 factories,Elite,last online 12 hours ago,rankings.php?subregion=per,Brotherhood of Nod,66 Hundred Tons per month,$17690 million,alliancestats.php?allianceid=1580,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,64179 km 2,http://blocgame.com/stats.php?id=7511,41 Mbbl per month,3630 Mbbl,,
Skanonia,Beefy,http://blocgame.com/alliancestats.php?allianceid=1568,425k active personnel,51 ships,Advanced,Gandhi-like,20 factories,Standard,last online 10 hours ago,rankings.php?subregion=con,Brotherhood of Zion,11 Hundred Tons per month,$17413 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,35061 km 2,http://blocgame.com/stats.php?id=44384,7 Mbbl per month,,,
durkastan,ned kelly,http://blocgame.com/alliancestats.php?allianceid=1580,316k active personnel,84 ships,Advanced,Gandhi-like,29 factories,Elite,online now,rankings.php?subregion=ara,Brotherhood of Nod,100 Hundred Tons per month,$17463 million,alliancestats.php?allianceid=1580,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,150176 km 2,http://blocgame.com/stats.php?id=40488,100 Mbbl per month,,,
bro dude,guy man,http://blocgame.com/alliancestats.php?allianceid=1568,278k active personnel,52 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Elite,last online 6 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,35 Hundred Tons per month,$17493 million,alliancestats.php?allianceid=1568,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,56539 km 2,http://blocgame.com/stats.php?id=49465,50 Mbbl per month,709 Mbbl,,
Genowia,ThePole,http://blocgame.com/alliancestats.php?allianceid=1393,298k active personnel,40 ships,Persian Gulf War surplus,Gandhi-like,13 factories,Standard,last online 20 hours ago,rankings.php?subregion=pac,BAMF,64 Hundred Tons per month,$17356 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,48327 km 2,http://blocgame.com/stats.php?id=50839,15 Mbbl per month,,,
Arsinoe,Sobek,http://blocgame.com/alliancestats.php?allianceid=1568,927k active personnel,81 ships,Advanced,Gandhi-like,27 factories,Elite,last online 13 hours ago,rankings.php?subregion=egy,Brotherhood of Zion,30 Hundred Tons per month,$16415 million,alliancestats.php?allianceid=1568,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,96687 km 2,http://blocgame.com/stats.php?id=49868,129 Mbbl per month,6330 Mbbl,26 Tons,
Robots,stormbot28,http://blocgame.com/alliancestats.php?allianceid=1599,282k active personnel,49 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Good,last online 3 hours ago,rankings.php?subregion=car,Wreckage brothers,71 Hundred Tons per month,$16408 million,alliancestats.php?allianceid=1599,Caribbean,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=car,53756 km 2,http://blocgame.com/stats.php?id=40242,,,,
Slavostan,Joe Tito-Hoxha,http://blocgame.com/alliancestats.php?allianceid=1393,164k active personnel,26 ships,Persian Gulf War surplus,Gandhi-like,10 factories,Elite,last online 17 hours ago,rankings.php?subregion=sea,BAMF,15 Hundred Tons per month,$16518 million,alliancestats.php?allianceid=1393,Indochina,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,26582 km 2,http://blocgame.com/stats.php?id=48188,12 Mbbl per month,,,
Markovia,RDM HC,http://blocgame.com/alliancestats.php?allianceid=1401,238k active personnel,33 ships,Almost Modern,Angelic,9 factories,Elite,last online 16 hours ago,rankings.php?subregion=car,The Federal Colonies,35 Hundred Tons per month,$16350 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,38053 km 2,http://blocgame.com/stats.php?id=58369,20 Mbbl per month,,,
