country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,uranium,region,territory,pageUrl,oil_reserves,reactor
Malaysiastan,Pussiepounder,http://blocgame.com/alliancestats.php?allianceid=1580,65k active personnel,3 ships,Second World War surplus,Nice,4 factories,Elite,online now,rankings.php?subregion=sea,Brotherhood of Nod,$2038 million,alliancestats.php?allianceid=1580,Indochina,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=sea,42747 km 2,http://blocgame.com/stats.php?id=60911,,
Markoviakia,Luako,http://blocgame.com/alliancestats.php?allianceid=1393,0k active personnel,0 ships,Korean War surplus,Good,1 factory,Undisciplined Rabble,last online 11 hours ago,rankings.php?subregion=waf,BAMF,$2036 million,alliancestats.php?allianceid=1393,West Africa,Untapped,None,,http://blocgame.com/rankings.php?subregion=waf,5310 km 2,http://blocgame.com/stats.php?id=57239,,
deztructions,ikillsthepussy,http://blocgame.com/alliancestats.php?allianceid=1595,10k active personnel,0 ships,First World War surplus,Gandhi-like,3 factories,Undisciplined Rabble,last online 131 hours ago,rankings.php?subregion=chi,The High Council,$2118 million,alliancestats.php?allianceid=1595,China,Untapped,Large,,http://blocgame.com/rankings.php?subregion=chi,15012 km 2,http://blocgame.com/stats.php?id=58597,,
Tyanra,SaffronMerchant,,27k active personnel,0 ships,Second World War surplus,Normal,2 factories,Elite,last online 6 hours ago,rankings.php?subregion=sub,,$2084 million,,The Subcontinent,Plentiful,Mediocre,,http://blocgame.com/rankings.php?subregion=sub,27147 km 2,http://blocgame.com/stats.php?id=60365,,
Dogenation,dodgingdoge,http://blocgame.com/alliancestats.php?allianceid=1595,5k active personnel,4 ships,Second World War surplus,Angelic,2 factories,Elite,last online 132 hours ago,rankings.php?subregion=per,The High Council,$2044 million,alliancestats.php?allianceid=1595,Persia,Untapped,Small,,http://blocgame.com/rankings.php?subregion=per,6299 km 2,http://blocgame.com/stats.php?id=59174,,
Nueva Asia,Franco C. Manrique,http://blocgame.com/alliancestats.php?allianceid=1393,141k active personnel,5 ships,Vietnam War surplus,Angelic,5 factories,Elite,last online 1 hours ago,rankings.php?subregion=ara,BAMF,$2361 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Large,,http://blocgame.com/rankings.php?subregion=ara,30903 km 2,http://blocgame.com/stats.php?id=60216,9700 Mbbl,
TerapBuduLipis,SyedRazi,http://blocgame.com/alliancestats.php?allianceid=1595,80k active personnel,0 ships,Second World War surplus,Normal,4 factories,Elite,online now,rankings.php?subregion=ind,The High Council,$2091 million,alliancestats.php?allianceid=1595,East Indies,,Large,,http://blocgame.com/rankings.php?subregion=ind,31855 km 2,http://blocgame.com/stats.php?id=60513,111 Mbbl,
Irillym,Vrhythmikz,http://blocgame.com/alliancestats.php?allianceid=1889,17k active personnel,0 ships,Finest of the 19th century,Gandhi-like,2 factories,Good,last online 29 hours ago,rankings.php?subregion=per,DOOP,$2046 million,alliancestats.php?allianceid=1889,Persia,Plentiful,Meagre,,http://blocgame.com/rankings.php?subregion=per,17205 km 2,http://blocgame.com/stats.php?id=60133,,
Burma,Wyatt McCc,http://blocgame.com/alliancestats.php?allianceid=1401,60k active personnel,2 ships,Korean War surplus,Good,4 factories,Standard,last online 8 hours ago,rankings.php?subregion=ind,The Federal Colonies,$1982 million,alliancestats.php?allianceid=1401,East Indies,,Somewhat Large,,http://blocgame.com/rankings.php?subregion=ind,20130 km 2,http://blocgame.com/stats.php?id=56151,,
Fagglands,Faggmann,,9k active personnel,-1 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 34 hours ago,rankings.php?subregion=chi,,$2077 million,,China,Untapped,Large,,http://blocgame.com/rankings.php?subregion=chi,12220 km 2,http://blocgame.com/stats.php?id=59648,,
