country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,uranium,region,territory,pageUrl,oil_reserves,reactor
Topea,TheKing6350,,25k active personnel,0 ships,First World War surplus,None,Elite,last online 27 hours ago,rankings.php?subregion=per,,$310 million,,Persia,Untapped,None,,http://blocgame.com/rankings.php?subregion=per,20000 km 2,http://blocgame.com/stats.php?id=60200,,
Zenevuela,wapp1299,,17k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 25 hours ago,rankings.php?subregion=gra,,$308 million,,Gran Colombia,Untapped,None,,http://blocgame.com/rankings.php?subregion=gra,19800 km 2,http://blocgame.com/stats.php?id=60198,,
my slaves,Kairos,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 13 hours ago,rankings.php?subregion=pac,,$310 million,,Pacific Rim,Untapped,None,,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=60196,,
Okolama,A Guy 45,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 29 hours ago,rankings.php?subregion=waf,,$310 million,,West Africa,Untapped,None,,http://blocgame.com/rankings.php?subregion=waf,20000 km 2,http://blocgame.com/stats.php?id=60195,,
Shad,Shadman,,15k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 132 hours ago,rankings.php?subregion=sub,,$305 million,,The Subcontinent,Untapped,None,,http://blocgame.com/rankings.php?subregion=sub,20000 km 2,http://blocgame.com/stats.php?id=60062,,
ECPF,Schaapjoch,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 30 hours ago,rankings.php?subregion=eaf,,$310 million,,East Africa,Untapped,None,,http://blocgame.com/rankings.php?subregion=eaf,20000 km 2,http://blocgame.com/stats.php?id=60194,,
Constantin,Lionel,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 32 hours ago,rankings.php?subregion=pac,,$310 million,,Pacific Rim,Untapped,None,,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=60193,,
Brews101,Gethammerd,,22k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 109 hours ago,rankings.php?subregion=ind,,$301 million,,East Indies,Untapped,None,,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60094,,
San Marcos,Calderon,,33k active personnel,0 ships,First World War surplus,None,Good,last online 6 hours ago,rankings.php?subregion=car,,$368 million,,Caribbean,Untapped,Meagre,,http://blocgame.com/rankings.php?subregion=car,24063 km 2,http://blocgame.com/stats.php?id=60158,,
FSOMA,Fascist Toonder,http://blocgame.com/alliancestats.php?allianceid=1893,18k active personnel,0 ships,Finest of the 19th century,None,Poor,online now,rankings.php?subregion=mex,Alliance of Fascists,$305 million,alliancestats.php?allianceid=1893,Mesoamerica,Untapped,None,,http://blocgame.com/rankings.php?subregion=mex,20000 km 2,http://blocgame.com/stats.php?id=60165,,
