country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil reserves,uranium,reactor,reputation,rm_prod,oil_prod
anonimas,Tadzik �eligowski,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 30 hours ago,rankings.php?subregion=ara,,$300 million,,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,None,http://blocgame.com/stats.php?id=61583,,,,Normal,,
Androzia,Androz,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 8 hours ago,rankings.php?subregion=atl,,$300 million,,Atlas,Untapped,None,http://blocgame.com/rankings.php?subregion=atl,None,http://blocgame.com/stats.php?id=61584,,,,Normal,,
Karachan,MikhailBialkov,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 20 hours ago,rankings.php?subregion=chi,,$300 million,,China,Untapped,None,http://blocgame.com/rankings.php?subregion=chi,None,http://blocgame.com/stats.php?id=61585,,,,Normal,,
Together,Zandberg,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 10 hours ago,rankings.php?subregion=saf,,$300 million,,Southern Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=saf,None,http://blocgame.com/stats.php?id=61586,,,,Normal,,
S�l,BabaWanga,http://blocgame.com/alliancestats.php?allianceid=2041,20k active personnel,0 ships,Finest of the 19th century,,Standard,online now,rankings.php?subregion=saf,Lithuanian Coalition,$300 million,alliancestats.php?allianceid=2041,Southern Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=saf,None,http://blocgame.com/stats.php?id=61589,,,,Normal,,
Sanepid,Claude Fromage,http://blocgame.com/alliancestats.php?allianceid=2041,18k active personnel,0 ships,Finest of the 19th century,,Standard,online now,rankings.php?subregion=saf,Lithuanian Coalition,$300 million,alliancestats.php?allianceid=2041,Southern Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=saf,None,http://blocgame.com/stats.php?id=61592,1 Mbbl,,,Normal,,1 Mbbl per month
Pudzians,XDDDDDDXDDD,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 175 hours ago,rankings.php?subregion=saf,,$300 million,,Southern Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=saf,None,http://blocgame.com/stats.php?id=61595,,,,Normal,,
Titiwangsa,Orga,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 15 hours ago,rankings.php?subregion=ind,,$300 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,None,http://blocgame.com/stats.php?id=61596,,,,Normal,,
natangape,tina,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 35 hours ago,rankings.php?subregion=ind,,$300 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,None,http://blocgame.com/stats.php?id=61600,,,,Normal,,
Rimba Bara,hasnah53,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 11 hours ago,rankings.php?subregion=ind,,$300 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,None,http://blocgame.com/stats.php?id=61603,,,,Normal,,
kailam,kailam,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 35 hours ago,rankings.php?subregion=ind,,$300 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,None,http://blocgame.com/stats.php?id=61608,,,,Normal,,
kobisbunga,kobis,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 9 hours ago,rankings.php?subregion=ind,,$300 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,None,http://blocgame.com/stats.php?id=61609,,,,Normal,,
Vilnus,Jurij Owsienko,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 2 hours ago,rankings.php?subregion=ara,,$300 million,,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,None,http://blocgame.com/stats.php?id=61610,,,,Normal,,
Lewd Place,Cute Girl,http://blocgame.com/alliancestats.php?allianceid=2041,35k active personnel,0 ships,First World War surplus,,Elite,online now,rankings.php?subregion=car,Lithuanian Coalition,$300 million,alliancestats.php?allianceid=2041,Caribbean,Plentiful,None,http://blocgame.com/rankings.php?subregion=car,None,http://blocgame.com/stats.php?id=61620,,,,Questionable,,
Sillot,Come Pienso,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 45 hours ago,rankings.php?subregion=ara,,$300 million,,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,None,http://blocgame.com/stats.php?id=61621,,,,Normal,,
Volne Vilki,Vilk,,20k active personnel,0 ships,Finest of the 19th century,,Standard,online now,rankings.php?subregion=atl,,$300 million,,Atlas,Untapped,None,http://blocgame.com/rankings.php?subregion=atl,None,http://blocgame.com/stats.php?id=61625,,,,Normal,,
Tamarlania,Vagrant,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 13 hours ago,rankings.php?subregion=mes,,$300 million,,Mesopotamia,Untapped,None,http://blocgame.com/rankings.php?subregion=mes,None,http://blocgame.com/stats.php?id=61626,,,,Normal,,
WP Kuala Lumpur,Soeharto,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 57 hours ago,rankings.php?subregion=ind,,$300 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,None,http://blocgame.com/stats.php?id=61633,,,,Normal,,
Kowno,Wilikajło,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 26 hours ago,rankings.php?subregion=saf,,$300 million,,Southern Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=saf,None,http://blocgame.com/stats.php?id=61635,,,,Normal,,
New Wadowice,anone2137,http://blocgame.com/alliancestats.php?allianceid=2041,20k active personnel,0 ships,Finest of the 19th century,,Standard,online now,rankings.php?subregion=atl,Lithuanian Coalition,$300 million,alliancestats.php?allianceid=2041,Atlas,Untapped,None,http://blocgame.com/rankings.php?subregion=atl,None,http://blocgame.com/stats.php?id=61637,3 Mbbl,,,Normal,,3 Mbbl per month
