country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,airforce,region,territory,pageUrl,manpower,uranium,oil_reserves,reactor
nation name,alysdexia,http://blocgame.com/alliancestats.php?allianceid=1393,259k active personnel,25 ships,Persian Gulf War surplus,11 factories,Good,last online 22 hours ago,rankings.php?subregion=mes,BAMF,$16778 million,alliancestats.php?allianceid=1393,Mesopotamia,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,24459 km 2,http://blocgame.com/stats.php?id=49652,Untapped,,,
Canuckistan!!,Cosmic Canuck,http://blocgame.com/alliancestats.php?allianceid=1580,149k active personnel,26 ships,Persian Gulf War surplus,17 factories,Elite,last online 15 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$16682 million,alliancestats.php?allianceid=1580,Persia,Very Powerful,http://blocgame.com/rankings.php?subregion=per,103286 km 2,http://blocgame.com/stats.php?id=49526,Untapped,1 Tons,,
Robots,stormbot28,http://blocgame.com/alliancestats.php?allianceid=1599,14k active personnel,19 ships,Almost Modern,11 factories,Elite,online now,rankings.php?subregion=car,Wreckage brothers,$16462 million,alliancestats.php?allianceid=1599,Caribbean,Very Powerful,http://blocgame.com/rankings.php?subregion=car,55045 km 2,http://blocgame.com/stats.php?id=40242,Plentiful,,,
Tyrantia,Malakal,http://blocgame.com/alliancestats.php?allianceid=1595,264k active personnel,51 ships,Persian Gulf War surplus,15 factories,Standard,online now,rankings.php?subregion=ind,The High Council,$16036 million,alliancestats.php?allianceid=1595,East Indies,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,63676 km 2,http://blocgame.com/stats.php?id=40238,Untapped,4 Tons,,
Kalayaan,Fernindad E. Marcos,http://blocgame.com/alliancestats.php?allianceid=1393,239k active personnel,56 ships,Persian Gulf War surplus,10 factories,Elite,last online 1 hours ago,rankings.php?subregion=pac,BAMF,$15917 million,alliancestats.php?allianceid=1393,Pacific Rim,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,79555 km 2,http://blocgame.com/stats.php?id=52349,Untapped,,279 Mbbl,
Celtic Nations,BigWilly526,http://blocgame.com/alliancestats.php?allianceid=1580,315k active personnel,43 ships,Persian Gulf War surplus,14 factories,Elite,last online 10 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$15719 million,alliancestats.php?allianceid=1580,Persia,Very Powerful,http://blocgame.com/rankings.php?subregion=per,63487 km 2,http://blocgame.com/stats.php?id=7511,Untapped,,,
Puella-Magia,Emily,http://blocgame.com/alliancestats.php?allianceid=1580,286k active personnel,41 ships,Persian Gulf War surplus,12 factories,Good,last online 1 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,$15604 million,alliancestats.php?allianceid=1580,Pacific Rim,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,62446 km 2,http://blocgame.com/stats.php?id=35958,Untapped,,,
Skeenation,David Tomanka,http://blocgame.com/alliancestats.php?allianceid=1393,142k active personnel,50 ships,Persian Gulf War surplus,5 factories,Elite,last online 14 hours ago,rankings.php?subregion=con,BAMF,$15538 million,alliancestats.php?allianceid=1393,Southern Cone,Very Powerful,http://blocgame.com/rankings.php?subregion=con,43180 km 2,http://blocgame.com/stats.php?id=40443,Untapped,1 Tons,,
Potatoland,ThePotatoGuy,http://blocgame.com/alliancestats.php?allianceid=1382,199k active personnel,34 ships,Almost Modern,10 factories,Elite,last online 1 hours ago,rankings.php?subregion=car,Non-Aligned Movement,$15552 million,alliancestats.php?allianceid=1382,Caribbean,Very Powerful,http://blocgame.com/rankings.php?subregion=car,45507 km 2,http://blocgame.com/stats.php?id=53696,Untapped,,,
Khuzestan,Georgy Zhukov,http://blocgame.com/alliancestats.php?allianceid=1401,219k active personnel,51 ships,Persian Gulf War surplus,11 factories,Elite,online now,rankings.php?subregion=per,The Federal Colonies,$15495 million,alliancestats.php?allianceid=1401,Persia,Very Powerful,http://blocgame.com/rankings.php?subregion=per,35604 km 2,http://blocgame.com/stats.php?id=48914,Untapped,,,
