country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,airforce,region,territory,pageUrl,manpower,uranium,oil_reserves,reactor
Graceland,Elvis,http://blocgame.com/alliancestats.php?allianceid=1393,198k active personnel,10 ships,Vietnam War surplus,7 factories,Elite,last online 58 hours ago,rankings.php?subregion=eaf,BAMF,$8042 million,alliancestats.php?allianceid=1393,East Africa,Very Powerful,http://blocgame.com/rankings.php?subregion=eaf,52676 km 2,http://blocgame.com/stats.php?id=7435,Untapped,,,
Rararaland,Whiskertoes,http://blocgame.com/alliancestats.php?allianceid=1810,9k active personnel,6 ships,Vietnam War surplus,3 factories,Elite,last online 4 hours ago,rankings.php?subregion=ara,EUN,$8006 million,alliancestats.php?allianceid=1810,Arabia,Large,http://blocgame.com/rankings.php?subregion=ara,14125 km 2,http://blocgame.com/stats.php?id=49272,,,2852 Mbbl,
Cocobongo,Cuban Pete,http://blocgame.com/alliancestats.php?allianceid=1595,149k active personnel,10 ships,Vietnam War surplus,5 factories,Good,last online 26 hours ago,rankings.php?subregion=gra,The High Council,$7956 million,alliancestats.php?allianceid=1595,Gran Colombia,Powerful,http://blocgame.com/rankings.php?subregion=gra,25358 km 2,http://blocgame.com/stats.php?id=58193,Untapped,,,
PMAOA,Mbatume II,http://blocgame.com/alliancestats.php?allianceid=1595,103k active personnel,12 ships,Vietnam War surplus,4 factories,Elite,last online 21 hours ago,rankings.php?subregion=gui,The High Council,$7958 million,alliancestats.php?allianceid=1595,Guinea,Very Powerful,http://blocgame.com/rankings.php?subregion=gui,13257 km 2,http://blocgame.com/stats.php?id=54574,Untapped,,,
Based World,Lil B,http://blocgame.com/alliancestats.php?allianceid=1393,222k active personnel,20 ships,Almost Modern,9 factories,Good,last online 73 hours ago,rankings.php?subregion=sub,BAMF,$7918 million,alliancestats.php?allianceid=1393,The Subcontinent,Very Powerful,http://blocgame.com/rankings.php?subregion=sub,57342 km 2,http://blocgame.com/stats.php?id=58035,Untapped,,,
Jam,pbjam,http://blocgame.com/alliancestats.php?allianceid=1580,142k active personnel,19 ships,Vietnam War surplus,6 factories,Elite,last online 1 hours ago,rankings.php?subregion=ind,Brotherhood of Nod,$7894 million,alliancestats.php?allianceid=1580,East Indies,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,37884 km 2,http://blocgame.com/stats.php?id=56490,Untapped,,,
PolandThePower,PolandThePower44,http://blocgame.com/alliancestats.php?allianceid=1393,142k active personnel,15 ships,Vietnam War surplus,9 factories,Standard,last online 79 hours ago,rankings.php?subregion=mes,BAMF,$7923 million,alliancestats.php?allianceid=1393,Mesopotamia,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,31429 km 2,http://blocgame.com/stats.php?id=58217,Untapped,,,
Die Eisenfaust,Allgemeine Stahlhammer,http://blocgame.com/alliancestats.php?allianceid=1644,10k active personnel,9 ships,Almost Modern,7 factories,Elite,last online 1 hours ago,rankings.php?subregion=sub,Inter/pol/,$7544 million,alliancestats.php?allianceid=1644,The Subcontinent,Powerful,http://blocgame.com/rankings.php?subregion=sub,39108 km 2,http://blocgame.com/stats.php?id=51904,Near Depletion,,,
Esboslavia,Swatbot26,http://blocgame.com/alliancestats.php?allianceid=1599,109k active personnel,14 ships,Vietnam War surplus,4 factories,Elite,last online 3 hours ago,rankings.php?subregion=car,Wreckage brothers,$7779 million,alliancestats.php?allianceid=1599,Caribbean,Very Powerful,http://blocgame.com/rankings.php?subregion=car,28842 km 2,http://blocgame.com/stats.php?id=57376,Untapped,,,
Showerland,Showerman,http://blocgame.com/alliancestats.php?allianceid=1580,270k active personnel,40 ships,Almost Modern,13 factories,Elite,last online 17 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$7817 million,alliancestats.php?allianceid=1580,Persia,Very Powerful,http://blocgame.com/rankings.php?subregion=per,48894 km 2,http://blocgame.com/stats.php?id=53306,Untapped,,,
Indonia,Indy,http://blocgame.com/alliancestats.php?allianceid=1644,138k active personnel,31 ships,Persian Gulf War surplus,6 factories,Good,last online 35 hours ago,rankings.php?subregion=ara,Inter/pol/,$7777 million,alliancestats.php?allianceid=1644,Arabia,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,24830 km 2,http://blocgame.com/stats.php?id=52315,Untapped,,549 Mbbl,
Orindesia,IvanLivitnenko,http://blocgame.com/alliancestats.php?allianceid=1682,93k active personnel,13 ships,Almost Modern,4 factories,Elite,last online 3 hours ago,rankings.php?subregion=ind,S.T.A.L.K.E.R.,$7683 million,alliancestats.php?allianceid=1682,East Indies,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,19565 km 2,http://blocgame.com/stats.php?id=55700,Untapped,,,
/K/,762x39,http://blocgame.com/alliancestats.php?allianceid=1599,99k active personnel,4 ships,Korean War surplus,7 factories,Good,online now,rankings.php?subregion=egy,Wreckage brothers,$7726 million,alliancestats.php?allianceid=1599,Egypt,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,54772 km 2,http://blocgame.com/stats.php?id=44958,,,,
Free Phoenix,Captain Mandrake,http://blocgame.com/alliancestats.php?allianceid=1393,66k active personnel,18 ships,Vietnam War surplus,3 factories,Elite,last online 7 hours ago,rankings.php?subregion=mex,BAMF,$7607 million,alliancestats.php?allianceid=1393,Mesoamerica,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,20318 km 2,http://blocgame.com/stats.php?id=58198,Untapped,,,
Texastan,Rebel Lord,http://blocgame.com/alliancestats.php?allianceid=1644,33k active personnel,5 ships,Vietnam War surplus,4 factories,Undisciplined Rabble,last online 18 hours ago,rankings.php?subregion=mes,Inter/pol/,$7537 million,alliancestats.php?allianceid=1644,Mesopotamia,Large,http://blocgame.com/rankings.php?subregion=mes,23336 km 2,http://blocgame.com/stats.php?id=58149,Untapped,,14238 Mbbl,
Reality,fujisyugi,http://blocgame.com/alliancestats.php?allianceid=1393,159k active personnel,3 ships,Persian Gulf War surplus,8 factories,Good,last online 6 hours ago,rankings.php?subregion=saf,BAMF,$7542 million,alliancestats.php?allianceid=1393,Southern Africa,Powerful,http://blocgame.com/rankings.php?subregion=saf,69246 km 2,http://blocgame.com/stats.php?id=53029,Untapped,,,5%
al-Masketta,kingcuck,http://blocgame.com/alliancestats.php?allianceid=1599,302k active personnel,26 ships,Persian Gulf War surplus,17 factories,Elite,last online 5 hours ago,rankings.php?subregion=ara,Wreckage brothers,$7491 million,alliancestats.php?allianceid=1599,Arabia,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,78128 km 2,http://blocgame.com/stats.php?id=53028,Untapped,,3709 Mbbl,
Translandia,5Six,http://blocgame.com/alliancestats.php?allianceid=1568,171k active personnel,1 ships,Advanced,14 factories,Standard,last online 45 hours ago,rankings.php?subregion=pac,Brotherhood of Zion,$7458 million,alliancestats.php?allianceid=1568,Pacific Rim,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,107766 km 2,http://blocgame.com/stats.php?id=46112,Untapped,,,
Funs and Ammo,Ivan Ivanovsky,http://blocgame.com/alliancestats.php?allianceid=1682,165k active personnel,11 ships,Vietnam War surplus,4 factories,Elite,last online 1 hours ago,rankings.php?subregion=ind,S.T.A.L.K.E.R.,$7413 million,alliancestats.php?allianceid=1682,East Indies,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,18067 km 2,http://blocgame.com/stats.php?id=55794,Untapped,,,
skrubrikei,coweymcnuggets,http://blocgame.com/alliancestats.php?allianceid=1568,57k active personnel,12 ships,Vietnam War surplus,6 factories,Elite,last online 5 hours ago,rankings.php?subregion=pac,Brotherhood of Zion,$7392 million,alliancestats.php?allianceid=1568,Pacific Rim,Somewhat Large,http://blocgame.com/rankings.php?subregion=pac,38315 km 2,http://blocgame.com/stats.php?id=48846,,,,
MumbosMountain,Mumbo Jumbo,http://blocgame.com/alliancestats.php?allianceid=1382,127k active personnel,13 ships,Almost Modern,7 factories,Good,last online 44 hours ago,rankings.php?subregion=mex,Non-Aligned Movement,$7307 million,alliancestats.php?allianceid=1382,Mesoamerica,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,52541 km 2,http://blocgame.com/stats.php?id=54444,Near Depletion,,,
Masketto,svidjod,http://blocgame.com/alliancestats.php?allianceid=1599,239k active personnel,22 ships,Persian Gulf War surplus,14 factories,Good,online now,rankings.php?subregion=egy,Wreckage brothers,$7262 million,alliancestats.php?allianceid=1599,Egypt,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,86528 km 2,http://blocgame.com/stats.php?id=55437,Untapped,,9551 Mbbl,
Roman Empire,Trajan,http://blocgame.com/alliancestats.php?allianceid=1580,174k active personnel,2 ships,Vietnam War surplus,4 factories,Elite,last online 97 hours ago,rankings.php?subregion=egy,Brotherhood of Nod,$7192 million,alliancestats.php?allianceid=1580,Egypt,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,22589 km 2,http://blocgame.com/stats.php?id=57846,Untapped,,,
The Red Empire,SpecialForces,http://blocgame.com/alliancestats.php?allianceid=1580,154k active personnel,14 ships,Vietnam War surplus,6 factories,Elite,last online 2 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$7213 million,alliancestats.php?allianceid=1580,Persia,Very Powerful,http://blocgame.com/rankings.php?subregion=per,34536 km 2,http://blocgame.com/stats.php?id=59076,Untapped,1 Tons,,
Lagoense,Marechal Fabra,http://blocgame.com/alliancestats.php?allianceid=1599,174k active personnel,9 ships,Korean War surplus,5 factories,Elite,online now,rankings.php?subregion=car,Wreckage brothers,$7172 million,alliancestats.php?allianceid=1599,Caribbean,Very Powerful,http://blocgame.com/rankings.php?subregion=car,27776 km 2,http://blocgame.com/stats.php?id=57361,Untapped,,,
Sqynet,robosax,http://blocgame.com/alliancestats.php?allianceid=1568,189k active personnel,4 ships,Advanced,8 factories,Good,last online 8 hours ago,rankings.php?subregion=saf,Brotherhood of Zion,$7146 million,alliancestats.php?allianceid=1568,Southern Africa,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,98507 km 2,http://blocgame.com/stats.php?id=52255,Untapped,47 Tons,,
Bloodied Stools,cowds,http://blocgame.com/alliancestats.php?allianceid=1595,48k active personnel,5 ships,Vietnam War surplus,4 factories,Elite,last online 5 hours ago,rankings.php?subregion=gra,The High Council,$6666 million,alliancestats.php?allianceid=1595,Gran Colombia,Large,http://blocgame.com/rankings.php?subregion=gra,19460 km 2,http://blocgame.com/stats.php?id=56997,Near Depletion,,,
Arborea,Arbus,http://blocgame.com/alliancestats.php?allianceid=1580,99k active personnel,1 ships,Korean War surplus,5 factories,Elite,last online 4 hours ago,rankings.php?subregion=waf,Brotherhood of Nod,$7093 million,alliancestats.php?allianceid=1580,West Africa,Powerful,http://blocgame.com/rankings.php?subregion=waf,22999 km 2,http://blocgame.com/stats.php?id=57767,Untapped,,,
New Palestina,MacK0797,http://blocgame.com/alliancestats.php?allianceid=1568,175k active personnel,4 ships,Almost Modern,7 factories,Elite,last online 2 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,$7069 million,alliancestats.php?allianceid=1568,Mesopotamia,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,42419 km 2,http://blocgame.com/stats.php?id=58215,Untapped,,,
FistPump,MasterChef,http://blocgame.com/alliancestats.php?allianceid=1580,250k active personnel,14 ships,Persian Gulf War surplus,6 factories,Good,last online 5 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$7051 million,alliancestats.php?allianceid=1580,Persia,Very Powerful,http://blocgame.com/rankings.php?subregion=per,26408 km 2,http://blocgame.com/stats.php?id=43623,Untapped,,,
Saminis,Marcus Slate,http://blocgame.com/alliancestats.php?allianceid=1791,96k active personnel,13 ships,Vietnam War surplus,4 factories,Good,last online 19 hours ago,rankings.php?subregion=con,IDA,$7050 million,alliancestats.php?allianceid=1791,Southern Cone,Very Powerful,http://blocgame.com/rankings.php?subregion=con,31979 km 2,http://blocgame.com/stats.php?id=54520,,,,
I Am Mad,I Am Mad,http://blocgame.com/alliancestats.php?allianceid=1644,162k active personnel,40 ships,Vietnam War surplus,4 factories,Elite,last online 1 hours ago,rankings.php?subregion=mes,Inter/pol/,$6986 million,alliancestats.php?allianceid=1644,Mesopotamia,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,39603 km 2,http://blocgame.com/stats.php?id=58303,Plentiful,,,
Eisen,Balthazaar,http://blocgame.com/alliancestats.php?allianceid=1599,140k active personnel,39 ships,Almost Modern,13 factories,Elite,last online 16 hours ago,rankings.php?subregion=chi,Wreckage brothers,$6998 million,alliancestats.php?allianceid=1599,China,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,82988 km 2,http://blocgame.com/stats.php?id=53566,Untapped,1 Tons,,
Costa Del Sol,Wittenoom,http://blocgame.com/alliancestats.php?allianceid=1644,139k active personnel,0 ships,Vietnam War surplus,5 factories,Good,last online 5 hours ago,rankings.php?subregion=pac,Inter/pol/,$6984 million,alliancestats.php?allianceid=1644,Pacific Rim,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,20710 km 2,http://blocgame.com/stats.php?id=40097,Untapped,,,
Jumbonesia,Napalm Caesar,http://blocgame.com/alliancestats.php?allianceid=1595,101k active personnel,7 ships,Korean War surplus,5 factories,Elite,last online 16 hours ago,rankings.php?subregion=pac,The High Council,$6995 million,alliancestats.php?allianceid=1595,Pacific Rim,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,24201 km 2,http://blocgame.com/stats.php?id=58350,Plentiful,,,
Mnemosyne,Solus,http://blocgame.com/alliancestats.php?allianceid=1393,150k active personnel,18 ships,Second World War surplus,5 factories,Good,last online 8 hours ago,rankings.php?subregion=pac,BAMF,$6981 million,alliancestats.php?allianceid=1393,Pacific Rim,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,26486 km 2,http://blocgame.com/stats.php?id=57952,Untapped,,,
Cascoia,unioncomic,http://blocgame.com/alliancestats.php?allianceid=1568,86k active personnel,51 ships,Persian Gulf War surplus,12 factories,Good,last online 8 hours ago,rankings.php?subregion=ara,Brotherhood of Zion,$6905 million,alliancestats.php?allianceid=1568,Arabia,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,81023 km 2,http://blocgame.com/stats.php?id=54174,Untapped,,1333 Mbbl,
Boomtown,Rataca1000,http://blocgame.com/alliancestats.php?allianceid=1595,35k active personnel,4 ships,Vietnam War surplus,2 factories,Elite,last online 1 hours ago,rankings.php?subregion=chi,The High Council,$6917 million,alliancestats.php?allianceid=1595,China,Somewhat Large,http://blocgame.com/rankings.php?subregion=chi,1970 km 2,http://blocgame.com/stats.php?id=50054,Near Depletion,,,
Ferma,President Jacobo Vincenzo,http://blocgame.com/alliancestats.php?allianceid=1393,121k active personnel,4 ships,Korean War surplus,5 factories,Good,online now,rankings.php?subregion=con,BAMF,$6926 million,alliancestats.php?allianceid=1393,Southern Cone,Powerful,http://blocgame.com/rankings.php?subregion=con,29990 km 2,http://blocgame.com/stats.php?id=58784,Untapped,,365 Mbbl,
Kuto,AKMB,http://blocgame.com/alliancestats.php?allianceid=1401,147k active personnel,0 ships,Almost Modern,6 factories,Standard,last online 9 hours ago,rankings.php?subregion=per,The Federal Colonies,$6829 million,alliancestats.php?allianceid=1401,Persia,Very Powerful,http://blocgame.com/rankings.php?subregion=per,15721 km 2,http://blocgame.com/stats.php?id=40095,Untapped,,,
NMZ,Hally,http://blocgame.com/alliancestats.php?allianceid=1568,49k active personnel,0 ships,Almost Modern,8 factories,Elite,last online 13 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$6856 million,alliancestats.php?allianceid=1568,China,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,73842 km 2,http://blocgame.com/stats.php?id=51877,Untapped,,,
Chaouenne,pyrignis,http://blocgame.com/alliancestats.php?allianceid=1595,128k active personnel,10 ships,Vietnam War surplus,4 factories,Standard,last online 45 hours ago,rankings.php?subregion=atl,The High Council,$6798 million,alliancestats.php?allianceid=1595,Atlas,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,13258 km 2,http://blocgame.com/stats.php?id=42019,Untapped,,12008 Mbbl,5%
Rhod3sia,FreeMindInside,http://blocgame.com/alliancestats.php?allianceid=1568,199k active personnel,45 ships,Persian Gulf War surplus,9 factories,Good,last online 1 hours ago,rankings.php?subregion=saf,Brotherhood of Zion,$6775 million,alliancestats.php?allianceid=1568,Southern Africa,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,50846 km 2,http://blocgame.com/stats.php?id=52679,Untapped,,,5%
DFWEFWEF,dmc5,http://blocgame.com/alliancestats.php?allianceid=1644,205k active personnel,37 ships,Almost Modern,8 factories,Elite,online now,rankings.php?subregion=ara,Inter/pol/,$6581 million,alliancestats.php?allianceid=1644,Arabia,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,32083 km 2,http://blocgame.com/stats.php?id=55118,Untapped,,,
Dominicanos,jrod183,http://blocgame.com/alliancestats.php?allianceid=1580,317k active personnel,41 ships,Persian Gulf War surplus,12 factories,Good,last online 1 hours ago,rankings.php?subregion=car,Brotherhood of Nod,$6282 million,alliancestats.php?allianceid=1580,Caribbean,Large,http://blocgame.com/rankings.php?subregion=car,61924 km 2,http://blocgame.com/stats.php?id=56237,,,,
Bubupooka,Princess Rahalia,http://blocgame.com/alliancestats.php?allianceid=1568,198k active personnel,4 ships,Persian Gulf War surplus,7 factories,Elite,last online 28 hours ago,rankings.php?subregion=saf,Brotherhood of Zion,$6536 million,alliancestats.php?allianceid=1568,Southern Africa,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,62234 km 2,http://blocgame.com/stats.php?id=44960,Untapped,,,
king's landing,mannisbaratheon,http://blocgame.com/alliancestats.php?allianceid=1644,141k active personnel,22 ships,Almost Modern,4 factories,Elite,last online 5 hours ago,rankings.php?subregion=sub,Inter/pol/,$6480 million,alliancestats.php?allianceid=1644,The Subcontinent,Very Powerful,http://blocgame.com/rankings.php?subregion=sub,40168 km 2,http://blocgame.com/stats.php?id=55616,Untapped,,,
Yugoslothia,Yugoslothia,http://blocgame.com/alliancestats.php?allianceid=1599,95k active personnel,9 ships,Almost Modern,6 factories,Elite,last online 16 hours ago,rankings.php?subregion=egy,Wreckage brothers,$6529 million,alliancestats.php?allianceid=1599,Egypt,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,27107 km 2,http://blocgame.com/stats.php?id=55968,Untapped,,,
Dragon Stone,Mannis,http://blocgame.com/alliancestats.php?allianceid=1644,189k active personnel,23 ships,Almost Modern,7 factories,Good,last online 6 hours ago,rankings.php?subregion=sub,Inter/pol/,$6436 million,alliancestats.php?allianceid=1644,The Subcontinent,Very Powerful,http://blocgame.com/rankings.php?subregion=sub,31085 km 2,http://blocgame.com/stats.php?id=54852,Untapped,,,
United,allsmart,http://blocgame.com/alliancestats.php?allianceid=1401,41k active personnel,17 ships,Vietnam War surplus,5 factories,Elite,online now,rankings.php?subregion=gra,The Federal Colonies,$6434 million,alliancestats.php?allianceid=1401,Gran Colombia,Very Powerful,http://blocgame.com/rankings.php?subregion=gra,33804 km 2,http://blocgame.com/stats.php?id=57257,Plentiful,,,
Steel Beams,spacebunneh,http://blocgame.com/alliancestats.php?allianceid=1595,108k active personnel,0 ships,Vietnam War surplus,6 factories,Undisciplined Rabble,last online 44 hours ago,rankings.php?subregion=gra,The High Council,$6313 million,alliancestats.php?allianceid=1595,Gran Colombia,Very Powerful,http://blocgame.com/rankings.php?subregion=gra,15283 km 2,http://blocgame.com/stats.php?id=55509,Untapped,,,
woosha,blaatje,http://blocgame.com/alliancestats.php?allianceid=1644,254k active personnel,51 ships,Almost Modern,13 factories,Good,last online 11 hours ago,rankings.php?subregion=egy,Inter/pol/,$6215 million,alliancestats.php?allianceid=1644,Egypt,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,74722 km 2,http://blocgame.com/stats.php?id=58158,Untapped,,2807 Mbbl,
Tuchankaa,Toquisador,http://blocgame.com/alliancestats.php?allianceid=1595,55k active personnel,11 ships,Almost Modern,3 factories,Elite,last online 14 hours ago,rankings.php?subregion=chi,The High Council,$6281 million,alliancestats.php?allianceid=1595,China,Large,http://blocgame.com/rankings.php?subregion=chi,9345 km 2,http://blocgame.com/stats.php?id=47573,Untapped,,,
Merrowholt,B. Summers,http://blocgame.com/alliancestats.php?allianceid=1595,91k active personnel,40 ships,Almost Modern,6 factories,Elite,last online 7 hours ago,rankings.php?subregion=mes,The High Council,$6207 million,alliancestats.php?allianceid=1595,Mesopotamia,Large,http://blocgame.com/rankings.php?subregion=mes,23711 km 2,http://blocgame.com/stats.php?id=54923,Untapped,,,
Subcon,Sybalus,http://blocgame.com/alliancestats.php?allianceid=1580,58k active personnel,14 ships,Vietnam War surplus,3 factories,Elite,last online 25 hours ago,rankings.php?subregion=eaf,Brotherhood of Nod,$6208 million,alliancestats.php?allianceid=1580,East Africa,Large,http://blocgame.com/rankings.php?subregion=eaf,13750 km 2,http://blocgame.com/stats.php?id=53099,Untapped,,,
fuckiestan,death2chamelion,http://blocgame.com/alliancestats.php?allianceid=1580,109k active personnel,9 ships,Korean War surplus,5 factories,Good,last online 18 hours ago,rankings.php?subregion=atl,Brotherhood of Nod,$6186 million,alliancestats.php?allianceid=1580,Atlas,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,22085 km 2,http://blocgame.com/stats.php?id=58862,Near Depletion,,,
Persia_Iran,Txheat512,http://blocgame.com/alliancestats.php?allianceid=1835,87k active personnel,11 ships,Vietnam War surplus,4 factories,Elite,last online 2 hours ago,rankings.php?subregion=per,SPQR,$6138 million,alliancestats.php?allianceid=1835,Persia,Somewhat Large,http://blocgame.com/rankings.php?subregion=per,19856 km 2,http://blocgame.com/stats.php?id=57306,Depleted,,,
Shiba,Dogtown33,http://blocgame.com/alliancestats.php?allianceid=1644,162k active personnel,0 ships,Almost Modern,5 factories,Elite,last online 8 hours ago,rankings.php?subregion=pac,Inter/pol/,$5993 million,alliancestats.php?allianceid=1644,Pacific Rim,Large,http://blocgame.com/rankings.php?subregion=pac,28590 km 2,http://blocgame.com/stats.php?id=56250,Plentiful,,,
Burlmenia,Nathan Barlow,http://blocgame.com/alliancestats.php?allianceid=1382,129k active personnel,16 ships,Vietnam War surplus,5 factories,Standard,last online 26 hours ago,rankings.php?subregion=ama,Non-Aligned Movement,$6029 million,alliancestats.php?allianceid=1382,Amazonia,Large,http://blocgame.com/rankings.php?subregion=ama,27086 km 2,http://blocgame.com/stats.php?id=57957,Untapped,,,
Redmousepad,Edrmousepad,http://blocgame.com/alliancestats.php?allianceid=1810,89k active personnel,0 ships,Korean War surplus,6 factories,Standard,last online 41 hours ago,rankings.php?subregion=pac,EUN,$6037 million,alliancestats.php?allianceid=1810,Pacific Rim,Somewhat Large,http://blocgame.com/rankings.php?subregion=pac,29839 km 2,http://blocgame.com/stats.php?id=49375,Plentiful,,,
The Dank Side,Dolan Dank,http://blocgame.com/alliancestats.php?allianceid=1568,110k active personnel,8 ships,Korean War surplus,4 factories,Elite,last online 19 hours ago,rankings.php?subregion=egy,Brotherhood of Zion,$6024 million,alliancestats.php?allianceid=1568,Egypt,Somewhat Large,http://blocgame.com/rankings.php?subregion=egy,28973 km 2,http://blocgame.com/stats.php?id=59019,Untapped,,3492 Mbbl,
That One Place,That One Guy,http://blocgame.com/alliancestats.php?allianceid=1682,314k active personnel,13 ships,Vietnam War surplus,4 factories,Elite,last online 9 hours ago,rankings.php?subregion=per,S.T.A.L.K.E.R.,$5934 million,alliancestats.php?allianceid=1682,Persia,Very Powerful,http://blocgame.com/rankings.php?subregion=per,40054 km 2,http://blocgame.com/stats.php?id=56980,Untapped,,,
Soviet Greece,Ares Velouchiotis,http://blocgame.com/alliancestats.php?allianceid=1595,100k active personnel,5 ships,Second World War surplus,6 factories,Good,online now,rankings.php?subregion=sea,The High Council,$5979 million,alliancestats.php?allianceid=1595,Indochina,Powerful,http://blocgame.com/rankings.php?subregion=sea,28085 km 2,http://blocgame.com/stats.php?id=59170,Untapped,,,
Vladimiria,AceAxos,http://blocgame.com/alliancestats.php?allianceid=1568,119k active personnel,5 ships,Korean War surplus,5 factories,Standard,last online 7 hours ago,rankings.php?subregion=saf,Brotherhood of Zion,$5948 million,alliancestats.php?allianceid=1568,Southern Africa,Powerful,http://blocgame.com/rankings.php?subregion=saf,31178 km 2,http://blocgame.com/stats.php?id=59150,Untapped,,,
Kutlesh,Kutlesh,http://blocgame.com/alliancestats.php?allianceid=1382,8k active personnel,20 ships,Almost Modern,8 factories,Undisciplined Rabble,last online 19 hours ago,rankings.php?subregion=egy,Non-Aligned Movement,$5892 million,alliancestats.php?allianceid=1382,Egypt,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,58635 km 2,http://blocgame.com/stats.php?id=54847,Untapped,,,
Good Jobs,Mongoloid Manager,http://blocgame.com/alliancestats.php?allianceid=1568,219k active personnel,4 ships,Almost Modern,8 factories,Elite,last online 3 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,$5933 million,alliancestats.php?allianceid=1568,Indochina,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,37481 km 2,http://blocgame.com/stats.php?id=57865,Untapped,,169 Mbbl,
DynamicMemes,mememan69,http://blocgame.com/alliancestats.php?allianceid=1580,158k active personnel,17 ships,Korean War surplus,5 factories,Good,last online 18 hours ago,rankings.php?subregion=saf,Brotherhood of Nod,$5883 million,alliancestats.php?allianceid=1580,Southern Africa,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,25710 km 2,http://blocgame.com/stats.php?id=57005,Untapped,,,
North Arstozka,BasedRussia,,8k active personnel,41 ships,Persian Gulf War surplus,6 factories,Elite,last online 92 hours ago,rankings.php?subregion=ara,,$5887 million,,Arabia,Large,http://blocgame.com/rankings.php?subregion=ara,30050 km 2,http://blocgame.com/stats.php?id=53593,Untapped,,1484 Mbbl,
Awesomeria,killbodies,http://blocgame.com/alliancestats.php?allianceid=1568,33k active personnel,32 ships,Almost Modern,10 factories,Elite,last online 8 hours ago,rankings.php?subregion=saf,Brotherhood of Zion,$5805 million,alliancestats.php?allianceid=1568,Southern Africa,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,56803 km 2,http://blocgame.com/stats.php?id=57755,Untapped,,302 Mbbl,
Stargaze,The Head,http://blocgame.com/alliancestats.php?allianceid=1393,118k active personnel,15 ships,Second World War surplus,6 factories,Elite,last online 142 hours ago,rankings.php?subregion=chi,BAMF,$5825 million,alliancestats.php?allianceid=1393,China,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,31644 km 2,http://blocgame.com/stats.php?id=58264,Untapped,,,
Imaginary Land,Chet Manly,http://blocgame.com/alliancestats.php?allianceid=1595,81k active personnel,6 ships,Second World War surplus,5 factories,Elite,last online 1 hours ago,rankings.php?subregion=pac,The High Council,$5800 million,alliancestats.php?allianceid=1595,Pacific Rim,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,23885 km 2,http://blocgame.com/stats.php?id=58961,Untapped,,444 Mbbl,
Fadjistan,Einar Wojak,http://blocgame.com/alliancestats.php?allianceid=1682,53k active personnel,8 ships,Almost Modern,4 factories,Elite,last online 13 hours ago,rankings.php?subregion=mes,S.T.A.L.K.E.R.,$5748 million,alliancestats.php?allianceid=1682,Mesopotamia,Powerful,http://blocgame.com/rankings.php?subregion=mes,13077 km 2,http://blocgame.com/stats.php?id=55614,Near Depletion,,2892 Mbbl,
One Star,Neku,http://blocgame.com/alliancestats.php?allianceid=1595,188k active personnel,10 ships,Vietnam War surplus,6 factories,Standard,last online 1 hours ago,rankings.php?subregion=per,The High Council,$5676 million,alliancestats.php?allianceid=1595,Persia,Very Powerful,http://blocgame.com/rankings.php?subregion=per,39160 km 2,http://blocgame.com/stats.php?id=57783,Untapped,,4752 Mbbl,
