country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_reserves,uranium,reactor
Rhod3sia,FreeMindInside,http://blocgame.com/alliancestats.php?allianceid=1568,262k active personnel,52 ships,Persian Gulf War surplus,Gandhi-like,9 factories,Good,last online 6 hours ago,rankings.php?subregion=saf,Brotherhood of Zion,$6622 million,alliancestats.php?allianceid=1568,Southern Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,50842 km 2,http://blocgame.com/stats.php?id=52679,,,5%
Lorigan,Lorigan,http://blocgame.com/alliancestats.php?allianceid=1595,145k active personnel,10 ships,Korean War surplus,Gandhi-like,6 factories,Good,last online 11 hours ago,rankings.php?subregion=ama,The High Council,$6620 million,alliancestats.php?allianceid=1595,Amazonia,Untapped,Large,http://blocgame.com/rankings.php?subregion=ama,29198 km 2,http://blocgame.com/stats.php?id=59787,493 Mbbl,,
Ekodebota,tfwqtp2tlgf|;3,http://blocgame.com/alliancestats.php?allianceid=1599,8k active personnel,32 ships,Advanced,Good,3 factories,Undisciplined Rabble,last online 135 hours ago,rankings.php?subregion=atl,Wreckage brothers,$6585 million,alliancestats.php?allianceid=1599,Atlas,Untapped,None,http://blocgame.com/rankings.php?subregion=atl,16617 km 2,http://blocgame.com/stats.php?id=53422,,,
iljohn,iljohn,http://blocgame.com/alliancestats.php?allianceid=1952,3k active personnel,1 ships,Korean War surplus,Gandhi-like,4 factories,Elite,last online 8 hours ago,rankings.php?subregion=pac,The Eastern Sea,$6526 million,alliancestats.php?allianceid=1952,Pacific Rim,,Small,http://blocgame.com/rankings.php?subregion=pac,37211 km 2,http://blocgame.com/stats.php?id=59945,,,
Clownaland,Clowny,http://blocgame.com/alliancestats.php?allianceid=1568,279k active personnel,2 ships,Advanced,Gandhi-like,7 factories,Elite,online now,rankings.php?subregion=congo,Brotherhood of Zion,$6469 million,alliancestats.php?allianceid=1568,Congo,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,67211 km 2,http://blocgame.com/stats.php?id=46942,,,
Avarice,Mammon,http://blocgame.com/alliancestats.php?allianceid=1393,139k active personnel,11 ships,Vietnam War surplus,Gandhi-like,18 factories,Elite,online now,rankings.php?subregion=sub,BAMF,$6468 million,alliancestats.php?allianceid=1393,The Subcontinent,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sub,85850 km 2,http://blocgame.com/stats.php?id=59516,,,
Ishtar,Magnus Magnus,http://blocgame.com/alliancestats.php?allianceid=1580,199k active personnel,37 ships,Almost Modern,Gandhi-like,7 factories,Elite,last online 1 hours ago,rankings.php?subregion=mes,Brotherhood of Nod,$6460 million,alliancestats.php?allianceid=1580,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,29052 km 2,http://blocgame.com/stats.php?id=55882,,,
East Black Rock,Shiro Shirogane,http://blocgame.com/alliancestats.php?allianceid=1595,99k active personnel,10 ships,First World War surplus,Gandhi-like,7 factories,Elite,last online 8 hours ago,rankings.php?subregion=pac,The High Council,$6422 million,alliancestats.php?allianceid=1595,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,50846 km 2,http://blocgame.com/stats.php?id=60120,,,
Lebensraum,morrison1916,http://blocgame.com/alliancestats.php?allianceid=1644,169k active personnel,1 ships,Vietnam War surplus,Gandhi-like,6 factories,Elite,last online 4 hours ago,rankings.php?subregion=sub,Inter/pol/,$6406 million,alliancestats.php?allianceid=1644,The Subcontinent,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sub,32083 km 2,http://blocgame.com/stats.php?id=3646,,,
Ralpenio,Ghjhdd,http://blocgame.com/alliancestats.php?allianceid=1595,52k active personnel,11 ships,Vietnam War surplus,Gandhi-like,3 factories,Elite,last online 1 hours ago,rankings.php?subregion=pac,The High Council,$6385 million,alliancestats.php?allianceid=1595,Pacific Rim,Near Depletion,Powerful,http://blocgame.com/rankings.php?subregion=pac,9734 km 2,http://blocgame.com/stats.php?id=53369,,,
