country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,uranium,oil_reserves,reactor
Janisiaia,Janisiaia,http://blocgame.com/alliancestats.php?allianceid=1644,52k active personnel,0 ships,First World War surplus,2 factories,Standard,last online 7 hours ago,rankings.php?subregion=pac,Inter/pol/,$689 million,alliancestats.php?allianceid=1644,Pacific Rim,Plentiful,Mediocre,http://blocgame.com/rankings.php?subregion=pac,28323 km 2,http://blocgame.com/stats.php?id=60046,,,
Rolandia,Roariskewl,,20k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 143 hours ago,rankings.php?subregion=gra,,$682 million,,Gran Colombia,Untapped,None,http://blocgame.com/rankings.php?subregion=gra,20000 km 2,http://blocgame.com/stats.php?id=59082,,,
Gemini,MissyViperGemini97,,8k active personnel,0 ships,First World War surplus,None,Undisciplined Rabble,last online 84 hours ago,rankings.php?subregion=car,,$681 million,,Caribbean,Untapped,None,http://blocgame.com/rankings.php?subregion=car,3651 km 2,http://blocgame.com/stats.php?id=50199,,,
Grathalandia,GoodGuy447,,33k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 44 hours ago,rankings.php?subregion=per,,$675 million,,Persia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=per,16335 km 2,http://blocgame.com/stats.php?id=60131,,,
Fiddle Dogs,Kazuhira Hamburger,,86k active personnel,2 ships,Korean War surplus,2 factories,Standard,last online 38 hours ago,rankings.php?subregion=ara,,$674 million,,Arabia,Untapped,Somewhat Large,http://blocgame.com/rankings.php?subregion=ara,25208 km 2,http://blocgame.com/stats.php?id=59470,,5197 Mbbl,
Bolshevikistan,S.D.Plessken,,38k active personnel,0 ships,First World War surplus,1 factory,Standard,online now,rankings.php?subregion=congo,,$660 million,,Congo,Depleted,None,http://blocgame.com/rankings.php?subregion=congo,19575 km 2,http://blocgame.com/stats.php?id=60189,1 Tons,,
San-t�iao,Ching Shih,,56k active personnel,1 ships,First World War surplus,2 factories,Elite,last online 2 hours ago,rankings.php?subregion=pac,,$649 million,,Pacific Rim,Plentiful,Mediocre,http://blocgame.com/rankings.php?subregion=pac,37587 km 2,http://blocgame.com/stats.php?id=60079,,,
Cyrus the Great,Arman99,,31k active personnel,0 ships,Finest of the 19th century,1 factory,Elite,last online 2 hours ago,rankings.php?subregion=per,,$647 million,,Persia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=per,21462 km 2,http://blocgame.com/stats.php?id=60128,,,
Harvest,Wilhelm The First,http://blocgame.com/alliancestats.php?allianceid=1393,39k active personnel,0 ships,Second World War surplus,1 factory,Good,last online 17 hours ago,rankings.php?subregion=mes,BAMF,$644 million,alliancestats.php?allianceid=1393,Mesopotamia,,Small,http://blocgame.com/rankings.php?subregion=mes,15001 km 2,http://blocgame.com/stats.php?id=59993,,,
U.S.S.R Mk. 2.0,Lord George Spiffington,http://blocgame.com/alliancestats.php?allianceid=1548,3k active personnel,0 ships,Second World War surplus,1 factory,Undisciplined Rabble,last online 173 hours ago,rankings.php?subregion=ara,SSBMT,$642 million,alliancestats.php?allianceid=1548,Arabia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ara,6338 km 2,http://blocgame.com/stats.php?id=53814,,,
Acirassi,Flexy,http://blocgame.com/alliancestats.php?allianceid=1393,89k active personnel,0 ships,Second World War surplus,2 factories,Good,last online 4 hours ago,rankings.php?subregion=pac,BAMF,$739 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=pac,36988 km 2,http://blocgame.com/stats.php?id=49805,,209 Mbbl,
Indiabhi,abhi shek,http://blocgame.com/alliancestats.php?allianceid=1892,6k active personnel,0 ships,First World War surplus,1 factory,Poor,last online 2 hours ago,rankings.php?subregion=sea,Indian Confederation,$635 million,alliancestats.php?allianceid=1892,Indochina,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=sea,13078 km 2,http://blocgame.com/stats.php?id=60023,,201 Mbbl,
Sariis,Bavilin,http://blocgame.com/alliancestats.php?allianceid=1595,19k active personnel,0 ships,First World War surplus,1 factory,Good,last online 5 hours ago,rankings.php?subregion=atl,The High Council,$625 million,alliancestats.php?allianceid=1595,Atlas,,Meagre,http://blocgame.com/rankings.php?subregion=atl,19602 km 2,http://blocgame.com/stats.php?id=60186,1 Tons,,
U.S.S.P.R,Commissar_Potato,,29k active personnel,0 ships,First World War surplus,1 factory,Good,online now,rankings.php?subregion=pac,,$619 million,,Pacific Rim,Plentiful,Mediocre,http://blocgame.com/rankings.php?subregion=pac,19406 km 2,http://blocgame.com/stats.php?id=60172,,,
Etiwan,Latvu,http://blocgame.com/alliancestats.php?allianceid=1595,32k active personnel,0 ships,First World War surplus,2 factories,Elite,last online 10 hours ago,rankings.php?subregion=ama,The High Council,$616 million,alliancestats.php?allianceid=1595,Amazonia,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=ama,27891 km 2,http://blocgame.com/stats.php?id=60056,,,
Novoslavija,Rade Latinovic,http://blocgame.com/alliancestats.php?allianceid=1393,37k active personnel,0 ships,First World War surplus,2 factories,Elite,last online 4 hours ago,rankings.php?subregion=pac,BAMF,$605 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Small,http://blocgame.com/rankings.php?subregion=pac,16335 km 2,http://blocgame.com/stats.php?id=60204,,,
Galaxy,ryanus,http://blocgame.com/alliancestats.php?allianceid=1883,20k active personnel,0 ships,First World War surplus,None,Standard,last online 111 hours ago,rankings.php?subregion=ama,Freedom,$604 million,alliancestats.php?allianceid=1883,Amazonia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ama,19993 km 2,http://blocgame.com/stats.php?id=60045,,30 Mbbl,
Bostonia,Pedro Laserbeard,,6k active personnel,0 ships,First World War surplus,None,Good,last online 72 hours ago,rankings.php?subregion=saf,,$589 million,,Southern Africa,Untapped,Small,http://blocgame.com/rankings.php?subregion=saf,16172 km 2,http://blocgame.com/stats.php?id=60129,,,
Libertari,Ambulanss,,1k active personnel,0 ships,First World War surplus,1 factory,Good,last online 69 hours ago,rankings.php?subregion=con,,$585 million,,Southern Cone,Untapped,None,http://blocgame.com/rankings.php?subregion=con,19602 km 2,http://blocgame.com/stats.php?id=60217,,542 Mbbl,
Kimhyonggwon,KimYang,http://blocgame.com/alliancestats.php?allianceid=1885,2k active personnel,0 ships,First World War surplus,None,Elite,last online 6 hours ago,rankings.php?subregion=pac,Yanggand-do Regime,$582 million,alliancestats.php?allianceid=1885,Pacific Rim,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=pac,16417 km 2,http://blocgame.com/stats.php?id=60090,,,
Hyesan,Yanggand-do,http://blocgame.com/alliancestats.php?allianceid=1885,6k active personnel,0 ships,First World War surplus,None,Good,last online 6 hours ago,rankings.php?subregion=pac,Yanggand-do Regime,$565 million,alliancestats.php?allianceid=1885,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,17490 km 2,http://blocgame.com/stats.php?id=60086,,,
