country,leader,alliance,army_size,navy,equipment,factories,training,last_online,gdp,oil_reserves,region/_text,uranium,manpower,airforce,territory,pageUrl,
New Kerala,penguincascadia,0,81,7,Korean War surplus,4,Elite,4,5018,0,The Subcontinent,0,Untapped,Very Powerful,25102,http://blocgame.com/stats.php?id=55503,
Vaul,Commander Miller,S.T.A.L.K.E.R.,63,6,Korean War surplus,2,Elite,4,4984,0,East Indies,0,0,Powerful,22354,http://blocgame.com/stats.php?id=55907,
Texastan,Rebel Lord,Inter/pol/,10,6,Korean War surplus,3,Good,4,3452,0,Mesopotamia,0,0,Mediocre,25316,http://blocgame.com/stats.php?id=58149,
Uboat 1,Commander,Brotherhood of Zion,139,12,Korean War surplus,7,Elite,10,4948,0,East Indies,0,Untapped,Powerful,28726,http://blocgame.com/stats.php?id=56440,
Rhodesia land,ZeUberStriker,S.T.A.L.K.E.R.,96,10,Vietnam War surplus,3,Elite,1,4887,103,Southern Africa,0,Untapped,Very Powerful,23828,http://blocgame.com/stats.php?id=56093,
Caballos,T�mas,UoHN,150,4,Korean War surplus,8,Poor,1,4916,0,The Subcontinent,0,Plentiful,Large,20654,http://blocgame.com/stats.php?id=5261,
The Wired,LAIN,Wreckage brothers,279,20,Persian Gulf War surplus,11,Good,30,4819,0,Arabia,0,Untapped,Very Powerful,61784,http://blocgame.com/stats.php?id=53298,
Behnan,Feroze Ardashir,Brotherhood of Nod,108,20,Vietnam War surplus,6,Elite,1,4788,3097,Persia,0,0,Large,28342,http://blocgame.com/stats.php?id=54162,
Fadjistan,Einar Wojak,S.T.A.L.K.E.R.,123,4,Vietnam War surplus,5,Elite,10,4799,0,Mesopotamia,0,Untapped,Large,20000,http://blocgame.com/stats.php?id=55614,
Upper Laos,BroskiMcBroham,S.T.A.L.K.E.R.,150,20,Vietnam War surplus,6,Elite,4,4784,0,Indochina,0,Untapped,Very Powerful,29640,http://blocgame.com/stats.php?id=55575,
Gīlān,Kuchik Gul,Kekolutionaries,70,0,Second World War surplus,0,Elite,3,4859,3405,Persia,0,Plentiful,None,1435,http://blocgame.com/stats.php?id=54430,
The Khyber Pass,Jasmarud,S.T.A.L.K.E.R.,36,3,Korean War surplus,2,Elite,5,4767,0,Arabia,0,Plentiful,Very Powerful,22735,http://blocgame.com/stats.php?id=57021,
Dragon Stone,Mannis,Inter/pol/,131,22,Almost Modern,5,Good,10,4664,17,The Subcontinent,0,Untapped,Very Powerful,26400,http://blocgame.com/stats.php?id=54852,
Tr�pico,rumsod,Che Guevara League,5,1,Korean War surplus,3,Good,0,4762,280,Caribbean,0,0,Somewhat Large,8483,http://blocgame.com/stats.php?id=1,
Reality,fujisyugi,BAMF,194,13,Almost Modern,7,Standard,0,4651,0,Southern Africa,0,Untapped,Very Powerful,62780,http://blocgame.com/stats.php?id=53029,
Saminis,Marcus Slate,IDA,110,10,Second World War surplus,4,Elite,14,4686,121,Southern Cone,0,Untapped,Very Powerful,38761,http://blocgame.com/stats.php?id=54520,
valagentino,Benhard,Cult of the DEADFISH,70,4,Korean War surplus,4,Elite,37,4660,72,Gran Colombia,0,Plentiful,Large,39097,http://blocgame.com/stats.php?id=58211,
Tuchankaa,Toquisador,The High Council,1,12,Vietnam War surplus,3,Good,15,4812,0,China,0,Untapped,None,15583,http://blocgame.com/stats.php?id=47573,
New Akbaristan,Kalish Al-Quadaffi,Inter/pol/,178,14,Almost Modern,6,Elite,2,4521,9663,Egypt,0,Untapped,Very Powerful,47478,http://blocgame.com/stats.php?id=56420,
No Kebab,Tihomir,Inter/pol/,374,58,Advanced,23,Good,7,4494,4598,Mesopotamia,0,Untapped,Very Powerful,165813,http://blocgame.com/stats.php?id=53759,
Wielkopl,taikuh,The Cartel,259,18,Persian Gulf War surplus,14,Good,14,4584,0,Pacific Rim,4,Untapped,Very Powerful,92200,http://blocgame.com/stats.php?id=42376,
