country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,uranium,oil_reserves,reactor
Chicken&Chips,Dave Miles,,25k active personnel,0 ships,First World War surplus,None,Elite,online now,rankings.php?subregion=chi,,$388 million,,China,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=chi,23043 km 2,http://blocgame.com/stats.php?id=60847,,,
umalien,lukas9834,,4k active personnel,0 ships,Finest of the 19th century,None,Undisciplined Rabble,last online 151 hours ago,rankings.php?subregion=ara,,$387 million,,Arabia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ara,12995 km 2,http://blocgame.com/stats.php?id=60011,,,
PIGLORDONIA,PIG GOD,http://blocgame.com/alliancestats.php?allianceid=1917,20k active personnel,0 ships,First World War surplus,None,Standard,last online 69 hours ago,rankings.php?subregion=mes,VELIKI CRNI KURAC,$387 million,alliancestats.php?allianceid=1917,Mesopotamia,Untapped,None,http://blocgame.com/rankings.php?subregion=mes,20000 km 2,http://blocgame.com/stats.php?id=60768,,,
BUDU,AbeJib,,20k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 150 hours ago,rankings.php?subregion=ind,,$386 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60503,,,
chenor,jana,,20k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 149 hours ago,rankings.php?subregion=ind,,$386 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60524,,,
Redneck,Bangsawan,http://blocgame.com/alliancestats.php?allianceid=1899,20k active personnel,0 ships,First World War surplus,1 factory,Poor,last online 5 hours ago,rankings.php?subregion=ind,ASEANG,$385 million,alliancestats.php?allianceid=1899,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60617,,307 Mbbl,
Guatemala.,grazioso,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 121 hours ago,rankings.php?subregion=mex,,$385 million,,Mesoamerica,Untapped,None,http://blocgame.com/rankings.php?subregion=mex,20000 km 2,http://blocgame.com/stats.php?id=60701,,,
Buchepalia,ubiqa,http://blocgame.com/alliancestats.php?allianceid=1899,20k active personnel,0 ships,First World War surplus,1 factory,Good,last online 1 hours ago,rankings.php?subregion=sub,ASEANG,$385 million,alliancestats.php?allianceid=1899,The Subcontinent,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=sub,20000 km 2,http://blocgame.com/stats.php?id=60734,,536 Mbbl,
sseolmae,Eidolon,,72k active personnel,0 ships,First World War surplus,1 factory,Poor,last online 18 hours ago,rankings.php?subregion=chi,,$384 million,,China,Untapped,Small,http://blocgame.com/rankings.php?subregion=chi,20000 km 2,http://blocgame.com/stats.php?id=60135,,53 Mbbl,
Hafizi,zulrosdi,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 150 hours ago,rankings.php?subregion=sea,,$384 million,,Indochina,Untapped,None,http://blocgame.com/rankings.php?subregion=sea,20000 km 2,http://blocgame.com/stats.php?id=60518,,,
Gombak,ArericH,http://blocgame.com/alliancestats.php?allianceid=1899,25k active personnel,0 ships,First World War surplus,None,Elite,last online 5 hours ago,rankings.php?subregion=pac,ASEANG,$384 million,alliancestats.php?allianceid=1899,Pacific Rim,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=60568,,,
MakanBudak,amirulfaizal,,18k active personnel,0 ships,Finest of the 19th century,None,Elite,last online 5 hours ago,rankings.php?subregion=ind,,$383 million,,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,20200 km 2,http://blocgame.com/stats.php?id=60748,,321 Mbbl,
Serennia,hanamichi,,20k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 138 hours ago,rankings.php?subregion=pac,,$382 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=60608,,,
Semut Merah,zulfahmee,,23k active personnel,0 ships,First World War surplus,None,Elite,last online 133 hours ago,rankings.php?subregion=ind,,$382 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60654,,,
Malaya Grampus,akifzainal,http://blocgame.com/alliancestats.php?allianceid=1899,20k active personnel,0 ships,First World War surplus,None,Standard,last online 4 hours ago,rankings.php?subregion=ind,ASEANG,$381 million,alliancestats.php?allianceid=1899,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60469,,199 Mbbl,
PARASIT,azman kerbau,,20k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 136 hours ago,rankings.php?subregion=ind,,$381 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60633,,,
Zakros,Rhea,,7k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 70 hours ago,rankings.php?subregion=atl,,$379 million,,Atlas,Untapped,None,http://blocgame.com/rankings.php?subregion=atl,16500 km 2,http://blocgame.com/stats.php?id=50513,,,
Bote,Apoyard,http://blocgame.com/alliancestats.php?allianceid=1899,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 126 hours ago,rankings.php?subregion=ind,ASEANG,$379 million,alliancestats.php?allianceid=1899,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60596,,,
Schwarze,HXIII_AEGIS,,25k active personnel,0 ships,First World War surplus,None,Elite,last online 149 hours ago,rankings.php?subregion=pac,,$378 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=60536,,,
Samos,Hyperion,,2k active personnel,0 ships,Finest of the 19th century,None,Undisciplined Rabble,last online 70 hours ago,rankings.php?subregion=egy,,$377 million,,Egypt,Untapped,None,http://blocgame.com/rankings.php?subregion=egy,16335 km 2,http://blocgame.com/stats.php?id=50509,,,
Malasier,Pendekar2810,,27k active personnel,0 ships,First World War surplus,None,Elite,last online 85 hours ago,rankings.php?subregion=ind,,$376 million,,East Indies,Untapped,Small,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60378,,,
melayu2.0,afiq123,,20k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 158 hours ago,rankings.php?subregion=pac,,$376 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=60421,,,
Proton,clownkilla1981,http://blocgame.com/alliancestats.php?allianceid=1899,22k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 129 hours ago,rankings.php?subregion=ind,ASEANG,$375 million,alliancestats.php?allianceid=1899,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60489,,,
Al-Ketum,Muzz,http://blocgame.com/alliancestats.php?allianceid=1899,10k active personnel,0 ships,First World War surplus,None,Good,last online 5 hours ago,rankings.php?subregion=ind,ASEANG,$375 million,alliancestats.php?allianceid=1899,East Indies,Untapped,Small,http://blocgame.com/rankings.php?subregion=ind,14288 km 2,http://blocgame.com/stats.php?id=60551,,141 Mbbl,
RawMaterials,CBebbs01,,2k active personnel,0 ships,Finest of the 19th century,None,Good,online now,rankings.php?subregion=pac,,$375 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=60723,,,
Alohaha,Jakeirt,,6k active personnel,0 ships,First World War surplus,1 factory,Undisciplined Rabble,last online 2 hours ago,rankings.php?subregion=congo,,$373 million,,Congo,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=congo,16500 km 2,http://blocgame.com/stats.php?id=57669,,500 Mbbl,
Halab,Maalik,http://blocgame.com/alliancestats.php?allianceid=1568,30k active personnel,0 ships,First World War surplus,1 factory,Standard,last online 1 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,$372 million,alliancestats.php?allianceid=1568,Mesopotamia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=mes,19998 km 2,http://blocgame.com/stats.php?id=56839,,7349 Mbbl,
ToGlory,Bagelbeater,,4k active personnel,0 ships,First World War surplus,None,Elite,last online 1 hours ago,rankings.php?subregion=pac,,$372 million,,Pacific Rim,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=pac,19660 km 2,http://blocgame.com/stats.php?id=60404,,,
Johore,Izuddin,,20k active personnel,0 ships,First World War surplus,None,Good,last online 58 hours ago,rankings.php?subregion=sea,,$372 million,,Indochina,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=sea,20000 km 2,http://blocgame.com/stats.php?id=60455,,215 Mbbl,
Neelofa,haidy83,,9k active personnel,0 ships,Finest of the 19th century,1 factory,Poor,last online 56 hours ago,rankings.php?subregion=chi,,$372 million,,China,Untapped,None,http://blocgame.com/rankings.php?subregion=chi,16500 km 2,http://blocgame.com/stats.php?id=60619,,,
Daun Pisang,Shahidan,,24k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 2 hours ago,rankings.php?subregion=ind,,$370 million,,East Indies,Untapped,Small,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60607,,,
daikana,dawn jones,,25k active personnel,0 ships,First World War surplus,None,Elite,last online 55 hours ago,rankings.php?subregion=chi,,$369 million,,China,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=chi,20000 km 2,http://blocgame.com/stats.php?id=60424,,,
Mogudishu,Hussain Mohammed Dahir,,7k active personnel,0 ships,Finest of the 19th century,None,Good,last online 38 hours ago,rankings.php?subregion=eaf,,$369 million,,East Africa,,Small,http://blocgame.com/rankings.php?subregion=eaf,17324 km 2,http://blocgame.com/stats.php?id=60493,,875 Mbbl,
Ka100,iSW007,,7k active personnel,0 ships,First World War surplus,None,Poor,last online 34 hours ago,rankings.php?subregion=gra,,$369 million,,Gran Colombia,Untapped,None,http://blocgame.com/rankings.php?subregion=gra,16335 km 2,http://blocgame.com/stats.php?id=60694,,379 Mbbl,
Ganu,General Khalid,,25k active personnel,0 ships,First World War surplus,None,Elite,last online 4 hours ago,rankings.php?subregion=ind,,$369 million,,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60713,,,
pengkalan chepa,sultan pali,,20k active personnel,0 ships,First World War surplus,None,Undisciplined Rabble,last online 1 hours ago,rankings.php?subregion=ind,,$369 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60742,,,
Kerian,ayie,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 113 hours ago,rankings.php?subregion=ind,,$368 million,,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60672,,,
roccos,rocco,,20k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 129 hours ago,rankings.php?subregion=chi,,$368 million,,China,Untapped,None,http://blocgame.com/rankings.php?subregion=chi,20000 km 2,http://blocgame.com/stats.php?id=60673,,,
Pasir Dua Butir,Rocky Malaya,http://blocgame.com/alliancestats.php?allianceid=1899,10k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 4 hours ago,rankings.php?subregion=ind,ASEANG,$368 million,alliancestats.php?allianceid=1899,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,19700 km 2,http://blocgame.com/stats.php?id=60687,,36 Mbbl,
Unasure,Aldebaran,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 123 hours ago,rankings.php?subregion=con,,$368 million,,Southern Cone,Untapped,None,http://blocgame.com/rankings.php?subregion=con,20000 km 2,http://blocgame.com/stats.php?id=60702,,,
Kumpa,roaraxes,,20k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 12 hours ago,rankings.php?subregion=sea,,$368 million,,Indochina,Untapped,None,http://blocgame.com/rankings.php?subregion=sea,20000 km 2,http://blocgame.com/stats.php?id=60792,,,
Jambongan,Jambongan,,20k active personnel,0 ships,First World War surplus,1 factory,Good,last online 5 hours ago,rankings.php?subregion=ind,,$368 million,,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60807,,350 Mbbl,
Malayantribes,Fir1999,http://blocgame.com/alliancestats.php?allianceid=1899,23k active personnel,0 ships,Finest of the 19th century,1 factory,Standard,last online 4 hours ago,rankings.php?subregion=ind,ASEANG,$367 million,alliancestats.php?allianceid=1899,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,20398 km 2,http://blocgame.com/stats.php?id=60721,,257 Mbbl,
Teganu,awangTranung,,20k active personnel,0 ships,Finest of the 19th century,1 factory,Poor,last online 4 hours ago,rankings.php?subregion=ind,,$366 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60668,,,
PasirDuaButir,Col. von Strauffenberg,,9k active personnel,0 ships,Finest of the 19th century,1 factory,Standard,last online 12 hours ago,rankings.php?subregion=ind,,$366 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,19800 km 2,http://blocgame.com/stats.php?id=60754,,,
KakMahPower,tuan tanah kedaun,,22k active personnel,0 ships,First World War surplus,None,Poor,last online 5 hours ago,rankings.php?subregion=sea,,$364 million,,Indochina,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=sea,20000 km 2,http://blocgame.com/stats.php?id=60656,,76 Mbbl,
Kilohotel,Kilohotel,,7k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 126 hours ago,rankings.php?subregion=ind,,$364 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,16172 km 2,http://blocgame.com/stats.php?id=60689,,,
Novi Sad,Serbian Gamer,,25k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 14 hours ago,rankings.php?subregion=egy,,$364 million,,Egypt,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=egy,20000 km 2,http://blocgame.com/stats.php?id=60752,,,
ADAMLAND,adamharez,http://blocgame.com/alliancestats.php?allianceid=1908,30k active personnel,0 ships,First World War surplus,1 factory,Good,last online 2 hours ago,rankings.php?subregion=ara,kawan kawan,$364 million,alliancestats.php?allianceid=1908,Arabia,Untapped,Small,http://blocgame.com/rankings.php?subregion=ara,20000 km 2,http://blocgame.com/stats.php?id=60764,,2760 Mbbl,
Brown Coats,KillJoy,,20k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 119 hours ago,rankings.php?subregion=sea,,$363 million,,Indochina,Untapped,None,http://blocgame.com/rankings.php?subregion=sea,20000 km 2,http://blocgame.com/stats.php?id=60710,,,
ballingrad,defran,http://blocgame.com/alliancestats.php?allianceid=1919,19k active personnel,0 ships,Finest of the 19th century,1 factory,Poor,online now,rankings.php?subregion=chi,Nazism,$363 million,alliancestats.php?allianceid=1919,China,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=chi,23346 km 2,http://blocgame.com/stats.php?id=60779,,576 Mbbl,
Mlysia,iwan2792,,22k active personnel,0 ships,First World War surplus,None,Poor,last online 127 hours ago,rankings.php?subregion=ind,,$360 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60549,,332 Mbbl,
MYland,M U H D ASYRAF,http://blocgame.com/alliancestats.php?allianceid=1899,25k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 5 hours ago,rankings.php?subregion=ind,ASEANG,$360 million,alliancestats.php?allianceid=1899,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60582,,391 Mbbl,
CrushZion,mohdjarbinx,,20k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 136 hours ago,rankings.php?subregion=ind,,$360 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60632,,,
sars,karjasohk,http://blocgame.com/alliancestats.php?allianceid=1401,67k active personnel,1 ships,Second World War surplus,4 factories,Good,last online 6 hours ago,rankings.php?subregion=egy,The Federal Colonies,$359 million,alliancestats.php?allianceid=1401,Egypt,Plentiful,Large,http://blocgame.com/rankings.php?subregion=egy,27328 km 2,http://blocgame.com/stats.php?id=60258,,,
oy vey,dogemaster,,2k active personnel,0 ships,Finest of the 19th century,None,Undisciplined Rabble,last online 92 hours ago,rankings.php?subregion=chi,,$359 million,,China,Untapped,None,http://blocgame.com/rankings.php?subregion=chi,19400 km 2,http://blocgame.com/stats.php?id=60315,,,
