country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_reserves,uranium,reactor
The,metalmallowz,http://blocgame.com/alliancestats.php?allianceid=1382,373k active personnel,35 ships,Persian Gulf War surplus,Gandhi-like,14 factories,Elite,last online 2 hours ago,rankings.php?subregion=per,Non-Aligned Movement,$6322 million,alliancestats.php?allianceid=1382,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,106018 km 2,http://blocgame.com/stats.php?id=58004,,,
Sepidajistan,Shah Squid,http://blocgame.com/alliancestats.php?allianceid=1382,119k active personnel,10 ships,Korean War surplus,Angelic,5 factories,Elite,last online 24 hours ago,rankings.php?subregion=atl,Non-Aligned Movement,$5731 million,alliancestats.php?allianceid=1382,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,16822 km 2,http://blocgame.com/stats.php?id=59462,,,
Yummy Foods,iiruka,http://blocgame.com/alliancestats.php?allianceid=1382,389k active personnel,51 ships,Advanced,Gandhi-like,18 factories,Elite,last online 5 hours ago,rankings.php?subregion=pac,Non-Aligned Movement,$5300 million,alliancestats.php?allianceid=1382,Pacific Rim,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,123626 km 2,http://blocgame.com/stats.php?id=54376,,,
One Star,Neku,http://blocgame.com/alliancestats.php?allianceid=1595,138k active personnel,10 ships,Vietnam War surplus,Gandhi-like,6 factories,Elite,last online 6 hours ago,rankings.php?subregion=per,The High Council,$5475 million,alliancestats.php?allianceid=1595,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,39160 km 2,http://blocgame.com/stats.php?id=57783,,,
switzerdouch,yaboimtndew,http://blocgame.com/alliancestats.php?allianceid=1595,40k active personnel,0 ships,Second World War surplus,Nice,3 factories,Elite,last online 8 hours ago,rankings.php?subregion=mex,The High Council,$5399 million,alliancestats.php?allianceid=1595,Mesoamerica,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=mex,17075 km 2,http://blocgame.com/stats.php?id=58997,45 Mbbl,,
Viktoria,gracious leader skylar,http://blocgame.com/alliancestats.php?allianceid=1393,111k active personnel,5 ships,Vietnam War surplus,Gandhi-like,9 factories,Elite,last online 9 hours ago,rankings.php?subregion=pac,BAMF,$5494 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,43728 km 2,http://blocgame.com/stats.php?id=40188,,,
Islas Filipinas,Narciso Claveria y Zaldua,http://blocgame.com/alliancestats.php?allianceid=1576,6k active personnel,0 ships,Vietnam War surplus,Good,2 factories,Good,last online 103 hours ago,rankings.php?subregion=ind,The Last Phoenix,$4416 million,alliancestats.php?allianceid=1576,East Indies,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=ind,7355 km 2,http://blocgame.com/stats.php?id=48601,,,
M�rg,albertps,http://blocgame.com/alliancestats.php?allianceid=1595,223k active personnel,11 ships,Almost Modern,Nice,11 factories,Good,last online 3 hours ago,rankings.php?subregion=ind,The High Council,$5163 million,alliancestats.php?allianceid=1595,East Indies,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,67186 km 2,http://blocgame.com/stats.php?id=58356,,,
Reikland,Karl-Franz I,http://blocgame.com/alliancestats.php?allianceid=1595,82k active personnel,15 ships,Vietnam War surplus,Gandhi-like,2 factories,Good,last online 9 hours ago,rankings.php?subregion=per,The High Council,$5472 million,alliancestats.php?allianceid=1595,Persia,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=per,16172 km 2,http://blocgame.com/stats.php?id=58781,6619 Mbbl,,
Gillen,Gillen,http://blocgame.com/alliancestats.php?allianceid=1580,140k active personnel,0 ships,Second World War surplus,Gandhi-like,5 factories,Good,last online 59 hours ago,rankings.php?subregion=ara,Brotherhood of Nod,$5196 million,alliancestats.php?allianceid=1580,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,17027 km 2,http://blocgame.com/stats.php?id=54335,,,
Ketroyla,Erolvant,http://blocgame.com/alliancestats.php?allianceid=1580,99k active personnel,9 ships,Vietnam War surplus,Gandhi-like,3 factories,Standard,last online 3 hours ago,rankings.php?subregion=sea,Brotherhood of Nod,$5162 million,alliancestats.php?allianceid=1580,Indochina,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,15692 km 2,http://blocgame.com/stats.php?id=55951,,,
New-Zimbabwe,Robert Cupabe,http://blocgame.com/alliancestats.php?allianceid=1393,113k active personnel,0 ships,Korean War surplus,Gandhi-like,5 factories,Good,last online 231 hours ago,rankings.php?subregion=eaf,BAMF,$5176 million,alliancestats.php?allianceid=1393,East Africa,Untapped,Large,http://blocgame.com/rankings.php?subregion=eaf,38712 km 2,http://blocgame.com/stats.php?id=60059,1195 Mbbl,,
Camcost,hunthalo,http://blocgame.com/alliancestats.php?allianceid=1580,143k active personnel,10 ships,Korean War surplus,Gandhi-like,5 factories,Good,online now,rankings.php?subregion=egy,Brotherhood of Nod,$5288 million,alliancestats.php?allianceid=1580,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,31087 km 2,http://blocgame.com/stats.php?id=56890,3321 Mbbl,,
Cena Nation WWE,John Cena of WWE,http://blocgame.com/alliancestats.php?allianceid=1644,179k active personnel,20 ships,Almost Modern,Gandhi-like,7 factories,Good,last online 40 hours ago,rankings.php?subregion=egy,Inter/pol/,$5214 million,alliancestats.php?allianceid=1644,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,39085 km 2,http://blocgame.com/stats.php?id=55959,,,
woosha,blaatje,http://blocgame.com/alliancestats.php?allianceid=1644,431k active personnel,51 ships,Advanced,Gandhi-like,14 factories,Good,last online 2 hours ago,rankings.php?subregion=egy,Inter/pol/,$5085 million,alliancestats.php?allianceid=1644,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,83222 km 2,http://blocgame.com/stats.php?id=58158,,,
Romanovia,Dmitry Romanov,http://blocgame.com/alliancestats.php?allianceid=1393,105k active personnel,13 ships,Korean War surplus,Nice,3 factories,Good,online now,rankings.php?subregion=mes,BAMF,$5205 million,alliancestats.php?allianceid=1393,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,28219 km 2,http://blocgame.com/stats.php?id=59571,1535 Mbbl,,
Argos,Arkadios,http://blocgame.com/alliancestats.php?allianceid=1382,15k active personnel,7 ships,Almost Modern,Questionable,3 factories,Undisciplined Rabble,last online 159 hours ago,rankings.php?subregion=chi,Non-Aligned Movement,$5020 million,alliancestats.php?allianceid=1382,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,54311 km 2,http://blocgame.com/stats.php?id=43443,,,
Iskut,ASV1,http://blocgame.com/alliancestats.php?allianceid=1393,65k active personnel,1 ships,Vietnam War surplus,Gandhi-like,3 factories,Standard,last online 71 hours ago,rankings.php?subregion=con,BAMF,$5217 million,alliancestats.php?allianceid=1393,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,32130 km 2,http://blocgame.com/stats.php?id=58457,,,
Amazonian Union,Hugo Chavez,http://blocgame.com/alliancestats.php?allianceid=1568,37k active personnel,8 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 35 hours ago,rankings.php?subregion=ama,Brotherhood of Zion,$5336 million,alliancestats.php?allianceid=1568,Amazonia,Untapped,Large,http://blocgame.com/rankings.php?subregion=ama,17040 km 2,http://blocgame.com/stats.php?id=59377,,,
Al Kebab,John Zoidberg,http://blocgame.com/alliancestats.php?allianceid=1393,107k active personnel,10 ships,Korean War surplus,Gandhi-like,5 factories,Elite,last online 11 hours ago,rankings.php?subregion=mes,BAMF,$5216 million,alliancestats.php?allianceid=1393,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,35750 km 2,http://blocgame.com/stats.php?id=59392,,,
kabdy,NitroBAY,http://blocgame.com/alliancestats.php?allianceid=1595,255k active personnel,25 ships,Almost Modern,Gandhi-like,9 factories,Undisciplined Rabble,last online 14 hours ago,rankings.php?subregion=ama,The High Council,$5019 million,alliancestats.php?allianceid=1595,Amazonia,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=ama,37856 km 2,http://blocgame.com/stats.php?id=58731,,,
