country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,rm_prod,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_prod,oil_reserves,uranium,reactor
Kelvenia,Lance Adams,,10k active personnel,0 ships,First World War surplus,Questionable,1 factory,Good,last online 4 hours ago,rankings.php?subregion=ama,,10 Hundred Tons per month,$1335 million,,Amazonia,,None,http://blocgame.com/rankings.php?subregion=ama,7340 km 2,http://blocgame.com/stats.php?id=61410,5 Mbbl per month,,,
SandNiggers,bear31899,,6k active personnel,0 ships,First World War surplus,Gandhi-like,None,Undisciplined Rabble,last online 119 hours ago,rankings.php?subregion=ara,,4 Hundred Tons per month,$1669 million,,Arabia,,Large,http://blocgame.com/rankings.php?subregion=ara,6973 km 2,http://blocgame.com/stats.php?id=55783,2 Mbbl per month,1814 Mbbl,,
Kyranistan,Michael Hussain,http://blocgame.com/alliancestats.php?allianceid=1952,41k active personnel,0 ships,First World War surplus,Questionable,2 factories,Elite,last online 4 hours ago,rankings.php?subregion=mes,The Eastern Sea,10 Hundred Tons per month,$1960 million,alliancestats.php?allianceid=1952,Mesopotamia,Near Depletion,Small,http://blocgame.com/rankings.php?subregion=mes,26597 km 2,http://blocgame.com/stats.php?id=61263,10 Mbbl per month,,,
Gohan wa Okazu,Yui Hirasawa,http://blocgame.com/alliancestats.php?allianceid=1966,72k active personnel,0 ships,First World War surplus,Axis of Evil,2 factories,Elite,last online 4 hours ago,rankings.php?subregion=saf,Lithuanian Coalition,17 Hundred Tons per month,$1667 million,alliancestats.php?allianceid=1966,Southern Africa,,Meagre,http://blocgame.com/rankings.php?subregion=saf,31413 km 2,http://blocgame.com/stats.php?id=61638,15 Mbbl per month,420 Mbbl,,
Kommandostan,plerer,http://blocgame.com/alliancestats.php?allianceid=1568,9k active personnel,0 ships,Finest of the 19th century,Gandhi-like,2 factories,Standard,last online 176 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,4 Hundred Tons per month,$1679 million,alliancestats.php?allianceid=1568,Mesopotamia,Untapped,None,http://blocgame.com/rankings.php?subregion=mes,16830 km 2,http://blocgame.com/stats.php?id=61002,2 Mbbl per month,,,
Kilohotel,Kilohotel,http://blocgame.com/alliancestats.php?allianceid=1899,24k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 67 hours ago,rankings.php?subregion=ind,Aseang MMP,6 Hundred Tons per month,$1674 million,alliancestats.php?allianceid=1899,East Indies,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=ind,16172 km 2,http://blocgame.com/stats.php?id=60689,3 Mbbl per month,,,
Karachan,MikhailBialkov,,28k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 54 hours ago,rankings.php?subregion=chi,,7 Hundred Tons per month,$1661 million,,China,Untapped,Small,http://blocgame.com/rankings.php?subregion=chi,20000 km 2,http://blocgame.com/stats.php?id=61585,9 Mbbl per month,175 Mbbl,,
lobai,tokarab91,http://blocgame.com/alliancestats.php?allianceid=1899,2k active personnel,4 ships,Second World War surplus,Normal,2 factories,Elite,last online 21 hours ago,rankings.php?subregion=ind,Aseang MMP,14 Hundred Tons per month,$1542 million,alliancestats.php?allianceid=1899,East Indies,Untapped,Somewhat Large,http://blocgame.com/rankings.php?subregion=ind,11009 km 2,http://blocgame.com/stats.php?id=60481,11 Mbbl per month,,,
Butt Munch Land,Butt Munch,,5k active personnel,0 ships,Second World War surplus,Good,1 factory,Elite,last online 53 hours ago,rankings.php?subregion=mex,,6 Hundred Tons per month,$1531 million,,Mesoamerica,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,5643 km 2,http://blocgame.com/stats.php?id=58540,7 Mbbl per month,,,
Reega Radia,Solanderman the Great,http://blocgame.com/alliancestats.php?allianceid=1644,17k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Good,last online 77 hours ago,rankings.php?subregion=mes,Inter/pol/,7 Hundred Tons per month,$1650 million,alliancestats.php?allianceid=1644,Mesopotamia,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=mes,19927 km 2,http://blocgame.com/stats.php?id=59610,3 Mbbl per month,3535 Mbbl,,
Jeves,Jeves,,8k active personnel,3 ships,Korean War surplus,Normal,3 factories,Poor,last online 41 hours ago,rankings.php?subregion=gui,,7 Hundred Tons per month,$1525 million,,Guinea,Untapped,None,http://blocgame.com/rankings.php?subregion=gui,8838 km 2,http://blocgame.com/stats.php?id=57392,8 Mbbl per month,236 Mbbl,,
