country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,uranium,oil_reserves,reactor
Jerai,muadz.zulkar9,http://blocgame.com/alliancestats.php?allianceid=1899,18k active personnel,0 ships,Finest of the 19th century,1 factory,Standard,last online 1 hours ago,rankings.php?subregion=ind,ASEANG,$361 million,alliancestats.php?allianceid=1899,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,20990 km 2,http://blocgame.com/stats.php?id=60621,,334 Mbbl,
Entah,remtap,http://blocgame.com/alliancestats.php?allianceid=1899,18k active personnel,0 ships,Finest of the 19th century,1 factory,Standard,last online 1 hours ago,rankings.php?subregion=ind,ASEANG,$372 million,alliancestats.php?allianceid=1899,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60530,,352 Mbbl,
TerapBuduLipis,SyedRazi,,23k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 5 hours ago,rankings.php?subregion=ind,,$362 million,,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,20594 km 2,http://blocgame.com/stats.php?id=60513,,,
Snizlandia,sniz420,,22k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 146 hours ago,rankings.php?subregion=ara,,$356 million,,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,20000 km 2,http://blocgame.com/stats.php?id=60335,,,
Tanah Malaya,Syahmi1089,http://blocgame.com/alliancestats.php?allianceid=1899,5k active personnel,0 ships,First World War surplus,1 factory,Undisciplined Rabble,online now,rankings.php?subregion=ind,ASEANG,$427 million,alliancestats.php?allianceid=1899,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,23828 km 2,http://blocgame.com/stats.php?id=60385,,478 Mbbl,
Malaya Empire,EmperorAiman,http://blocgame.com/alliancestats.php?allianceid=1899,25k active personnel,0 ships,First World War surplus,None,Elite,last online 1 hours ago,rankings.php?subregion=ind,ASEANG,$356 million,alliancestats.php?allianceid=1899,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60499,,190 Mbbl,
Mortar Head,Caffan,http://blocgame.com/alliancestats.php?allianceid=1899,25k active personnel,0 ships,First World War surplus,None,Elite,last online 3 hours ago,rankings.php?subregion=pac,ASEANG,$366 million,alliancestats.php?allianceid=1899,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=60583,,182 Mbbl,
Fuck-that-istan,DreadCommander,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 107 hours ago,rankings.php?subregion=pac,,$355 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=60397,,,
Fuck-that-istan,DreadCommander,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 107 hours ago,rankings.php?subregion=pac,,$355 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=60397,,,
Ellarias,Cillia,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 102 hours ago,rankings.php?subregion=ind,,$355 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60406,,,
selangorian,safuan.aziz,,20k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 1 hours ago,rankings.php?subregion=ind,,$357 million,,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60559,,,
Pasir Dua Butir,Rocky Malaya,http://blocgame.com/alliancestats.php?allianceid=1899,16k active personnel,0 ships,First World War surplus,1 factory,Elite,online now,rankings.php?subregion=ind,ASEANG,$358 million,alliancestats.php?allianceid=1899,East Indies,Plentiful,Meagre,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60687,,54 Mbbl,
Lahanation,Sahanation,http://blocgame.com/alliancestats.php?allianceid=1899,20k active personnel,0 ships,First World War surplus,None,Standard,last online 12 hours ago,rankings.php?subregion=ind,ASEANG,$354 million,alliancestats.php?allianceid=1899,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60391,,,
Seafield,Canon,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 87 hours ago,rankings.php?subregion=ind,,$354 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60494,,,
Pepperdogia,Pepperdogia,,1k active personnel,0 ships,First World War surplus,1 factory,Undisciplined Rabble,last online 29 hours ago,rankings.php?subregion=chi,,$329 million,,China,Untapped,None,http://blocgame.com/rankings.php?subregion=chi,19100 km 2,http://blocgame.com/stats.php?id=60312,,,
Damsyik,Moksa,,22k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 89 hours ago,rankings.php?subregion=egy,,$351 million,,Egypt,Untapped,None,http://blocgame.com/rankings.php?subregion=egy,20000 km 2,http://blocgame.com/stats.php?id=60437,,,
Melawati,muhammad_2704,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 74 hours ago,rankings.php?subregion=ind,,$353 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60461,,,
Schwarze,HXIII_AEGIS,,25k active personnel,0 ships,First World War surplus,None,Elite,last online 86 hours ago,rankings.php?subregion=pac,,$348 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=60536,,,
kaptencheras,kaptencheras,,20k active personnel,0 ships,First World War surplus,1 factory,Standard,last online 16 hours ago,rankings.php?subregion=ind,,$364 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60571,,486 Mbbl,
Enzai,Enzai,,3k active personnel,0 ships,Finest of the 19th century,None,Undisciplined Rabble,last online 39 hours ago,rankings.php?subregion=car,,$331 million,,Caribbean,,None,http://blocgame.com/rankings.php?subregion=car,16335 km 2,http://blocgame.com/stats.php?id=59873,,,
