country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_reserves,uranium
Biji Kurdistan,Myron2point0,http://blocgame.com/alliancestats.php?allianceid=1580,232k active personnel,25 ships,Persian Gulf War surplus,10 factories,Elite,last online 38 hours ago,rankings.php?subregion=mes,Brotherhood of Nod,$12870 million,alliancestats.php?allianceid=1580,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,63422 km 2,http://blocgame.com/stats.php?id=52906,,
Gandoria,zoneguy22,http://blocgame.com/alliancestats.php?allianceid=1568,178k active personnel,31 ships,Persian Gulf War surplus,5 factories,Elite,last online 30 hours ago,rankings.php?subregion=gra,Brotherhood of Zion,$12820 million,alliancestats.php?allianceid=1568,Gran Colombia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=gra,19833 km 2,http://blocgame.com/stats.php?id=50771,359 Mbbl,
Skeenation,David Tomanka,http://blocgame.com/alliancestats.php?allianceid=1393,127k active personnel,41 ships,Almost Modern,5 factories,Elite,last online 24 hours ago,rankings.php?subregion=con,BAMF,$12815 million,alliancestats.php?allianceid=1393,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,43180 km 2,http://blocgame.com/stats.php?id=40443,,
Rhod3sia,FreeMindInside,http://blocgame.com/alliancestats.php?allianceid=1568,274k active personnel,31 ships,Almost Modern,8 factories,Good,last online 9 hours ago,rankings.php?subregion=saf,Brotherhood of Zion,$12752 million,alliancestats.php?allianceid=1568,Southern Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,50846 km 2,http://blocgame.com/stats.php?id=52679,,
Slavostan,Joe Tito-Hoxha,http://blocgame.com/alliancestats.php?allianceid=1595,190k active personnel,11 ships,Almost Modern,7 factories,Elite,last online 4 hours ago,rankings.php?subregion=sea,The High Council,$12707 million,alliancestats.php?allianceid=1595,Indochina,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,25996 km 2,http://blocgame.com/stats.php?id=48188,6 Mbbl,
Almania,Almanich,http://blocgame.com/alliancestats.php?allianceid=1580,313k active personnel,35 ships,Almost Modern,14 factories,Good,last online 3 hours ago,rankings.php?subregion=chi,Brotherhood of Nod,$12649 million,alliancestats.php?allianceid=1580,China,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,37527 km 2,http://blocgame.com/stats.php?id=51725,,
Kersumsos,Kersumsos,http://blocgame.com/alliancestats.php?allianceid=1393,207k active personnel,52 ships,Almost Modern,16 factories,Good,last online 2 hours ago,rankings.php?subregion=chi,BAMF,$11868 million,alliancestats.php?allianceid=1393,China,Depleted,Powerful,http://blocgame.com/rankings.php?subregion=chi,92296 km 2,http://blocgame.com/stats.php?id=46317,,
See Aye Eh,BillWilson,http://blocgame.com/alliancestats.php?allianceid=1599,256k active personnel,31 ships,Advanced,12 factories,Standard,last online 7 hours ago,rankings.php?subregion=ara,Wreckage brothers,$12478 million,alliancestats.php?allianceid=1599,Arabia,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,40091 km 2,http://blocgame.com/stats.php?id=52844,,
Ceti Alpha V,J. Dax,http://blocgame.com/alliancestats.php?allianceid=1595,171k active personnel,35 ships,Persian Gulf War surplus,7 factories,Elite,last online 6 hours ago,rankings.php?subregion=car,The High Council,$12419 million,alliancestats.php?allianceid=1595,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,29426 km 2,http://blocgame.com/stats.php?id=51185,,
South Park,cartman,http://blocgame.com/alliancestats.php?allianceid=1393,226k active personnel,42 ships,Persian Gulf War surplus,9 factories,Elite,last online 5 hours ago,rankings.php?subregion=car,BAMF,$12411 million,alliancestats.php?allianceid=1393,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,51110 km 2,http://blocgame.com/stats.php?id=228,,
