country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,uranium,oil_reserves,reactor
Hashashin,moffe,http://blocgame.com/alliancestats.php?allianceid=1644,376k active personnel,55 ships,Advanced,Gandhi-like,15 factories,Good,last online 4 hours ago,rankings.php?subregion=per,Inter/pol/,$18762 million,alliancestats.php?allianceid=1644,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,87765 km 2,http://blocgame.com/stats.php?id=54220,,2663 Mbbl,
Arsinoe,Sobek,http://blocgame.com/alliancestats.php?allianceid=1568,917k active personnel,76 ships,Advanced,Angelic,26 factories,Elite,last online 21 hours ago,rankings.php?subregion=egy,Brotherhood of Zion,$18532 million,alliancestats.php?allianceid=1568,Egypt,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,96687 km 2,http://blocgame.com/stats.php?id=49868,29 Tons,4156 Mbbl,
nation name,alysdexia,http://blocgame.com/alliancestats.php?allianceid=1393,259k active personnel,40 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Good,last online 12 hours ago,rankings.php?subregion=mes,BAMF,$18619 million,alliancestats.php?allianceid=1393,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,24759 km 2,http://blocgame.com/stats.php?id=49652,,1145 Mbbl,
Pheonix,Shockwave,http://blocgame.com/alliancestats.php?allianceid=1401,198k active personnel,65 ships,Persian Gulf War surplus,Gandhi-like,14 factories,Good,last online 3 hours ago,rankings.php?subregion=per,The Federal Colonies,$18513 million,alliancestats.php?allianceid=1401,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,37998 km 2,http://blocgame.com/stats.php?id=40311,2 Tons,,
Al-Petralia,El-Oil,http://blocgame.com/alliancestats.php?allianceid=1393,148k active personnel,43 ships,Persian Gulf War surplus,Gandhi-like,9 factories,Elite,last online 2 hours ago,rankings.php?subregion=ara,BAMF,$18294 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,34559 km 2,http://blocgame.com/stats.php?id=52484,,,
Argenwhite,Grecius,http://blocgame.com/alliancestats.php?allianceid=1580,238k active personnel,46 ships,Persian Gulf War surplus,Gandhi-like,10 factories,Elite,last online 68 hours ago,rankings.php?subregion=con,Brotherhood of Nod,$18062 million,alliancestats.php?allianceid=1580,Southern Cone,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=con,53322 km 2,http://blocgame.com/stats.php?id=40579,,,
Kalayaan,Fernindad E. Marcos,http://blocgame.com/alliancestats.php?allianceid=1393,259k active personnel,65 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Elite,last online 5 hours ago,rankings.php?subregion=pac,BAMF,$17941 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,79555 km 2,http://blocgame.com/stats.php?id=52349,,,
Kajima,Angelus,http://blocgame.com/alliancestats.php?allianceid=1580,278k active personnel,35 ships,Almost Modern,Gandhi-like,14 factories,Good,last online 7 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,$17899 million,alliancestats.php?allianceid=1580,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,48262 km 2,http://blocgame.com/stats.php?id=46908,,,
Skanonia,Beefy,http://blocgame.com/alliancestats.php?allianceid=1568,554k active personnel,51 ships,Persian Gulf War surplus,Gandhi-like,19 factories,Standard,last online 72 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$16975 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,28436 km 2,http://blocgame.com/stats.php?id=44384,,,
Deponia,PYZILEND,http://blocgame.com/alliancestats.php?allianceid=1393,258k active personnel,28 ships,Persian Gulf War surplus,Gandhi-like,14 factories,Good,last online 10 hours ago,rankings.php?subregion=chi,BAMF,$17890 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,41102 km 2,http://blocgame.com/stats.php?id=54760,,,
Celtic Nations,BigWilly526,http://blocgame.com/alliancestats.php?allianceid=1580,345k active personnel,53 ships,Advanced,Gandhi-like,15 factories,Elite,last online 14 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$17412 million,alliancestats.php?allianceid=1580,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,63843 km 2,http://blocgame.com/stats.php?id=7511,,2851 Mbbl,
Crimea,Hayro Khan,http://blocgame.com/alliancestats.php?allianceid=1393,138k active personnel,45 ships,Persian Gulf War surplus,Gandhi-like,6 factories,Standard,last online 4 hours ago,rankings.php?subregion=atl,BAMF,$16659 million,alliancestats.php?allianceid=1393,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,30742 km 2,http://blocgame.com/stats.php?id=2570,,,5%
OnlyJuanOvue,BigGuyBane,http://blocgame.com/alliancestats.php?allianceid=1599,247k active personnel,54 ships,Persian Gulf War surplus,Gandhi-like,13 factories,Elite,last online 10 hours ago,rankings.php?subregion=ara,Wreckage brothers,$16550 million,alliancestats.php?allianceid=1599,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,68339 km 2,http://blocgame.com/stats.php?id=52889,,,
Skhimm,Ept2415,http://blocgame.com/alliancestats.php?allianceid=1580,555k active personnel,80 ships,Advanced,Normal,17 factories,Good,last online 10 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$19004 million,alliancestats.php?allianceid=1580,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,131329 km 2,http://blocgame.com/stats.php?id=52362,14 Tons,2798 Mbbl,
bro dude,guy man,http://blocgame.com/alliancestats.php?allianceid=1568,278k active personnel,43 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Elite,last online 8 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,$16234 million,alliancestats.php?allianceid=1568,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,56539 km 2,http://blocgame.com/stats.php?id=49465,,3009 Mbbl,
Greekrules,General Humphreys,http://blocgame.com/alliancestats.php?allianceid=1393,359k active personnel,51 ships,Advanced,Gandhi-like,17 factories,Elite,last online 1 hours ago,rankings.php?subregion=ara,BAMF,$16023 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,85841 km 2,http://blocgame.com/stats.php?id=43351,,,
Scavia,nike1155,http://blocgame.com/alliancestats.php?allianceid=1568,230k active personnel,44 ships,Almost Modern,Gandhi-like,8 factories,Elite,last online 44 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$15886 million,alliancestats.php?allianceid=1568,Southern Cone,,Very Powerful,http://blocgame.com/rankings.php?subregion=con,37531 km 2,http://blocgame.com/stats.php?id=52275,,300 Mbbl,
Genowia,ThePole,http://blocgame.com/alliancestats.php?allianceid=1393,252k active personnel,28 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Standard,last online 1 hours ago,rankings.php?subregion=pac,BAMF,$15883 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,48327 km 2,http://blocgame.com/stats.php?id=50839,,,
Vizio,linkbro,http://blocgame.com/alliancestats.php?allianceid=1393,200k active personnel,16 ships,Persian Gulf War surplus,Gandhi-like,8 factories,Good,last online 64 hours ago,rankings.php?subregion=ara,BAMF,$15822 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,43797 km 2,http://blocgame.com/stats.php?id=39037,,,
Iranzamin,Lord of War,http://blocgame.com/alliancestats.php?allianceid=1644,233k active personnel,53 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Elite,last online 20 hours ago,rankings.php?subregion=per,Inter/pol/,$15791 million,alliancestats.php?allianceid=1644,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,50924 km 2,http://blocgame.com/stats.php?id=49556,,,
South Park,cartman,http://blocgame.com/alliancestats.php?allianceid=1835,148k active personnel,36 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Elite,last online 27 hours ago,rankings.php?subregion=car,SPQR,$15560 million,alliancestats.php?allianceid=1835,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,50094 km 2,http://blocgame.com/stats.php?id=228,,,
Kardazar,Mahmud Ali,http://blocgame.com/alliancestats.php?allianceid=1393,259k active personnel,20 ships,Persian Gulf War surplus,Gandhi-like,14 factories,Standard,last online 14 hours ago,rankings.php?subregion=ara,BAMF,$15568 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,32670 km 2,http://blocgame.com/stats.php?id=55305,2 Tons,3040 Mbbl,
See Aye Eh,BillWilson,http://blocgame.com/alliancestats.php?allianceid=1599,348k active personnel,68 ships,Advanced,Gandhi-like,14 factories,Elite,last online 10 hours ago,rankings.php?subregion=ara,Wreckage brothers,$15401 million,alliancestats.php?allianceid=1599,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,41234 km 2,http://blocgame.com/stats.php?id=52844,1 Tons,,
Almania,Almanich,http://blocgame.com/alliancestats.php?allianceid=1580,313k active personnel,50 ships,Persian Gulf War surplus,Nice,17 factories,Good,online now,rankings.php?subregion=chi,Brotherhood of Nod,$15475 million,alliancestats.php?allianceid=1580,China,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,37527 km 2,http://blocgame.com/stats.php?id=51725,,,
Robots,stormbot28,http://blocgame.com/alliancestats.php?allianceid=1599,151k active personnel,31 ships,Almost Modern,Gandhi-like,11 factories,Elite,last online 15 hours ago,rankings.php?subregion=car,Wreckage brothers,$15365 million,alliancestats.php?allianceid=1599,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,53756 km 2,http://blocgame.com/stats.php?id=40242,,,
Krakozhia,Ilyich,http://blocgame.com/alliancestats.php?allianceid=1599,271k active personnel,34 ships,Persian Gulf War surplus,Gandhi-like,9 factories,Elite,online now,rankings.php?subregion=chi,Wreckage brothers,$15239 million,alliancestats.php?allianceid=1599,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,31809 km 2,http://blocgame.com/stats.php?id=39065,,,
Tyrantia,Malakal,http://blocgame.com/alliancestats.php?allianceid=1595,383k active personnel,61 ships,Persian Gulf War surplus,Angelic,17 factories,Standard,online now,rankings.php?subregion=ind,The High Council,$14559 million,alliancestats.php?allianceid=1595,East Indies,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,72751 km 2,http://blocgame.com/stats.php?id=40238,4 Tons,1679 Mbbl,
QonoS,Tmonsta,http://blocgame.com/alliancestats.php?allianceid=1595,250k active personnel,34 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Elite,last online 19 hours ago,rankings.php?subregion=chi,The High Council,$14934 million,alliancestats.php?allianceid=1595,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,34576 km 2,http://blocgame.com/stats.php?id=44539,,,35%
Casa del Nolano,jnolat09,http://blocgame.com/alliancestats.php?allianceid=1599,158k active personnel,15 ships,Persian Gulf War surplus,Gandhi-like,5 factories,Good,last online 25 hours ago,rankings.php?subregion=ind,Wreckage brothers,$14865 million,alliancestats.php?allianceid=1599,East Indies,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,17783 km 2,http://blocgame.com/stats.php?id=45936,,,
Markovia,RDM HC,http://blocgame.com/alliancestats.php?allianceid=1401,218k active personnel,31 ships,Almost Modern,Gandhi-like,8 factories,Elite,online now,rankings.php?subregion=car,The Federal Colonies,$14659 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,38053 km 2,http://blocgame.com/stats.php?id=58369,,,
Bourbon Island,Gypsy Danger,http://blocgame.com/alliancestats.php?allianceid=1568,256k active personnel,9 ships,Persian Gulf War surplus,Gandhi-like,9 factories,Elite,last online 29 hours ago,rankings.php?subregion=egy,Brotherhood of Zion,$14541 million,alliancestats.php?allianceid=1568,Egypt,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,34351 km 2,http://blocgame.com/stats.php?id=41247,,2130 Mbbl,
Best Istan,Glorious Leader,http://blocgame.com/alliancestats.php?allianceid=1568,9k active personnel,1 ships,Almost Modern,Nice,3 factories,Elite,last online 49 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$14460 million,alliancestats.php?allianceid=1568,China,Near Depletion,None,http://blocgame.com/rankings.php?subregion=chi,10798 km 2,http://blocgame.com/stats.php?id=40577,,,
Pompeii,Lykos,http://blocgame.com/alliancestats.php?allianceid=1835,6k active personnel,2 ships,Advanced,Angelic,8 factories,Elite,last online 9 hours ago,rankings.php?subregion=per,SPQR,$12047 million,alliancestats.php?allianceid=1835,Persia,,Very Powerful,http://blocgame.com/rankings.php?subregion=per,35608 km 2,http://blocgame.com/stats.php?id=39021,,3264 Mbbl,
