country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,rm_prod,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_prod,oil_reserves,uranium,reactor
Al-Petralia,El-Oil,http://blocgame.com/alliancestats.php?allianceid=1393,168k active personnel,51 ships,Persian Gulf War surplus,Gandhi-like,9 factories,Elite,last online 16 hours ago,rankings.php?subregion=ara,BAMF,23 Hundred Tons per month,$21062 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,34559 km 2,http://blocgame.com/stats.php?id=52484,25 Mbbl per month,,,
Pooland,kurwa,http://blocgame.com/alliancestats.php?allianceid=1568,509k active personnel,18 ships,Advanced,Gandhi-like,24 factories,Good,last online 6 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,22 Hundred Tons per month,$20829 million,alliancestats.php?allianceid=1568,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,64773 km 2,http://blocgame.com/stats.php?id=49295,102 Mbbl per month,592 Mbbl,1 Tons,
Deponia,PYZILEND,http://blocgame.com/alliancestats.php?allianceid=1393,267k active personnel,51 ships,Persian Gulf War surplus,Gandhi-like,16 factories,Good,last online 2 hours ago,rankings.php?subregion=chi,BAMF,40 Hundred Tons per month,$20935 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,41102 km 2,http://blocgame.com/stats.php?id=54760,5 Mbbl per month,,,
Kajima,Angelus,http://blocgame.com/alliancestats.php?allianceid=1580,323k active personnel,40 ships,Persian Gulf War surplus,Gandhi-like,15 factories,Elite,last online 94 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,60 Hundred Tons per month,$20337 million,alliancestats.php?allianceid=1580,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,48262 km 2,http://blocgame.com/stats.php?id=46908,,,,
Peach,Tanaille,http://blocgame.com/alliancestats.php?allianceid=1393,450k active personnel,75 ships,Advanced,Gandhi-like,24 factories,Good,last online 1 hours ago,rankings.php?subregion=mes,BAMF,120 Hundred Tons per month,$20247 million,alliancestats.php?allianceid=1393,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,152255 km 2,http://blocgame.com/stats.php?id=54825,130 Mbbl per month,1137 Mbbl,,
Kalayaan,Fernindad E. Marcos,http://blocgame.com/alliancestats.php?allianceid=1393,279k active personnel,71 ships,Persian Gulf War surplus,Gandhi-like,12 factories,Elite,online now,rankings.php?subregion=pac,BAMF,42 Hundred Tons per month,$19820 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,79555 km 2,http://blocgame.com/stats.php?id=52349,12 Mbbl per month,,,
nation name,alysdexia,http://blocgame.com/alliancestats.php?allianceid=1393,220k active personnel,51 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Good,last online 12 hours ago,rankings.php?subregion=mes,BAMF,10 Hundred Tons per month,$19411 million,alliancestats.php?allianceid=1393,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,24512 km 2,http://blocgame.com/stats.php?id=49652,18 Mbbl per month,263 Mbbl,,
Crimea,Hayro Khan,http://blocgame.com/alliancestats.php?allianceid=1393,138k active personnel,55 ships,Advanced,Gandhi-like,6 factories,Elite,last online 15 hours ago,rankings.php?subregion=atl,BAMF,21 Hundred Tons per month,$19245 million,alliancestats.php?allianceid=1393,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,30742 km 2,http://blocgame.com/stats.php?id=2570,21 Mbbl per month,,,5%
Kardazar,Mahmud Ali,http://blocgame.com/alliancestats.php?allianceid=1393,275k active personnel,45 ships,Persian Gulf War surplus,Gandhi-like,15 factories,Elite,last online 2 hours ago,rankings.php?subregion=ara,BAMF,14 Hundred Tons per month,$18573 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,32670 km 2,http://blocgame.com/stats.php?id=55305,25 Mbbl per month,1815 Mbbl,,
Iranzamin,Lord of War,http://blocgame.com/alliancestats.php?allianceid=1644,197k active personnel,51 ships,Persian Gulf War surplus,Gandhi-like,13 factories,Elite,last online 2 hours ago,rankings.php?subregion=per,Inter/pol/,46 Hundred Tons per month,$17416 million,alliancestats.php?allianceid=1644,Persia,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=per,48918 km 2,http://blocgame.com/stats.php?id=49556,34 Mbbl per month,,,
Pheonix,Shockwave,http://blocgame.com/alliancestats.php?allianceid=1401,27k active personnel,37 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Elite,last online 16 hours ago,rankings.php?subregion=per,The Federal Colonies,18 Hundred Tons per month,$18350 million,alliancestats.php?allianceid=1401,Persia,Untapped,Somewhat Large,http://blocgame.com/rankings.php?subregion=per,30420 km 2,http://blocgame.com/stats.php?id=40311,17 Mbbl per month,,,
OnlyJuanOvue,BigGuyBane,http://blocgame.com/alliancestats.php?allianceid=1599,295k active personnel,60 ships,Advanced,Gandhi-like,13 factories,Elite,last online 9 hours ago,rankings.php?subregion=ara,Wreckage brothers,39 Hundred Tons per month,$17950 million,alliancestats.php?allianceid=1599,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,68339 km 2,http://blocgame.com/stats.php?id=52889,45 Mbbl per month,,1 Tons,
jOOskoland,jOOsko,http://blocgame.com/alliancestats.php?allianceid=1595,23k active personnel,44 ships,Advanced,Gandhi-like,28 factories,Good,last online 7 hours ago,rankings.php?subregion=atl,The High Council,131 Hundred Tons per month,$17890 million,alliancestats.php?allianceid=1595,Atlas,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,133264 km 2,http://blocgame.com/stats.php?id=55410,97 Mbbl per month,,,
Hashashin,moffe,http://blocgame.com/alliancestats.php?allianceid=1644,342k active personnel,46 ships,Advanced,Good,17 factories,Elite,last online 5 hours ago,rankings.php?subregion=per,Inter/pol/,51 Hundred Tons per month,$15971 million,alliancestats.php?allianceid=1644,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,88279 km 2,http://blocgame.com/stats.php?id=54220,66 Mbbl per month,3162 Mbbl,,
Celtic Nations,BigWilly526,http://blocgame.com/alliancestats.php?allianceid=1580,310k active personnel,61 ships,Advanced,Gandhi-like,16 factories,Elite,last online 28 hours ago,rankings.php?subregion=per,Brotherhood of Nod,66 Hundred Tons per month,$17774 million,alliancestats.php?allianceid=1580,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,64179 km 2,http://blocgame.com/stats.php?id=7511,41 Mbbl per month,3507 Mbbl,,
Skanonia,Beefy,http://blocgame.com/alliancestats.php?allianceid=1568,425k active personnel,51 ships,Advanced,Gandhi-like,20 factories,Standard,last online 1 hours ago,rankings.php?subregion=con,Brotherhood of Zion,11 Hundred Tons per month,$16555 million,alliancestats.php?allianceid=1568,Southern Cone,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=con,35589 km 2,http://blocgame.com/stats.php?id=44384,7 Mbbl per month,,,
durkastan,ned kelly,http://blocgame.com/alliancestats.php?allianceid=1580,300k active personnel,80 ships,Advanced,Normal,29 factories,Elite,online now,rankings.php?subregion=ara,Brotherhood of Nod,100 Hundred Tons per month,$16568 million,alliancestats.php?allianceid=1580,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,150176 km 2,http://blocgame.com/stats.php?id=40488,100 Mbbl per month,,,
bro dude,guy man,http://blocgame.com/alliancestats.php?allianceid=1568,278k active personnel,52 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Elite,last online 41 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,35 Hundred Tons per month,$17550 million,alliancestats.php?allianceid=1568,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,56539 km 2,http://blocgame.com/stats.php?id=49465,50 Mbbl per month,559 Mbbl,,
Genowia,ThePole,http://blocgame.com/alliancestats.php?allianceid=1393,310k active personnel,40 ships,Persian Gulf War surplus,Gandhi-like,13 factories,Standard,last online 18 hours ago,rankings.php?subregion=pac,BAMF,64 Hundred Tons per month,$17464 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,48327 km 2,http://blocgame.com/stats.php?id=50839,15 Mbbl per month,,,
Arsinoe,Sobek,http://blocgame.com/alliancestats.php?allianceid=1568,927k active personnel,81 ships,Advanced,Gandhi-like,27 factories,Good,last online 1 hours ago,rankings.php?subregion=egy,Brotherhood of Zion,30 Hundred Tons per month,$16358 million,alliancestats.php?allianceid=1568,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,96687 km 2,http://blocgame.com/stats.php?id=49868,129 Mbbl per month,5943 Mbbl,26 Tons,
Robots,stormbot28,http://blocgame.com/alliancestats.php?allianceid=1599,292k active personnel,46 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Good,last online 3 hours ago,rankings.php?subregion=car,Wreckage brothers,71 Hundred Tons per month,$16396 million,alliancestats.php?allianceid=1599,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,53756 km 2,http://blocgame.com/stats.php?id=40242,,,,
Slavostan,Joe Tito-Hoxha,http://blocgame.com/alliancestats.php?allianceid=1393,164k active personnel,26 ships,Persian Gulf War surplus,Gandhi-like,10 factories,Elite,last online 12 hours ago,rankings.php?subregion=sea,BAMF,15 Hundred Tons per month,$16695 million,alliancestats.php?allianceid=1393,Indochina,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,26582 km 2,http://blocgame.com/stats.php?id=48188,12 Mbbl per month,,,
Markovia,RDM HC,http://blocgame.com/alliancestats.php?allianceid=1401,218k active personnel,33 ships,Almost Modern,Gandhi-like,9 factories,Elite,last online 3 hours ago,rankings.php?subregion=car,The Federal Colonies,35 Hundred Tons per month,$16435 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,38053 km 2,http://blocgame.com/stats.php?id=58369,20 Mbbl per month,,,
The Deserted,Kamakazi Sunshine,http://blocgame.com/alliancestats.php?allianceid=1568,515k active personnel,96 ships,Advanced,Gandhi-like,22 factories,Elite,last online 27 hours ago,rankings.php?subregion=pac,Brotherhood of Zion,87 Hundred Tons per month,$16124 million,alliancestats.php?allianceid=1568,Pacific Rim,,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,137053 km 2,http://blocgame.com/stats.php?id=40459,7 Mbbl per month,326 Mbbl,,
Almania,Almanich,http://blocgame.com/alliancestats.php?allianceid=1580,309k active personnel,52 ships,Persian Gulf War surplus,Good,18 factories,Elite,last online 9 hours ago,rankings.php?subregion=chi,Brotherhood of Nod,23 Hundred Tons per month,$15960 million,alliancestats.php?allianceid=1580,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,38042 km 2,http://blocgame.com/stats.php?id=51725,,,,
Alexandrastan,TWAIN,http://blocgame.com/alliancestats.php?allianceid=1401,198k active personnel,51 ships,Advanced,Gandhi-like,8 factories,Elite,last online 28 hours ago,rankings.php?subregion=mes,The Federal Colonies,17 Hundred Tons per month,$16140 million,alliancestats.php?allianceid=1401,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,25694 km 2,http://blocgame.com/stats.php?id=39070,18 Mbbl per month,,2 Tons,
Large Man,LargeMan,http://blocgame.com/alliancestats.php?allianceid=1599,211k active personnel,43 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Good,last online 2 hours ago,rankings.php?subregion=egy,Wreckage brothers,34 Hundred Tons per month,$16172 million,alliancestats.php?allianceid=1599,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,41707 km 2,http://blocgame.com/stats.php?id=52836,35 Mbbl per month,1344 Mbbl,1 Tons,
TheDesertFox,DesertFox,http://blocgame.com/alliancestats.php?allianceid=1393,331k active personnel,44 ships,Persian Gulf War surplus,Gandhi-like,12 factories,Standard,last online 19 hours ago,rankings.php?subregion=pac,BAMF,69 Hundred Tons per month,$15868 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,53252 km 2,http://blocgame.com/stats.php?id=52368,15 Mbbl per month,,,
Scavia,nike1155,http://blocgame.com/alliancestats.php?allianceid=1568,253k active personnel,51 ships,Persian Gulf War surplus,Mad Dog,8 factories,Elite,last online 2 hours ago,rankings.php?subregion=con,Brotherhood of Zion,57 Hundred Tons per month,$14755 million,alliancestats.php?allianceid=1568,Southern Cone,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=con,37176 km 2,http://blocgame.com/stats.php?id=52275,4 Mbbl per month,,,
Gandoria,zoneguy22,http://blocgame.com/alliancestats.php?allianceid=1568,180k active personnel,44 ships,Persian Gulf War surplus,Gandhi-like,8 factories,Elite,last online 8 hours ago,rankings.php?subregion=gra,Brotherhood of Zion,17 Hundred Tons per month,$15448 million,alliancestats.php?allianceid=1568,Gran Colombia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=gra,19833 km 2,http://blocgame.com/stats.php?id=50771,10 Mbbl per month,,,
