country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
fjortonattio8,fiveonesix,The Order,78k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Elite,online now,18 Hundred Tons per month,5 Mbbl per month,Free Market,$977 million,117 Mbbl,Untapped,Somewhat Large,Gran Colombia,United States,22433 km 2,http://blocgame.com/stats.php?id=63413,,
National_East,RulerBill,Steel Brotherhood,16k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Good,last online 1 hours ago,6 Hundred Tons per month,3 Mbbl per month,Free Market,$975 million,378 Mbbl; 3 Mbbl,Untapped,Meagre,Mesoamerica,United States,11231 km 2,http://blocgame.com/stats.php?id=61888,,
saiya,saiya,The Order,55k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 10 hours ago,22 Hundred Tons per month,10 Mbbl per month,Central Planning,$974 million,2046 Mbbl; 10 Mbbl,Near Depletion,Somewhat Large,Arabia,Soviet Union,22267 km 2,http://blocgame.com/stats.php?id=61785,,
publika,Gladiator,,9k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 5 hours ago,4 Hundred Tons per month,3 Mbbl per month,Central Planning,$974 million,53 Mbbl; 3 Mbbl,Untapped,Meagre,Pacific Rim,Neutral,9360 km 2,http://blocgame.com/stats.php?id=62345,,
Labuair,Kultur mayor,PIRATES,29k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,last online 3 hours ago,5 Hundred Tons per month,3 Mbbl per month,Central Planning,$972 million,3 Mbbl,Untapped,Mediocre,Indochina,Soviet Union,6122 km 2,http://blocgame.com/stats.php?id=62573,,
Empyrea,Sir_Scarf,The Order,25k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 1 hours ago,17 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$970 million,3 Mbbl,Untapped,Large,Pacific Rim,United States,27114 km 2,http://blocgame.com/stats.php?id=49411,,
The UCOA,Stephanobroburg123,,9k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 57 hours ago,6 Hundred Tons per month,,Central Planning,$970 million,,Untapped,None,Pacific Rim,Neutral,9175 km 2,http://blocgame.com/stats.php?id=54240,,
Justice,Tommy Scrumptious,Brotherhood of Nod,35k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 7 hours ago,15 Hundred Tons per month,8 Mbbl per month,Central Planning,$968 million,8657 Mbbl,Untapped,Powerful,Mesopotamia,Soviet Union,29004 km 2,http://blocgame.com/stats.php?id=62975,,
Sordidia,RogueandaScoundrel,The Order,63k active personnel,2 ships,Second World War surplus,Nice,2 factories,Good,last online 12 hours ago,20 Hundred Tons per month,5 Mbbl per month,Central Planning,$968 million,486 Mbbl,Untapped,Large,Caribbean,Soviet Union,35546 km 2,http://blocgame.com/stats.php?id=63203,,
Alorian,Azril91,,6k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Undisciplined Rabble,last online 36 hours ago,11 Hundred Tons per month,5 Mbbl per month,Central Planning,$967 million,4 Mbbl; 5 Mbbl,,Small,Pacific Rim,Soviet Union,6123 km 2,http://blocgame.com/stats.php?id=61749,,
rio de la plata,karl franz,Lithuanian Coalition,24k active personnel,0 ships,First World War surplus,Isolated,1 factory,Good,last online 1 hours ago,4 Hundred Tons per month,2 Mbbl per month,Central Planning,$966 million,22 Mbbl; 2 Mbbl,Near Depletion,Mediocre,Southern Cone,Soviet Union,7948 km 2,http://blocgame.com/stats.php?id=63051,,
MakanBudak,amirulfaizal,The Order,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 6 hours ago,5 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$964 million,71 Mbbl; 3 Mbbl,,Somewhat Large,East Indies,Neutral,5473 km 2,http://blocgame.com/stats.php?id=60748,,
HiredGun,FreeCharge,The Order,75k active personnel,1 ships,Second World War surplus,Good,2 factories,Standard,last online 1 hours ago,28 Hundred Tons per month,17 Mbbl per month,Central Planning,$963 million,4823 Mbbl; 17 Mbbl,Untapped,Very Powerful,Egypt,Soviet Union,45754 km 2,http://blocgame.com/stats.php?id=53353,,
Asiana,El_Xanatos,The Divine Council,59k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Elite,last online 8 hours ago,19 Hundred Tons per month,6 Mbbl per month,Central Planning,$961 million,96 Mbbl; 6 Mbbl,Untapped,Mediocre,Indochina,Soviet Union,42554 km 2,http://blocgame.com/stats.php?id=62221,,
Scrubistan,Fernando_Shiros,Brotherhood of Nod,93k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Good,online now,35 Hundred Tons per month,18 Mbbl per month,Central Planning,$959 million,7338 Mbbl; 18 Mbbl,Near Depletion,Mediocre,Persia,Soviet Union,49075 km 2,http://blocgame.com/stats.php?id=59122,,
New Wadowice,anone2137,The Order,67k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 2 hours ago,15 Hundred Tons per month,9 Mbbl per month,Central Planning,$957 million,2062 Mbbl; 9 Mbbl,Plentiful,Large,Atlas,Soviet Union,43418 km 2,http://blocgame.com/stats.php?id=61637,,
Baden,Spectral.Knight,The Divine Council,59k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 4 hours ago,5 Hundred Tons per month,2 Mbbl per month,Central Planning,$956 million,71 Mbbl; 2 Mbbl,Plentiful,Meagre,East Indies,Soviet Union,32210 km 2,http://blocgame.com/stats.php?id=48684,,
Krasnyyikistan,JohnTheGreat,Comintern,17k active personnel,3 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 2 hours ago,12 Hundred Tons per month,11 Mbbl per month,Central Planning,$954 million,3635 Mbbl; 11 Mbbl,Plentiful,Somewhat Large,Arabia,Soviet Union,26941 km 2,http://blocgame.com/stats.php?id=50209,,
Sheena,Lord Alphus Maximus Spaz,,6k active personnel,0 ships,First World War surplus,Gandhi-like,None,Undisciplined Rabble,last online 118 hours ago,2 Hundred Tons per month,2 Mbbl per month,Central Planning,$952 million,129 Mbbl; 2 Mbbl,Untapped,Small,Congo,United States,7420 km 2,http://blocgame.com/stats.php?id=62190,,
KakMahPower,tuan tanah kedaun,PIRATES,24k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,last online 2 hours ago,7 Hundred Tons per month,5 Mbbl per month,Mixed Economy,$947 million,31 Mbbl; 5 Mbbl,,Mediocre,Indochina,United States,6241 km 2,http://blocgame.com/stats.php?id=60656,,
DZ Djeich,StratoDZ,Al-Qassam Brigades,11k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 9 hours ago,13 Hundred Tons per month,10 Mbbl per month,Central Planning,$946 million,2491 Mbbl; 10 Mbbl,Untapped,Small,Atlas,Soviet Union,14275 km 2,http://blocgame.com/stats.php?id=61408,,
Kulunkjin,Areum ling,SPQR,15k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 25 hours ago,6 Hundred Tons per month,4 Mbbl per month,Central Planning,$945 million,90 Mbbl; 4 Mbbl,Plentiful,None,Pacific Rim,Soviet Union,10326 km 2,http://blocgame.com/stats.php?id=62604,,
Ballzinga,Carejo,The Order,101k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,online now,26 Hundred Tons per month,8 Mbbl per month,Central Planning,$944 million,1091 Mbbl,Untapped,Very Powerful,Guinea,Soviet Union,36212 km 2,http://blocgame.com/stats.php?id=63397,,
Kennethland,Kenneth,The Order,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 19 hours ago,44 Hundred Tons per month,10 Mbbl per month,Central Planning,$941 million,51 Mbbl; 10 Mbbl,Untapped,Somewhat Large,Gran Colombia,Neutral,27997 km 2,http://blocgame.com/stats.php?id=47662,,
Bananarama,Violet raccoon,Brotherhood of Nod,8k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 35 hours ago,14 Hundred Tons per month,7 Mbbl per month,Central Planning,$939 million,1638 Mbbl; 7 Mbbl,Untapped,Very Powerful,Arabia,Soviet Union,20138 km 2,http://blocgame.com/stats.php?id=62710,,
South Minnesota,Generalissimo Alpun,Che Guevara League,53k active personnel,0 ships,Second World War surplus,Nice,2 factories,Good,last online 2 hours ago,8 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$939 million,451 Mbbl,,Meagre,Gran Colombia,Soviet Union,10949 km 2,http://blocgame.com/stats.php?id=63460,,
Kachan,Chłodna Kaczka,,7k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Good,last online 54 hours ago,9 Hundred Tons per month,18 Mbbl per month,Central Planning,$938 million,1738 Mbbl; 18 Mbbl,Untapped,Small,Atlas,Soviet Union,19703 km 2,http://blocgame.com/stats.php?id=62963,,
Praetoria Augusta,Lykos,SPQR,98k active personnel,0 ships,Korean War surplus,Gandhi-like,1 factory,Standard,online now,30 Hundred Tons per month,20 Mbbl per month,Central Planning,$934 million,8327 Mbbl; 20 Mbbl,Near Depletion,Large,Mesopotamia,Soviet Union,34723 km 2,http://blocgame.com/stats.php?id=39021,,
Ausmasia,Harzan15,The Khilafah,7k active personnel,0 ships,Second World War surplus,Normal,None,Poor,last online 28 hours ago,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$934 million,42 Mbbl; 2 Mbbl,Untapped,Mediocre,Indochina,Neutral,5895 km 2,http://blocgame.com/stats.php?id=61817,,
Middlewest,BigBross,The Khilafah,58k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Poor,online now,10 Hundred Tons per month,2 Mbbl per month,Free Market,$931 million,2981 Mbbl,Near Depletion,Large,Mesopotamia,Neutral,16113 km 2,http://blocgame.com/stats.php?id=63635,,
kodiang,tester2,The United Nations,50k active personnel,1 ships,Second World War surplus,Questionable,1 factory,Elite,last online 10 hours ago,20 Hundred Tons per month,10 Mbbl per month,Free Market,$929 million,344 Mbbl,Untapped,Somewhat Large,Pacific Rim,United States,31110 km 2,http://blocgame.com/stats.php?id=60531,,
Ira,TheCatOfTens,The Order,96k active personnel,1 ships,First World War surplus,Gandhi-like,3 factories,Elite,online now,53 Hundred Tons per month,16 Mbbl per month,Free Market,$928 million,214 Mbbl,Untapped,Powerful,Congo,United States,35705 km 2,http://blocgame.com/stats.php?id=62332,,
Magical Horses,Tzafety,The Divine Council,57k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,online now,30 Hundred Tons per month,20 Mbbl per month,Central Planning,$925 million,3417 Mbbl; 20 Mbbl,Untapped,Mediocre,Arabia,Soviet Union,37313 km 2,http://blocgame.com/stats.php?id=51070,,
Carbonear,Wolfie,Interpol,65k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 3 hours ago,22 Hundred Tons per month,4 Mbbl per month,Free Market,$924 million,167 Mbbl,Untapped,Mediocre,West Africa,United States,21136 km 2,http://blocgame.com/stats.php?id=63657,,
Socialand,Free Party,,7k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 122 hours ago,3 Hundred Tons per month,3 Mbbl per month,Central Planning,$923 million,181 Mbbl; 3 Mbbl,Untapped,None,Gran Colombia,Neutral,13613 km 2,http://blocgame.com/stats.php?id=58655,,
kobisbunga,kobis,Brotherhood of Nod,9k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,last online 13 hours ago,5 Hundred Tons per month,3 Mbbl per month,Free Market,$923 million,118 Mbbl; 3 Mbbl,,Somewhat Large,East Indies,United States,12737 km 2,http://blocgame.com/stats.php?id=61609,,
Afrikizonia,MacSlothur,Steel Brotherhood,60k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 4 hours ago,14 Hundred Tons per month,5 Mbbl per month,Free Market,$923 million,55 Mbbl,Plentiful,Mediocre,East Africa,United States,25065 km 2,http://blocgame.com/stats.php?id=63138,,
Lolesco,Lolesco,The Order,49k active personnel,0 ships,Second World War surplus,Gandhi-like,3 factories,Standard,online now,38 Hundred Tons per month,13 Mbbl per month,Free Market,$916 million,3026 Mbbl; 13 Mbbl,Untapped,Mediocre,Mesopotamia,United States,42095 km 2,http://blocgame.com/stats.php?id=48289,,
Cascoia,unioncomic,The United Nations,37k active personnel,1 ships,Second World War surplus,Good,2 factories,Good,last online 1 hours ago,34 Hundred Tons per month,14 Mbbl per month,Free Market,$915 million,5792 Mbbl,Plentiful,Somewhat Large,Arabia,United States,42006 km 2,http://blocgame.com/stats.php?id=54174,,
Thimerica,Focus,Che Guevara League,3k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 78 hours ago,4 Hundred Tons per month,2 Mbbl per month,Central Planning,$915 million,74 Mbbl; 2 Mbbl,Untapped,Mediocre,Gran Colombia,Soviet Union,19406 km 2,http://blocgame.com/stats.php?id=62883,,
OurTown,StarlightGlimmer,The Order,106k active personnel,5 ships,Second World War surplus,Gandhi-like,4 factories,Elite,online now,46 Hundred Tons per month,26 Mbbl per month,Central Planning,$914 million,3658 Mbbl,Untapped,Very Powerful,Persia,Soviet Union,42504 km 2,http://blocgame.com/stats.php?id=51681,,
Weast America,Prince Pluto Nash,Brotherhood of Nod,77k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 16 hours ago,5 Hundred Tons per month,5 Mbbl per month,Mixed Economy,$914 million,5061 Mbbl; 5 Mbbl,Untapped,Somewhat Large,Persia,United States,30757 km 2,http://blocgame.com/stats.php?id=55778,,
Zanyslavia,Zany Animal,The Khilafah,43k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 8 hours ago,20 Hundred Tons per month,10 Mbbl per month,Central Planning,$913 million,3099 Mbbl; 10 Mbbl,Near Depletion,Mediocre,Persia,Soviet Union,26130 km 2,http://blocgame.com/stats.php?id=41452,,
Newbish,Newbish,SPQR,22k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 8 hours ago,6 Hundred Tons per month,6 Mbbl per month,Central Planning,$908 million,3480 Mbbl; 6 Mbbl,Untapped,Powerful,Mesopotamia,Soviet Union,19525 km 2,http://blocgame.com/stats.php?id=59854,,
Shitposters,MossadMan,,1k active personnel,1 ships,First World War surplus,Gandhi-like,3 factories,Standard,last online 81 hours ago,13 Hundred Tons per month,9 Mbbl per month,Mixed Economy,$907 million,4538 Mbbl; 9 Mbbl,Untapped,Mediocre,Persia,Neutral,39280 km 2,http://blocgame.com/stats.php?id=52681,,
Celtic Nations,BigWilly526,Brotherhood of Nod,45k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 25 hours ago,11 Hundred Tons per month,6 Mbbl per month,Central Planning,$904 million,2326 Mbbl; 6 Mbbl,Untapped,Mediocre,Persia,Soviet Union,27924 km 2,http://blocgame.com/stats.php?id=7511,,
Guerilla,mohdirfan,SPQR,63k active personnel,0 ships,Second World War surplus,Nice,1 factory,Poor,last online 2 hours ago,7 Hundred Tons per month,2 Mbbl per month,Central Planning,$903 million,75 Mbbl; 2 Mbbl,Untapped,None,East Indies,Soviet Union,16335 km 2,http://blocgame.com/stats.php?id=61854,,
Farsland,Kyrre Aleisun,The United Nations,16k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,online now,5 Hundred Tons per month,2 Mbbl per month,Central Planning,$901 million,1741 Mbbl; 2 Mbbl,Untapped,None,Persia,Soviet Union,7200 km 2,http://blocgame.com/stats.php?id=63782,,
Stauqua,AleksVoj,The Divine Council,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Poor,last online 120 hours ago,6 Hundred Tons per month,2 Mbbl per month,Central Planning,$899 million,364 Mbbl; 2 Mbbl,Untapped,Mediocre,Gran Colombia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=60873,,
Rengit,merahsakti,The Order,57k active personnel,0 ships,First World War surplus,Nice,2 factories,Good,last online 2 hours ago,53 Hundred Tons per month,3 Mbbl per month,Free Market,$899 million,288 Mbbl,Near Depletion,Large,Congo,United States,39354 km 2,http://blocgame.com/stats.php?id=61769,,
crocodile,Quadkencheng,Interpol,98k active personnel,0 ships,Second World War surplus,Gandhi-like,3 factories,Poor,last online 19 hours ago,16 Hundred Tons per month,12 Mbbl per month,Central Planning,$897 million,12 Mbbl,Untapped,Somewhat Large,East Indies,Soviet Union,32741 km 2,http://blocgame.com/stats.php?id=60403,,
KaleCepo,sultan lee,The Divine Council,138k active personnel,11 ships,Second World War surplus,Gandhi-like,5 factories,Elite,last online 1 hours ago,71 Hundred Tons per month,15 Mbbl per month,Free Market,$897 million,764 Mbbl,Untapped,Very Powerful,East Indies,United States,60727 km 2,http://blocgame.com/stats.php?id=60711,,
Briggs,General Armstrong,SPQR,79k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 4 hours ago,27 Hundred Tons per month,4 Mbbl per month,Central Planning,$896 million,358 Mbbl,Plentiful,Powerful,Southern Cone,Soviet Union,36257 km 2,http://blocgame.com/stats.php?id=53442,,
