country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,rm_prod,oil_prod,gdp,alliance/_source,oil_reserves,region/_text,manpower,airforce,region,territory,pageUrl,uranium
swahilia,benkenobi7,,4k active personnel,0 ships,Finest of the 19th century,Angelic,None,Standard,last online 59 hours ago,rankings.php?subregion=egy,,4 Hundred Tons per month,3 Mbbl per month,$380 million,,3 Mbbl,Egypt,Untapped,None,http://blocgame.com/rankings.php?subregion=egy,16172 km 2,http://blocgame.com/stats.php?id=63085,
Sintra,Daniel Lima,http://blocgame.com/alliancestats.php?allianceid=2038,25k active personnel,0 ships,First World War surplus,Pariah,None,Elite,last online 2 hours ago,rankings.php?subregion=car,Che Guevara League,4 Hundred Tons per month,2 Mbbl per month,$380 million,alliancestats.php?allianceid=2038,56 Mbbl; 2 Mbbl,Caribbean,Untapped,Small,http://blocgame.com/rankings.php?subregion=car,23665 km 2,http://blocgame.com/stats.php?id=63167,
Leazus,Rance,http://blocgame.com/alliancestats.php?allianceid=2038,40k active personnel,0 ships,First World War surplus,Isolated,1 factory,Poor,last online 6 hours ago,rankings.php?subregion=ama,Che Guevara League,7 Hundred Tons per month,2 Mbbl per month,$379 million,alliancestats.php?allianceid=2038,92 Mbbl; 2 Mbbl,Amazonia,,Mediocre,http://blocgame.com/rankings.php?subregion=ama,22964 km 2,http://blocgame.com/stats.php?id=3672,
Evlia,Plasmatic,,7k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 125 hours ago,rankings.php?subregion=pac,,2 Hundred Tons per month,,$379 million,,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,16335 km 2,http://blocgame.com/stats.php?id=63015,
Shiqhlir,Incer,,2k active personnel,0 ships,Finest of the 19th century,Angelic,None,Poor,last online 51 hours ago,rankings.php?subregion=mes,,3 Hundred Tons per month,2 Mbbl per month,$379 million,,2040 Mbbl,Mesopotamia,Untapped,None,http://blocgame.com/rankings.php?subregion=mes,19406 km 2,http://blocgame.com/stats.php?id=63189,
Gubbins :3,Gubbins,http://blocgame.com/alliancestats.php?allianceid=2045,39k active personnel,0 ships,Finest of the 19th century,Angelic,None,Standard,last online 80 hours ago,rankings.php?subregion=eaf,The Order,26 Hundred Tons per month,1 Mbbl per month,$378 million,alliancestats.php?allianceid=2045,,East Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=eaf,26666 km 2,http://blocgame.com/stats.php?id=46500,
Pink,Rosy Maple Moth,http://blocgame.com/alliancestats.php?allianceid=2045,39k active personnel,0 ships,First World War surplus,Good,None,Elite,last online 2 hours ago,rankings.php?subregion=ama,The Order,11 Hundred Tons per month,2 Mbbl per month,$378 million,alliancestats.php?allianceid=2045,449 Mbbl,Amazonia,Untapped,Small,http://blocgame.com/rankings.php?subregion=ama,24063 km 2,http://blocgame.com/stats.php?id=46667,
Akhlaken,GaGaK,http://blocgame.com/alliancestats.php?allianceid=2044,10k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 38 hours ago,rankings.php?subregion=ind,Aseang MMP,8 Hundred Tons per month,1 Mbbl per month,$378 million,alliancestats.php?allianceid=2044,381 Mbbl,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,19602 km 2,http://blocgame.com/stats.php?id=60346,
ZumbaZumbi,PakuPakis,,9k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 16 hours ago,rankings.php?subregion=saf,,9 Hundred Tons per month,,$378 million,,,Southern Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=saf,13477 km 2,http://blocgame.com/stats.php?id=61482,
Lesser China,Justin Trudeau,http://blocgame.com/alliancestats.php?allianceid=2048,35k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,last online 8 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,4 Hundred Tons per month,1 Mbbl per month,$378 million,alliancestats.php?allianceid=2048,319 Mbbl,China,Untapped,None,http://blocgame.com/rankings.php?subregion=chi,23990 km 2,http://blocgame.com/stats.php?id=62995,
