country,leader,alliance,army_size,navy,reactor,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium
MayMay,MayMay,,4k active personnel,0 ships,,First World War surplus,Normal,None,Undisciplined Rabble,last online 48 hours ago,2 Hundred Tons per month,,Mixed Economy,$551 million,,Untapped,None,Indochina,Neutral,7659 km 2,http://blocgame.com/stats.php?id=63712,
DabOn\\\'Em,ryanishappy,Farmington Brigade,6k active personnel,0 ships,,First World War surplus,Gandhi-like,None,Undisciplined Rabble,last online 172 hours ago,4 Hundred Tons per month,1 Mbbl per month,Central Planning,$551 million,1 Mbbl,Untapped,None,Caribbean,Soviet Union,16335 km 2,http://blocgame.com/stats.php?id=63787,
Valuien,Praefectus,,9k active personnel,0 ships,,Finest of the 19th century,Gandhi-like,None,Poor,last online 169 hours ago,4 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$551 million,,Untapped,None,Mesopotamia,Neutral,16335 km 2,http://blocgame.com/stats.php?id=64078,
Violent Vegans,SnakeBombs,Interpol,42k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Standard,last online 4 hours ago,20 Hundred Tons per month,6 Mbbl per month,Mixed Economy,$550 million,4658 Mbbl; 6 Mbbl,Untapped,Mediocre,Atlas,Soviet Union,34236 km 2,http://blocgame.com/stats.php?id=48869,
Shell,Antonios,,9k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Good,last online 151 hours ago,9 Hundred Tons per month,10 Mbbl per month,Free Market,$550 million,4529 Mbbl,Untapped,Mediocre,Atlas,United States,16576 km 2,http://blocgame.com/stats.php?id=63278,
1428,High_Hegemon,,2k active personnel,0 ships,,First World War surplus,Gandhi-like,None,Good,last online 16 hours ago,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$549 million,137 Mbbl; 2 Mbbl,Untapped,None,Mesoamerica,Neutral,16011 km 2,http://blocgame.com/stats.php?id=63517,
new shekelstan,mrluxx0,Brotherhood of Zion,58k active personnel,0 ships,,First World War surplus,Nice,1 factory,Standard,online now,8 Hundred Tons per month,7 Mbbl per month,Central Planning,$548 million,2939 Mbbl; 7 Mbbl,,Mediocre,Arabia,Soviet Union,16335 km 2,http://blocgame.com/stats.php?id=46292,
Baghdad Iraqi,As-Shaheed Saddam Hussein,The High Council,54k active personnel,0 ships,,Second World War surplus,Angelic,1 factory,Elite,last online 3 hours ago,3 Hundred Tons per month,15 Mbbl per month,Central Planning,$548 million,3533 Mbbl; 15 Mbbl,Untapped,Large,Mesopotamia,Soviet Union,34576 km 2,http://blocgame.com/stats.php?id=61172,
swedenno,mroll,,7k active personnel,0 ships,,First World War surplus,Gandhi-like,None,Good,last online 161 hours ago,5 Hundred Tons per month,1 Mbbl per month,Central Planning,$548 million,198 Mbbl; 1 Mbbl,Untapped,None,East Indies,Soviet Union,16007 km 2,http://blocgame.com/stats.php?id=63450,
KakMahRevenge,Rosmah,,32k active personnel,0 ships,,First World War surplus,Questionable,1 factory,Elite,last online 1 hours ago,9 Hundred Tons per month,7 Mbbl per month,Free Market,$546 million,138 Mbbl,Untapped,Somewhat Large,Indochina,Neutral,22243 km 2,http://blocgame.com/stats.php?id=62685,
RumBumistan,Bite Me Rum Bum,,9k active personnel,0 ships,,First World War surplus,Gandhi-like,None,Undisciplined Rabble,last online 62 hours ago,5 Hundred Tons per month,,Mixed Economy,$545 million,117 Mbbl,Untapped,None,Indochina,United States,13751 km 2,http://blocgame.com/stats.php?id=64055,
Wielkopl,taikuh,Che Guevara League,66k active personnel,0 ships,,Second World War surplus,Angelic,2 factories,Good,last online 1 hours ago,17 Hundred Tons per month,,Central Planning,$543 million,105 Mbbl,Untapped,Large,Caribbean,Soviet Union,38785 km 2,http://blocgame.com/stats.php?id=42376,
lobai91,tokarab,PIRATES,35k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Elite,last online 9 hours ago,12 Hundred Tons per month,4 Mbbl per month,Central Planning,$543 million,417 Mbbl,Untapped,Meagre,Caribbean,United States,20000 km 2,http://blocgame.com/stats.php?id=63061,
Carteles,Miss Senza,,6k active personnel,0 ships,,First World War surplus,Normal,None,Poor,last online 8 hours ago,2 Hundred Tons per month,,Free Market,$543 million,,Untapped,None,Mesoamerica,Neutral,11231 km 2,http://blocgame.com/stats.php?id=63771,
dane,josen,,7k active personnel,0 ships,,First World War surplus,Gandhi-like,None,Good,last online 172 hours ago,2 Hundred Tons per month,,Mixed Economy,$542 million,,Untapped,None,Caribbean,Neutral,16010 km 2,http://blocgame.com/stats.php?id=45877,
Khalifah,Appi jaafar,The High Council,26k active personnel,0 ships,,Second World War surplus,Normal,1 factory,Good,last online 20 hours ago,9 Hundred Tons per month,4 Mbbl per month,Central Planning,$542 million,294 Mbbl,Near Depletion,Mediocre,Pacific Rim,Soviet Union,16495 km 2,http://blocgame.com/stats.php?id=62665,
Foodstuffs,Soviet_Sandvich,Brotherhood of Nod,30k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,online now,7 Hundred Tons per month,8 Mbbl per month,Mixed Economy,$541 million,3573 Mbbl,Untapped,Small,Egypt,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=40676,
Ultios,Noctis,The Order,78k active personnel,1 ships,,Second World War surplus,Gandhi-like,3 factories,Standard,last online 2 hours ago,9 Hundred Tons per month,9 Mbbl per month,Central Planning,$540 million,527 Mbbl; 9 Mbbl,,Large,Pacific Rim,Soviet Union,32146 km 2,http://blocgame.com/stats.php?id=59917,
Narcoestado,Se�orSting,,10k active personnel,0 ships,,First World War surplus,Gandhi-like,None,Undisciplined Rabble,last online 162 hours ago,6 Hundred Tons per month,2 Mbbl per month,Free Market,$540 million,,Untapped,None,Caribbean,United States,13613 km 2,http://blocgame.com/stats.php?id=63377,
Neu-Berlin,JewWithCoins,The Order,40k active personnel,1 ships,,Second World War surplus,Gandhi-like,2 factories,Good,online now,13 Hundred Tons per month,6 Mbbl per month,Central Planning,$539 million,387 Mbbl; 6 Mbbl,Untapped,Mediocre,China,Soviet Union,30311 km 2,http://blocgame.com/stats.php?id=63504,
Titiwangsa,Orga,PIRATES,21k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Elite,last online 13 hours ago,5 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$538 million,80 Mbbl; 3 Mbbl,Untapped,Mediocre,East Indies,United States,15770 km 2,http://blocgame.com/stats.php?id=61596,
Dank Weed,Pothead,Divine League,40k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Good,last online 7 hours ago,6 Hundred Tons per month,3 Mbbl per month,Free Market,$538 million,446 Mbbl,Untapped,Small,Caribbean,United States,16090 km 2,http://blocgame.com/stats.php?id=63959,
Skhrimm,Ept24I5,,2k active personnel,0 ships,,First World War surplus,Normal,None,Undisciplined Rabble,last online 69 hours ago,2 Hundred Tons per month,,Mixed Economy,$537 million,,Untapped,None,China,Neutral,11119 km 2,http://blocgame.com/stats.php?id=54756,
