country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl
Verbona,Omar,Interpol,49k active personnel,0 ships,First World War surplus,Good,1 factory,Good,online now,10 Hundred Tons per month,5 Mbbl per month,Central Planning,$362 million,2552 Mbbl; 5 Mbbl,Plentiful,Meagre,Egypt,Soviet Union,26780 km 2,http://www.blocgame.com/stats.php?id=65345
Bowen,Rice,PIRATES,69k active personnel,0 ships,First World War surplus,Good,1 factory,Standard,online now,10 Hundred Tons per month,6 Mbbl per month,Mixed Economy,$399 million,3862 Mbbl; 6 Mbbl,,None,Mesopotamia,Neutral,29109 km 2,http://www.blocgame.com/stats.php?id=50453
Rupina,Rupina,The Federal Colonies,39k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,online now,10 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$400 million,412 Mbbl; 2 Mbbl,Untapped,None,Gran Colombia,United States,29276 km 2,http://www.blocgame.com/stats.php?id=50287
Tiad,Sizzle,Brotherhood of Nod,49k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,online now,11 Hundred Tons per month,6 Mbbl per month,Central Planning,$475 million,2593 Mbbl; 6 Mbbl,Untapped,None,Atlas,Soviet Union,34967 km 2,http://www.blocgame.com/stats.php?id=50332
Xelegor,Steph,The Order,39k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,last online 1 hours ago,12 Hundred Tons per month,2 Mbbl per month,Free Market,$370 million,513 Mbbl; 2 Mbbl,Untapped,Meagre,Amazonia,United States,31377 km 2,http://www.blocgame.com/stats.php?id=65347
Pegrram,Unhold,The Order,38k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,last online 3 hours ago,10 Hundred Tons per month,2 Mbbl per month,Central Planning,$353 million,628 Mbbl; 2 Mbbl,Untapped,None,Guinea,Soviet Union,20296 km 2,http://www.blocgame.com/stats.php?id=65383
Jibid,Varramor,The Order,47k active personnel,0 ships,First World War surplus,Good,1 factory,Good,last online 3 hours ago,10 Hundred Tons per month,1 Mbbl per month,Central Planning,$329 million,222 Mbbl; 1 Mbbl,Untapped,None,Indochina,Soviet Union,23941 km 2,http://www.blocgame.com/stats.php?id=65373
grapondiu,yamado,The Order,38k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,online now,12 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$342 million,1440 Mbbl; 2 Mbbl,Untapped,None,West Africa,Soviet Union,25905 km 2,http://www.blocgame.com/stats.php?id=65382
Igguana,Yerram,The Order,58k active personnel,0 ships,First World War surplus,Normal,2 factories,Standard,online now,12 Hundred Tons per month,3 Mbbl per month,Central Planning,$403 million,46 Mbbl,Plentiful,Meagre,Pacific Rim,Soviet Union,26655 km 2,http://www.blocgame.com/stats.php?id=65310
Menodux,Suferio,The Khilafah,38k active personnel,0 ships,Finest of the 19th century,Good,1 factory,Elite,last online 1 hours ago,11 Hundred Tons per month,5 Mbbl per month,Central Planning,$365 million,5388 Mbbl; 5 Mbbl,Untapped,None,Egypt,Soviet Union,26266 km 2,http://www.blocgame.com/stats.php?id=65396
Origanium,Kallima,The Order,48k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,online now,10 Hundred Tons per month,4 Mbbl per month,Central Planning,$338 million,419 Mbbl; 4 Mbbl,Untapped,None,The Subcontinent,Soviet Union,21890 km 2,http://www.blocgame.com/stats.php?id=65399
Costapilia,Iridom,The Order,47k active personnel,0 ships,First World War surplus,Good,1 factory,Good,online now,12 Hundred Tons per month,5 Mbbl per month,Central Planning,$343 million,1997 Mbbl; 5 Mbbl,Untapped,None,Arabia,Soviet Union,20755 km 2,http://www.blocgame.com/stats.php?id=65400
