country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_reserves,uranium,reactor,reputation,rm_prod,oil_prod
Markovia,RDM HC,http://blocgame.com/alliancestats.php?allianceid=2052,34k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 1 hours ago,rankings.php?subregion=car,The Federal Colonies,$482 million,alliancestats.php?allianceid=2052,Caribbean,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=car,27440 km 2,http://blocgame.com/stats.php?id=58369,490 Mbbl; 3 Mbbl,,,Good,8 Hundred Tons per month,3 Mbbl per month
Lepkonia,Raguixxx,http://blocgame.com/alliancestats.php?allianceid=2042,32k active personnel,0 ships,Finest of the 19th century,1 factory,Good,last online 2 hours ago,rankings.php?subregion=con,Interpol,$478 million,alliancestats.php?allianceid=2042,Southern Cone,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=con,31014 km 2,http://blocgame.com/stats.php?id=55854,129 Mbbl; 3 Mbbl,,,Questionable,9 Hundred Tons per month,3 Mbbl per month
Wafflonia,Stellarwaffle,http://blocgame.com/alliancestats.php?allianceid=2064,38k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 4 hours ago,rankings.php?subregion=egy,SPQR,$478 million,alliancestats.php?allianceid=2064,Egypt,Untapped,Small,http://blocgame.com/rankings.php?subregion=egy,27817 km 2,http://blocgame.com/stats.php?id=63064,3758 Mbbl; 6 Mbbl,,,Normal,8 Hundred Tons per month,6 Mbbl per month
Ferma,President Jacobo Vincenzo,http://blocgame.com/alliancestats.php?allianceid=2048,25k active personnel,0 ships,First World War surplus,None,Elite,last online 1 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$477 million,alliancestats.php?allianceid=2048,Southern Cone,Untapped,None,http://blocgame.com/rankings.php?subregion=con,27656 km 2,http://blocgame.com/stats.php?id=58784,178 Mbbl,,,Nice,13 Hundred Tons per month,
Yummy Foods,iiruka,http://blocgame.com/alliancestats.php?allianceid=2042,46k active personnel,0 ships,First World War surplus,1 factory,Elite,online now,rankings.php?subregion=pac,Interpol,$476 million,alliancestats.php?allianceid=2042,Pacific Rim,Plentiful,Mediocre,http://blocgame.com/rankings.php?subregion=pac,25999 km 2,http://blocgame.com/stats.php?id=54376,,,,Nice,20 Hundred Tons per month,
Memiaya,MrRoth,http://blocgame.com/alliancestats.php?allianceid=2038,44k active personnel,0 ships,First World War surplus,1 factory,Good,online now,rankings.php?subregion=car,Che Guevara League,$476 million,alliancestats.php?allianceid=2038,Caribbean,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=car,31158 km 2,http://blocgame.com/stats.php?id=62980,371 Mbbl; 2 Mbbl,,,Nice,11 Hundred Tons per month,2 Mbbl per month
Alexandrastan,TWAIN,http://blocgame.com/alliancestats.php?allianceid=2049,33k active personnel,0 ships,First World War surplus,1 factory,Good,online now,rankings.php?subregion=mes,Brotherhood of Nod,$475 million,alliancestats.php?allianceid=2049,Mesopotamia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=mes,27818 km 2,http://blocgame.com/stats.php?id=39070,2144 Mbbl; 4 Mbbl,,,Nice,8 Hundred Tons per month,4 Mbbl per month
Ladina,MightyBj�rn,http://blocgame.com/alliancestats.php?allianceid=2038,42k active personnel,0 ships,First World War surplus,None,Good,last online 2 hours ago,rankings.php?subregion=car,Che Guevara League,$475 million,alliancestats.php?allianceid=2038,Caribbean,Plentiful,Mediocre,http://blocgame.com/rankings.php?subregion=car,30389 km 2,http://blocgame.com/stats.php?id=62936,79 Mbbl,,,Isolated,11 Hundred Tons per month,
East Nubia,Tony Johnson,http://blocgame.com/alliancestats.php?allianceid=2045,57k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 2 hours ago,rankings.php?subregion=congo,The Order,$474 million,alliancestats.php?allianceid=2045,Congo,Plentiful,None,http://blocgame.com/rankings.php?subregion=congo,29780 km 2,http://blocgame.com/stats.php?id=63663,243 Mbbl,,,Mad Dog,9 Hundred Tons per month,2 Mbbl per month
Skekenhouse,Kraast,http://blocgame.com/alliancestats.php?allianceid=2049,34k active personnel,0 ships,First World War surplus,1 factory,Standard,last online 2 hours ago,rankings.php?subregion=mes,Brotherhood of Nod,$472 million,alliancestats.php?allianceid=2049,Mesopotamia,Untapped,Small,http://blocgame.com/rankings.php?subregion=mes,30995 km 2,http://blocgame.com/stats.php?id=62962,1850 Mbbl; 4 Mbbl,,,Good,14 Hundred Tons per month,4 Mbbl per month
Peach,Tanaille,http://blocgame.com/alliancestats.php?allianceid=2039,30k active personnel,0 ships,Finest of the 19th century,1 factory,Good,online now,rankings.php?subregion=mes,The High Council,$471 million,alliancestats.php?allianceid=2039,Mesopotamia,Plentiful,Mediocre,http://blocgame.com/rankings.php?subregion=mes,30919 km 2,http://blocgame.com/stats.php?id=54825,5546 Mbbl; 7 Mbbl,,,Normal,6 Hundred Tons per month,7 Mbbl per month
Derse Moon,Jack Noir,http://blocgame.com/alliancestats.php?allianceid=2045,59k active personnel,1 ships,First World War surplus,5 factories,Elite,last online 3 hours ago,rankings.php?subregion=egy,The Order,$471 million,alliancestats.php?allianceid=2045,Egypt,,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,31049 km 2,http://blocgame.com/stats.php?id=62965,15351 Mbbl,,,Good,30 Hundred Tons per month,30 Mbbl per month
pelle,pelle,http://blocgame.com/alliancestats.php?allianceid=2045,34k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 10 hours ago,rankings.php?subregion=chi,The Order,$470 million,alliancestats.php?allianceid=2045,China,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=chi,31231 km 2,http://blocgame.com/stats.php?id=52372,434 Mbbl; 3 Mbbl,,,Normal,12 Hundred Tons per month,3 Mbbl per month
Lorigan,Lorigan,http://blocgame.com/alliancestats.php?allianceid=2039,35k active personnel,0 ships,Finest of the 19th century,1 factory,Good,last online 3 hours ago,rankings.php?subregion=ama,The High Council,$469 million,alliancestats.php?allianceid=2039,Amazonia,Untapped,Small,http://blocgame.com/rankings.php?subregion=ama,30830 km 2,http://blocgame.com/stats.php?id=59787,466 Mbbl; 5 Mbbl,,,Questionable,7 Hundred Tons per month,5 Mbbl per month
Russophia,Mikhail Putin,http://blocgame.com/alliancestats.php?allianceid=2064,3k active personnel,0 ships,First World War surplus,None,Standard,last online 7 hours ago,rankings.php?subregion=ara,SPQR,$466 million,alliancestats.php?allianceid=2064,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,16667 km 2,http://blocgame.com/stats.php?id=54426,4 Mbbl,,,Angelic,2 Hundred Tons per month,4 Mbbl per month
Junoma,VicReyes,http://blocgame.com/alliancestats.php?allianceid=2048,20k active personnel,0 ships,First World War surplus,None,Elite,online now,rankings.php?subregion=con,Brotherhood of Zion,$464 million,alliancestats.php?allianceid=2048,Southern Cone,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=con,27551 km 2,http://blocgame.com/stats.php?id=40349,424 Mbbl; 1 Mbbl,,,Nice,6 Hundred Tons per month,1 Mbbl per month
Utopiastan,SilmAlpha,http://blocgame.com/alliancestats.php?allianceid=2039,39k active personnel,0 ships,Finest of the 19th century,1 factory,Good,last online 4 hours ago,rankings.php?subregion=gui,The High Council,$464 million,alliancestats.php?allianceid=2039,Guinea,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=gui,30830 km 2,http://blocgame.com/stats.php?id=56876,687 Mbbl; 2 Mbbl,,,Normal,11 Hundred Tons per month,2 Mbbl per month
RadYugoslavija,Cobraaahhh1,http://blocgame.com/alliancestats.php?allianceid=2039,37k active personnel,0 ships,Finest of the 19th century,1 factory,Elite,last online 1 hours ago,rankings.php?subregion=pac,The High Council,$459 million,alliancestats.php?allianceid=2039,Pacific Rim,,Meagre,http://blocgame.com/rankings.php?subregion=pac,27536 km 2,http://blocgame.com/stats.php?id=62615,158 Mbbl; 7 Mbbl,,,Good,11 Hundred Tons per month,7 Mbbl per month
QonoS,Tmonsta,http://blocgame.com/alliancestats.php?allianceid=2039,41k active personnel,0 ships,Finest of the 19th century,1 factory,Standard,last online 1 hours ago,rankings.php?subregion=chi,The High Council,$458 million,alliancestats.php?allianceid=2039,China,Untapped,Small,http://blocgame.com/rankings.php?subregion=chi,31158 km 2,http://blocgame.com/stats.php?id=44539,178 Mbbl; 3 Mbbl,,,Normal,10 Hundred Tons per month,3 Mbbl per month
PasirDuaButir,Col. von Strauffenberg,,12k active personnel,0 ships,Finest of the 19th century,1 factory,Elite,last online 13 hours ago,rankings.php?subregion=ind,,$458 million,,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,26947 km 2,http://blocgame.com/stats.php?id=60754,143 Mbbl,,,Nice,6 Hundred Tons per month,2 Mbbl per month
Shining Sun,Wladyslaw Gomulka,http://blocgame.com/alliancestats.php?allianceid=2041,39k active personnel,0 ships,First World War surplus,None,Good,last online 5 hours ago,rankings.php?subregion=saf,Lithuanian Coalition,$458 million,alliancestats.php?allianceid=2041,Southern Africa,Untapped,Small,http://blocgame.com/rankings.php?subregion=saf,27799 km 2,http://blocgame.com/stats.php?id=61511,241 Mbbl,,,Angelic,6 Hundred Tons per month,3 Mbbl per month
Gobi,Saint Gobi,,34k active personnel,0 ships,Finest of the 19th century,1 factory,Good,last online 2 hours ago,rankings.php?subregion=congo,,$456 million,,Congo,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=congo,27330 km 2,http://blocgame.com/stats.php?id=61919,508 Mbbl,,,Nice,7 Hundred Tons per month,2 Mbbl per month
Lewd Place,Cute Girl,http://blocgame.com/alliancestats.php?allianceid=2041,37k active personnel,0 ships,First World War surplus,None,Elite,last online 37 hours ago,rankings.php?subregion=car,Lithuanian Coalition,$455 million,alliancestats.php?allianceid=2041,Caribbean,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=car,27855 km 2,http://blocgame.com/stats.php?id=61620,963 Mbbl,,,Normal,8 Hundred Tons per month,3 Mbbl per month
The Hegemony,Peter Wiggin,http://blocgame.com/alliancestats.php?allianceid=2042,33k active personnel,0 ships,Finest of the 19th century,1 factory,Good,last online 3 hours ago,rankings.php?subregion=gra,Interpol,$453 million,alliancestats.php?allianceid=2042,Gran Colombia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=gra,27255 km 2,http://blocgame.com/stats.php?id=40840,231 Mbbl,,,Normal,2 Hundred Tons per month,1 Mbbl per month
Reim,Azrael,http://blocgame.com/alliancestats.php?allianceid=2039,49k active personnel,0 ships,Finest of the 19th century,1 factory,Good,last online 1 hours ago,rankings.php?subregion=pac,The High Council,$453 million,alliancestats.php?allianceid=2039,Pacific Rim,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=pac,28202 km 2,http://blocgame.com/stats.php?id=41073,476 Mbbl; 3 Mbbl,,,Good,9 Hundred Tons per month,3 Mbbl per month
