country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
NL-Indies,Aanv. De Vries,The Federal Colonies,28k active personnel,0 ships,Second World War surplus,Good,1 factory,Elite,last online 3 hours ago,6 Hundred Tons per month,2 Mbbl per month,Free Market,$405 million,277 Mbbl,Untapped,Somewhat Large,East Indies,United States,20000 km 2,http://blocgame.com/stats.php?id=63776,,
Serbiastan,Milosevic,,6k active personnel,0 ships,First World War surplus,Gandhi-like,None,Undisciplined Rabble,last online 70 hours ago,2 Hundred Tons per month,,Mixed Economy,$405 million,,Untapped,None,Arabia,Neutral,11020 km 2,http://blocgame.com/stats.php?id=64114,,
Felinia,Neko-sama,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 179 hours ago,2 Hundred Tons per month,,Mixed Economy,$404 million,,Untapped,None,Pacific Rim,Neutral,20000 km 2,http://blocgame.com/stats.php?id=52995,,
Nusa Java,Gussiloharno,,9k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 81 hours ago,2 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$404 million,73 Mbbl,Untapped,Small,East Indies,Neutral,12563 km 2,http://blocgame.com/stats.php?id=59205,,
Invasion Nation,Chinese Republican,Steel Brotherhood,27k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Poor,last online 1 hours ago,4 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$404 million,3 Mbbl,Untapped,Meagre,China,United States,16500 km 2,http://blocgame.com/stats.php?id=64541,,
Scavia,nike1155,The Order,59k active personnel,0 ships,First World War surplus,Angelic,1 factory,Poor,last online 1 hours ago,7 Hundred Tons per month,2 Mbbl per month,Free Market,$403 million,48 Mbbl,Plentiful,Large,Indochina,United States,16562 km 2,http://blocgame.com/stats.php?id=52275,,
Julogris,Necro,,10k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 172 hours ago,2 Hundred Tons per month,1 Mbbl per month,Central Planning,$403 million,114 Mbbl; 1 Mbbl,Untapped,None,Amazonia,Soviet Union,16667 km 2,http://blocgame.com/stats.php?id=64442,,
IRAQ CHENEY,DICK HUSSEIN,,9k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 158 hours ago,2 Hundred Tons per month,,Mixed Economy,$402 million,,Untapped,None,Mesopotamia,Neutral,16500 km 2,http://blocgame.com/stats.php?id=59881,,
Rafeal,Rafeal98,,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 45 hours ago,4 Hundred Tons per month,2 Mbbl per month,Free Market,$402 million,2 Mbbl,Untapped,Small,Amazonia,United States,20000 km 2,http://blocgame.com/stats.php?id=64358,,
Lork,Naple,,4k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 103 hours ago,2 Hundred Tons per month,,Central Planning,$402 million,,Untapped,None,Caribbean,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64526,,
El Tahib,Mossadegh,,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 10 hours ago,6 Hundred Tons per month,5 Mbbl per month,Central Planning,$401 million,957 Mbbl; 5 Mbbl,Untapped,Small,Arabia,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=64402,,
Cypentia,Drudric,,35k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Standard,last online 98 hours ago,5 Hundred Tons per month,2 Mbbl per month,Central Planning,$400 million,160 Mbbl; 2 Mbbl,Untapped,Meagre,Pacific Rim,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=59796,,
Beluncas War,RamaRama,PIRATES,34k active personnel,0 ships,Second World War surplus,Gandhi-like,3 factories,Poor,last online 11 hours ago,15 Hundred Tons per month,18 Mbbl per month,Free Market,$400 million,18 Mbbl,Untapped,Large,Pacific Rim,United States,20398 km 2,http://blocgame.com/stats.php?id=61487,,
qwertyuioppp,qwertyuioppp,Brotherhood of Nod,10k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,last online 22 hours ago,2 Hundred Tons per month,,Central Planning,$400 million,,Untapped,None,Arabia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=61873,,
Davestan,DaveRock,,4k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 124 hours ago,2 Hundred Tons per month,,Free Market,$400 million,,Untapped,None,Amazonia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64491,,
theonehundred,theonehundred,,18k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 17 hours ago,2 Hundred Tons per month,2 Mbbl per month,Free Market,$399 million,3055 Mbbl; 2 Mbbl,Untapped,None,Atlas,United States,20000 km 2,http://blocgame.com/stats.php?id=64336,,
Korhal,LordArkahm,,51k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Poor,last online 3 hours ago,3 Hundred Tons per month,,Central Planning,$398 million,686 Mbbl,Plentiful,Mediocre,Congo,Neutral,16335 km 2,http://blocgame.com/stats.php?id=61310,,
MAMI,samustwist,,10k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 160 hours ago,2 Hundred Tons per month,,Central Planning,$398 million,,Untapped,None,East Africa,Neutral,16335 km 2,http://blocgame.com/stats.php?id=64479,,
galapagos1,galapagos1,,18k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 17 hours ago,2 Hundred Tons per month,2 Mbbl per month,Free Market,$396 million,1886 Mbbl; 2 Mbbl,Untapped,None,Atlas,United States,20000 km 2,http://blocgame.com/stats.php?id=64361,,
Cazadoria,JoshGraham,,44k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Good,last online 140 hours ago,3 Hundred Tons per month,,Mixed Economy,$395 million,438 Mbbl,Untapped,Mediocre,Indochina,United States,20000 km 2,http://blocgame.com/stats.php?id=40810,,
nogoriden2,nogoriden2,,7k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Poor,last online 84 hours ago,13 Hundred Tons per month,4 Mbbl per month,Central Planning,$395 million,218 Mbbl; 4 Mbbl,Untapped,Powerful,Indochina,Soviet Union,16172 km 2,http://blocgame.com/stats.php?id=62787,,
Holy,HolyZykr,,20k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 4 hours ago,3 Hundred Tons per month,1 Mbbl per month,Central Planning,$394 million,385 Mbbl,Untapped,None,Indochina,Neutral,20000 km 2,http://blocgame.com/stats.php?id=60569,,
Horgrif,roxim teaga,,10k active personnel,0 ships,First World War surplus,Gandhi-like,None,Standard,last online 19 hours ago,5 Hundred Tons per month,1 Mbbl per month,Central Planning,$392 million,1 Mbbl,Untapped,None,Amazonia,Neutral,16335 km 2,http://blocgame.com/stats.php?id=55571,,
switzerdouch,yaboimtndew,,3k active personnel,0 ships,First World War surplus,Good,None,Undisciplined Rabble,last online 48 hours ago,2 Hundred Tons per month,,Mixed Economy,$392 million,145 Mbbl,Untapped,None,Mesoamerica,Neutral,6400 km 2,http://blocgame.com/stats.php?id=58997,,
San Vincente,Manuelo Alberto,,10k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 41 hours ago,4 Hundred Tons per month,3 Mbbl per month,Central Planning,$391 million,163 Mbbl; 3 Mbbl,Untapped,Small,Caribbean,Soviet Union,16500 km 2,http://blocgame.com/stats.php?id=55217,,
Mazov,Noiver,,4k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 103 hours ago,2 Hundred Tons per month,,Mixed Economy,$391 million,,Untapped,None,Amazonia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64533,,
New Germany,TheWhiteCoons,The Order,28k active personnel,0 ships,First World War surplus,Nice,None,Standard,last online 8 hours ago,4 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$390 million,114 Mbbl,Untapped,Small,China,Soviet Union,23990 km 2,http://blocgame.com/stats.php?id=39025,,
ruchanie,sram psa jak sra,,5k active personnel,0 ships,First World War surplus,Angelic,None,Standard,last online 135 hours ago,2 Hundred Tons per month,,Mixed Economy,$390 million,,Untapped,None,Atlas,Neutral,13091 km 2,http://blocgame.com/stats.php?id=63134,,
Glueyou,Soupcockporkpie,The Order,59k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 23 hours ago,6 Hundred Tons per month,2 Mbbl per month,Free Market,$388 million,182 Mbbl,Untapped,Meagre,Pacific Rim,United States,20000 km 2,http://blocgame.com/stats.php?id=63842,,
ONE__KOREA,kleebo_2,The Order,79k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,online now,12 Hundred Tons per month,8 Mbbl per month,Central Planning,$388 million,453 Mbbl,Untapped,Small,China,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=63934,,
Weeabo Island,misterjohnson,The Divine Council,27k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Elite,last online 7 hours ago,6 Hundred Tons per month,5 Mbbl per month,Central Planning,$388 million,2708 Mbbl; 5 Mbbl,,Mediocre,Persia,Soviet Union,20474 km 2,http://blocgame.com/stats.php?id=64179,,
Puddle of Mudd,Mr. Bossman,Brotherhood of Nod,23k active personnel,0 ships,First World War surplus,Gandhi-like,None,Undisciplined Rabble,online now,5 Hundred Tons per month,,Central Planning,$388 million,214 Mbbl,Untapped,Somewhat Large,Arabia,Soviet Union,22908 km 2,http://blocgame.com/stats.php?id=64311,,
RATHKEALE,Rathkeale,,18k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 20 hours ago,2 Hundred Tons per month,1 Mbbl per month,Central Planning,$387 million,2980 Mbbl; 1 Mbbl,Untapped,Mediocre,Mesopotamia,United States,20000 km 2,http://blocgame.com/stats.php?id=55636,,
