country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,uranium,region,alignment,territory,pageUrl
Morjei,FlairWoW,Brotherhood of Zion,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 6 hours ago,11 Hundred Tons per month,2 Mbbl per month,Central Planning,$672 million,113 Mbbl; 2 Mbbl,Untapped,Meagre,,Indochina,Soviet Union,37661 km 2,http://blocgame.com/stats.php?id=53068
Eisen,Balthazaar,The Order,32k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,online now,12 Hundred Tons per month,5 Mbbl per month,Central Planning,$671 million,388 Mbbl; 5 Mbbl,Plentiful,Large,,China,Soviet Union,42762 km 2,http://blocgame.com/stats.php?id=53566
Ambon,Chalkface,The Order,58k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 4 hours ago,15 Hundred Tons per month,5 Mbbl per month,Central Planning,$666 million,445 Mbbl; 5 Mbbl,Plentiful,Meagre,,Pacific Rim,Soviet Union,30188 km 2,http://blocgame.com/stats.php?id=42744
Valtania,Kelvin D. Makumbi,Che Guevara League,56k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Good,last online 1 hours ago,11 Hundred Tons per month,5 Mbbl per month,Central Planning,$665 million,295 Mbbl; 5 Mbbl,Untapped,Meagre,,Mesoamerica,Soviet Union,27676 km 2,http://blocgame.com/stats.php?id=62525
Asiana,El_Xanatos,The High Council,17k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,online now,12 Hundred Tons per month,2 Mbbl per month,Central Planning,$662 million,32 Mbbl; 2 Mbbl,Untapped,Small,,Indochina,United States,36500 km 2,http://blocgame.com/stats.php?id=62221
Darkstone,Trakel,The High Council,61k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 1 hours ago,19 Hundred Tons per month,11 Mbbl per month,Central Planning,$661 million,5237 Mbbl; 11 Mbbl,Untapped,Mediocre,,Arabia,Soviet Union,35666 km 2,http://blocgame.com/stats.php?id=57176
Gulam,Galak,PIRATES,61k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,online now,5 Hundred Tons per month,5 Mbbl per month,Central Planning,$657 million,556 Mbbl; 5 Mbbl,,Mediocre,,Pacific Rim,Neutral,34253 km 2,http://blocgame.com/stats.php?id=63645
Jebawka,Shetay,The Order,53k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 12 hours ago,8 Hundred Tons per month,9 Mbbl per month,Free Market,$654 million,2104 Mbbl,Untapped,Meagre,,Arabia,United States,20165 km 2,http://blocgame.com/stats.php?id=54304
Southern Africa,TheMaster_ZA,The Order,37k active personnel,0 ships,First World War surplus,Isolated,1 factory,Elite,last online 7 hours ago,10 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$650 million,255 Mbbl,Untapped,Meagre,,Southern Africa,Soviet Union,38642 km 2,http://blocgame.com/stats.php?id=48410
Markovia,RDM HC,The Federal Colonies,53k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 1 hours ago,8 Hundred Tons per month,4 Mbbl per month,Free Market,$649 million,479 Mbbl; 4 Mbbl,Untapped,Mediocre,,Caribbean,United States,31458 km 2,http://blocgame.com/stats.php?id=58369
Asians,bigyihsuan,The High Council,7k active personnel,0 ships,Finest of the 19th century,Gandhi-like,1 factory,Poor,last online 2 hours ago,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$646 million,388 Mbbl; 2 Mbbl,Untapped,None,,Pacific Rim,Neutral,16667 km 2,http://blocgame.com/stats.php?id=41551
Pooland,kurwa,Brotherhood of Zion,39k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 6 hours ago,11 Hundred Tons per month,8 Mbbl per month,Central Planning,$644 million,1985 Mbbl; 8 Mbbl,Untapped,Mediocre,,Atlas,Soviet Union,36523 km 2,http://blocgame.com/stats.php?id=49295
Zuyazayuza,Zuyazayuza,Brotherhood of Zion,65k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,online now,15 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$644 million,325 Mbbl,Untapped,Small,,Caribbean,United States,35237 km 2,http://blocgame.com/stats.php?id=62470
Bendover,Mike Hawk,Farmington Brigade,26k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 37 hours ago,5 Hundred Tons per month,1 Mbbl per month,Central Planning,$644 million,234 Mbbl; 1 Mbbl,Untapped,Meagre,,East Indies,Soviet Union,16172 km 2,http://blocgame.com/stats.php?id=62897
Tamil Kingdom,Chola I,Brotherhood of Zion,60k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,online now,21 Hundred Tons per month,7 Mbbl per month,Central Planning,$640 million,227 Mbbl; 7 Mbbl,Untapped,Small,,The Subcontinent,Soviet Union,37458 km 2,http://blocgame.com/stats.php?id=60964
Mesopotamia,Arcturus,The Order,39k active personnel,0 ships,First World War surplus,Normal,1 factory,Good,last online 17 hours ago,6 Hundred Tons per month,6 Mbbl per month,Free Market,$639 million,1778 Mbbl,Untapped,Small,,Mesopotamia,United States,33329 km 2,http://blocgame.com/stats.php?id=42045
Deklain,Otis,The High Council,30k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 8 hours ago,8 Hundred Tons per month,2 Mbbl per month,Central Planning,$638 million,186 Mbbl; 2 Mbbl,Untapped,Mediocre,,Pacific Rim,Soviet Union,33853 km 2,http://blocgame.com/stats.php?id=57066
Jemut,iwaniman/Ferozz,PIRATES,74k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Good,online now,10 Hundred Tons per month,9 Mbbl per month,Central Planning,$630 million,347 Mbbl; 9 Mbbl,Untapped,Mediocre,,East Indies,Soviet Union,33776 km 2,http://blocgame.com/stats.php?id=61811
Kek Slovakia,Fidel Kekstro,The Order,43k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 11 hours ago,7 Hundred Tons per month,5 Mbbl per month,Central Planning,$630 million,341 Mbbl; 5 Mbbl,Untapped,Mediocre,,Pacific Rim,Soviet Union,34330 km 2,http://blocgame.com/stats.php?id=63462
Texastan,Rebel Lord,Interpol,39k active personnel,0 ships,First World War surplus,Nice,1 factory,Standard,last online 2 hours ago,17 Hundred Tons per month,17 Mbbl per month,Central Planning,$628 million,3228 Mbbl; 17 Mbbl,Untapped,Meagre,,Mesopotamia,Soviet Union,36262 km 2,http://blocgame.com/stats.php?id=58149
Byzantium,The Wolf,The United Nations,34k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 7 hours ago,14 Hundred Tons per month,7 Mbbl per month,Free Market,$626 million,5167 Mbbl,Untapped,Mediocre,,Mesopotamia,United States,33379 km 2,http://blocgame.com/stats.php?id=41125
Smyrno,Mallow,The Order,39k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,last online 3 hours ago,3 Hundred Tons per month,6 Mbbl per month,Central Planning,$625 million,4783 Mbbl,Untapped,Mediocre,,Arabia,Soviet Union,34560 km 2,http://blocgame.com/stats.php?id=62960
Wafflonia,Stellarwaffle,SPQR,58k active personnel,0 ships,First World War surplus,Normal,1 factory,Good,last online 34 hours ago,9 Hundred Tons per month,6 Mbbl per month,Central Planning,$622 million,3960 Mbbl; 6 Mbbl,Untapped,Small,,Egypt,Soviet Union,30750 km 2,http://blocgame.com/stats.php?id=63064
Utopiastan,SilmAlpha,The High Council,39k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 7 hours ago,21 Hundred Tons per month,5 Mbbl per month,Central Planning,$621 million,987 Mbbl; 5 Mbbl,Untapped,Small,,Guinea,Soviet Union,35843 km 2,http://blocgame.com/stats.php?id=56876
Aeter,Anima6778,The Order,30k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 3 hours ago,11 Hundred Tons per month,2 Mbbl per month,Central Planning,$621 million,589 Mbbl; 2 Mbbl,Untapped,Small,,Congo,Soviet Union,33750 km 2,http://blocgame.com/stats.php?id=61960
Minmaxia,Reanchi,Brotherhood of Zion,42k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,online now,5 Hundred Tons per month,3 Mbbl per month,Central Planning,$620 million,3330 Mbbl; 3 Mbbl,Untapped,Small,,Mesopotamia,Soviet Union,34179 km 2,http://blocgame.com/stats.php?id=40270
mani,mani,SPQR,10k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,online now,7 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$620 million,556 Mbbl,Untapped,Meagre,,Persia,Neutral,13501 km 2,http://blocgame.com/stats.php?id=62912
Yummy Foods,iiruka,Interpol,59k active personnel,1 ships,First World War surplus,Gandhi-like,2 factories,Elite,online now,26 Hundred Tons per month,1 Mbbl per month,Free Market,$619 million,57 Mbbl; 1 Mbbl,Untapped,Mediocre,,Pacific Rim,United States,32861 km 2,http://blocgame.com/stats.php?id=54376
����������,������ �������,The High Council,39k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,last online 5 hours ago,8 Hundred Tons per month,1 Mbbl per month,Central Planning,$619 million,47 Mbbl; 1 Mbbl,Untapped,Meagre,,Gran Colombia,Soviet Union,33414 km 2,http://blocgame.com/stats.php?id=54626
Glubistan,Glub,SPQR,18k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,online now,11 Hundred Tons per month,7 Mbbl per month,Central Planning,$619 million,1732 Mbbl; 7 Mbbl,Untapped,None,,Arabia,Neutral,22695 km 2,http://blocgame.com/stats.php?id=63027
Robots,stormbot28,Interpol,58k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 12 hours ago,6 Hundred Tons per month,,Free Market,$618 million,,Untapped,Meagre,,Caribbean,United States,13613 km 2,http://blocgame.com/stats.php?id=40242
Cirno,jc99,The Federal Colonies,38k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,last online 1 hours ago,25 Hundred Tons per month,2 Mbbl per month,Free Market,$618 million,296 Mbbl,Untapped,Small,,Caribbean,United States,36239 km 2,http://blocgame.com/stats.php?id=43375
Ausmasia,Harzan15,,5k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 43 hours ago,4 Hundred Tons per month,2 Mbbl per month,Central Planning,$618 million,179 Mbbl; 2 Mbbl,Untapped,Mediocre,,Indochina,Soviet Union,13210 km 2,http://blocgame.com/stats.php?id=61817
Hajoki,Makao,The Khilafah,36k active personnel,0 ships,First World War surplus,Gandhi-like,None,Standard,last online 7 hours ago,3 Hundred Tons per month,9 Mbbl per month,Free Market,$616 million,1634 Mbbl,,Meagre,,Atlas,Soviet Union,11460 km 2,http://blocgame.com/stats.php?id=60093
ZAMENTA,ShAh FAr HAn,The Order,38k active personnel,0 ships,First World War surplus,Nice,1 factory,Standard,last online 12 hours ago,7 Hundred Tons per month,4 Mbbl per month,Central Planning,$611 million,380 Mbbl; 4 Mbbl,Untapped,Mediocre,,Pacific Rim,Soviet Union,34092 km 2,http://blocgame.com/stats.php?id=61998
Hitlerwasright,Louis C Cuck,The Order,39k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,online now,4 Hundred Tons per month,9 Mbbl per month,Free Market,$610 million,1576 Mbbl,,Mediocre,,Arabia,United States,30157 km 2,http://blocgame.com/stats.php?id=59621
temasik,lawrence,,14k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 19 hours ago,2 Hundred Tons per month,2 Mbbl per month,Central Planning,$609 million,2 Mbbl,Untapped,Small,,East Indies,United States,16172 km 2,http://blocgame.com/stats.php?id=62827
Puella-Magia,Emily,Comintern,37k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,online now,12 Hundred Tons per month,10 Mbbl per month,Central Planning,$608 million,1374 Mbbl; 10 Mbbl,Untapped,Somewhat Large,,Persia,Soviet Union,35579 km 2,http://blocgame.com/stats.php?id=35958
Rhod3sia,FreeMindInside,Brotherhood of Zion,25k active personnel,0 ships,Finest of the 19th century,Good,1 factory,Standard,last online 8 hours ago,13 Hundred Tons per month,2 Mbbl per month,Central Planning,$608 million,259 Mbbl; 2 Mbbl,Untapped,Small,,Southern Africa,Soviet Union,32772 km 2,http://blocgame.com/stats.php?id=52679
Vanan,Esler,The Order,54k active personnel,0 ships,First World War surplus,Nice,1 factory,Standard,last online 1 hours ago,10 Hundred Tons per month,3 Mbbl per month,Central Planning,$608 million,319 Mbbl; 3 Mbbl,Untapped,Small,,Congo,Soviet Union,33595 km 2,http://blocgame.com/stats.php?id=63339
The NLR,Darknight,Divine League,54k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,online now,25 Hundred Tons per month,2 Mbbl per month,Central Planning,$606 million,139 Mbbl; 2 Mbbl,Untapped,Mediocre,,Congo,Soviet Union,36778 km 2,http://blocgame.com/stats.php?id=49701
Conferan,Cryptox,The High Council,79k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,online now,9 Hundred Tons per month,5 Mbbl per month,Central Planning,$606 million,413 Mbbl,Untapped,Mediocre,,East Indies,Soviet Union,34115 km 2,http://blocgame.com/stats.php?id=56710
Krasnyyikistan,JohnTheGreat,Comintern,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,online now,2 Hundred Tons per month,7 Mbbl per month,Central Planning,$605 million,3940 Mbbl,Untapped,Small,,Arabia,Soviet Union,26091 km 2,http://blocgame.com/stats.php?id=50209
Enroth,Morglin,,9k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 156 hours ago,2 Hundred Tons per month,,Central Planning,$605 million,,Untapped,None,,West Africa,United States,13751 km 2,http://blocgame.com/stats.php?id=62546
Syphirious,Doxal,Interpol,39k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,online now,12 Hundred Tons per month,22 Mbbl per month,Central Planning,$603 million,3340 Mbbl; 22 Mbbl,Untapped,Meagre,,Mesopotamia,Soviet Union,33688 km 2,http://blocgame.com/stats.php?id=59670
Europea,AugustReed,SPQR,9k active personnel,0 ships,First World War surplus,Gandhi-like,None,Standard,last online 115 hours ago,4 Hundred Tons per month,3 Mbbl per month,Free Market,$603 million,2044 Mbbl,Untapped,Meagre,,Arabia,Neutral,13343 km 2,http://blocgame.com/stats.php?id=59848
Kukulala,Unkel,The High Council,29k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 4 hours ago,8 Hundred Tons per month,4 Mbbl per month,Free Market,$603 million,453 Mbbl,Untapped,Mediocre,1 Tons,Indochina,United States,33258 km 2,http://blocgame.com/stats.php?id=60796
Turbanistan,eromer2,The Order,28k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 2 hours ago,10 Hundred Tons per month,3 Mbbl per month,Central Planning,$603 million,512 Mbbl; 3 Mbbl,Untapped,Meagre,,The Subcontinent,Soviet Union,30082 km 2,http://blocgame.com/stats.php?id=63007
Whitey,Knee Grow,Brotherhood of Zion,35k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 9 hours ago,14 Hundred Tons per month,5 Mbbl per month,Free Market,$600 million,5384 Mbbl; 5 Mbbl,Untapped,Mediocre,,Egypt,United States,29860 km 2,http://blocgame.com/stats.php?id=4816
Scrubistan,Fernando_Shiros,Brotherhood of Nod,38k active personnel,0 ships,First World War surplus,Good,1 factory,Good,online now,14 Hundred Tons per month,14 Mbbl per month,Central Planning,$600 million,5226 Mbbl; 14 Mbbl,Plentiful,Mediocre,,Persia,Soviet Union,37387 km 2,http://blocgame.com/stats.php?id=59122
bakhang,cukobi,The Order,31k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 36 hours ago,9 Hundred Tons per month,4 Mbbl per month,Central Planning,$600 million,1045 Mbbl; 4 Mbbl,Untapped,Mediocre,,Atlas,Soviet Union,30352 km 2,http://blocgame.com/stats.php?id=60485
KaleCepo,sultan lee,The High Council,69k active personnel,1 ships,First World War surplus,Nice,2 factories,Good,online now,21 Hundred Tons per month,5 Mbbl per month,Free Market,$598 million,864 Mbbl,Untapped,Large,,East Indies,United States,40695 km 2,http://blocgame.com/stats.php?id=60711
Razgriskm,Tordus Stahl,Divine League,4k active personnel,0 ships,Finest of the 19th century,Questionable,1 factory,Undisciplined Rabble,online now,10 Hundred Tons per month,2 Mbbl per month,Central Planning,$598 million,40 Mbbl; 2 Mbbl,Plentiful,Small,,West Africa,United States,28488 km 2,http://blocgame.com/stats.php?id=63117
Irondale,Roger Red,,9k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 109 hours ago,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$597 million,2799 Mbbl,Untapped,None,,Mesopotamia,Soviet Union,13477 km 2,http://blocgame.com/stats.php?id=63209
Ivalice,Nighthawk571,Interpol,39k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,online now,8 Hundred Tons per month,8 Mbbl per month,Central Planning,$595 million,1931 Mbbl; 8 Mbbl,Untapped,Small,,Arabia,Soviet Union,31452 km 2,http://blocgame.com/stats.php?id=63060
Wladimiria,Estagon,Divine League,30k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Good,last online 6 hours ago,3 Hundred Tons per month,4 Mbbl per month,Central Planning,$592 million,4231 Mbbl,Untapped,Mediocre,,Mesopotamia,Soviet Union,31961 km 2,http://blocgame.com/stats.php?id=52318
PasirDuaButir,Col. von Strauffenberg,,10k active personnel,0 ships,Finest of the 19th century,Gandhi-like,1 factory,Good,last online 111 hours ago,6 Hundred Tons per month,2 Mbbl per month,Free Market,$592 million,102 Mbbl,Untapped,Meagre,,East Indies,Neutral,22232 km 2,http://blocgame.com/stats.php?id=60754
Argon,Argus,Interpol,34k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,online now,20 Hundred Tons per month,21 Mbbl per month,Central Planning,$590 million,2771 Mbbl; 21 Mbbl,Untapped,Mediocre,,Atlas,Soviet Union,36011 km 2,http://blocgame.com/stats.php?id=57323
Rome Reloaded,Tiberius Ceaser,SPQR,30k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 4 hours ago,8 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$589 million,2218 Mbbl,Untapped,None,,Mesopotamia,Soviet Union,13405 km 2,http://blocgame.com/stats.php?id=1421
pelle,pelle,The Order,30k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,last online 6 hours ago,17 Hundred Tons per month,3 Mbbl per month,Central Planning,$589 million,497 Mbbl; 3 Mbbl,Untapped,Somewhat Large,,China,Soviet Union,39755 km 2,http://blocgame.com/stats.php?id=52372
OnlyJuanOvue,BigGuyBane,,2k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 83 hours ago,2 Hundred Tons per month,2 Mbbl per month,Free Market,$589 million,1891 Mbbl,Untapped,None,,Arabia,Soviet Union,13343 km 2,http://blocgame.com/stats.php?id=52889
Mont Blanc,Tesco,,4k active personnel,0 ships,First World War surplus,Gandhi-like,None,Undisciplined Rabble,last online 1 hours ago,4 Hundred Tons per month,4 Mbbl per month,Mixed Economy,$588 million,1265 Mbbl; 4 Mbbl,,None,,Arabia,United States,12948 km 2,http://blocgame.com/stats.php?id=62644
Arabic Union,Comrade Izy,Brotherhood of Zion,73k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Standard,last online 12 hours ago,2 Hundred Tons per month,10 Mbbl per month,Central Planning,$586 million,3902 Mbbl; 10 Mbbl,Untapped,Meagre,,Mesopotamia,Soviet Union,35790 km 2,http://blocgame.com/stats.php?id=59855
Guatemala.,grazioso,,6k active personnel,0 ships,Finest of the 19th century,Nice,None,Poor,last online 158 hours ago,3 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$586 million,1 Mbbl,Untapped,None,,Mesoamerica,Soviet Union,13477 km 2,http://blocgame.com/stats.php?id=60701
Junoma,VicReyes,Brotherhood of Zion,20k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 1 hours ago,6 Hundred Tons per month,1 Mbbl per month,Free Market,$584 million,417 Mbbl; 1 Mbbl,Untapped,Small,,Southern Cone,United States,31241 km 2,http://blocgame.com/stats.php?id=40349
Violent Vegans,SnakeBombs,Interpol,42k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 4 hours ago,12 Hundred Tons per month,6 Mbbl per month,Mixed Economy,$584 million,4760 Mbbl; 6 Mbbl,Untapped,Small,,Atlas,Soviet Union,34236 km 2,http://blocgame.com/stats.php?id=48869
Arina,Hakir,Interpol,35k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 5 hours ago,6 Hundred Tons per month,1 Mbbl per month,Free Market,$583 million,206 Mbbl,Untapped,Mediocre,,Amazonia,United States,30995 km 2,http://blocgame.com/stats.php?id=54480
