country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
Harezland,Adam harez,The Order,61k active personnel,1 ships,First World War surplus,Gandhi-like,3 factories,Good,last online 12 hours ago,11 Hundred Tons per month,10 Mbbl per month,Central Planning,$2454 million,229 Mbbl; 10 Mbbl,Untapped,Mediocre,Pacific Rim,Neutral,16752 km 2,http://blocgame.com/stats.php?id=60587,,
temasik,lawrence,SPQR,10k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 97 hours ago,4 Hundred Tons per month,4 Mbbl per month,Central Planning,$2441 million,724 Mbbl; 4 Mbbl,,Mediocre,East Indies,United States,15603 km 2,http://blocgame.com/stats.php?id=62827,,
Krakozhia,Ilyich,Interpol,98k active personnel,2 ships,Second World War surplus,Gandhi-like,3 factories,Standard,last online 8 hours ago,20 Hundred Tons per month,4 Mbbl per month,Central Planning,$2431 million,547 Mbbl; 4 Mbbl,Untapped,Very Powerful,Pacific Rim,Soviet Union,28409 km 2,http://blocgame.com/stats.php?id=39065,,
nanas,nanas batu,The Divine Council,5k active personnel,3 ships,First World War surplus,Gandhi-like,2 factories,Elite,last online 1 hours ago,21 Hundred Tons per month,7 Mbbl per month,Central Planning,$2413 million,255 Mbbl; 7 Mbbl,Untapped,Mediocre,East Indies,Neutral,25719 km 2,http://blocgame.com/stats.php?id=61809,,
Mesopotamia,Arcturus,The Order,98k active personnel,3 ships,Second World War surplus,Angelic,3 factories,Standard,online now,24 Hundred Tons per month,15 Mbbl per month,Free Market,$2407 million,5906 Mbbl,Plentiful,Mediocre,Mesopotamia,United States,37057 km 2,http://blocgame.com/stats.php?id=42045,,
KingBding,King B,The Order,58k active personnel,4 ships,Second World War surplus,Angelic,3 factories,Good,last online 7 hours ago,19 Hundred Tons per month,3 Mbbl per month,Central Planning,$2406 million,245 Mbbl; 3 Mbbl,,Very Powerful,Southern Africa,Soviet Union,25241 km 2,http://blocgame.com/stats.php?id=63205,,
Glubistan,Glub,SPQR,88k active personnel,3 ships,Korean War surplus,Gandhi-like,3 factories,Standard,online now,25 Hundred Tons per month,13 Mbbl per month,Central Planning,$2405 million,1656 Mbbl; 13 Mbbl,Untapped,Large,Arabia,Soviet Union,24486 km 2,http://blocgame.com/stats.php?id=63027,,
south nation,presiden tote,PIRATES,70k active personnel,3 ships,Second World War surplus,Good,3 factories,Good,online now,12 Hundred Tons per month,9 Mbbl per month,Central Planning,$2393 million,394 Mbbl; 9 Mbbl,,Small,Pacific Rim,Soviet Union,42484 km 2,http://blocgame.com/stats.php?id=61911,,
Salama�a,Bacardi,The Order,56k active personnel,0 ships,Korean War surplus,Questionable,2 factories,Elite,online now,21 Hundred Tons per month,8 Mbbl per month,Central Planning,$2376 million,141 Mbbl,Untapped,Somewhat Large,Southern Cone,Soviet Union,23972 km 2,http://blocgame.com/stats.php?id=63383,,
Cameronia,Cameron Saxonson,Steel Brotherhood,58k active personnel,3 ships,Second World War surplus,Gandhi-like,2 factories,Good,online now,19 Hundred Tons per month,10 Mbbl per month,Central Planning,$2373 million,308 Mbbl; 10 Mbbl,Untapped,Large,Southern Cone,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=62688,,
Junovia,dontworryaboutit,Interpol,56k active personnel,2 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 12 hours ago,24 Hundred Tons per month,7 Mbbl per month,Free Market,$2365 million,388 Mbbl; 7 Mbbl,Plentiful,Large,Pacific Rim,Neutral,20884 km 2,http://blocgame.com/stats.php?id=63088,,
Mzab,Cuma Thurman,Steel Brotherhood,79k active personnel,4 ships,Second World War surplus,Angelic,3 factories,Good,online now,28 Hundred Tons per month,16 Mbbl per month,Central Planning,$2337 million,3967 Mbbl; 16 Mbbl,Untapped,Large,Atlas,Soviet Union,38538 km 2,http://blocgame.com/stats.php?id=63775,,5%
Asiana,El_Xanatos,The Divine Council,81k active personnel,1 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 2 hours ago,32 Hundred Tons per month,7 Mbbl per month,Central Planning,$2327 million,269 Mbbl; 7 Mbbl,Untapped,Somewhat Large,Indochina,Soviet Union,53486 km 2,http://blocgame.com/stats.php?id=62221,,
