country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
nanas,nanas batu,Misanthropics,36k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 6 hours ago,21 Hundred Tons per month,7 Mbbl per month,Central Planning,$3671 million,81 Mbbl; 7 Mbbl,,Somewhat Large,East Indies,Neutral,16750 km 2,http://blocgame.com/stats.php?id=61809,,
Zorin,NeroRPG,Interpol,39k active personnel,2 ships,Korean War surplus,Gandhi-like,2 factories,Elite,last online 18 hours ago,15 Hundred Tons per month,8 Mbbl per month,Central Planning,$3670 million,136 Mbbl; 8 Mbbl,Plentiful,Somewhat Large,Pacific Rim,Soviet Union,12767 km 2,http://blocgame.com/stats.php?id=59970,,
Glubistan,Glub,SPQR,109k active personnel,3 ships,Vietnam War surplus,Good,4 factories,Undisciplined Rabble,online now,25 Hundred Tons per month,14 Mbbl per month,Central Planning,$3659 million,1796 Mbbl; 14 Mbbl,Plentiful,Very Powerful,Arabia,Soviet Union,33967 km 2,http://blocgame.com/stats.php?id=63027,,
Eastern Eagle,MetaIndigo,Brotherhood of Nod,73k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 29 hours ago,13 Hundred Tons per month,5 Mbbl per month,Central Planning,$3650 million,5 Mbbl,Untapped,Very Powerful,The Subcontinent,Soviet Union,15693 km 2,http://blocgame.com/stats.php?id=63045,,
Alexandrastan,TWAIN,Brotherhood of Nod,59k active personnel,2 ships,Vietnam War surplus,Gandhi-like,3 factories,Standard,last online 8 hours ago,11 Hundred Tons per month,7 Mbbl per month,Mixed Economy,$3647 million,1606 Mbbl; 7 Mbbl,Untapped,Powerful,Mesopotamia,United States,28361 km 2,http://blocgame.com/stats.php?id=39070,,
al-Bahrayn,dbdb,The Order,98k active personnel,10 ships,Korean War surplus,Angelic,4 factories,Good,last online 4 hours ago,23 Hundred Tons per month,13 Mbbl per month,Central Planning,$3635 million,964 Mbbl; 13 Mbbl,Untapped,Powerful,Mesopotamia,Soviet Union,39405 km 2,http://blocgame.com/stats.php?id=59775,,
Khuzestan,Georgy Zhukov,The Federal Colonies,99k active personnel,2 ships,Second World War surplus,Gandhi-like,5 factories,Elite,last online 2 hours ago,22 Hundred Tons per month,12 Mbbl per month,Central Planning,$3621 million,2543 Mbbl; 12 Mbbl,Untapped,Very Powerful,Persia,Soviet Union,42240 km 2,http://blocgame.com/stats.php?id=48914,,2 Tons
Northmarch,Elroy,PIRATES,37k active personnel,1 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 15 hours ago,8 Hundred Tons per month,,Central Planning,$3614 million,13 Mbbl,Untapped,Very Powerful,Caribbean,United States,6302 km 2,http://blocgame.com/stats.php?id=41629,,
Large Man,LargeMan,Interpol,94k active personnel,4 ships,Vietnam War surplus,Gandhi-like,5 factories,Good,last online 4 hours ago,12 Hundred Tons per month,16 Mbbl per month,Central Planning,$3609 million,8228 Mbbl; 16 Mbbl,Untapped,Powerful,Egypt,Soviet Union,61352 km 2,http://blocgame.com/stats.php?id=52836,,
Sintra,Daniel Lima,The Order,50k active personnel,6 ships,Second World War surplus,Gandhi-like,3 factories,Elite,online now,32 Hundred Tons per month,19 Mbbl per month,Central Planning,$3609 million,135 Mbbl; 19 Mbbl,Untapped,Somewhat Large,Caribbean,Soviet Union,34775 km 2,http://blocgame.com/stats.php?id=63167,,1 Tons
Southern Africa,TheMaster_ZA,The Order,132k active personnel,7 ships,Korean War surplus,Gandhi-like,5 factories,Elite,last online 3 hours ago,40 Hundred Tons per month,6 Mbbl per month,Central Planning,$3605 million,21 Mbbl,Untapped,Large,Southern Africa,Soviet Union,51399 km 2,http://blocgame.com/stats.php?id=48410,,
pelle,pelle,The Order,94k active personnel,7 ships,Korean War surplus,Gandhi-like,5 factories,Good,last online 2 hours ago,61 Hundred Tons per month,7 Mbbl per month,Central Planning,$3588 million,661 Mbbl; 7 Mbbl,Untapped,Very Powerful,China,Soviet Union,60476 km 2,http://blocgame.com/stats.php?id=52372,,
Eastasia,accounts being deleted,The Order,96k active personnel,8 ships,Korean War surplus,Gandhi-like,4 factories,Elite,last online 7 hours ago,12 Hundred Tons per month,7 Mbbl per month,Central Planning,$3586 million,640 Mbbl; 7 Mbbl,Untapped,Large,Pacific Rim,Soviet Union,35599 km 2,http://blocgame.com/stats.php?id=63527,,
Psychotropia,President_Bloodmoney,Brotherhood of Nod,179k active personnel,14 ships,Korean War surplus,Gandhi-like,8 factories,Elite,last online 9 hours ago,46 Hundred Tons per month,16 Mbbl per month,Central Planning,$3584 million,356 Mbbl; 16 Mbbl,,Very Powerful,East Africa,Soviet Union,48497 km 2,http://blocgame.com/stats.php?id=64125,,
Cancer,Stolen,The Order,10k active personnel,0 ships,Korean War surplus,Gandhi-like,None,Elite,last online 5 hours ago,3 Hundred Tons per month,5 Mbbl per month,Central Planning,$3567 million,1687 Mbbl; 5 Mbbl,Untapped,Mediocre,Persia,Neutral,6184 km 2,http://blocgame.com/stats.php?id=58745,,
Valtania,Kelvin D. Makumbi,Dictators United,171k active personnel,9 ships,Korean War surplus,Questionable,3 factories,Standard,last online 1 hours ago,27 Hundred Tons per month,16 Mbbl per month,Central Planning,$3563 million,16 Mbbl,,Powerful,Mesoamerica,Soviet Union,44383 km 2,http://blocgame.com/stats.php?id=62525,,
Batu putih,Harzan,The Federal Colonies,2k active personnel,3 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 55 hours ago,0 Hundred Tons per month,3 Mbbl per month,Central Planning,$3535 million,,Depleted,Large,East Indies,Soviet Union,3242 km 2,http://blocgame.com/stats.php?id=61926,,
raja_png,DiDi27,PIRATES,39k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Elite,last online 17 hours ago,2 Hundred Tons per month,4 Mbbl per month,Central Planning,$3515 million,458 Mbbl; 4 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,4136 km 2,http://blocgame.com/stats.php?id=62000,,
kweensnkans,Jamal T.Ice cube,,38k active personnel,0 ships,Korean War surplus,Gandhi-like,1 factory,Good,last online 2 hours ago,7 Hundred Tons per month,4 Mbbl per month,Mixed Economy,$3512 million,2835 Mbbl,Untapped,Mediocre,Egypt,United States,17149 km 2,http://blocgame.com/stats.php?id=63345,,
Lubekran,septima,Interpol,75k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 16 hours ago,10 Hundred Tons per month,5 Mbbl per month,Central Planning,$3500 million,197 Mbbl; 5 Mbbl,Untapped,Powerful,Indochina,Soviet Union,6615 km 2,http://blocgame.com/stats.php?id=62568,,
Junoma,VicReyes,,8k active personnel,2 ships,Korean War surplus,Gandhi-like,3 factories,Standard,last online 1 hours ago,23 Hundred Tons per month,5 Mbbl per month,Free Market,$3452 million,96 Mbbl,Untapped,Very Powerful,Southern Cone,United States,21993 km 2,http://blocgame.com/stats.php?id=40349,,
Mmhat,Homermustdie,Interpol,63k active personnel,0 ships,Korean War surplus,Gandhi-like,3 factories,Elite,last online 7 hours ago,14 Hundred Tons per month,2 Mbbl per month,Central Planning,$3445 million,31 Mbbl; 2 Mbbl,Near Depletion,Large,Amazonia,Soviet Union,22257 km 2,http://blocgame.com/stats.php?id=45846,,
New Luzon,Chester E. Marquez,The Order,92k active personnel,8 ships,Korean War surplus,Gandhi-like,4 factories,Elite,last online 3 hours ago,12 Hundred Tons per month,10 Mbbl per month,Mixed Economy,$3438 million,4573 Mbbl,Untapped,Large,Egypt,Neutral,36192 km 2,http://blocgame.com/stats.php?id=63066,,
Chicken rice,Ador hitler,PIRATES,51k active personnel,3 ships,Korean War surplus,Gandhi-like,3 factories,Good,last online 2 hours ago,16 Hundred Tons per month,15 Mbbl per month,Central Planning,$3434 million,305 Mbbl; 15 Mbbl,Untapped,Large,East Indies,Neutral,20000 km 2,http://blocgame.com/stats.php?id=61750,,
One Star,Neku,Interpol,58k active personnel,7 ships,Korean War surplus,Gandhi-like,3 factories,Elite,last online 7 hours ago,4 Hundred Tons per month,4 Mbbl per month,Free Market,$3419 million,3498 Mbbl,Untapped,Very Powerful,Persia,United States,27506 km 2,http://blocgame.com/stats.php?id=57783,,
oliverhard,oliver hardwick,The Order,58k active personnel,3 ships,Second World War surplus,Angelic,5 factories,Good,last online 1 hours ago,25 Hundred Tons per month,14 Mbbl per month,Central Planning,$3416 million,1950 Mbbl; 14 Mbbl,Untapped,Very Powerful,Persia,Soviet Union,31819 km 2,http://blocgame.com/stats.php?id=53822,,
