country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,uranium,region,alignment,territory,pageUrl
pengkalan chepa,sultan pali,,12k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,last online 23 hours ago,2 Hundred Tons per month,,Free Market,$424 million,202 Mbbl,Untapped,None,,East Indies,Neutral,13613 km 2,http://blocgame.com/stats.php?id=60742
Mawlid,rotazairo,,9k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 156 hours ago,3 Hundred Tons per month,1 Mbbl per month,Free Market,$440 million,339 Mbbl,Untapped,None,,Indochina,Neutral,16335 km 2,http://blocgame.com/stats.php?id=62403
Ronia,Diego Rodriguez,,40k active personnel,0 ships,Second World War surplus,Angelic,1 factory,Poor,last online 2 hours ago,10 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$426 million,81 Mbbl; 2 Mbbl,Untapped,Meagre,,Mesoamerica,United States,20166 km 2,http://blocgame.com/stats.php?id=63005
Cuttlefish,DruidOfDiscord,Interpol,28k active personnel,0 ships,First World War surplus,Angelic,None,Good,last online 13 hours ago,3 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$408 million,280 Mbbl; 2 Mbbl,Untapped,Mediocre,,Pacific Rim,United States,24028 km 2,http://blocgame.com/stats.php?id=63884
Utopia,Ozymandias,The Order,62k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Standard,online now,10 Hundred Tons per month,19 Mbbl per month,Free Market,$416 million,3523 Mbbl,Near Depletion,Meagre,,Arabia,United States,22727 km 2,http://blocgame.com/stats.php?id=40759
Nofuksgiven,Zippy,,10k active personnel,0 ships,Finest of the 19th century,Angelic,None,Undisciplined Rabble,last online 107 hours ago,5 Hundred Tons per month,,Mixed Economy,$431 million,120 Mbbl,Untapped,None,,Indochina,Neutral,13060 km 2,http://blocgame.com/stats.php?id=58858
Neegus,Dildoge,,6k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 86 hours ago,2 Hundred Tons per month,,Mixed Economy,$420 million,,Untapped,None,,Congo,Neutral,13477 km 2,http://blocgame.com/stats.php?id=59491
BIOR KELANTOK,Krul,The High Council,39k active personnel,0 ships,First World War surplus,Angelic,1 factory,Standard,last online 11 hours ago,6 Hundred Tons per month,3 Mbbl per month,Free Market,$406 million,371 Mbbl,Untapped,Meagre,,Pacific Rim,United States,16172 km 2,http://blocgame.com/stats.php?id=61489
AloqStaq,zulhasr39680,SPQR,35k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 1 hours ago,6 Hundred Tons per month,16 Mbbl per month,Central Planning,$419 million,2162 Mbbl; 16 Mbbl,Untapped,Somewhat Large,,Atlas,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=62186
honk honk,Space Hitler,The Khilafah,43k active personnel,0 ships,First World War surplus,Gandhi-like,None,Standard,last online 5 hours ago,6 Hundred Tons per month,5 Mbbl per month,Mixed Economy,$404 million,2117 Mbbl,Near Depletion,Somewhat Large,,Mesopotamia,Soviet Union,16730 km 2,http://blocgame.com/stats.php?id=63623
