country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
GoldMoney,Money,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Standard,last online 30 hours ago,2 Hundred Tons per month,5 Mbbl per month,Mixed Economy,$318 million,1049 Mbbl; 5 Mbbl,Untapped,None,Egypt,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=65820,,
yeboi,yeboi,,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 135 hours ago,2 Hundred Tons per month,,Mixed Economy,$318 million,,Untapped,None,Arabia,Neutral,20221 km 2,http://blocgame.com/stats.php?id=65828,,
black peoples,cockmuncher200,,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 135 hours ago,2 Hundred Tons per month,,Central Planning,$318 million,,Untapped,None,East Africa,Neutral,20122 km 2,http://blocgame.com/stats.php?id=65830,,
iwgqrrqF,qlUswtNK,,17k active personnel,0 ships,Finest of the 19th century,Normal,None,Undisciplined Rabble,last online 13 hours ago,2 Hundred Tons per month,,Free Market,$318 million,,Plentiful,None,Mesopotamia,Neutral,19900 km 2,http://blocgame.com/stats.php?id=66009,,
Kukuba,amalya,Celestial Beings�,20k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 30 hours ago,4 Hundred Tons per month,2 Mbbl per month,Free Market,$317 million,3719 Mbbl; 2 Mbbl,Untapped,Small,Atlas,United States,19900 km 2,http://blocgame.com/stats.php?id=65500,,
DEADGAME,k o t,Armat Corporation,122k active personnel,0 ships,First World War surplus,Gandhi-like,None,Undisciplined Rabble,last online 112 hours ago,4 Hundred Tons per month,2 Mbbl per month,Central Planning,$317 million,4111 Mbbl; 2 Mbbl,Untapped,Meagre,Atlas,Neutral,20000 km 2,http://blocgame.com/stats.php?id=65673,,
Loroot,Commrade Justin,Interpol,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 1 hours ago,6 Hundred Tons per month,10 Mbbl per month,Central Planning,$317 million,1726 Mbbl; 10 Mbbl,Untapped,Small,Mesopotamia,Soviet Union,20300 km 2,http://blocgame.com/stats.php?id=65791,,
Quonlands,Quon,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 129 hours ago,3 Hundred Tons per month,1 Mbbl per month,Central Planning,$317 million,1 Mbbl,Untapped,None,Southern Africa,United States,20000 km 2,http://blocgame.com/stats.php?id=65851,,
Uumanmonda,Meme_Machine,,20k active personnel,0 ships,First World War surplus,Nice,None,Standard,last online 16 hours ago,2 Hundred Tons per month,2 Mbbl per month,Free Market,$317 million,3553 Mbbl,Untapped,Meagre,Persia,United States,20000 km 2,http://blocgame.com/stats.php?id=65956,,
Klupolin,Herwod,,20k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 19 hours ago,3 Hundred Tons per month,,Free Market,$317 million,,Untapped,None,China,Neutral,20000 km 2,http://blocgame.com/stats.php?id=65997,,
zCgXZOoT,AGOXKKuk,,9k active personnel,0 ships,Finest of the 19th century,Questionable,None,Undisciplined Rabble,last online 12 hours ago,2 Hundred Tons per month,,Free Market,$317 million,,Untapped,None,Mesopotamia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=66045,,
D.P.R.K,Kim Dynasty,,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 93 hours ago,2 Hundred Tons per month,,Central Planning,$316 million,,Untapped,Small,China,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=65638,,
Ontheropes,Ontheropes619,,25k active personnel,0 ships,First World War surplus,Nice,None,Elite,last online 56 hours ago,3 Hundred Tons per month,,Mixed Economy,$316 million,,Untapped,None,Caribbean,United States,20000 km 2,http://blocgame.com/stats.php?id=65934,,
AmlvHRUI,gDYmMggO,,1k active personnel,0 ships,Finest of the 19th century,Normal,None,Undisciplined Rabble,last online 13 hours ago,2 Hundred Tons per month,,Free Market,$316 million,,Untapped,None,Mesopotamia,Neutral,19885 km 2,http://blocgame.com/stats.php?id=66007,,
MoZDEDyI,iuAWhhxT,,1k active personnel,0 ships,Finest of the 19th century,Normal,None,Undisciplined Rabble,last online 13 hours ago,2 Hundred Tons per month,,Free Market,$316 million,,Untapped,None,Mesopotamia,Neutral,19900 km 2,http://blocgame.com/stats.php?id=66016,,
BtueLByG,lnHULZnU,,1k active personnel,0 ships,Finest of the 19th century,Normal,None,Undisciplined Rabble,last online 13 hours ago,2 Hundred Tons per month,,Free Market,$316 million,,Untapped,None,Mesopotamia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=66019,,
CHfKskqF,wjbaudfY,,9k active personnel,0 ships,Finest of the 19th century,Questionable,None,Undisciplined Rabble,last online 12 hours ago,2 Hundred Tons per month,,Free Market,$316 million,,Untapped,None,Mesopotamia,Neutral,19907 km 2,http://blocgame.com/stats.php?id=66039,,
bQFfkzUd,YmaNQtSA,,9k active personnel,0 ships,Finest of the 19th century,Questionable,None,Undisciplined Rabble,last online 12 hours ago,2 Hundred Tons per month,,Free Market,$316 million,,Untapped,None,Mesopotamia,Neutral,19997 km 2,http://blocgame.com/stats.php?id=66041,,
qlDhiATq,KrmDurCa,,9k active personnel,0 ships,Finest of the 19th century,Questionable,None,Undisciplined Rabble,last online 12 hours ago,2 Hundred Tons per month,,Free Market,$316 million,,Untapped,None,Mesopotamia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=66044,,
cverg,cverg,,10k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Undisciplined Rabble,last online 165 hours ago,4 Hundred Tons per month,,Mixed Economy,$315 million,,Untapped,None,China,Neutral,9742 km 2,http://blocgame.com/stats.php?id=65374,,
cyber logs,Raspberry,FUCCBOI 2000,3k active personnel,0 ships,First World War surplus,Gandhi-like,None,Undisciplined Rabble,last online 30 hours ago,2 Hundred Tons per month,,Central Planning,$315 million,,Untapped,Meagre,Congo,Soviet Union,16335 km 2,http://blocgame.com/stats.php?id=65770,,
Cold America,Lymint McClellan,The United Mixed,18k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 77 hours ago,2 Hundred Tons per month,,Mixed Economy,$315 million,57 Mbbl,Untapped,None,Southern Cone,United States,20000 km 2,http://blocgame.com/stats.php?id=65895,,
Ledouxlandia,KalEl,,20k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 38 hours ago,2 Hundred Tons per month,,Free Market,$315 million,,Untapped,None,Caribbean,Neutral,20000 km 2,http://blocgame.com/stats.php?id=65978,,
North-Edman,ADRIANEDMAN,,20k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 36 hours ago,2 Hundred Tons per month,,Free Market,$315 million,,Untapped,None,Mesopotamia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=65981,,
BellVille,abackjosh471,,25k active personnel,0 ships,First World War surplus,Good,None,Elite,last online 35 hours ago,2 Hundred Tons per month,,Free Market,$315 million,,Untapped,None,Arabia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=65984,,
Carribeanana,Dr.Brayboy,,20k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 34 hours ago,2 Hundred Tons per month,,Mixed Economy,$315 million,,Untapped,None,Caribbean,Neutral,20000 km 2,http://blocgame.com/stats.php?id=65987,,
Moreas,Thunder,,25k active personnel,0 ships,First World War surplus,Good,None,Elite,last online 33 hours ago,2 Hundred Tons per month,,Mixed Economy,$315 million,,Untapped,None,Mesopotamia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=65989,,
Fita�a,afbg94,,20k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 33 hours ago,2 Hundred Tons per month,,Central Planning,$315 million,,Untapped,None,East Indies,Neutral,20000 km 2,http://blocgame.com/stats.php?id=65990,,
Katonia,PhantomProspect,,20k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 32 hours ago,2 Hundred Tons per month,,Free Market,$315 million,,Untapped,None,Pacific Rim,Neutral,20000 km 2,http://blocgame.com/stats.php?id=65992,,
Borat,Lang Tak Minh,,20k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 31 hours ago,2 Hundred Tons per month,,Central Planning,$315 million,123 Mbbl,Untapped,None,Indochina,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=65996,,
Aethorian,truevenom,,20k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 31 hours ago,2 Hundred Tons per month,,Mixed Economy,$315 million,,Untapped,None,Southern Cone,Neutral,20000 km 2,http://blocgame.com/stats.php?id=65998,,
Cuckautism,RattlyPuddle21,,12k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 31 hours ago,2 Hundred Tons per month,,Mixed Economy,$315 million,,Untapped,None,Gran Colombia,Neutral,19800 km 2,http://blocgame.com/stats.php?id=65999,,
75575,the lad,,4k active personnel,0 ships,Finest of the 19th century,Angelic,None,Poor,last online 136 hours ago,2 Hundred Tons per month,,Mixed Economy,$314 million,415 Mbbl,Untapped,None,Arabia,Neutral,21931 km 2,http://blocgame.com/stats.php?id=65817,,
Lollerland,sebero,,20k active personnel,0 ships,Finest of the 19th century,Normal,None,Standard,last online 14 hours ago,2 Hundred Tons per month,,Mixed Economy,$314 million,344 Mbbl,Untapped,None,Indochina,Neutral,20000 km 2,http://blocgame.com/stats.php?id=66026,,
YWfPWxQU,zdaelodx,,9k active personnel,0 ships,Finest of the 19th century,Questionable,None,Undisciplined Rabble,last online 12 hours ago,2 Hundred Tons per month,,Free Market,$314 million,,Untapped,None,Mesopotamia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=66042,,
TheOneEmpire,Imperial,,20k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 78 hours ago,3 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$313 million,469 Mbbl; 1 Mbbl,Untapped,None,Mesoamerica,Neutral,20000 km 2,http://blocgame.com/stats.php?id=61338,,
Falagatan,Helmadage,,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 80 hours ago,3 Hundred Tons per month,1 Mbbl per month,Central Planning,$313 million,3930 Mbbl; 1 Mbbl,Untapped,Meagre,Arabia,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=65854,,
ZStgMUJK,EOBAOrhF,,11k active personnel,0 ships,Finest of the 19th century,Normal,None,Undisciplined Rabble,last online 13 hours ago,2 Hundred Tons per month,,Free Market,$313 million,,Untapped,None,Mesopotamia,Neutral,19900 km 2,http://blocgame.com/stats.php?id=66018,,
Shekelia,Shekelberg,,16k active personnel,0 ships,Finest of the 19th century,Angelic,None,Standard,last online 87 hours ago,4 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$312 million,3403 Mbbl; 1 Mbbl,Untapped,None,Arabia,Soviet Union,19800 km 2,http://blocgame.com/stats.php?id=40673,,
aqu,aqubest,,8k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 1 hours ago,3 Hundred Tons per month,3 Mbbl per month,Central Planning,$312 million,241 Mbbl; 3 Mbbl,,Somewhat Large,Pacific Rim,Soviet Union,19020 km 2,http://blocgame.com/stats.php?id=65733,,
R.Bulgaria,Zakov,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 162 hours ago,2 Hundred Tons per month,,Mixed Economy,$312 million,,Untapped,None,Mesopotamia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=65769,,
me dxa jogar,Luciano do youtube,,20k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 63 hours ago,3 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$312 million,1 Mbbl,Untapped,None,Amazonia,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=65939,,
