country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
Parit Sayang,Penghulu Seman,,158k active personnel,2 ships,Korean War surplus,Gandhi-like,5 factories,Good,last online 5 hours ago,50 Hundred Tons per month,11 Mbbl per month,Free Market,$642 million,11 Mbbl,Untapped,Large,East Indies,United States,47448 km 2,http://blocgame.com/stats.php?id=60573,,
Ireldan,QDAWG,,4k active personnel,0 ships,First World War surplus,Questionable,None,Undisciplined Rabble,last online 81 hours ago,2 Hundred Tons per month,,Mixed Economy,$642 million,,Untapped,None,Indochina,Neutral,1615 km 2,http://blocgame.com/stats.php?id=64011,,
PENGHASUT,pegasus,The Order,103k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Poor,last online 2 hours ago,19 Hundred Tons per month,1 Mbbl per month,Free Market,$637 million,,Untapped,Powerful,East Indies,Soviet Union,26732 km 2,http://blocgame.com/stats.php?id=64637,,
4g93,kadafi,The Order,93k active personnel,2 ships,Korean War surplus,Angelic,2 factories,Good,last online 2 hours ago,13 Hundred Tons per month,5 Mbbl per month,Central Planning,$636 million,220 Mbbl; 5 Mbbl,Untapped,Very Powerful,Pacific Rim,Soviet Union,20221 km 2,http://blocgame.com/stats.php?id=62122,,
Jerai,muadz.zulkar9,,9k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 24 hours ago,2 Hundred Tons per month,7 Mbbl per month,Free Market,$635 million,812 Mbbl; 7 Mbbl,Untapped,Meagre,Atlas,United States,14270 km 2,http://blocgame.com/stats.php?id=60621,,
Treso,Jkrowl,,5k active personnel,0 ships,Finest of the 19th century,Questionable,None,Good,last online 103 hours ago,2 Hundred Tons per month,,Mixed Economy,$635 million,,Untapped,None,Amazonia,Neutral,9293 km 2,http://blocgame.com/stats.php?id=64534,,
Crashlantis,The Great Crashimo,The Order,74k active personnel,3 ships,Second World War surplus,Gandhi-like,2 factories,Elite,online now,22 Hundred Tons per month,15 Mbbl per month,Free Market,$634 million,2108 Mbbl,Plentiful,Very Powerful,Egypt,United States,43675 km 2,http://blocgame.com/stats.php?id=50932,,
Thiepia,RulerKing,,3k active personnel,0 ships,First World War surplus,Normal,None,Undisciplined Rabble,last online 81 hours ago,1 Hundred Tons per month,,Mixed Economy,$634 million,,Plentiful,None,Indochina,Neutral,411 km 2,http://blocgame.com/stats.php?id=63846,,
cancerpls,cancerpls,,4k active personnel,0 ships,First World War surplus,Normal,None,Poor,last online 98 hours ago,2 Hundred Tons per month,,Mixed Economy,$634 million,,Untapped,None,China,Neutral,11345 km 2,http://blocgame.com/stats.php?id=64297,,
Picanninia,oppengrubenfuhrer,The Khilafah,24k active personnel,0 ships,Finest of the 19th century,Normal,1 factory,Undisciplined Rabble,last online 38 hours ago,14 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$634 million,267 Mbbl,Untapped,Meagre,East Africa,Neutral,10247 km 2,http://blocgame.com/stats.php?id=64400,,
Nascour,POlos,,4k active personnel,0 ships,Finest of the 19th century,Good,None,Good,last online 94 hours ago,2 Hundred Tons per month,,Mixed Economy,$629 million,,Untapped,None,Mesoamerica,Neutral,15917 km 2,http://blocgame.com/stats.php?id=64525,,
rendang,pokok,PIRATES,37k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 8 hours ago,13 Hundred Tons per month,1 Mbbl per month,Free Market,$628 million,96 Mbbl,,Mediocre,China,United States,28023 km 2,http://blocgame.com/stats.php?id=64630,,
