country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
Brohan,Brodolf_shitler,Brotherhood of Nod,5k active personnel,1 ships,Second World War surplus,Good,3 factories,Good,last online 16 hours ago,19 Hundred Tons per month,15 Mbbl per month,Mixed Economy,$2196 million,2894 Mbbl; 15 Mbbl,,None,Persia,Neutral,17861 km 2,http://blocgame.com/stats.php?id=40340,,
Rararaland,Whiskertoes,Brotherhood of Nod,68k active personnel,4 ships,Korean War surplus,Gandhi-like,2 factories,Good,last online 14 hours ago,24 Hundred Tons per month,18 Mbbl per month,Central Planning,$2196 million,5188 Mbbl; 18 Mbbl,,Very Powerful,Arabia,Soviet Union,40828 km 2,http://blocgame.com/stats.php?id=49272,,
DZ Djeich,StratoDZ,The Khilafah,14k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Undisciplined Rabble,last online 33 hours ago,6 Hundred Tons per month,7 Mbbl per month,Mixed Economy,$2195 million,658 Mbbl; 7 Mbbl,Plentiful,Mediocre,Atlas,Soviet Union,5025 km 2,http://blocgame.com/stats.php?id=61408,,
Bruce Man,Bat Wayn,The Order,88k active personnel,2 ships,Vietnam War surplus,Gandhi-like,4 factories,Elite,last online 18 hours ago,14 Hundred Tons per month,37 Mbbl per month,Central Planning,$2186 million,6465 Mbbl; 37 Mbbl,Untapped,Very Powerful,Arabia,Soviet Union,48769 km 2,http://blocgame.com/stats.php?id=59564,,
Rogue Nation,MR.Fernandez,The Order,80k active personnel,2 ships,Korean War surplus,Angelic,4 factories,Good,last online 1 hours ago,23 Hundred Tons per month,13 Mbbl per month,Central Planning,$2186 million,,Untapped,Very Powerful,China,Soviet Union,23172 km 2,http://blocgame.com/stats.php?id=64135,,
Northern Ghan,Hailaruds,The Order,10k active personnel,0 ships,Second World War surplus,Questionable,1 factory,Poor,last online 14 hours ago,4 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$2184 million,318 Mbbl,Untapped,Mediocre,Arabia,Neutral,6061 km 2,http://blocgame.com/stats.php?id=62344,,
Yugoslothia,Yugoslothia,Brotherhood of Nod,101k active personnel,1 ships,Korean War surplus,Gandhi-like,3 factories,Good,last online 2 hours ago,12 Hundred Tons per month,10 Mbbl per month,Free Market,$2182 million,2878 Mbbl,Untapped,Large,Egypt,United States,31284 km 2,http://blocgame.com/stats.php?id=55968,,
Italica,Lord Potash,SPQR,73k active personnel,5 ships,Korean War surplus,Gandhi-like,2 factories,Standard,online now,14 Hundred Tons per month,10 Mbbl per month,Mixed Economy,$2171 million,1490 Mbbl,Near Depletion,Large,Egypt,Soviet Union,27915 km 2,http://blocgame.com/stats.php?id=63435,,
Messer,Arathis,The Order,99k active personnel,1 ships,Korean War surplus,Gandhi-like,3 factories,Standard,last online 51 hours ago,17 Hundred Tons per month,4 Mbbl per month,Central Planning,$2163 million,365 Mbbl; 4 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,26287 km 2,http://blocgame.com/stats.php?id=52483,,
Borgasha,Magus Evergreen,The Order,95k active personnel,7 ships,Second World War surplus,Gandhi-like,2 factories,Good,online now,15 Hundred Tons per month,10 Mbbl per month,Central Planning,$2157 million,7019 Mbbl; 10 Mbbl,Untapped,Large,Atlas,Soviet Union,44261 km 2,http://blocgame.com/stats.php?id=63407,,
