country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,rm_prod,oil_prod,gdp,alliance/_source,oil_reserves,region/_text,manpower,airforce,region,territory,pageUrl,uranium
Waiwud Iwanem,Hasaki Enkou,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 64 hours ago,rankings.php?subregion=ind,,2 Hundred Tons per month,,$266 million,,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=54484,
jOOskoland,jOOsko,http://blocgame.com/alliancestats.php?allianceid=2039,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 151 hours ago,rankings.php?subregion=atl,The High Council,2 Hundred Tons per month,,$266 million,alliancestats.php?allianceid=2039,,Atlas,Untapped,None,http://blocgame.com/rankings.php?subregion=atl,20000 km 2,http://blocgame.com/stats.php?id=55410,
DynamicMemes,mememan69,http://blocgame.com/alliancestats.php?allianceid=2049,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 102 hours ago,rankings.php?subregion=saf,Brotherhood of Nod,7 Hundred Tons per month,,$266 million,alliancestats.php?allianceid=2049,,Southern Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=saf,20000 km 2,http://blocgame.com/stats.php?id=57005,
Arborea,Arbus,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 4 hours ago,rankings.php?subregion=waf,,2 Hundred Tons per month,,$266 million,,,West Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=waf,20000 km 2,http://blocgame.com/stats.php?id=57767,
Mazdoora,GireeshS,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 159 hours ago,rankings.php?subregion=ind,,2 Hundred Tons per month,,$266 million,,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=59093,
bagelbeater,Destroyer1200,,7k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 151 hours ago,rankings.php?subregion=ara,,2 Hundred Tons per month,,$266 million,,,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,15850 km 2,http://blocgame.com/stats.php?id=60136,
ZESI,alessandroro,http://blocgame.com/alliancestats.php?allianceid=2045,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 69 hours ago,rankings.php?subregion=eaf,The Order,2 Hundred Tons per month,,$266 million,alliancestats.php?allianceid=2045,,East Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=eaf,20000 km 2,http://blocgame.com/stats.php?id=60288,
Italian Lybia,Federico Dionisi,,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 151 hours ago,rankings.php?subregion=egy,,2 Hundred Tons per month,,$266 million,,,Egypt,Untapped,None,http://blocgame.com/rankings.php?subregion=egy,20000 km 2,http://blocgame.com/stats.php?id=60316,
Anak Abah,kakamin95,http://blocgame.com/alliancestats.php?allianceid=2048,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 132 hours ago,rankings.php?subregion=ind,Brotherhood of Zion,2 Hundred Tons per month,,$266 million,alliancestats.php?allianceid=2048,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60483,
Gombak,ArericH,,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 69 hours ago,rankings.php?subregion=pac,,3 Hundred Tons per month,2 Mbbl per month,$266 million,,131 Mbbl; 2 Mbbl,Pacific Rim,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=60568,
