country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
Tamarlania,Vagrant,The Order,129k active personnel,9 ships,Second World War surplus,Normal,8 factories,Good,last online 4 hours ago,74 Hundred Tons per month,67 Mbbl per month,Free Market,$2560 million,4806 Mbbl,Untapped,Very Powerful,Mesopotamia,United States,59217 km 2,http://blocgame.com/stats.php?id=61626,,5%
Shambala,Feranon,Brotherhood of Nod,59k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 13 hours ago,15 Hundred Tons per month,5 Mbbl per month,Central Planning,$2556 million,70 Mbbl; 5 Mbbl,Untapped,Large,Pacific Rim,Soviet Union,29711 km 2,http://blocgame.com/stats.php?id=41268,,5%
temasik,lawrence,SPQR,14k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Undisciplined Rabble,last online 1 hours ago,4 Hundred Tons per month,4 Mbbl per month,Central Planning,$2548 million,720 Mbbl; 4 Mbbl,,Mediocre,East Indies,United States,15603 km 2,http://blocgame.com/stats.php?id=62827,,
Brutish Empire,DarkyDonno,Brotherhood of Nod,99k active personnel,0 ships,Second World War surplus,Gandhi-like,3 factories,Elite,online now,25 Hundred Tons per month,10 Mbbl per month,Central Planning,$2531 million,50 Mbbl; 10 Mbbl,,Large,China,Soviet Union,33209 km 2,http://blocgame.com/stats.php?id=57265,,
Femtonesia,1101,Comintern,6k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 156 hours ago,42 Hundred Tons per month,6 Mbbl per month,Mixed Economy,$2522 million,6 Mbbl,Untapped,Mediocre,Pacific Rim,Neutral,27217 km 2,http://blocgame.com/stats.php?id=63083,,
Alamo,linksith,SPQR,68k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 22 hours ago,10 Hundred Tons per month,2 Mbbl per month,Free Market,$2508 million,4344 Mbbl,Untapped,Somewhat Large,Mesopotamia,United States,16148 km 2,http://blocgame.com/stats.php?id=40536,,
Harezland,Adam harez,The Order,61k active personnel,1 ships,First World War surplus,Gandhi-like,3 factories,Good,last online 11 hours ago,11 Hundred Tons per month,10 Mbbl per month,Central Planning,$2500 million,219 Mbbl; 10 Mbbl,Untapped,Mediocre,Pacific Rim,Neutral,16752 km 2,http://blocgame.com/stats.php?id=60587,,
Lorigan,Lorigan,The Divine Council,79k active personnel,2 ships,Second World War surplus,Gandhi-like,3 factories,Standard,last online 5 hours ago,29 Hundred Tons per month,8 Mbbl per month,Central Planning,$2498 million,129 Mbbl; 8 Mbbl,Untapped,Large,Amazonia,Soviet Union,39396 km 2,http://blocgame.com/stats.php?id=59787,,
nanas,nanas batu,The Divine Council,5k active personnel,3 ships,First World War surplus,Gandhi-like,2 factories,Elite,online now,21 Hundred Tons per month,7 Mbbl per month,Central Planning,$2488 million,248 Mbbl; 7 Mbbl,Untapped,Mediocre,East Indies,Neutral,25719 km 2,http://blocgame.com/stats.php?id=61809,,
Krakozhia,Ilyich,Interpol,98k active personnel,2 ships,Korean War surplus,Gandhi-like,3 factories,Standard,online now,20 Hundred Tons per month,4 Mbbl per month,Central Planning,$2461 million,543 Mbbl; 4 Mbbl,Untapped,Very Powerful,Pacific Rim,Soviet Union,28409 km 2,http://blocgame.com/stats.php?id=39065,,
KingBding,King B,The Order,58k active personnel,5 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 7 hours ago,19 Hundred Tons per month,3 Mbbl per month,Central Planning,$2451 million,242 Mbbl; 3 Mbbl,Plentiful,Very Powerful,Southern Africa,Soviet Union,25241 km 2,http://blocgame.com/stats.php?id=63205,,
Mesopotamia,Arcturus,The Order,98k active personnel,3 ships,Second World War surplus,Angelic,3 factories,Standard,last online 10 hours ago,24 Hundred Tons per month,16 Mbbl per month,Free Market,$2439 million,5890 Mbbl,Untapped,Mediocre,Mesopotamia,United States,37057 km 2,http://blocgame.com/stats.php?id=42045,,
