country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
Kota Tinggi,ainyzrul,Che Guevara League,21k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 12 hours ago,10 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$539 million,320 Mbbl,Untapped,Mediocre,Caribbean,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=63120,,
Nahrin,Mahzuz Al-Qanun,PIRATES,34k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Elite,last online 11 hours ago,3 Hundred Tons per month,2 Mbbl per month,Central Planning,$538 million,143 Mbbl; 2 Mbbl,Untapped,Mediocre,East Indies,Soviet Union,19602 km 2,http://blocgame.com/stats.php?id=62160,1 Tons,
TheDesertFox,DesertFox,The High Council,35k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Standard,last online 9 hours ago,7 Hundred Tons per month,4 Mbbl per month,Central Planning,$537 million,386 Mbbl; 4 Mbbl,Untapped,Powerful,Pacific Rim,Soviet Union,23663 km 2,http://blocgame.com/stats.php?id=52368,,
Daun Pisang,Shahidan,Divine League,44k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 42 hours ago,7 Hundred Tons per month,7 Mbbl per month,Free Market,$536 million,286 Mbbl; 7 Mbbl,Untapped,Large,East Indies,United States,23250 km 2,http://blocgame.com/stats.php?id=60607,,
Octobia,Octo,The Federal Colonies,70k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Standard,last online 11 hours ago,6 Hundred Tons per month,8 Mbbl per month,Central Planning,$536 million,3921 Mbbl; 8 Mbbl,Plentiful,Small,Arabia,Soviet Union,39104 km 2,http://blocgame.com/stats.php?id=61272,,
hollywoodundead,batmanthing2222,,8k active personnel,0 ships,First World War surplus,Gandhi-like,None,Undisciplined Rabble,last online 158 hours ago,6 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$535 million,3253 Mbbl; 3 Mbbl,Untapped,None,Arabia,Neutral,9175 km 2,http://blocgame.com/stats.php?id=59629,,
Subcarpathia,Munmen,Divine League,51k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 11 hours ago,11 Hundred Tons per month,6 Mbbl per month,Free Market,$535 million,3012 Mbbl,Untapped,Mediocre,Arabia,United States,24819 km 2,http://blocgame.com/stats.php?id=63976,,
Republic Dank,Dank de von Psstoyeur,Brotherhood of Nod,8k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Standard,last online 103 hours ago,8 Hundred Tons per month,4 Mbbl per month,Central Planning,$534 million,3662 Mbbl; 4 Mbbl,Untapped,Mediocre,Arabia,Soviet Union,16335 km 2,http://blocgame.com/stats.php?id=58562,,
Dimaster,Urnerun,Che Guevara League,44k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 9 hours ago,9 Hundred Tons per month,4 Mbbl per month,Mixed Economy,$533 million,300 Mbbl; 4 Mbbl,,Small,Caribbean,Soviet Union,19602 km 2,http://blocgame.com/stats.php?id=49731,,
Skhimm,Ept2415,Brotherhood of Nod,90k active personnel,0 ships,First World War surplus,Good,1 factory,Standard,last online 2 hours ago,19 Hundred Tons per month,20 Mbbl per month,Central Planning,$533 million,5770 Mbbl; 20 Mbbl,Untapped,Powerful,Persia,Soviet Union,20803 km 2,http://blocgame.com/stats.php?id=52362,,
