country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium
Mzab,Cuma Thurman,Brotherhood of Zion,34k active personnel,0 ships,First World War surplus,Isolated,1 factory,Elite,online now,7 Hundred Tons per month,5 Mbbl per month,Central Planning,$573 million,4619 Mbbl; 5 Mbbl,Untapped,Small,Atlas,Soviet Union,29964 km 2,http://blocgame.com/stats.php?id=63775,
Syphirious,Doxal,Interpol,39k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,last online 3 hours ago,12 Hundred Tons per month,18 Mbbl per month,Central Planning,$570 million,3401 Mbbl; 18 Mbbl,Untapped,Meagre,Mesopotamia,Soviet Union,33688 km 2,http://blocgame.com/stats.php?id=59670,
Junoma,VicReyes,Brotherhood of Zion,20k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,online now,6 Hundred Tons per month,1 Mbbl per month,Free Market,$569 million,420 Mbbl; 1 Mbbl,Untapped,Small,Southern Cone,United States,31241 km 2,http://blocgame.com/stats.php?id=40349,
Ambon,Chalkface,The Order,60k active personnel,0 ships,First World War surplus,Angelic,1 factory,Standard,online now,10 Hundred Tons per month,3 Mbbl per month,Central Planning,$568 million,415 Mbbl; 3 Mbbl,Plentiful,Meagre,Pacific Rim,Soviet Union,27493 km 2,http://blocgame.com/stats.php?id=42744,
Khuzestan,Georgy Zhukov,The Federal Colonies,34k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,online now,7 Hundred Tons per month,4 Mbbl per month,Central Planning,$568 million,2258 Mbbl; 4 Mbbl,Untapped,Mediocre,Persia,Soviet Union,33858 km 2,http://blocgame.com/stats.php?id=48914,
FlySoGood,ycheez,Brotherhood of Zion,50k active personnel,0 ships,First World War surplus,Nice,1 factory,Standard,last online 1 hours ago,11 Hundred Tons per month,10 Mbbl per month,Free Market,$568 million,2017 Mbbl,Untapped,Meagre,Atlas,United States,32051 km 2,http://blocgame.com/stats.php?id=54541,
KaleCepo,sultan lee,The High Council,69k active personnel,0 ships,First World War surplus,Nice,2 factories,Good,online now,19 Hundred Tons per month,5 Mbbl per month,Free Market,$566 million,864 Mbbl,Untapped,Somewhat Large,East Indies,United States,37195 km 2,http://blocgame.com/stats.php?id=60711,
bakhang,cukobi,The Order,31k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,last online 5 hours ago,9 Hundred Tons per month,4 Mbbl per month,Central Planning,$564 million,1057 Mbbl; 4 Mbbl,Untapped,Mediocre,Atlas,Soviet Union,30352 km 2,http://blocgame.com/stats.php?id=60485,
Southern Africa,TheMaster_ZA,The Order,37k active personnel,0 ships,First World War surplus,Isolated,1 factory,Elite,online now,6 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$563 million,263 Mbbl; 2 Mbbl,Untapped,Meagre,Southern Africa,United States,36396 km 2,http://blocgame.com/stats.php?id=48410,
Zuyazayuza,Zuyazayuza,Brotherhood of Zion,37k active personnel,0 ships,Finest of the 19th century,Angelic,1 factory,Elite,last online 5 hours ago,15 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$562 million,269 Mbbl,Untapped,Small,Caribbean,United States,31264 km 2,http://blocgame.com/stats.php?id=62470,
Asiana,El_Xanatos,The High Council,17k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,online now,8 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$560 million,28 Mbbl; 2 Mbbl,Untapped,Small,Indochina,United States,33778 km 2,http://blocgame.com/stats.php?id=62221,
jongos,barros,,13k active personnel,0 ships,First World War surplus,Gandhi-like,None,Standard,last online 9 hours ago,4 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$558 million,27 Mbbl; 3 Mbbl,Untapped,None,East Indies,Neutral,11345 km 2,http://blocgame.com/stats.php?id=61892,
Wielkopl,taikuh,Che Guevara League,58k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,last online 1 hours ago,17 Hundred Tons per month,,Central Planning,$557 million,53 Mbbl,Untapped,Mediocre,Caribbean,Soviet Union,33865 km 2,http://blocgame.com/stats.php?id=42376,
Swagvila,Saddam Hussgay,Divine League,35k active personnel,0 ships,First World War surplus,Angelic,None,Good,last online 3 hours ago,5 Hundred Tons per month,,Central Planning,$557 million,23 Mbbl,Plentiful,Small,China,Soviet Union,26619 km 2,http://blocgame.com/stats.php?id=45990,
Hatmistan,Pertti II,Al-Qassam Brigades,39k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 1 hours ago,5 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$557 million,2114 Mbbl; 3 Mbbl,Untapped,Mediocre,Atlas,Soviet Union,30995 km 2,http://blocgame.com/stats.php?id=46162,
Glubistan,Glub,SPQR,18k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,online now,8 Hundred Tons per month,5 Mbbl per month,Central Planning,$556 million,1752 Mbbl; 5 Mbbl,Untapped,None,Arabia,Neutral,22695 km 2,http://blocgame.com/stats.php?id=63027,
GoldGrass,Guy Tash,,7k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 164 hours ago,2 Hundred Tons per month,,Mixed Economy,$554 million,,Untapped,None,China,Neutral,16335 km 2,http://blocgame.com/stats.php?id=40668,
Arina,Hakir,Interpol,35k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,online now,6 Hundred Tons per month,1 Mbbl per month,Free Market,$553 million,209 Mbbl,Untapped,Mediocre,Amazonia,United States,30995 km 2,http://blocgame.com/stats.php?id=54480,
Ivalice,Nighthawk571,Interpol,39k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 11 hours ago,7 Hundred Tons per month,6 Mbbl per month,Central Planning,$553 million,1951 Mbbl; 6 Mbbl,Untapped,Meagre,Arabia,Soviet Union,31315 km 2,http://blocgame.com/stats.php?id=63060,
Lepkonia,Raguixxx,Interpol,49k active personnel,0 ships,First World War surplus,Good,1 factory,Good,online now,12 Hundred Tons per month,4 Mbbl per month,Central Planning,$551 million,145 Mbbl; 4 Mbbl,Plentiful,Mediocre,Southern Cone,Soviet Union,33990 km 2,http://blocgame.com/stats.php?id=55854,
Mongolstan,Khan,Brotherhood of Zion,39k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,last online 9 hours ago,15 Hundred Tons per month,3 Mbbl per month,Central Planning,$549 million,526 Mbbl; 3 Mbbl,Untapped,Small,China,Soviet Union,33209 km 2,http://blocgame.com/stats.php?id=47945,
Vilnus,Jurij Owsienko,Lithuanian Coalition,55k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 10 hours ago,12 Hundred Tons per month,18 Mbbl per month,Central Planning,$549 million,3218 Mbbl; 18 Mbbl,Untapped,Mediocre,Atlas,Soviet Union,34193 km 2,http://blocgame.com/stats.php?id=61610,
Plebs,plebeian,,8k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 163 hours ago,2 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$549 million,389 Mbbl; 1 Mbbl,Untapped,None,Indochina,Neutral,16335 km 2,http://blocgame.com/stats.php?id=63017,
Kyranistan,Michael Hussain,Brotherhood of Nod,34k active personnel,0 ships,First World War surplus,Pariah,None,Good,last online 2 hours ago,6 Hundred Tons per month,6 Mbbl per month,Central Planning,$548 million,8361 Mbbl; 6 Mbbl,Untapped,Mediocre,Persia,Soviet Union,29712 km 2,http://blocgame.com/stats.php?id=61263,
Conrad,Waled,Al-Qassam Brigades,29k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 1 hours ago,9 Hundred Tons per month,9 Mbbl per month,Mixed Economy,$547 million,5057 Mbbl; 9 Mbbl,Near Depletion,Meagre,Egypt,United States,23085 km 2,http://blocgame.com/stats.php?id=62640,
axiology,Cameron Love,,14k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 165 hours ago,3 Hundred Tons per month,1 Mbbl per month,Central Planning,$546 million,1 Mbbl,Untapped,None,China,Neutral,19800 km 2,http://blocgame.com/stats.php?id=44315,
Mangkok,MangkukHayun,The High Council,62k active personnel,0 ships,Finest of the 19th century,Gandhi-like,1 factory,Standard,last online 6 hours ago,7 Hundred Tons per month,5 Mbbl per month,Mixed Economy,$546 million,225 Mbbl,Untapped,Small,East Indies,Neutral,32206 km 2,http://blocgame.com/stats.php?id=62210,
OurTown,StarlightGlimmer,The Order,38k active personnel,0 ships,First World War surplus,Normal,1 factory,Poor,online now,7 Hundred Tons per month,6 Mbbl per month,Central Planning,$544 million,3820 Mbbl,Plentiful,Mediocre,Persia,Soviet Union,34823 km 2,http://blocgame.com/stats.php?id=51681,
Uzbekistanstan,Shaikh Zayer,The Order,30k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,online now,9 Hundred Tons per month,2 Mbbl per month,Free Market,$542 million,475 Mbbl,,Small,Congo,United States,29895 km 2,http://blocgame.com/stats.php?id=47207,
the Haunted,thedrunkenarchitect,Brotherhood of Zion,29k active personnel,0 ships,First World War surplus,Good,1 factory,Good,online now,8 Hundred Tons per month,4 Mbbl per month,Central Planning,$542 million,354 Mbbl; 4 Mbbl,Untapped,Small,Southern Africa,Soviet Union,30025 km 2,http://blocgame.com/stats.php?id=63020,
Rome Reloaded,Tiberius Ceaser,SPQR,7k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,online now,6 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$540 million,2667 Mbbl,Untapped,None,Mesopotamia,Soviet Union,16085 km 2,http://blocgame.com/stats.php?id=1421,
Leche,ElHombreLeche,TheAccountantRevenge,28k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 1 hours ago,5 Hundred Tons per month,2 Mbbl per month,Central Planning,$539 million,3040 Mbbl; 2 Mbbl,Untapped,Somewhat Large,Persia,Soviet Union,32482 km 2,http://blocgame.com/stats.php?id=62425,
Bendover,Mike Hawk,Farmington Brigade,26k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,online now,5 Hundred Tons per month,1 Mbbl per month,Central Planning,$539 million,237 Mbbl; 1 Mbbl,Untapped,Meagre,East Indies,Soviet Union,16172 km 2,http://blocgame.com/stats.php?id=62897,
Kritch,Zorn,Brotherhood of Nod,35k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,last online 12 hours ago,5 Hundred Tons per month,1 Mbbl per month,Central Planning,$539 million,535 Mbbl; 1 Mbbl,Untapped,Mediocre,The Subcontinent,Soviet Union,26022 km 2,http://blocgame.com/stats.php?id=63155,
Reim,Azrael,The High Council,59k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 1 hours ago,12 Hundred Tons per month,4 Mbbl per month,Central Planning,$538 million,476 Mbbl; 4 Mbbl,Untapped,Meagre,Pacific Rim,Soviet Union,32917 km 2,http://blocgame.com/stats.php?id=41073,
Lewd Place,Cute Girl,Lithuanian Coalition,42k active personnel,0 ships,First World War surplus,Angelic,None,Elite,last online 23 hours ago,14 Hundred Tons per month,6 Mbbl per month,Mixed Economy,$538 million,932 Mbbl,Untapped,Small,Caribbean,Soviet Union,31320 km 2,http://blocgame.com/stats.php?id=61620,
Opallia,Opal,The Order,31k active personnel,0 ships,First World War surplus,Questionable,None,Good,online now,5 Hundred Tons per month,,Free Market,$538 million,,Untapped,Small,Mesoamerica,United States,30323 km 2,http://blocgame.com/stats.php?id=63666,
Nova Scotia,aspqrz,,8k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Standard,last online 151 hours ago,3 Hundred Tons per month,,Mixed Economy,$537 million,299 Mbbl,Untapped,None,Caribbean,United States,16335 km 2,http://blocgame.com/stats.php?id=47047,
place in asia,Fomalhaut,The Order,41k active personnel,0 ships,Finest of the 19th century,Normal,1 factory,Good,last online 3 hours ago,4 Hundred Tons per month,5 Mbbl per month,Central Planning,$537 million,187 Mbbl; 5 Mbbl,Untapped,None,Pacific Rim,Soviet Union,28216 km 2,http://blocgame.com/stats.php?id=63538,
RAM,moussa,,6k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 164 hours ago,2 Hundred Tons per month,,Mixed Economy,$536 million,,Untapped,None,China,Neutral,16172 km 2,http://blocgame.com/stats.php?id=49035,
Modov,Ryaphor,,9k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 160 hours ago,2 Hundred Tons per month,,Mixed Economy,$536 million,,Untapped,None,Caribbean,Neutral,16335 km 2,http://blocgame.com/stats.php?id=58306,
Place,vvv317,,7k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 163 hours ago,2 Hundred Tons per month,,Mixed Economy,$536 million,,Untapped,None,China,Neutral,16335 km 2,http://blocgame.com/stats.php?id=59882,
Magical Horses,Tzafety,Divine League,33k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,last online 10 hours ago,11 Hundred Tons per month,11 Mbbl per month,Central Planning,$535 million,2898 Mbbl; 11 Mbbl,Untapped,Somewhat Large,Arabia,Soviet Union,33824 km 2,http://blocgame.com/stats.php?id=51070,
Robots,stormbot28,Interpol,58k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,last online 6 hours ago,4 Hundred Tons per month,,Free Market,$534 million,,Untapped,Meagre,Caribbean,United States,13613 km 2,http://blocgame.com/stats.php?id=40242,
Skekenhouse,Kraast,Brotherhood of Nod,34k active personnel,0 ships,Second World War surplus,Nice,1 factory,Elite,last online 1 hours ago,15 Hundred Tons per month,4 Mbbl per month,Central Planning,$534 million,2521 Mbbl; 4 Mbbl,Untapped,Mediocre,Mesopotamia,Soviet Union,35639 km 2,http://blocgame.com/stats.php?id=62962,
Spooktune,Spookwave,Brotherhood of Zion,32k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,last online 1 hours ago,8 Hundred Tons per month,4 Mbbl per month,Central Planning,$534 million,453 Mbbl; 4 Mbbl,Untapped,Mediocre,China,Soviet Union,30995 km 2,http://blocgame.com/stats.php?id=62983,
Parnasus,thesageape,Brotherhood of Nod,10k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 155 hours ago,2 Hundred Tons per month,4 Mbbl per month,Central Planning,$532 million,3008 Mbbl; 4 Mbbl,Untapped,None,Mesopotamia,Neutral,16500 km 2,http://blocgame.com/stats.php?id=62232,
Texastan,Rebel Lord,Interpol,39k active personnel,0 ships,First World War surplus,Nice,1 factory,Standard,last online 11 hours ago,16 Hundred Tons per month,14 Mbbl per month,Central Planning,$531 million,2923 Mbbl; 14 Mbbl,Untapped,Meagre,Mesopotamia,Soviet Union,34016 km 2,http://blocgame.com/stats.php?id=58149,
