country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl
Bowen,Rice,PIRATES,69k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,online now,10 Hundred Tons per month,6 Mbbl per month,Mixed Economy,$322 million,3814 Mbbl; 6 Mbbl,Untapped,None,Mesopotamia,Neutral,29109 km 2,http://www.blocgame.com/stats.php?id=50453
Rupina,Rupina,The Federal Colonies,53k active personnel,0 ships,First World War surplus,Angelic,1 factory,Standard,last online 13 hours ago,10 Hundred Tons per month,2 Mbbl per month,Free Market,$424 million,466 Mbbl; 2 Mbbl,Untapped,Mediocre,Gran Colombia,United States,32909 km 2,http://www.blocgame.com/stats.php?id=50287
Tiad,Sizzle,Brotherhood of Nod,57k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 13 hours ago,11 Hundred Tons per month,6 Mbbl per month,Central Planning,$518 million,2545 Mbbl; 6 Mbbl,Untapped,None,Atlas,Soviet Union,44033 km 2,http://www.blocgame.com/stats.php?id=50332
Xelegor,Steph,The Order,39k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 14 hours ago,12 Hundred Tons per month,2 Mbbl per month,Free Market,$317 million,497 Mbbl; 2 Mbbl,Untapped,Meagre,Amazonia,United States,35310 km 2,http://www.blocgame.com/stats.php?id=65347
Pegrram,Unhold,The Order,68k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 14 hours ago,10 Hundred Tons per month,2 Mbbl per month,Central Planning,$490 million,973 Mbbl; 2 Mbbl,,Small,Guinea,Soviet Union,25109 km 2,http://www.blocgame.com/stats.php?id=65383
Jibid,Varramor,The Order,59k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,online now,10 Hundred Tons per month,1 Mbbl per month,Central Planning,$372 million,244 Mbbl; 1 Mbbl,Untapped,None,Indochina,Soviet Union,26232 km 2,http://www.blocgame.com/stats.php?id=65373
grapondiu,yamado,The Order,48k active personnel,2 ships,First World War surplus,Gandhi-like,2 factories,Good,last online 14 hours ago,12 Hundred Tons per month,2 Mbbl per month,Central Planning,$403 million,1424 Mbbl; 2 Mbbl,Untapped,Mediocre,West Africa,Soviet Union,31747 km 2,http://www.blocgame.com/stats.php?id=65382
Igguana,Yerram,The Order,58k active personnel,0 ships,First World War surplus,Nice,2 factories,Standard,last online 14 hours ago,12 Hundred Tons per month,3 Mbbl per month,Central Planning,$483 million,53 Mbbl,Untapped,Meagre,Pacific Rim,Soviet Union,27990 km 2,http://www.blocgame.com/stats.php?id=65310
Menodux,Suferio,The Khilafah,48k active personnel,2 ships,First World War surplus,Angelic,2 factories,Good,last online 14 hours ago,11 Hundred Tons per month,5 Mbbl per month,Central Planning,$434 million,6542 Mbbl; 5 Mbbl,Untapped,Mediocre,Egypt,Soviet Union,28716 km 2,http://www.blocgame.com/stats.php?id=65396
Origanium,Kallima,The Order,68k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,online now,10 Hundred Tons per month,4 Mbbl per month,Central Planning,$381 million,387 Mbbl; 4 Mbbl,Untapped,Meagre,The Subcontinent,Soviet Union,21890 km 2,http://www.blocgame.com/stats.php?id=65399
Costapilia,Iridom,The Order,69k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,online now,12 Hundred Tons per month,5 Mbbl per month,Mixed Economy,$472 million,1957 Mbbl; 5 Mbbl,,None,Arabia,Soviet Union,24388 km 2,http://www.blocgame.com/stats.php?id=65400
