country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium
Asiana,El_Xanatos,The High Council,17k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,last online 2 hours ago,12 Hundred Tons per month,2 Mbbl per month,Central Planning,$672 million,30 Mbbl; 2 Mbbl,Untapped,Small,Indochina,United States,36500 km 2,http://blocgame.com/stats.php?id=62221,
Eisen,Balthazaar,The Order,32k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,online now,12 Hundred Tons per month,5 Mbbl per month,Central Planning,$671 million,383 Mbbl; 5 Mbbl,Untapped,Large,China,Soviet Union,42762 km 2,http://blocgame.com/stats.php?id=53566,
Spooktune,Spookwave,Brotherhood of Zion,39k active personnel,0 ships,First World War surplus,Angelic,1 factory,Standard,last online 1 hours ago,10 Hundred Tons per month,4 Mbbl per month,Central Planning,$668 million,484 Mbbl; 4 Mbbl,Plentiful,Mediocre,China,Soviet Union,33957 km 2,http://blocgame.com/stats.php?id=62983,
Russophia,Mikhail Putin,SPQR,9k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Elite,last online 4 hours ago,2 Hundred Tons per month,4 Mbbl per month,Central Planning,$665 million,4 Mbbl,Untapped,None,Arabia,Soviet Union,11575 km 2,http://blocgame.com/stats.php?id=54426,
Ambon,Chalkface,The Order,43k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 1 hours ago,15 Hundred Tons per month,5 Mbbl per month,Central Planning,$664 million,440 Mbbl; 5 Mbbl,Plentiful,Meagre,Pacific Rim,Soviet Union,29589 km 2,http://blocgame.com/stats.php?id=42744,
mani,mani,SPQR,10k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 8 hours ago,7 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$664 million,553 Mbbl,Untapped,Meagre,Persia,Neutral,13501 km 2,http://blocgame.com/stats.php?id=62912,
Markovia,RDM HC,The Federal Colonies,59k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,online now,8 Hundred Tons per month,4 Mbbl per month,Free Market,$660 million,475 Mbbl; 4 Mbbl,Untapped,Mediocre,Caribbean,United States,31896 km 2,http://blocgame.com/stats.php?id=58369,
the Haunted,thedrunkenarchitect,Brotherhood of Zion,33k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,online now,10 Hundred Tons per month,4 Mbbl per month,Central Planning,$660 million,381 Mbbl; 4 Mbbl,Untapped,Somewhat Large,Southern Africa,Soviet Union,32253 km 2,http://blocgame.com/stats.php?id=63020,
FlySoGood,ycheez,Brotherhood of Zion,58k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,online now,12 Hundred Tons per month,11 Mbbl per month,Free Market,$658 million,2611 Mbbl,Untapped,Mediocre,Atlas,United States,36582 km 2,http://blocgame.com/stats.php?id=54541,
Gulam,Galak,PIRATES,62k active personnel,0 ships,First World War surplus,Questionable,1 factory,Elite,online now,5 Hundred Tons per month,5 Mbbl per month,Central Planning,$658 million,551 Mbbl; 5 Mbbl,,Mediocre,Pacific Rim,Soviet Union,34852 km 2,http://blocgame.com/stats.php?id=63645,
Mesopotamia,Arcturus,The Order,59k active personnel,0 ships,First World War surplus,Normal,1 factory,Standard,online now,7 Hundred Tons per month,6 Mbbl per month,Free Market,$654 million,1772 Mbbl,,Small,Mesopotamia,United States,33329 km 2,http://blocgame.com/stats.php?id=42045,
Darkstone,Trakel,The High Council,61k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,online now,20 Hundred Tons per month,13 Mbbl per month,Central Planning,$654 million,5224 Mbbl; 13 Mbbl,Untapped,Mediocre,Arabia,Soviet Union,35666 km 2,http://blocgame.com/stats.php?id=57176,
Hajoki,Makao,The Khilafah,36k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 3 hours ago,3 Hundred Tons per month,9 Mbbl per month,Free Market,$649 million,1625 Mbbl,,Meagre,Atlas,Soviet Union,11460 km 2,http://blocgame.com/stats.php?id=60093,
temasik,lawrence,,14k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 33 hours ago,2 Hundred Tons per month,2 Mbbl per month,Central Planning,$647 million,2 Mbbl,Untapped,Small,East Indies,United States,16172 km 2,http://blocgame.com/stats.php?id=62827,
Robots,stormbot28,Interpol,58k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 2 hours ago,8 Hundred Tons per month,,Free Market,$646 million,,Untapped,Small,Caribbean,United States,13613 km 2,http://blocgame.com/stats.php?id=40242,
Deklain,Otis,The High Council,30k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 7 hours ago,9 Hundred Tons per month,2 Mbbl per month,Central Planning,$646 million,184 Mbbl; 2 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,33853 km 2,http://blocgame.com/stats.php?id=57066,
VinnyNation,VinnyRuler,Brotherhood of Zion,22k active personnel,0 ships,First World War surplus,Questionable,1 factory,Elite,online now,7 Hundred Tons per month,2 Mbbl per month,Central Planning,$646 million,381 Mbbl; 2 Mbbl,Untapped,None,Congo,Soviet Union,25259 km 2,http://blocgame.com/stats.php?id=62972,
Enroth,Morglin,,9k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 170 hours ago,2 Hundred Tons per month,,Central Planning,$645 million,,Untapped,None,West Africa,United States,13751 km 2,http://blocgame.com/stats.php?id=62546,
Irondale,Roger Red,,9k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 123 hours ago,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$645 million,2797 Mbbl,Untapped,None,Mesopotamia,Soviet Union,13477 km 2,http://blocgame.com/stats.php?id=63209,
Zuyazayuza,Zuyazayuza,Brotherhood of Zion,65k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,online now,15 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$644 million,324 Mbbl,Untapped,Small,Caribbean,United States,35544 km 2,http://blocgame.com/stats.php?id=62470,
Southern Africa,TheMaster_ZA,The Order,37k active personnel,0 ships,First World War surplus,Isolated,1 factory,Elite,online now,11 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$643 million,252 Mbbl,Untapped,Meagre,Southern Africa,Soviet Union,38642 km 2,http://blocgame.com/stats.php?id=48410,
Europea,AugustReed,SPQR,9k active personnel,0 ships,First World War surplus,Gandhi-like,None,Standard,last online 129 hours ago,4 Hundred Tons per month,3 Mbbl per month,Free Market,$643 million,2041 Mbbl,Untapped,Meagre,Arabia,Neutral,13343 km 2,http://blocgame.com/stats.php?id=59848,
Glubistan,Glub,SPQR,18k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,last online 2 hours ago,12 Hundred Tons per month,7 Mbbl per month,Central Planning,$642 million,1725 Mbbl; 7 Mbbl,Untapped,None,Arabia,Neutral,22695 km 2,http://blocgame.com/stats.php?id=63027,
Rome Reloaded,Tiberius Ceaser,SPQR,32k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,online now,9 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$639 million,2216 Mbbl,Untapped,Meagre,Mesopotamia,Soviet Union,13405 km 2,http://blocgame.com/stats.php?id=1421,
Jemut,iwaniman/Ferozz,PIRATES,74k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Good,last online 14 hours ago,10 Hundred Tons per month,9 Mbbl per month,Central Planning,$638 million,338 Mbbl; 9 Mbbl,Untapped,Mediocre,East Indies,Soviet Union,33776 km 2,http://blocgame.com/stats.php?id=61811,
Hansetica,Svan,The Order,29k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 3 hours ago,10 Hundred Tons per month,4 Mbbl per month,Central Planning,$636 million,53 Mbbl; 4 Mbbl,Untapped,None,China,Neutral,26686 km 2,http://blocgame.com/stats.php?id=63390,
Kek Slovakia,Fidel Kekstro,The Order,53k active personnel,0 ships,Second World War surplus,Angelic,1 factory,Standard,online now,8 Hundred Tons per month,5 Mbbl per month,Central Planning,$635 million,336 Mbbl; 5 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,34330 km 2,http://blocgame.com/stats.php?id=63462,
Krasnyyikistan,JohnTheGreat,Comintern,40k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,online now,2 Hundred Tons per month,9 Mbbl per month,Central Planning,$634 million,3932 Mbbl,Untapped,Mediocre,Arabia,Soviet Union,26091 km 2,http://blocgame.com/stats.php?id=50209,
PasirDuaButir,Col. von Strauffenberg,,10k active personnel,0 ships,Finest of the 19th century,Gandhi-like,1 factory,Good,last online 125 hours ago,6 Hundred Tons per month,2 Mbbl per month,Free Market,$634 million,100 Mbbl,Untapped,Meagre,East Indies,Neutral,22232 km 2,http://blocgame.com/stats.php?id=60754,
Cirno,jc99,The Federal Colonies,38k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,last online 9 hours ago,25 Hundred Tons per month,2 Mbbl per month,Free Market,$633 million,294 Mbbl,Untapped,Small,Caribbean,United States,36399 km 2,http://blocgame.com/stats.php?id=43375,
Tamil Kingdom,Chola I,Brotherhood of Zion,60k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,online now,21 Hundred Tons per month,7 Mbbl per month,Central Planning,$632 million,220 Mbbl; 7 Mbbl,Untapped,Small,The Subcontinent,Soviet Union,37921 km 2,http://blocgame.com/stats.php?id=60964,
Texastan,Rebel Lord,Interpol,41k active personnel,0 ships,Second World War surplus,Nice,1 factory,Standard,online now,17 Hundred Tons per month,17 Mbbl per month,Central Planning,$631 million,3211 Mbbl; 17 Mbbl,Untapped,Meagre,Mesopotamia,Soviet Union,36398 km 2,http://blocgame.com/stats.php?id=58149,
Byzantium,The Wolf,The United Nations,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 5 hours ago,15 Hundred Tons per month,7 Mbbl per month,Free Market,$629 million,5160 Mbbl,Untapped,Mediocre,Mesopotamia,United States,33379 km 2,http://blocgame.com/stats.php?id=41125,
Wafflonia,Stellarwaffle,SPQR,58k active personnel,0 ships,First World War surplus,Mad Dog,1 factory,Good,last online 1 hours ago,9 Hundred Tons per month,6 Mbbl per month,Central Planning,$627 million,3954 Mbbl; 6 Mbbl,Untapped,Mediocre,Egypt,Soviet Union,30750 km 2,http://blocgame.com/stats.php?id=63064,
Guatemala.,grazioso,,6k active personnel,0 ships,Finest of the 19th century,Nice,None,Poor,last online 171 hours ago,3 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$625 million,1 Mbbl,Untapped,None,Mesoamerica,Soviet Union,13477 km 2,http://blocgame.com/stats.php?id=60701,
Smyrno,Mallow,The Order,39k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,online now,4 Hundred Tons per month,8 Mbbl per month,Central Planning,$624 million,8190 Mbbl,Untapped,Mediocre,Arabia,Soviet Union,34560 km 2,http://blocgame.com/stats.php?id=62960,
����������,������ �������,The High Council,39k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,online now,8 Hundred Tons per month,2 Mbbl per month,Central Planning,$623 million,45 Mbbl; 2 Mbbl,Untapped,Meagre,Gran Colombia,Soviet Union,33414 km 2,http://blocgame.com/stats.php?id=54626,
Utopiastan,SilmAlpha,The High Council,43k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,online now,21 Hundred Tons per month,5 Mbbl per month,Central Planning,$621 million,982 Mbbl; 5 Mbbl,Untapped,Small,Guinea,Soviet Union,36116 km 2,http://blocgame.com/stats.php?id=56876,
Rhodistan,stalkerfriend,Freedom Legion,9k active personnel,0 ships,First World War surplus,Gandhi-like,None,Standard,last online 143 hours ago,4 Hundred Tons per month,2 Mbbl per month,Central Planning,$620 million,2187 Mbbl,Untapped,None,Egypt,United States,13751 km 2,http://blocgame.com/stats.php?id=41052,
Yummy Foods,iiruka,Interpol,59k active personnel,1 ships,First World War surplus,Gandhi-like,2 factories,Elite,last online 13 hours ago,26 Hundred Tons per month,1 Mbbl per month,Free Market,$620 million,56 Mbbl; 1 Mbbl,Untapped,Mediocre,Pacific Rim,United States,32861 km 2,http://blocgame.com/stats.php?id=54376,
Minmaxia,Reanchi,Brotherhood of Zion,42k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 1 hours ago,5 Hundred Tons per month,3 Mbbl per month,Central Planning,$619 million,3327 Mbbl; 3 Mbbl,Untapped,Small,Mesopotamia,Soviet Union,34179 km 2,http://blocgame.com/stats.php?id=40270,
Rhod3sia,FreeMindInside,Brotherhood of Zion,35k active personnel,0 ships,First World War surplus,Good,1 factory,Standard,last online 2 hours ago,13 Hundred Tons per month,2 Mbbl per month,Central Planning,$618 million,257 Mbbl; 2 Mbbl,Untapped,Meagre,Southern Africa,Soviet Union,33096 km 2,http://blocgame.com/stats.php?id=52679,
Lombardy,Aistulf,The Order,39k active personnel,0 ships,First World War surplus,Questionable,1 factory,Standard,online now,11 Hundred Tons per month,8 Mbbl per month,Free Market,$618 million,6310 Mbbl; 8 Mbbl,Untapped,Mediocre,Persia,United States,35963 km 2,http://blocgame.com/stats.php?id=63882,
Syphirious,Doxal,Interpol,39k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 1 hours ago,13 Hundred Tons per month,23 Mbbl per month,Central Planning,$616 million,3318 Mbbl; 23 Mbbl,Untapped,Meagre,Mesopotamia,Soviet Union,33688 km 2,http://blocgame.com/stats.php?id=59670,
Hitlerwasright,Louis C Cuck,The Order,55k active personnel,0 ships,First World War surplus,Angelic,2 factories,Standard,online now,4 Hundred Tons per month,9 Mbbl per month,Free Market,$615 million,1567 Mbbl,Depleted,Mediocre,Arabia,United States,30157 km 2,http://blocgame.com/stats.php?id=59621,
jongos,barros,,8k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Standard,last online 45 hours ago,4 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$614 million,11 Mbbl; 3 Mbbl,Untapped,None,East Indies,Neutral,9455 km 2,http://blocgame.com/stats.php?id=61892,
Turbanistan,eromer2,The Order,34k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,online now,10 Hundred Tons per month,3 Mbbl per month,Central Planning,$614 million,509 Mbbl; 3 Mbbl,Untapped,Mediocre,The Subcontinent,Soviet Union,30082 km 2,http://blocgame.com/stats.php?id=63007,
Ivalice,Nighthawk571,Interpol,37k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 9 hours ago,8 Hundred Tons per month,8 Mbbl per month,Central Planning,$611 million,1923 Mbbl; 8 Mbbl,Untapped,Small,Arabia,Soviet Union,31452 km 2,http://blocgame.com/stats.php?id=63060,
Yourmother,JanuszKoranMekka,,8k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 177 hours ago,3 Hundred Tons per month,3 Mbbl per month,Free Market,$611 million,2071 Mbbl,Untapped,None,Arabia,Neutral,16335 km 2,http://blocgame.com/stats.php?id=63147,
Northmarch,Elroy,PIRATES,11k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,online now,12 Hundred Tons per month,,Central Planning,$610 million,19 Mbbl,,None,Caribbean,Soviet Union,21608 km 2,http://blocgame.com/stats.php?id=41629,
Aeter,Anima6778,The Order,37k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,last online 3 hours ago,11 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$610 million,587 Mbbl; 2 Mbbl,Untapped,Small,Congo,Soviet Union,33750 km 2,http://blocgame.com/stats.php?id=61960,
Puella-Magia,Emily,Comintern,37k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 4 hours ago,12 Hundred Tons per month,10 Mbbl per month,Central Planning,$609 million,1364 Mbbl; 10 Mbbl,Untapped,Somewhat Large,Persia,Soviet Union,35579 km 2,http://blocgame.com/stats.php?id=35958,
Vanan,Esler,The Order,54k active personnel,0 ships,First World War surplus,Nice,1 factory,Standard,last online 9 hours ago,16 Hundred Tons per month,3 Mbbl per month,Central Planning,$608 million,316 Mbbl; 3 Mbbl,Untapped,Small,Congo,Soviet Union,33595 km 2,http://blocgame.com/stats.php?id=63339,
