country,leader,alliance,army_size,navy,reactor,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium
Asians,bigyihsuan,The High Council,31k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 67 hours ago,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$983 million,372 Mbbl; 2 Mbbl,Untapped,None,Pacific Rim,Neutral,16667 km 2,http://blocgame.com/stats.php?id=41551,
Conferan,Cryptox,The High Council,79k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Good,last online 3 hours ago,10 Hundred Tons per month,6 Mbbl per month,Central Planning,$972 million,561 Mbbl,Untapped,Large,East Indies,Soviet Union,39512 km 2,http://blocgame.com/stats.php?id=56710,1 Tons
Jebawka,Shetay,The Order,66k active personnel,0 ships,,Second World War surplus,Angelic,1 factory,Standard,last online 2 hours ago,10 Hundred Tons per month,9 Mbbl per month,Free Market,$963 million,2203 Mbbl,Untapped,Meagre,Arabia,United States,22140 km 2,http://blocgame.com/stats.php?id=54304,
German Empire,Frederick the Great,SPQR,38k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Good,last online 15 hours ago,14 Hundred Tons per month,5 Mbbl per month,Central Planning,$962 million,4438 Mbbl,Untapped,Large,Egypt,Soviet Union,27600 km 2,http://blocgame.com/stats.php?id=63053,
temasik,lawrence,,14k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Elite,last online 25 hours ago,2 Hundred Tons per month,2 Mbbl per month,Central Planning,$948 million,2 Mbbl,Untapped,Mediocre,East Indies,United States,16172 km 2,http://blocgame.com/stats.php?id=62827,
Cyleia,Silas Adar,The Order,39k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Elite,last online 1 hours ago,6 Hundred Tons per month,5 Mbbl per month,Free Market,$944 million,575 Mbbl; 5 Mbbl,Untapped,Somewhat Large,Mesoamerica,United States,28634 km 2,http://blocgame.com/stats.php?id=62784,
Kritch,Zorn,Brotherhood of Nod,84k active personnel,0 ships,,First World War surplus,Good,1 factory,Good,last online 17 hours ago,15 Hundred Tons per month,3 Mbbl per month,Central Planning,$940 million,600 Mbbl; 3 Mbbl,Untapped,Mediocre,The Subcontinent,Soviet Union,38517 km 2,http://blocgame.com/stats.php?id=63155,
Lorigan,Lorigan,The High Council,37k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Good,last online 4 hours ago,14 Hundred Tons per month,8 Mbbl per month,Central Planning,$935 million,465 Mbbl; 8 Mbbl,Untapped,Mediocre,Amazonia,Soviet Union,36653 km 2,http://blocgame.com/stats.php?id=59787,
Mzab,Cuma Thurman,Brotherhood of Zion,50k active personnel,0 ships,,First World War surplus,Good,1 factory,Good,last online 1 hours ago,11 Hundred Tons per month,9 Mbbl per month,Central Planning,$933 million,4557 Mbbl; 9 Mbbl,Untapped,Mediocre,Atlas,Soviet Union,36773 km 2,http://blocgame.com/stats.php?id=63775,
Morjei,FlairWoW,Brotherhood of Zion,38k active personnel,0 ships,,First World War surplus,Gandhi-like,2 factories,Elite,last online 13 hours ago,16 Hundred Tons per month,3 Mbbl per month,Central Planning,$923 million,119 Mbbl; 3 Mbbl,Untapped,Mediocre,Indochina,Soviet Union,39862 km 2,http://blocgame.com/stats.php?id=53068,
Cirno,jc99,The Federal Colonies,58k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Good,last online 7 hours ago,25 Hundred Tons per month,2 Mbbl per month,Free Market,$910 million,298 Mbbl,Untapped,Mediocre,Caribbean,United States,39052 km 2,http://blocgame.com/stats.php?id=43375,
VinnyNation,VinnyRuler,Brotherhood of Zion,47k active personnel,0 ships,,Second World War surplus,Pariah,1 factory,Good,last online 13 hours ago,7 Hundred Tons per month,4 Mbbl per month,Central Planning,$910 million,359 Mbbl; 4 Mbbl,,None,Congo,Soviet Union,25007 km 2,http://blocgame.com/stats.php?id=62972,
Texastan,Rebel Lord,Interpol,60k active personnel,1 ships,,First World War surplus,Gandhi-like,2 factories,Good,last online 9 hours ago,19 Hundred Tons per month,20 Mbbl per month,Central Planning,$907 million,5134 Mbbl; 20 Mbbl,Plentiful,Small,Mesopotamia,Soviet Union,44796 km 2,http://blocgame.com/stats.php?id=58149,
Newsoka,E Mark,The High Council,38k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Standard,last online 9 hours ago,18 Hundred Tons per month,10 Mbbl per month,Mixed Economy,$902 million,262 Mbbl,,Mediocre,Indochina,United States,19298 km 2,http://blocgame.com/stats.php?id=63105,
Gobi,Saint Gobi,Brotherhood of Zion,45k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Standard,last online 8 hours ago,11 Hundred Tons per month,5 Mbbl per month,Mixed Economy,$890 million,427 Mbbl,Plentiful,Mediocre,Congo,United States,24905 km 2,http://blocgame.com/stats.php?id=61919,
LOCAI,Agumentic,Brotherhood of Zion,25k active personnel,1 ships,,First World War surplus,Gandhi-like,2 factories,Good,last online 4 hours ago,7 Hundred Tons per month,2 Mbbl per month,Free Market,$881 million,212 Mbbl; 2 Mbbl,Untapped,Somewhat Large,The Subcontinent,United States,36048 km 2,http://blocgame.com/stats.php?id=53011,
Markovia,RDM HC,The Federal Colonies,69k active personnel,0 ships,,First World War surplus,Nice,1 factory,Elite,online now,11 Hundred Tons per month,5 Mbbl per month,Free Market,$881 million,447 Mbbl; 5 Mbbl,Untapped,Mediocre,Caribbean,United States,36134 km 2,http://blocgame.com/stats.php?id=58369,
Derse Moon,Jack Noir,The Order,69k active personnel,8 ships,,Second World War surplus,Angelic,5 factories,Elite,last online 1 hours ago,40 Hundred Tons per month,40 Mbbl per month,Free Market,$875 million,21297 Mbbl,Plentiful,Very Powerful,Egypt,United States,60501 km 2,http://blocgame.com/stats.php?id=62965,
Uzbekistanstan,Shaikh Zayer,The Order,39k active personnel,0 ships,,First World War surplus,Gandhi-like,2 factories,Elite,online now,22 Hundred Tons per month,3 Mbbl per month,Free Market,$873 million,533 Mbbl,Untapped,Mediocre,Congo,United States,36651 km 2,http://blocgame.com/stats.php?id=47207,
Shambala,Feranon,Brotherhood of Nod,20k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Elite,last online 9 hours ago,6 Hundred Tons per month,3 Mbbl per month,Central Planning,$871 million,276 Mbbl; 3 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,31241 km 2,http://blocgame.com/stats.php?id=41268,
Batu putih,Harzan,The Federal Colonies,15k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Poor,last online 2 hours ago,7 Hundred Tons per month,5 Mbbl per month,Central Planning,$867 million,282 Mbbl,Plentiful,Mediocre,East Indies,Soviet Union,13210 km 2,http://blocgame.com/stats.php?id=61926,
al-Bahrayn,dbdb,The Order,56k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Good,last online 9 hours ago,7 Hundred Tons per month,7 Mbbl per month,Central Planning,$866 million,920 Mbbl; 7 Mbbl,Untapped,Somewhat Large,Mesopotamia,Soviet Union,30107 km 2,http://blocgame.com/stats.php?id=59775,
Ivalice,Nighthawk571,Interpol,39k active personnel,0 ships,,Second World War surplus,Angelic,1 factory,Good,last online 2 hours ago,12 Hundred Tons per month,12 Mbbl per month,Central Planning,$864 million,2387 Mbbl; 12 Mbbl,Untapped,Mediocre,Arabia,Soviet Union,33892 km 2,http://blocgame.com/stats.php?id=63060,
The NLR,Darknight,Divine League,54k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Good,last online 1 hours ago,41 Hundred Tons per month,3 Mbbl per month,Central Planning,$862 million,122 Mbbl; 3 Mbbl,Untapped,Large,Congo,Soviet Union,40989 km 2,http://blocgame.com/stats.php?id=49701,
mani,mani,SPQR,9k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Good,last online 28 hours ago,8 Hundred Tons per month,4 Mbbl per month,Mixed Economy,$861 million,440 Mbbl,Untapped,Small,Persia,Neutral,11139 km 2,http://blocgame.com/stats.php?id=62912,
ZAMENTA,ShAh FAr HAn,The Order,58k active personnel,1 ships,,First World War surplus,Gandhi-like,2 factories,Standard,last online 29 hours ago,10 Hundred Tons per month,7 Mbbl per month,Central Planning,$854 million,338 Mbbl; 7 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,39122 km 2,http://blocgame.com/stats.php?id=61998,
Valtania,Kelvin D. Makumbi,,73k active personnel,0 ships,,Second World War surplus,Gandhi-like,2 factories,Standard,last online 1 hours ago,14 Hundred Tons per month,5 Mbbl per month,Central Planning,$840 million,255 Mbbl; 5 Mbbl,Untapped,Mediocre,Mesoamerica,Soviet Union,27818 km 2,http://blocgame.com/stats.php?id=62525,
Cameronia,Cameron Saxonson,Che Guevara League,24k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Good,last online 17 hours ago,13 Hundred Tons per month,6 Mbbl per month,Central Planning,$836 million,496 Mbbl; 6 Mbbl,Untapped,None,Southern Cone,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=62688,
Feffiopia,Serloks,Divine League,39k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Standard,last online 2 hours ago,16 Hundred Tons per month,5 Mbbl per month,Central Planning,$831 million,238 Mbbl,Plentiful,Meagre,The Subcontinent,Soviet Union,21000 km 2,http://blocgame.com/stats.php?id=46505,
Sepidajistan,Shah Squid,Al-Qassam Brigades,21k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Elite,last online 8 hours ago,4 Hundred Tons per month,3 Mbbl per month,Central Planning,$830 million,3793 Mbbl; 3 Mbbl,,Meagre,Atlas,Soviet Union,15382 km 2,http://blocgame.com/stats.php?id=59462,
Tandak,jimmyyus,PIRATES,35k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Good,online now,8 Hundred Tons per month,7 Mbbl per month,Mixed Economy,$830 million,5279 Mbbl; 7 Mbbl,Untapped,Mediocre,Egypt,United States,21892 km 2,http://blocgame.com/stats.php?id=62201,
Hansetica,Svan,The Order,33k active personnel,0 ships,,First World War surplus,Gandhi-like,2 factories,Good,last online 17 hours ago,10 Hundred Tons per month,4 Mbbl per month,Central Planning,$829 million,25 Mbbl; 4 Mbbl,Untapped,None,China,Soviet Union,26686 km 2,http://blocgame.com/stats.php?id=63390,
Memiaya,MrRoth,Che Guevara League,58k active personnel,0 ships,,Second World War surplus,Questionable,1 factory,Standard,online now,21 Hundred Tons per month,4 Mbbl per month,Central Planning,$828 million,551 Mbbl; 4 Mbbl,Untapped,Large,Caribbean,Soviet Union,45699 km 2,http://blocgame.com/stats.php?id=62980,1 Tons
Mesopotamia,Arcturus,The Order,59k active personnel,0 ships,,First World War surplus,Angelic,1 factory,Good,last online 17 hours ago,13 Hundred Tons per month,9 Mbbl per month,Free Market,$823 million,2164 Mbbl,Untapped,Mediocre,Mesopotamia,United States,35274 km 2,http://blocgame.com/stats.php?id=42045,
Communistutopia,Bill Broskis,The Order,56k active personnel,0 ships,,First World War surplus,Gandhi-like,2 factories,Elite,last online 10 hours ago,14 Hundred Tons per month,9 Mbbl per month,Central Planning,$823 million,4807 Mbbl; 9 Mbbl,Untapped,Small,Persia,Soviet Union,32240 km 2,http://blocgame.com/stats.php?id=49796,
Asiana,El_Xanatos,The High Council,53k active personnel,0 ships,,First World War surplus,Nice,1 factory,Elite,last online 1 hours ago,19 Hundred Tons per month,4 Mbbl per month,Central Planning,$822 million,155 Mbbl; 4 Mbbl,Plentiful,Small,Indochina,Soviet Union,39219 km 2,http://blocgame.com/stats.php?id=62221,
Robots,stormbot28,Interpol,56k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Good,last online 41 hours ago,8 Hundred Tons per month,,Free Market,$820 million,,Untapped,Mediocre,Caribbean,United States,13613 km 2,http://blocgame.com/stats.php?id=40242,
Wafflonia,Stellarwaffle,SPQR,44k active personnel,0 ships,,First World War surplus,Pariah,1 factory,Good,last online 11 hours ago,11 Hundred Tons per month,6 Mbbl per month,Central Planning,$816 million,4175 Mbbl; 6 Mbbl,Untapped,Mediocre,Egypt,Soviet Union,32849 km 2,http://blocgame.com/stats.php?id=63064,
Malaysia.,Tuanku Adam Zhafri,PIRATES,51k active personnel,0 ships,,Second World War surplus,Pariah,2 factories,Good,online now,9 Hundred Tons per month,9 Mbbl per month,Central Planning,$815 million,337 Mbbl; 9 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,26647 km 2,http://blocgame.com/stats.php?id=63032,
TheDarkSide,LordVader,The Federal Colonies,35k active personnel,0 ships,,Second World War surplus,Angelic,1 factory,Good,last online 3 hours ago,16 Hundred Tons per month,1 Mbbl per month,Central Planning,$815 million,407 Mbbl; 1 Mbbl,Plentiful,Large,East Indies,Soviet Union,41893 km 2,http://blocgame.com/stats.php?id=63139,
Pan-demo-nium,Raja,The Order,25k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Elite,last online 1 hours ago,11 Hundred Tons per month,2 Mbbl per month,Central Planning,$810 million,202 Mbbl; 2 Mbbl,Near Depletion,Mediocre,The Subcontinent,Soviet Union,18189 km 2,http://blocgame.com/stats.php?id=63195,
Tyrantia,Malakal,The High Council,58k active personnel,0 ships,,First World War surplus,Gandhi-like,2 factories,Good,online now,29 Hundred Tons per month,13 Mbbl per month,Central Planning,$808 million,5731 Mbbl; 13 Mbbl,Untapped,Powerful,Arabia,Soviet Union,46374 km 2,http://blocgame.com/stats.php?id=40238,
Zinlandia,Alaah,Che Guevara League,53k active personnel,0 ships,,First World War surplus,Nice,1 factory,Standard,online now,21 Hundred Tons per month,5 Mbbl per month,Central Planning,$808 million,77 Mbbl,Plentiful,Somewhat Large,Amazonia,Soviet Union,39560 km 2,http://blocgame.com/stats.php?id=45831,
constania,Comrade,Divine League,37k active personnel,0 ships,,First World War surplus,Good,1 factory,Good,last online 8 hours ago,12 Hundred Tons per month,4 Mbbl per month,Central Planning,$808 million,236 Mbbl; 4 Mbbl,Plentiful,Mediocre,Congo,Soviet Union,16172 km 2,http://blocgame.com/stats.php?id=62606,
Senglia,mreid2112,Farmington Brigade,2k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Good,last online 41 hours ago,4 Hundred Tons per month,2 Mbbl per month,Central Planning,$808 million,2 Mbbl,Untapped,Meagre,Indochina,Soviet Union,11145 km 2,http://blocgame.com/stats.php?id=62920,
Glubistan,Glub,SPQR,38k active personnel,0 ships,,First World War surplus,Normal,None,Undisciplined Rabble,online now,14 Hundred Tons per month,7 Mbbl per month,Central Planning,$808 million,1676 Mbbl; 7 Mbbl,Plentiful,Mediocre,Arabia,Neutral,22469 km 2,http://blocgame.com/stats.php?id=63027,
Savannah,Watersfall,The United Nations,81k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Good,online now,16 Hundred Tons per month,2 Mbbl per month,Central Planning,$806 million,51 Mbbl,Untapped,Somewhat Large,Pacific Rim,Soviet Union,34833 km 2,http://blocgame.com/stats.php?id=49817,
FreakTopia,Remington Steel,The Order,60k active personnel,0 ships,,First World War surplus,Gandhi-like,2 factories,Good,last online 7 hours ago,23 Hundred Tons per month,10 Mbbl per month,Mixed Economy,$803 million,1136 Mbbl,Untapped,Small,The Subcontinent,United States,42295 km 2,http://blocgame.com/stats.php?id=45527,
Yummy Foods,iiruka,Interpol,91k active personnel,1 ships,,First World War surplus,Angelic,3 factories,Elite,last online 5 hours ago,31 Hundred Tons per month,1 Mbbl per month,Free Market,$801 million,84 Mbbl,Untapped,Somewhat Large,Pacific Rim,United States,38358 km 2,http://blocgame.com/stats.php?id=54376,
raja_png,DiDi27,,11k active personnel,0 ships,,First World War surplus,Gandhi-like,None,Undisciplined Rabble,last online 16 hours ago,6 Hundred Tons per month,3 Mbbl per month,Central Planning,$801 million,288 Mbbl; 3 Mbbl,Untapped,None,Pacific Rim,Soviet Union,11009 km 2,http://blocgame.com/stats.php?id=62000,
Syphirious,Doxal,Interpol,56k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Elite,last online 5 hours ago,15 Hundred Tons per month,27 Mbbl per month,Central Planning,$797 million,3489 Mbbl; 27 Mbbl,Plentiful,Small,Mesopotamia,Soviet Union,37169 km 2,http://blocgame.com/stats.php?id=59670,
Ambon,Chalkface,The Order,45k active personnel,0 ships,,Second World War surplus,Gandhi-like,2 factories,Elite,last online 4 hours ago,17 Hundred Tons per month,5 Mbbl per month,Central Planning,$795 million,494 Mbbl; 5 Mbbl,,Mediocre,Pacific Rim,Soviet Union,35612 km 2,http://blocgame.com/stats.php?id=42744,
The Marintinia,Edington,,0k active personnel,0 ships,,First World War surplus,Gandhi-like,None,Elite,last online 10 hours ago,4 Hundred Tons per month,4 Mbbl per month,Central Planning,$794 million,8 Mbbl; 4 Mbbl,Untapped,Mediocre,Southern Cone,Soviet Union,17623 km 2,http://blocgame.com/stats.php?id=61912,
Thunderclap,LittleRedKing,,9k active personnel,0 ships,,Finest of the 19th century,Gandhi-like,None,Poor,last online 158 hours ago,4 Hundred Tons per month,,Central Planning,$794 million,,Untapped,None,East Indies,Neutral,13613 km 2,http://blocgame.com/stats.php?id=63156,
Fongelesia,Fong,,43k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Elite,last online 1 hours ago,14 Hundred Tons per month,4 Mbbl per month,Free Market,$793 million,421 Mbbl,Untapped,Mediocre,Pacific Rim,United States,24351 km 2,http://blocgame.com/stats.php?id=63041,
Eisen,Balthazaar,The Order,35k active personnel,0 ships,,First World War surplus,Angelic,1 factory,Elite,online now,17 Hundred Tons per month,7 Mbbl per month,Central Planning,$792 million,359 Mbbl; 7 Mbbl,Untapped,Large,China,Soviet Union,45380 km 2,http://blocgame.com/stats.php?id=53566,
Tyanra,SaffronMerchant,SPQR,34k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Good,last online 1 hours ago,15 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$792 million,1206 Mbbl; 2 Mbbl,Untapped,Mediocre,The Subcontinent,Soviet Union,33183 km 2,http://blocgame.com/stats.php?id=60365,
Tamil Kingdom,Chola I,Brotherhood of Zion,66k active personnel,0 ships,,First World War surplus,Gandhi-like,2 factories,Good,online now,32 Hundred Tons per month,7 Mbbl per month,Central Planning,$791 million,258 Mbbl; 7 Mbbl,Untapped,Mediocre,The Subcontinent,Soviet Union,42405 km 2,http://blocgame.com/stats.php?id=60964,
Antah_Berantah,zonda,,7k active personnel,0 ships,,First World War surplus,Gandhi-like,None,Good,last online 167 hours ago,2 Hundred Tons per month,1 Mbbl per month,Central Planning,$790 million,281 Mbbl; 1 Mbbl,Untapped,Small,East Indies,Soviet Union,12948 km 2,http://blocgame.com/stats.php?id=62247,
fetiwert,raja adam iskandar,The Federal Colonies,5k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Poor,last online 28 hours ago,2 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$789 million,,Untapped,None,East Indies,Soviet Union,11231 km 2,http://blocgame.com/stats.php?id=63124,
Leinad,bloodywaffles12,The United Nations,43k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Poor,online now,10 Hundred Tons per month,4 Mbbl per month,Central Planning,$788 million,145 Mbbl; 4 Mbbl,Untapped,Mediocre,China,Soviet Union,20307 km 2,http://blocgame.com/stats.php?id=59332,
axmbest,amsyah80,,6k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 177 hours ago,3 Hundred Tons per month,2 Mbbl per month,Central Planning,$784 million,190 Mbbl; 2 Mbbl,Untapped,Meagre,Pacific Rim,Soviet Union,13477 km 2,http://blocgame.com/stats.php?id=61772,
Almania,Almanich,Brotherhood of Nod,47k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Elite,last online 1 hours ago,2 Hundred Tons per month,,Central Planning,$782 million,50 Mbbl,Untapped,Mediocre,China,Soviet Union,39384 km 2,http://blocgame.com/stats.php?id=51725,
Supercell,Charlotte,The Federal Colonies,35k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Elite,online now,7 Hundred Tons per month,3 Mbbl per month,Central Planning,$781 million,197 Mbbl,Untapped,Meagre,East Indies,Neutral,24512 km 2,http://blocgame.com/stats.php?id=48901,
kasturi,mt.lekiu,,6k active personnel,0 ships,,Finest of the 19th century,Gandhi-like,1 factory,Poor,last online 174 hours ago,7 Hundred Tons per month,2 Mbbl per month,Central Planning,$781 million,235 Mbbl; 2 Mbbl,Untapped,None,Congo,Neutral,20745 km 2,http://blocgame.com/stats.php?id=60887,
Worthless Sand,Spirit of Saddam Hussein,Brotherhood of Nod,19k active personnel,0 ships,,First World War surplus,Gandhi-like,None,Standard,last online 3 hours ago,10 Hundred Tons per month,3 Mbbl per month,Central Planning,$781 million,3717 Mbbl; 3 Mbbl,Untapped,Mediocre,Mesopotamia,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=63192,
Krasnyyikistan,JohnTheGreat,Comintern,68k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Standard,online now,7 Hundred Tons per month,10 Mbbl per month,Mixed Economy,$780 million,3862 Mbbl,Untapped,Mediocre,Arabia,Soviet Union,26091 km 2,http://blocgame.com/stats.php?id=50209,
Lyranistan,Lyranistan,Brotherhood of Nod,34k active personnel,0 ships,,Second World War surplus,Angelic,2 factories,Good,online now,20 Hundred Tons per month,15 Mbbl per month,Central Planning,$777 million,2695 Mbbl; 15 Mbbl,Untapped,Large,Mesopotamia,Soviet Union,39434 km 2,http://blocgame.com/stats.php?id=56860,
Surakistahn,Harry Drewer,,8k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Poor,last online 36 hours ago,2 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$773 million,1649 Mbbl,Untapped,Meagre,Mesopotamia,Neutral,9266 km 2,http://blocgame.com/stats.php?id=46090,
Conwolves,Sinz,Brotherhood of Zion,38k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Elite,last online 15 hours ago,10 Hundred Tons per month,7 Mbbl per month,Central Planning,$772 million,3596 Mbbl; 7 Mbbl,Untapped,Meagre,Arabia,Neutral,26018 km 2,http://blocgame.com/stats.php?id=50890,
North Nubia,Sean Tony,The United Nations,25k active personnel,1 ships,,Second World War surplus,Gandhi-like,3 factories,Elite,last online 15 hours ago,16 Hundred Tons per month,2 Mbbl per month,Central Planning,$770 million,248 Mbbl; 2 Mbbl,,Mediocre,Congo,Soviet Union,20349 km 2,http://blocgame.com/stats.php?id=63084,
Ausmasia,Harzan15,The Khilafah,10k active personnel,0 ships,,First World War surplus,Angelic,None,Good,last online 22 hours ago,4 Hundred Tons per month,2 Mbbl per month,Central Planning,$769 million,111 Mbbl; 2 Mbbl,Untapped,Mediocre,Indochina,Soviet Union,9083 km 2,http://blocgame.com/stats.php?id=61817,
QonoS,Tmonsta,The High Council,52k active personnel,1 ships,,First World War surplus,Gandhi-like,2 factories,Poor,last online 4 hours ago,14 Hundred Tons per month,5 Mbbl per month,Central Planning,$768 million,109 Mbbl; 5 Mbbl,Plentiful,Mediocre,China,Soviet Union,37242 km 2,http://blocgame.com/stats.php?id=44539,
Hitlerwasright,Louis C Cuck,The Order,59k active personnel,0 ships,,Second World War surplus,Gandhi-like,2 factories,Elite,online now,5 Hundred Tons per month,9 Mbbl per month,Free Market,$764 million,1940 Mbbl,Near Depletion,Mediocre,Arabia,United States,31737 km 2,http://blocgame.com/stats.php?id=59621,
Zeon Alliance,Char Aznable,The High Council,40k active personnel,4 ships,,First World War surplus,Gandhi-like,2 factories,Elite,last online 5 hours ago,7 Hundred Tons per month,7 Mbbl per month,Free Market,$760 million,40 Mbbl; 7 Mbbl,Untapped,Large,Pacific Rim,United States,29079 km 2,http://blocgame.com/stats.php?id=62248,
Prometheus,Jefferson,Brotherhood of Zion,48k active personnel,0 ships,,First World War surplus,Gandhi-like,2 factories,Elite,online now,16 Hundred Tons per month,3 Mbbl per month,Free Market,$746 million,397 Mbbl,,Meagre,Caribbean,United States,31916 km 2,http://blocgame.com/stats.php?id=56022,
