country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
AfganiBoy,CrazyDima,The United Nations,10k active personnel,0 ships,Finest of the 19th century,Good,1 factory,Undisciplined Rabble,last online 1 hours ago,10 Hundred Tons per month,,Free Market,$1336 million,,Untapped,None,Mesopotamia,United States,5363 km 2,http://blocgame.com/stats.php?id=62098,,
BOOP,TRIGGERED,Steel Brotherhood,54k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 6 hours ago,8 Hundred Tons per month,2 Mbbl per month,Central Planning,$1335 million,381 Mbbl; 2 Mbbl,Untapped,Mediocre,China,Neutral,10640 km 2,http://blocgame.com/stats.php?id=58737,,
Savannah,Watersfall,Steel Brotherhood,109k active personnel,1 ships,Korean War surplus,Gandhi-like,3 factories,Poor,last online 15 hours ago,27 Hundred Tons per month,2 Mbbl per month,Central Planning,$1334 million,,Plentiful,Large,Pacific Rim,Soviet Union,36987 km 2,http://blocgame.com/stats.php?id=49817,1 Tons,
Aincrad,veemon,,6k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Undisciplined Rabble,last online 174 hours ago,5 Hundred Tons per month,1 Mbbl per month,Central Planning,$1334 million,358 Mbbl; 1 Mbbl,Untapped,Meagre,China,Soviet Union,9175 km 2,http://blocgame.com/stats.php?id=50267,,
Yugoslothia,Yugoslothia,Brotherhood of Nod,57k active personnel,0 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 1 hours ago,12 Hundred Tons per month,9 Mbbl per month,Free Market,$1334 million,3306 Mbbl,Untapped,Mediocre,Egypt,United States,31284 km 2,http://blocgame.com/stats.php?id=55968,,
Cocobongo,Cuban Pete,The Divine Council,60k active personnel,3 ships,Second World War surplus,Gandhi-like,2 factories,Elite,online now,13 Hundred Tons per month,1 Mbbl per month,Free Market,$1334 million,296 Mbbl; 1 Mbbl,Untapped,Large,Gran Colombia,United States,19020 km 2,http://blocgame.com/stats.php?id=58193,,
Eisen,Balthazaar,The Order,78k active personnel,4 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 3 hours ago,20 Hundred Tons per month,10 Mbbl per month,Central Planning,$1332 million,441 Mbbl; 10 Mbbl,Untapped,Powerful,China,Soviet Union,56942 km 2,http://blocgame.com/stats.php?id=53566,,
The UCOA,Stephanobroburg123,Steel Brotherhood,17k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Undisciplined Rabble,last online 29 hours ago,6 Hundred Tons per month,,Central Planning,$1332 million,,Untapped,None,Pacific Rim,Neutral,6246 km 2,http://blocgame.com/stats.php?id=54240,,
Carpentaria,fuerza,PIRATES,50k active personnel,4 ships,Second World War surplus,Gandhi-like,3 factories,Undisciplined Rabble,last online 20 hours ago,10 Hundred Tons per month,8 Mbbl per month,Mixed Economy,$1332 million,140 Mbbl,Untapped,Somewhat Large,East Indies,Neutral,20181 km 2,http://blocgame.com/stats.php?id=59901,,
Shinystan,He Who Wears No Pants,The Order,32k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 27 hours ago,11 Hundred Tons per month,3 Mbbl per month,Free Market,$1330 million,394 Mbbl,Untapped,Somewhat Large,Caribbean,Neutral,19602 km 2,http://blocgame.com/stats.php?id=63522,,
saiya,saiya,The Order,39k active personnel,2 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 4 hours ago,22 Hundred Tons per month,14 Mbbl per month,Central Planning,$1327 million,2282 Mbbl; 14 Mbbl,Depleted,Mediocre,Arabia,Soviet Union,22122 km 2,http://blocgame.com/stats.php?id=61785,,
Whadjuk,MarsOz,The Khilafah,67k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,online now,7 Hundred Tons per month,6 Mbbl per month,Central Planning,$1325 million,2201 Mbbl; 6 Mbbl,,Large,Mesopotamia,Soviet Union,10606 km 2,http://blocgame.com/stats.php?id=63576,,
