country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,uranium,region,alignment,territory,pageUrl
Morjei,FlairWoW,Brotherhood of Zion,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 4 hours ago,11 Hundred Tons per month,2 Mbbl per month,Central Planning,$657 million,117 Mbbl; 2 Mbbl,Untapped,Meagre,,Indochina,Soviet Union,37394 km 2,http://blocgame.com/stats.php?id=53068
Russophia,Mikhail Putin,SPQR,8k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 5 hours ago,2 Hundred Tons per month,4 Mbbl per month,Central Planning,$653 million,4 Mbbl,Untapped,None,,Arabia,Soviet Union,13890 km 2,http://blocgame.com/stats.php?id=54426
Zuyazayuza,Zuyazayuza,Brotherhood of Zion,87k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,online now,15 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$650 million,327 Mbbl,Untapped,Mediocre,,Caribbean,United States,34564 km 2,http://blocgame.com/stats.php?id=62470
Platypus Island,Mark0Polo,SPQR,39k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,last online 3 hours ago,8 Hundred Tons per month,5 Mbbl per month,Central Planning,$650 million,438 Mbbl; 5 Mbbl,Untapped,Meagre,,Indochina,Soviet Union,23816 km 2,http://blocgame.com/stats.php?id=63909
Asiana,El_Xanatos,The High Council,17k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,online now,10 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$648 million,36 Mbbl; 2 Mbbl,Untapped,Small,,Indochina,United States,36500 km 2,http://blocgame.com/stats.php?id=62221
Memiaya,MrRoth,Che Guevara League,38k active personnel,0 ships,First World War surplus,Isolated,1 factory,Elite,online now,14 Hundred Tons per month,2 Mbbl per month,Central Planning,$648 million,456 Mbbl; 2 Mbbl,Untapped,Large,,Caribbean,Soviet Union,41058 km 2,http://blocgame.com/stats.php?id=62980
Pooland,kurwa,Brotherhood of Zion,35k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,last online 11 hours ago,10 Hundred Tons per month,8 Mbbl per month,Central Planning,$647 million,2001 Mbbl; 8 Mbbl,Untapped,Mediocre,,Atlas,Soviet Union,36125 km 2,http://blocgame.com/stats.php?id=49295
Lyranistan,Lyranistan,Brotherhood of Nod,38k active personnel,0 ships,First World War surplus,Angelic,1 factory,Standard,online now,16 Hundred Tons per month,12 Mbbl per month,Central Planning,$646 million,2424 Mbbl; 12 Mbbl,Untapped,Large,,Mesopotamia,Soviet Union,36846 km 2,http://blocgame.com/stats.php?id=56860
mani,mani,SPQR,3k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 1 hours ago,7 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$645 million,674 Mbbl,Untapped,Meagre,,Persia,Neutral,16201 km 2,http://blocgame.com/stats.php?id=62912
Cyleia,Silas Adar,The Order,4k active personnel,0 ships,First World War surplus,Angelic,None,Elite,last online 6 hours ago,4 Hundred Tons per month,4 Mbbl per month,Free Market,$643 million,746 Mbbl; 4 Mbbl,Untapped,Mediocre,,Mesoamerica,United States,27846 km 2,http://blocgame.com/stats.php?id=62784
Yummy Foods,iiruka,Interpol,59k active personnel,1 ships,First World War surplus,Gandhi-like,2 factories,Elite,online now,24 Hundred Tons per month,1 Mbbl per month,Free Market,$635 million,59 Mbbl,Untapped,Mediocre,,Pacific Rim,United States,32861 km 2,http://blocgame.com/stats.php?id=54376
Khebab,Al Khebab,Al-Qassam Brigades,7k active personnel,0 ships,First World War surplus,Angelic,1 factory,Poor,last online 104 hours ago,6 Hundred Tons per month,6 Mbbl per month,Central Planning,$633 million,2226 Mbbl; 6 Mbbl,Untapped,Meagre,,Arabia,Soviet Union,33462 km 2,http://blocgame.com/stats.php?id=63695
Valtania,Kelvin D. Makumbi,Che Guevara League,56k active personnel,0 ships,First World War surplus,Angelic,2 factories,Good,last online 2 hours ago,11 Hundred Tons per month,5 Mbbl per month,Central Planning,$626 million,305 Mbbl; 5 Mbbl,Untapped,None,,Mesoamerica,Soviet Union,27676 km 2,http://blocgame.com/stats.php?id=62525
Deklain,Otis,The High Council,30k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,last online 6 hours ago,8 Hundred Tons per month,2 Mbbl per month,Central Planning,$624 million,190 Mbbl; 2 Mbbl,Untapped,Small,,Pacific Rim,Soviet Union,33853 km 2,http://blocgame.com/stats.php?id=57066
Byzantium,The Wolf,The United Nations,38k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,last online 5 hours ago,12 Hundred Tons per month,7 Mbbl per month,Free Market,$622 million,5181 Mbbl,Untapped,Mediocre,,Mesopotamia,United States,33379 km 2,http://blocgame.com/stats.php?id=41125
Utopiastan,SilmAlpha,The High Council,39k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,last online 7 hours ago,20 Hundred Tons per month,5 Mbbl per month,Central Planning,$620 million,997 Mbbl; 5 Mbbl,Untapped,Meagre,,Guinea,Soviet Union,35843 km 2,http://blocgame.com/stats.php?id=56876
Kek Slovakia,Fidel Kekstro,The Order,53k active personnel,0 ships,First World War surplus,Nice,1 factory,Standard,last online 1 hours ago,5 Hundred Tons per month,4 Mbbl per month,Central Planning,$620 million,350 Mbbl; 4 Mbbl,Untapped,Mediocre,,Pacific Rim,Soviet Union,34330 km 2,http://blocgame.com/stats.php?id=63462
Uzbekistanstan,Shaikh Zayer,The Order,30k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,online now,10 Hundred Tons per month,2 Mbbl per month,Free Market,$619 million,503 Mbbl,Plentiful,Mediocre,,Congo,United States,33793 km 2,http://blocgame.com/stats.php?id=47207
Jemut,iwaniman/Ferozz,PIRATES,74k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Good,online now,9 Hundred Tons per month,9 Mbbl per month,Central Planning,$614 million,365 Mbbl; 9 Mbbl,Untapped,Mediocre,,East Indies,Soviet Union,33776 km 2,http://blocgame.com/stats.php?id=61811
Wafflonia,Stellarwaffle,SPQR,58k active personnel,0 ships,First World War surplus,Questionable,1 factory,Good,last online 9 hours ago,9 Hundred Tons per month,6 Mbbl per month,Central Planning,$613 million,3972 Mbbl; 6 Mbbl,Plentiful,Small,,Egypt,Soviet Union,30750 km 2,http://blocgame.com/stats.php?id=63064
Mesopotamia,Arcturus,The Order,39k active personnel,0 ships,First World War surplus,Questionable,1 factory,Good,last online 9 hours ago,5 Hundred Tons per month,5 Mbbl per month,Free Market,$612 million,1790 Mbbl,Untapped,Small,,Mesopotamia,United States,33329 km 2,http://blocgame.com/stats.php?id=42045
The NLR,Darknight,Divine League,44k active personnel,0 ships,First World War surplus,Angelic,1 factory,Standard,online now,24 Hundred Tons per month,2 Mbbl per month,Central Planning,$608 million,143 Mbbl; 2 Mbbl,Untapped,Mediocre,,Congo,Soviet Union,36778 km 2,http://blocgame.com/stats.php?id=49701
Conferan,Cryptox,The High Council,67k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,online now,7 Hundred Tons per month,5 Mbbl per month,Central Planning,$608 million,423 Mbbl,Untapped,Mediocre,,East Indies,Soviet Union,34115 km 2,http://blocgame.com/stats.php?id=56710
Newsoka,E Mark,The High Council,18k active personnel,0 ships,First World War surplus,Angelic,1 factory,Poor,last online 3 hours ago,10 Hundred Tons per month,6 Mbbl per month,Mixed Economy,$608 million,408 Mbbl,Untapped,Meagre,,Indochina,United States,23122 km 2,http://blocgame.com/stats.php?id=63105
Vanan,Esler,The Order,54k active personnel,0 ships,First World War surplus,Nice,1 factory,Standard,online now,10 Hundred Tons per month,3 Mbbl per month,Central Planning,$608 million,325 Mbbl; 3 Mbbl,Plentiful,Small,,Congo,Soviet Union,33595 km 2,http://blocgame.com/stats.php?id=63339
Cirno,jc99,The Federal Colonies,38k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,last online 4 hours ago,25 Hundred Tons per month,2 Mbbl per month,Free Market,$602 million,300 Mbbl,Plentiful,Small,,Caribbean,United States,36077 km 2,http://blocgame.com/stats.php?id=43375
Jebawka,Shetay,The Order,40k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 7 hours ago,8 Hundred Tons per month,9 Mbbl per month,Free Market,$602 million,2122 Mbbl,Untapped,Meagre,,Arabia,United States,20165 km 2,http://blocgame.com/stats.php?id=54304
Kukulala,Unkel,The High Council,34k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,last online 3 hours ago,8 Hundred Tons per month,4 Mbbl per month,Free Market,$600 million,461 Mbbl,Plentiful,Mediocre,1 Tons,Indochina,United States,33932 km 2,http://blocgame.com/stats.php?id=60796
Argon,Argus,Interpol,42k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 4 hours ago,18 Hundred Tons per month,21 Mbbl per month,Central Planning,$593 million,2813 Mbbl; 21 Mbbl,Untapped,Small,,Atlas,Soviet Union,36011 km 2,http://blocgame.com/stats.php?id=57323
Rome Reloaded,Tiberius Ceaser,SPQR,7k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 9 hours ago,6 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$592 million,2665 Mbbl,Untapped,None,,Mesopotamia,Soviet Union,16085 km 2,http://blocgame.com/stats.php?id=1421
Hitlerwasright,Louis C Cuck,The Order,39k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,online now,4 Hundred Tons per month,9 Mbbl per month,Free Market,$591 million,1594 Mbbl,Near Depletion,Mediocre,,Arabia,United States,30157 km 2,http://blocgame.com/stats.php?id=59621
Whitey,Knee Grow,Brotherhood of Zion,25k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,last online 7 hours ago,12 Hundred Tons per month,5 Mbbl per month,Free Market,$589 million,5394 Mbbl; 5 Mbbl,Untapped,Mediocre,,Egypt,United States,29860 km 2,http://blocgame.com/stats.php?id=4816
Violent Vegans,SnakeBombs,Interpol,42k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,online now,11 Hundred Tons per month,6 Mbbl per month,Mixed Economy,$588 million,4772 Mbbl; 6 Mbbl,Untapped,Small,,Atlas,Soviet Union,34236 km 2,http://blocgame.com/stats.php?id=48869
Turbanistan,eromer2,The Order,28k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Poor,last online 2 hours ago,9 Hundred Tons per month,2 Mbbl per month,Central Planning,$584 million,517 Mbbl; 2 Mbbl,Untapped,Meagre,,The Subcontinent,Soviet Union,30082 km 2,http://blocgame.com/stats.php?id=63007
sandakania,Ryan Kentang,Brotherhood of Zion,32k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,last online 12 hours ago,10 Hundred Tons per month,3 Mbbl per month,Free Market,$582 million,528 Mbbl,Untapped,Mediocre,,East Indies,United States,34382 km 2,http://blocgame.com/stats.php?id=60600
Large Man,LargeMan,Al-Qassam Brigades,51k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,online now,6 Hundred Tons per month,5 Mbbl per month,Central Planning,$580 million,5928 Mbbl; 5 Mbbl,Untapped,Mediocre,,Egypt,Soviet Union,35795 km 2,http://blocgame.com/stats.php?id=52836
Syphirious,Doxal,Interpol,39k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,online now,12 Hundred Tons per month,20 Mbbl per month,Central Planning,$580 million,3382 Mbbl; 20 Mbbl,Untapped,Meagre,,Mesopotamia,Soviet Union,33688 km 2,http://blocgame.com/stats.php?id=59670
Ballzinga,Carejo,The Order,48k active personnel,0 ships,First World War surplus,Nice,None,Good,online now,8 Hundred Tons per month,4 Mbbl per month,Central Planning,$580 million,349 Mbbl,,Meagre,,Guinea,Soviet Union,31004 km 2,http://blocgame.com/stats.php?id=63397
Arabic Union,Comrade Izy,Brotherhood of Zion,69k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Standard,last online 11 hours ago,2 Hundred Tons per month,10 Mbbl per month,Central Planning,$578 million,3922 Mbbl; 10 Mbbl,Plentiful,Meagre,,Mesopotamia,Soviet Union,35790 km 2,http://blocgame.com/stats.php?id=59855
Savannah,Watersfall,The United Nations,38k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,last online 2 hours ago,11 Hundred Tons per month,1 Mbbl per month,Central Planning,$576 million,71 Mbbl,Untapped,Meagre,,Pacific Rim,Soviet Union,29545 km 2,http://blocgame.com/stats.php?id=49817
Glubistan,Glub,SPQR,18k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,online now,9 Hundred Tons per month,6 Mbbl per month,Central Planning,$576 million,1746 Mbbl; 6 Mbbl,Untapped,None,,Arabia,Neutral,22695 km 2,http://blocgame.com/stats.php?id=63027
bakhang,cukobi,The Order,31k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,last online 11 hours ago,9 Hundred Tons per month,4 Mbbl per month,Central Planning,$575 million,1053 Mbbl; 4 Mbbl,Untapped,Mediocre,,Atlas,Soviet Union,30352 km 2,http://blocgame.com/stats.php?id=60485
Junoma,VicReyes,Brotherhood of Zion,20k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,online now,6 Hundred Tons per month,1 Mbbl per month,Free Market,$574 million,419 Mbbl; 1 Mbbl,Untapped,Small,,Southern Cone,United States,31241 km 2,http://blocgame.com/stats.php?id=40349
Bendover,Mike Hawk,Farmington Brigade,26k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 12 hours ago,5 Hundred Tons per month,1 Mbbl per month,Central Planning,$574 million,236 Mbbl; 1 Mbbl,Untapped,Meagre,,East Indies,Soviet Union,16172 km 2,http://blocgame.com/stats.php?id=62897
Tyrantia,Malakal,The High Council,44k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 5 hours ago,18 Hundred Tons per month,9 Mbbl per month,Central Planning,$573 million,5136 Mbbl; 9 Mbbl,Untapped,Mediocre,,Arabia,Soviet Union,36758 km 2,http://blocgame.com/stats.php?id=40238
Ambon,Chalkface,The Order,60k active personnel,0 ships,First World War surplus,Angelic,1 factory,Standard,last online 4 hours ago,10 Hundred Tons per month,3 Mbbl per month,Central Planning,$573 million,412 Mbbl; 3 Mbbl,Untapped,Meagre,,Pacific Rim,Soviet Union,27493 km 2,http://blocgame.com/stats.php?id=42744
Wladimiria,Estagon,Divine League,30k active personnel,0 ships,First World War surplus,Nice,2 factories,Standard,online now,3 Hundred Tons per month,4 Mbbl per month,Central Planning,$572 million,4239 Mbbl,Untapped,Mediocre,,Mesopotamia,Soviet Union,31961 km 2,http://blocgame.com/stats.php?id=52318
Tamil Kingdom,Chola I,Brotherhood of Zion,65k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,online now,19 Hundred Tons per month,7 Mbbl per month,Central Planning,$571 million,164 Mbbl; 7 Mbbl,Untapped,Small,,The Subcontinent,Soviet Union,33461 km 2,http://blocgame.com/stats.php?id=60964
Nova Scotia,aspqrz,,8k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Standard,last online 164 hours ago,3 Hundred Tons per month,,Mixed Economy,$568 million,299 Mbbl,Untapped,None,,Caribbean,United States,16335 km 2,http://blocgame.com/stats.php?id=47047
FlySoGood,ycheez,Brotherhood of Zion,50k active personnel,0 ships,First World War surplus,Nice,1 factory,Standard,last online 3 hours ago,11 Hundred Tons per month,11 Mbbl per month,Free Market,$566 million,2006 Mbbl,Untapped,Small,,Atlas,United States,32278 km 2,http://blocgame.com/stats.php?id=54541
Ivalice,Nighthawk571,Interpol,39k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,online now,7 Hundred Tons per month,6 Mbbl per month,Central Planning,$566 million,1945 Mbbl; 6 Mbbl,Untapped,Meagre,,Arabia,Soviet Union,31315 km 2,http://blocgame.com/stats.php?id=63060
Hatmistan,Pertti II,Al-Qassam Brigades,39k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 8 hours ago,5 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$564 million,2111 Mbbl; 3 Mbbl,Untapped,Mediocre,,Atlas,Soviet Union,30995 km 2,http://blocgame.com/stats.php?id=46162
Acirassi,Flexy,The Order,83k active personnel,1 ships,First World War surplus,Good,2 factories,Elite,online now,17 Hundred Tons per month,8 Mbbl per month,Free Market,$549 million,2532 Mbbl,Untapped,Large,,Mesopotamia,Neutral,34514 km 2,http://blocgame.com/stats.php?id=49805
Robots,stormbot28,Interpol,58k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,last online 4 hours ago,6 Hundred Tons per month,,Free Market,$562 million,,Untapped,Meagre,,Caribbean,United States,13613 km 2,http://blocgame.com/stats.php?id=40242
Arina,Hakir,Interpol,35k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 6 hours ago,6 Hundred Tons per month,1 Mbbl per month,Free Market,$562 million,208 Mbbl,Untapped,Mediocre,,Amazonia,United States,30995 km 2,http://blocgame.com/stats.php?id=54480
Parnasus,thesageape,Brotherhood of Nod,10k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 167 hours ago,2 Hundred Tons per month,4 Mbbl per month,Central Planning,$561 million,3004 Mbbl; 4 Mbbl,Untapped,None,,Mesopotamia,Neutral,16500 km 2,http://blocgame.com/stats.php?id=62232
Swagvila,Saddam Hussgay,Divine League,40k active personnel,0 ships,First World War surplus,Angelic,None,Elite,last online 4 hours ago,5 Hundred Tons per month,,Central Planning,$560 million,23 Mbbl,Plentiful,Mediocre,,China,Soviet Union,26961 km 2,http://blocgame.com/stats.php?id=45990
Southern Africa,TheMaster_ZA,The Order,37k active personnel,0 ships,First World War surplus,Isolated,1 factory,Elite,last online 10 hours ago,6 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$559 million,261 Mbbl; 2 Mbbl,Untapped,Meagre,,Southern Africa,United States,36396 km 2,http://blocgame.com/stats.php?id=48410
Vilnus,Jurij Owsienko,Lithuanian Coalition,3k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 9 hours ago,12 Hundred Tons per month,18 Mbbl per month,Central Planning,$559 million,3200 Mbbl; 18 Mbbl,Untapped,Somewhat Large,,Atlas,Soviet Union,34193 km 2,http://blocgame.com/stats.php?id=61610
Iraqistan,PerryGriggs,,7k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 164 hours ago,2 Hundred Tons per month,,Free Market,$558 million,,Untapped,None,,Mesopotamia,Neutral,16335 km 2,http://blocgame.com/stats.php?id=45007
Wielkopl,taikuh,Che Guevara League,58k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,last online 7 hours ago,17 Hundred Tons per month,,Central Planning,$555 million,53 Mbbl,Untapped,Small,,Caribbean,Soviet Union,33865 km 2,http://blocgame.com/stats.php?id=42376
Pahang,FairulNizam,,8k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Undisciplined Rabble,last online 150 hours ago,3 Hundred Tons per month,1 Mbbl per month,Central Planning,$555 million,3643 Mbbl,Untapped,None,,Arabia,United States,16335 km 2,http://blocgame.com/stats.php?id=60874
Conrad,Waled,Al-Qassam Brigades,29k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 1 hours ago,9 Hundred Tons per month,9 Mbbl per month,Mixed Economy,$554 million,5048 Mbbl,Near Depletion,Small,,Egypt,United States,23085 km 2,http://blocgame.com/stats.php?id=62640
Kyranistan,Michael Hussain,Brotherhood of Nod,34k active personnel,0 ships,First World War surplus,Isolated,None,Good,last online 7 hours ago,7 Hundred Tons per month,6 Mbbl per month,Central Planning,$553 million,8355 Mbbl; 6 Mbbl,Untapped,Mediocre,,Persia,Soviet Union,29712 km 2,http://blocgame.com/stats.php?id=61263
KaleCepo,sultan lee,The High Council,69k active personnel,0 ships,First World War surplus,Nice,2 factories,Good,last online 11 hours ago,19 Hundred Tons per month,5 Mbbl per month,Free Market,$552 million,859 Mbbl,Untapped,Somewhat Large,,East Indies,United States,37195 km 2,http://blocgame.com/stats.php?id=60711
Lepkonia,Raguixxx,Interpol,30k active personnel,0 ships,First World War surplus,Good,1 factory,Good,online now,13 Hundred Tons per month,4 Mbbl per month,Central Planning,$549 million,141 Mbbl; 4 Mbbl,Plentiful,Mediocre,,Southern Cone,Soviet Union,33651 km 2,http://blocgame.com/stats.php?id=55854
Mongolstan,Khan,Brotherhood of Zion,47k active personnel,0 ships,First World War surplus,Nice,1 factory,Standard,last online 6 hours ago,16 Hundred Tons per month,3 Mbbl per month,Central Planning,$547 million,523 Mbbl; 3 Mbbl,Untapped,Mediocre,,China,Soviet Union,33209 km 2,http://blocgame.com/stats.php?id=47945
the Haunted,thedrunkenarchitect,Brotherhood of Zion,33k active personnel,0 ships,First World War surplus,Good,1 factory,Standard,last online 2 hours ago,8 Hundred Tons per month,4 Mbbl per month,Central Planning,$547 million,350 Mbbl; 4 Mbbl,Untapped,Mediocre,,Southern Africa,Soviet Union,30025 km 2,http://blocgame.com/stats.php?id=63020
Spooktune,Spookwave,Brotherhood of Zion,32k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 5 hours ago,8 Hundred Tons per month,4 Mbbl per month,Central Planning,$546 million,449 Mbbl; 4 Mbbl,Untapped,Mediocre,,China,Soviet Union,30995 km 2,http://blocgame.com/stats.php?id=62983
Kongasi,Din Diallo,,7k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 110 hours ago,2 Hundred Tons per month,,Mixed Economy,$545 million,,Untapped,None,,Congo,Soviet Union,13477 km 2,http://blocgame.com/stats.php?id=58832
place in asia,Fomalhaut,The Order,41k active personnel,0 ships,Finest of the 19th century,Good,1 factory,Good,online now,4 Hundred Tons per month,5 Mbbl per month,Central Planning,$545 million,182 Mbbl; 5 Mbbl,Untapped,None,,Pacific Rim,Neutral,28606 km 2,http://blocgame.com/stats.php?id=63538
OurTown,StarlightGlimmer,The Order,38k active personnel,0 ships,First World War surplus,Good,1 factory,Standard,last online 4 hours ago,7 Hundred Tons per month,6 Mbbl per month,Central Planning,$544 million,3814 Mbbl,Untapped,Mediocre,,Persia,Soviet Union,34823 km 2,http://blocgame.com/stats.php?id=51681
Hajoki,Makao,The Khilafah,10k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 20 hours ago,0 Hundred Tons per month,9 Mbbl per month,Free Market,$543 million,1652 Mbbl,Untapped,None,,Atlas,Soviet Union,11460 km 2,http://blocgame.com/stats.php?id=60093
Crapostan,King Guamba,Brotherhood of Nod,30k active personnel,0 ships,Finest of the 19th century,Angelic,1 factory,Good,last online 11 hours ago,4 Hundred Tons per month,3 Mbbl per month,Central Planning,$542 million,6643 Mbbl; 3 Mbbl,Untapped,Small,,Mesopotamia,Neutral,30564 km 2,http://blocgame.com/stats.php?id=44789
Leche,ElHombreLeche,TheAccountantRevenge,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Good,last online 7 hours ago,5 Hundred Tons per month,2 Mbbl per month,Central Planning,$542 million,3038 Mbbl; 2 Mbbl,Untapped,Somewhat Large,,Persia,Soviet Union,32354 km 2,http://blocgame.com/stats.php?id=62425
