country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,uranium,region,alignment,territory,pageUrl,reactor
Lorigan,Lorigan,The Divine Council,79k active personnel,2 ships,Second World War surplus,Gandhi-like,3 factories,Standard,last online 29 hours ago,29 Hundred Tons per month,8 Mbbl per month,Central Planning,$2571 million,113 Mbbl; 8 Mbbl,Untapped,Large,,Amazonia,Soviet Union,39396 km 2,http://blocgame.com/stats.php?id=59787,
KingBding,King B,The Order,58k active personnel,5 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 18 hours ago,19 Hundred Tons per month,3 Mbbl per month,Central Planning,$2544 million,236 Mbbl; 3 Mbbl,Plentiful,Very Powerful,,Southern Africa,Soviet Union,25241 km 2,http://blocgame.com/stats.php?id=63205,
Tamarlania,Vagrant,The Order,129k active personnel,9 ships,Second World War surplus,Good,8 factories,Elite,last online 2 hours ago,74 Hundred Tons per month,67 Mbbl per month,Free Market,$2537 million,4672 Mbbl,Untapped,Very Powerful,,Mesopotamia,United States,59217 km 2,http://blocgame.com/stats.php?id=61626,5%
Krakozhia,Ilyich,Interpol,110k active personnel,2 ships,Korean War surplus,Gandhi-like,3 factories,Good,online now,20 Hundred Tons per month,4 Mbbl per month,Central Planning,$2520 million,535 Mbbl; 4 Mbbl,Plentiful,Very Powerful,,Pacific Rim,Soviet Union,28409 km 2,http://blocgame.com/stats.php?id=39065,
south nation,presiden tote,PIRATES,70k active personnel,3 ships,Second World War surplus,Nice,3 factories,Good,last online 3 hours ago,12 Hundred Tons per month,9 Mbbl per month,Central Planning,$2511 million,480 Mbbl; 9 Mbbl,,Mediocre,,Pacific Rim,Soviet Union,42484 km 2,http://blocgame.com/stats.php?id=61911,
Salama�a,Bacardi,The Order,68k active personnel,0 ships,Korean War surplus,Isolated,2 factories,Elite,last online 1 hours ago,23 Hundred Tons per month,8 Mbbl per month,Central Planning,$2506 million,117 Mbbl,Plentiful,Somewhat Large,,Southern Cone,Soviet Union,23972 km 2,http://blocgame.com/stats.php?id=63383,
Mesopotamia,Arcturus,The Order,98k active personnel,4 ships,Second World War surplus,Gandhi-like,4 factories,Standard,last online 11 hours ago,24 Hundred Tons per month,16 Mbbl per month,Free Market,$2504 million,5858 Mbbl,Untapped,Mediocre,,Mesopotamia,United States,37057 km 2,http://blocgame.com/stats.php?id=42045,
Cameronia,Cameron Saxonson,Steel Brotherhood,58k active personnel,3 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 5 hours ago,19 Hundred Tons per month,10 Mbbl per month,Central Planning,$2499 million,278 Mbbl; 10 Mbbl,Untapped,Large,,Southern Cone,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=62688,
Mzab,Cuma Thurman,Steel Brotherhood,87k active personnel,4 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 8 hours ago,28 Hundred Tons per month,16 Mbbl per month,Central Planning,$2480 million,3919 Mbbl; 16 Mbbl,Untapped,Large,,Atlas,Soviet Union,38538 km 2,http://blocgame.com/stats.php?id=63775,5%
Junovia,dontworryaboutit,Interpol,64k active personnel,4 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 2 hours ago,24 Hundred Tons per month,7 Mbbl per month,Free Market,$2465 million,367 Mbbl; 7 Mbbl,Untapped,Large,,Pacific Rim,Neutral,20884 km 2,http://blocgame.com/stats.php?id=63088,
Glubistan,Glub,SPQR,98k active personnel,3 ships,Korean War surplus,Gandhi-like,3 factories,Standard,last online 5 hours ago,25 Hundred Tons per month,13 Mbbl per month,Central Planning,$2451 million,1617 Mbbl; 13 Mbbl,Plentiful,Large,,Arabia,Soviet Union,24486 km 2,http://blocgame.com/stats.php?id=63027,
Crimea,Hayro Khan,The Order,58k active personnel,0 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 12 hours ago,17 Hundred Tons per month,11 Mbbl per month,Central Planning,$2426 million,3375 Mbbl; 11 Mbbl,,Large,,Atlas,Soviet Union,31017 km 2,http://blocgame.com/stats.php?id=2570,
Mmhat,Homermustdie,The Divine Council,18k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,online now,14 Hundred Tons per month,2 Mbbl per month,Free Market,$2423 million,115 Mbbl; 2 Mbbl,Untapped,Mediocre,,Amazonia,United States,20400 km 2,http://blocgame.com/stats.php?id=45846,
Ghost Shark,Sharky,PIRATES,86k active personnel,9 ships,Second World War surplus,Nice,3 factories,Elite,online now,13 Hundred Tons per month,6 Mbbl per month,Free Market,$2372 million,128 Mbbl,Untapped,Powerful,,East Indies,United States,53378 km 2,http://blocgame.com/stats.php?id=63863,
Tamil Kingdom,Chola I,The Order,140k active personnel,13 ships,Vietnam War surplus,Gandhi-like,5 factories,Good,last online 1 hours ago,50 Hundred Tons per month,7 Mbbl per month,Central Planning,$2383 million,830 Mbbl; 7 Mbbl,Untapped,Large,,The Subcontinent,Soviet Union,69095 km 2,http://blocgame.com/stats.php?id=60964,
