country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,uranium,region,alignment,territory,pageUrl,reactor
Histalaxia,Sir William the First,The Order,59k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 7 hours ago,5 Hundred Tons per month,4 Mbbl per month,Free Market,$912 million,183 Mbbl,Untapped,Meagre,,Pacific Rim,United States,20762 km 2,http://blocgame.com/stats.php?id=51506,
Chanada,chad7405,The Order,39k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 6 hours ago,9 Hundred Tons per month,9 Mbbl per month,Free Market,$911 million,3420 Mbbl; 9 Mbbl,Untapped,Mediocre,,Arabia,United States,26925 km 2,http://blocgame.com/stats.php?id=58742,
Shanghai,Lon Dyo,Steel Brotherhood,53k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 9 hours ago,19 Hundred Tons per month,6 Mbbl per month,Central Planning,$911 million,180 Mbbl; 6 Mbbl,Untapped,Large,,China,Soviet Union,45274 km 2,http://blocgame.com/stats.php?id=63118,
Iraqghanistan,an unwashed arab.,The Khilafah,6k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 20 hours ago,9 Hundred Tons per month,4 Mbbl per month,Central Planning,$910 million,1013 Mbbl; 4 Mbbl,Untapped,Small,,Egypt,Soviet Union,11574 km 2,http://blocgame.com/stats.php?id=64180,
Black Money,Babe,,7k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Elite,last online 6 hours ago,5 Hundred Tons per month,5 Mbbl per month,Mixed Economy,$910 million,905 Mbbl; 5 Mbbl,Untapped,Small,,Atlas,Neutral,11068 km 2,http://blocgame.com/stats.php?id=64241,
Pemakan Dunia,P3M4k4N 2Nia,PIRATES,65k active personnel,6 ships,Second World War surplus,Gandhi-like,4 factories,Standard,last online 20 hours ago,17 Hundred Tons per month,11 Mbbl per month,Mixed Economy,$909 million,32 Mbbl,Near Depletion,Large,,East Indies,Neutral,29523 km 2,http://blocgame.com/stats.php?id=61189,
Soviet Kekbodia,Wojak Stalin,,4k active personnel,0 ships,First World War surplus,Questionable,None,Elite,last online 80 hours ago,3 Hundred Tons per month,,Mixed Economy,$908 million,,Untapped,None,,Pacific Rim,Neutral,4515 km 2,http://blocgame.com/stats.php?id=63380,
Langit7,Echa,Brotherhood of Nod,64k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Poor,last online 10 hours ago,14 Hundred Tons per month,12 Mbbl per month,Mixed Economy,$903 million,1549 Mbbl,Untapped,Very Powerful,,Arabia,Neutral,19799 km 2,http://blocgame.com/stats.php?id=61131,
Dirk-Dirkastan,Vyper,The Order,90k active personnel,1 ships,Second World War surplus,Gandhi-like,3 factories,Standard,last online 10 hours ago,26 Hundred Tons per month,12 Mbbl per month,Free Market,$902 million,593 Mbbl,Near Depletion,Large,,Caribbean,Neutral,39784 km 2,http://blocgame.com/stats.php?id=63936,
Daricia,Luisinian,,7k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 45 hours ago,2 Hundred Tons per month,1 Mbbl per month,Central Planning,$897 million,2115 Mbbl; 1 Mbbl,Untapped,Meagre,,Mesopotamia,Soviet Union,11231 km 2,http://blocgame.com/stats.php?id=64185,
Eurassia,KurdishStalin,Pact of Red October,54k active personnel,1 ships,Second World War surplus,Good,2 factories,Elite,last online 4 hours ago,7 Hundred Tons per month,5 Mbbl per month,Central Planning,$895 million,3558 Mbbl; 5 Mbbl,Plentiful,Mediocre,,Mesopotamia,Soviet Union,21208 km 2,http://blocgame.com/stats.php?id=63019,
New Granada,Huey Long,The Order,105k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 11 hours ago,21 Hundred Tons per month,6 Mbbl per month,Mixed Economy,$892 million,494 Mbbl,Untapped,Very Powerful,,Southern Cone,United States,29677 km 2,http://blocgame.com/stats.php?id=63401,
Abel,ProtoGoomba,,27k active personnel,0 ships,Second World War surplus,Good,1 factory,Good,online now,8 Hundred Tons per month,6 Mbbl per month,Central Planning,$892 million,3226 Mbbl; 6 Mbbl,Near Depletion,Small,,Atlas,Soviet Union,16041 km 2,http://blocgame.com/stats.php?id=64248,
awanghitam,awanghitam,The Divine Council,30k active personnel,0 ships,Korean War surplus,Gandhi-like,1 factory,Good,last online 4 hours ago,27 Hundred Tons per month,1 Mbbl per month,Central Planning,$888 million,7 Mbbl; 1 Mbbl,Depleted,Large,,East Indies,Soviet Union,13310 km 2,http://blocgame.com/stats.php?id=60739,
Tok Jembal,Lady H,The Order,80k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Poor,last online 10 hours ago,16 Hundred Tons per month,16 Mbbl per month,Mixed Economy,$887 million,1562 Mbbl; 16 Mbbl,Untapped,Powerful,,Arabia,Neutral,26627 km 2,http://blocgame.com/stats.php?id=60840,
Versania,jonathan15112001,The Divine Council,15k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 86 hours ago,3 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$887 million,4420 Mbbl; 1 Mbbl,Untapped,Mediocre,,Arabia,Soviet Union,16335 km 2,http://blocgame.com/stats.php?id=63915,
korea____one,clark510,,19k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 11 hours ago,5 Hundred Tons per month,5 Mbbl per month,Central Planning,$884 million,1198 Mbbl; 5 Mbbl,Untapped,Somewhat Large,,Arabia,Soviet Union,10790 km 2,http://blocgame.com/stats.php?id=63941,
Magna Bonom,Krull,Brotherhood of Nod,80k active personnel,4 ships,Korean War surplus,Gandhi-like,2 factories,Elite,last online 32 hours ago,23 Hundred Tons per month,13 Mbbl per month,Central Planning,$882 million,5123 Mbbl; 13 Mbbl,Untapped,Very Powerful,,Egypt,Soviet Union,39209 km 2,http://blocgame.com/stats.php?id=59435,
kitts,kids,PIRATES,32k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 4 hours ago,8 Hundred Tons per month,7 Mbbl per month,Central Planning,$879 million,293 Mbbl,Untapped,Somewhat Large,,China,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64269,
Afpakistan,WolfyTheAlpha,Steel Brotherhood,61k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 3 hours ago,13 Hundred Tons per month,11 Mbbl per month,Central Planning,$878 million,1395 Mbbl,Untapped,Meagre,,Atlas,Soviet Union,20132 km 2,http://blocgame.com/stats.php?id=64497,
NationalFreedom,Muhammad Ali,Brotherhood of Nod,8k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,last online 4 hours ago,10 Hundred Tons per month,,Mixed Economy,$876 million,171 Mbbl,Untapped,None,,Mesopotamia,Neutral,8871 km 2,http://blocgame.com/stats.php?id=62085,
Meiji,HiroShiro,The Order,91k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 12 hours ago,16 Hundred Tons per month,15 Mbbl per month,Central Planning,$876 million,212 Mbbl,Untapped,Large,,Pacific Rim,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=63464,
Ira,TheCatOfTens,The Order,142k active personnel,1 ships,Second World War surplus,Nice,3 factories,Good,online now,53 Hundred Tons per month,3 Mbbl per month,Free Market,$875 million,3 Mbbl,Plentiful,Very Powerful,,Congo,United States,35705 km 2,http://blocgame.com/stats.php?id=62332,
Ghost,Kaali,The Order,68k active personnel,1 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 2 hours ago,23 Hundred Tons per month,10 Mbbl per month,Free Market,$864 million,4628 Mbbl,Untapped,Large,,Arabia,United States,35337 km 2,http://blocgame.com/stats.php?id=63068,
South Minnesota,Generalissimo Alpun,Steel Brotherhood,50k active personnel,0 ships,Second World War surplus,Angelic,2 factories,Elite,last online 24 hours ago,8 Hundred Tons per month,5 Mbbl per month,Central Planning,$864 million,346 Mbbl,Untapped,Large,,Gran Colombia,Soviet Union,10949 km 2,http://blocgame.com/stats.php?id=63460,
Hells Angel,Avangarde,The Order,60k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Poor,last online 8 hours ago,26 Hundred Tons per month,6 Mbbl per month,Central Planning,$864 million,3840 Mbbl; 6 Mbbl,Untapped,Large,1 Tons,Guinea,Soviet Union,46226 km 2,http://blocgame.com/stats.php?id=63923,
Darkplace,BlackAngel,,10k active personnel,0 ships,First World War surplus,Good,None,Good,last online 5 hours ago,4 Hundred Tons per month,,Mixed Economy,$862 million,,Untapped,None,,Arabia,Neutral,1695 km 2,http://blocgame.com/stats.php?id=62234,
Canantartica,El Chepo,Steel Brotherhood,27k active personnel,0 ships,First World War surplus,Questionable,1 factory,Elite,last online 14 hours ago,8 Hundred Tons per month,2 Mbbl per month,Free Market,$861 million,208 Mbbl,Plentiful,Mediocre,,Gran Colombia,United States,20227 km 2,http://blocgame.com/stats.php?id=64445,
West-Korea,Chang Kai-Shrek,Steel Brotherhood,6k active personnel,0 ships,First World War surplus,Normal,1 factory,Standard,last online 17 hours ago,3 Hundred Tons per month,,Mixed Economy,$860 million,287 Mbbl,Untapped,Meagre,,China,Neutral,16417 km 2,http://blocgame.com/stats.php?id=64148,
The Jihad,eddylane,The Order,38k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,online now,12 Hundred Tons per month,7 Mbbl per month,Mixed Economy,$859 million,3955 Mbbl,Plentiful,Small,,Egypt,United States,25284 km 2,http://blocgame.com/stats.php?id=53434,
Netland,netcode,The Order,40k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 3 hours ago,15 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$856 million,19 Mbbl,Untapped,Mediocre,,Mesoamerica,United States,28560 km 2,http://blocgame.com/stats.php?id=63148,
Milano,Milanostrom,The Divine Council,71k active personnel,4 ships,Second World War surplus,Gandhi-like,3 factories,Standard,last online 116 hours ago,17 Hundred Tons per month,,Central Planning,$850 million,57 Mbbl,Untapped,Somewhat Large,,Pacific Rim,Soviet Union,33696 km 2,http://blocgame.com/stats.php?id=63012,
Enggor Perak,meor,PIRATES,14k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 10 hours ago,10 Hundred Tons per month,2 Mbbl per month,Central Planning,$848 million,125 Mbbl; 2 Mbbl,Untapped,Meagre,,East Indies,Neutral,9971 km 2,http://blocgame.com/stats.php?id=60674,
Baghdad Iraqi,As-Shaheed Saddam Hussein,The Divine Council,71k active personnel,0 ships,Korean War surplus,Gandhi-like,2 factories,Elite,last online 9 hours ago,26 Hundred Tons per month,17 Mbbl per month,Central Planning,$847 million,4114 Mbbl; 17 Mbbl,Untapped,Very Powerful,,Mesopotamia,Soviet Union,41587 km 2,http://blocgame.com/stats.php?id=61172,
Leninstan,VladLenin1,,6k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 152 hours ago,2 Hundred Tons per month,,Mixed Economy,$847 million,,Untapped,None,,The Subcontinent,Neutral,13477 km 2,http://blocgame.com/stats.php?id=63142,
bukitbendera98,myms7375,PIRATES,50k active personnel,2 ships,Korean War surplus,Gandhi-like,2 factories,Standard,online now,10 Hundred Tons per month,6 Mbbl per month,Free Market,$846 million,4566 Mbbl; 6 Mbbl,Depleted,Mediocre,,Arabia,United States,22620 km 2,http://blocgame.com/stats.php?id=62501,
Mobique,Ebrya,,8k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 10 hours ago,3 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$844 million,37 Mbbl,Untapped,Somewhat Large,,China,United States,13477 km 2,http://blocgame.com/stats.php?id=61587,
Yidi Gao,Clayton Gao,,6k active personnel,0 ships,First World War surplus,Gandhi-like,None,Undisciplined Rabble,last online 17 hours ago,2 Hundred Tons per month,,Central Planning,$842 million,,Untapped,None,,China,Neutral,11008 km 2,http://blocgame.com/stats.php?id=64426,
Blackpearl,Ultraman,PIRATES,45k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 23 hours ago,11 Hundred Tons per month,5 Mbbl per month,Central Planning,$835 million,165 Mbbl; 5 Mbbl,Untapped,Meagre,,East Indies,Soviet Union,30822 km 2,http://blocgame.com/stats.php?id=64309,
Masterton East,Natedogg,Interpol,59k active personnel,0 ships,Korean War surplus,Gandhi-like,None,Good,last online 8 hours ago,7 Hundred Tons per month,1 Mbbl per month,Free Market,$832 million,86 Mbbl; 1 Mbbl,Untapped,Large,,Pacific Rim,United States,15535 km 2,http://blocgame.com/stats.php?id=58225,
Le tits now,bake and shake,The Federal Colonies,9k active personnel,0 ships,First World War surplus,Good,None,Good,last online 6 hours ago,6 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$830 million,151 Mbbl; 2 Mbbl,Near Depletion,None,,Mesoamerica,Soviet Union,17587 km 2,http://blocgame.com/stats.php?id=64023,
Compost,Colop,The Order,60k active personnel,0 ships,Second World War surplus,Normal,2 factories,Standard,online now,27 Hundred Tons per month,2 Mbbl per month,Central Planning,$829 million,566 Mbbl; 2 Mbbl,Untapped,Somewhat Large,,Southern Cone,Soviet Union,44365 km 2,http://blocgame.com/stats.php?id=62506,
Ishtar,Magnus Magnus,Brotherhood of Nod,63k active personnel,3 ships,Korean War surplus,Gandhi-like,2 factories,Good,last online 33 hours ago,21 Hundred Tons per month,11 Mbbl per month,Central Planning,$828 million,5095 Mbbl; 11 Mbbl,Untapped,Very Powerful,,Mesopotamia,Soviet Union,34691 km 2,http://blocgame.com/stats.php?id=55882,
Avarice,Plutus,Steel Brotherhood,146k active personnel,6 ships,Korean War surplus,Nice,6 factories,Elite,last online 20 hours ago,59 Hundred Tons per month,19 Mbbl per month,Mixed Economy,$827 million,,Untapped,Very Powerful,,East Indies,United States,72328 km 2,http://blocgame.com/stats.php?id=63966,
Kersumsos,Kersumsos,The Order,99k active personnel,0 ships,Korean War surplus,Gandhi-like,4 factories,Standard,last online 9 hours ago,30 Hundred Tons per month,31 Mbbl per month,Central Planning,$823 million,5533 Mbbl; 31 Mbbl,Untapped,Very Powerful,,Egypt,Soviet Union,40640 km 2,http://blocgame.com/stats.php?id=46317,
Vierte Reich,Silver_Sr71,The Divine Council,7k active personnel,0 ships,Second World War surplus,Good,1 factory,Good,last online 12 hours ago,7 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$821 million,266 Mbbl,Near Depletion,None,,Southern Africa,Neutral,26776 km 2,http://blocgame.com/stats.php?id=59580,
Pahang Power,Kerol,PIRATES,114k active personnel,1 ships,Second World War surplus,Gandhi-like,3 factories,Standard,last online 15 hours ago,14 Hundred Tons per month,6 Mbbl per month,Free Market,$821 million,103 Mbbl,Plentiful,Very Powerful,,East Indies,United States,29442 km 2,http://blocgame.com/stats.php?id=60578,
West Pacific,Thunder Eagle,The Khilafah,14k active personnel,0 ships,First World War surplus,Questionable,None,Elite,last online 9 hours ago,7 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$819 million,169 Mbbl; 2 Mbbl,,Somewhat Large,,Pacific Rim,Neutral,4490 km 2,http://blocgame.com/stats.php?id=62429,
DickKickem,SirReginaldDickface,The Order,43k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 22 hours ago,6 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$817 million,71 Mbbl; 3 Mbbl,Untapped,Small,,Pacific Rim,Neutral,20000 km 2,http://blocgame.com/stats.php?id=59772,
Yar,Johnny Depth,,7k active personnel,0 ships,Second World War surplus,Normal,None,Undisciplined Rabble,last online 35 hours ago,5 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$817 million,6 Mbbl; 1 Mbbl,Untapped,None,,East Indies,Neutral,2115 km 2,http://blocgame.com/stats.php?id=62769,
Zepplin,Hammer,,13k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,last online 12 hours ago,5 Hundred Tons per month,3 Mbbl per month,Central Planning,$816 million,2430 Mbbl; 3 Mbbl,Untapped,None,,Persia,Soviet Union,11345 km 2,http://blocgame.com/stats.php?id=64512,
The Boer,Joe Soap,The Order,53k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 51 hours ago,12 Hundred Tons per month,4 Mbbl per month,Free Market,$814 million,761 Mbbl,Untapped,Powerful,,Southern Africa,United States,19800 km 2,http://blocgame.com/stats.php?id=55355,
Rats,Banjax,The Divine Council,56k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 1 hours ago,20 Hundred Tons per month,8 Mbbl per month,Free Market,$813 million,294 Mbbl,Near Depletion,Mediocre,,Amazonia,United States,25367 km 2,http://blocgame.com/stats.php?id=64509,
Swedeinstan,The_Real_Taylor_Swift,,10k active personnel,0 ships,Second World War surplus,Angelic,None,Poor,last online 117 hours ago,2 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$812 million,2791 Mbbl; 3 Mbbl,,Meagre,,Arabia,Neutral,3014 km 2,http://blocgame.com/stats.php?id=39005,
Poundtown,FLAKT,Brotherhood of Nod,191k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 9 hours ago,12 Hundred Tons per month,7 Mbbl per month,Central Planning,$810 million,448 Mbbl; 7 Mbbl,Untapped,Large,,East Africa,Soviet Union,40763 km 2,http://blocgame.com/stats.php?id=39066,
Chaz,Jack Urzak,The Order,77k active personnel,3 ships,Second World War surplus,Gandhi-like,2 factories,Elite,online now,21 Hundred Tons per month,7 Mbbl per month,Free Market,$808 million,982 Mbbl,Untapped,Large,,East Africa,United States,36046 km 2,http://blocgame.com/stats.php?id=63326,
KL Lanas,suwey90,PIRATES,61k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 17 hours ago,8 Hundred Tons per month,5 Mbbl per month,Free Market,$804 million,5 Mbbl,Untapped,Somewhat Large,,East Indies,United States,20682 km 2,http://blocgame.com/stats.php?id=60623,
Acirassi,Flexy,The Order,184k active personnel,15 ships,Korean War surplus,Nice,5 factories,Elite,last online 3 hours ago,83 Hundred Tons per month,75 Mbbl per month,Mixed Economy,$803 million,8713 Mbbl,Untapped,Very Powerful,,Mesopotamia,United States,106235 km 2,http://blocgame.com/stats.php?id=49805,
Alorian,Azril91,,16k active personnel,0 ships,Second World War surplus,Normal,None,Undisciplined Rabble,online now,2 Hundred Tons per month,,Mixed Economy,$803 million,54 Mbbl,Depleted,Meagre,,Pacific Rim,Neutral,954 km 2,http://blocgame.com/stats.php?id=61749,
MembumiHangus,Hambikko,PIRATES,41k active personnel,2 ships,Second World War surplus,Gandhi-like,2 factories,Good,online now,15 Hundred Tons per month,8 Mbbl per month,Central Planning,$801 million,2377 Mbbl; 8 Mbbl,,Somewhat Large,,Atlas,Neutral,16420 km 2,http://blocgame.com/stats.php?id=62424,
Black Gold,SIEG_HEIL,The Order,48k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 11 hours ago,7 Hundred Tons per month,11 Mbbl per month,Central Planning,$801 million,6543 Mbbl; 11 Mbbl,,Large,,Egypt,Soviet Union,37167 km 2,http://blocgame.com/stats.php?id=64027,
Bahavian,Captain LoveDucks,The Divine Council,65k active personnel,1 ships,Korean War surplus,Gandhi-like,2 factories,Standard,last online 26 hours ago,13 Hundred Tons per month,5 Mbbl per month,Central Planning,$795 million,274 Mbbl; 5 Mbbl,Untapped,Mediocre,,The Subcontinent,Soviet Union,28742 km 2,http://blocgame.com/stats.php?id=54960,
Hezstallah,Stalinasrallah,Al-Qassam Brigades,5k active personnel,0 ships,First World War surplus,Questionable,1 factory,Good,last online 156 hours ago,7 Hundred Tons per month,6 Mbbl per month,Mixed Economy,$793 million,1509 Mbbl; 6 Mbbl,Plentiful,None,,Arabia,Neutral,10060 km 2,http://blocgame.com/stats.php?id=64096,
Jurestist,truenova,,10k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Standard,last online 153 hours ago,4 Hundred Tons per month,2 Mbbl per month,Free Market,$790 million,,Untapped,None,,East Indies,Neutral,12947 km 2,http://blocgame.com/stats.php?id=59705,
Daphnestan,Daoapin,The Divine Council,16k active personnel,0 ships,Second World War surplus,Normal,2 factories,Standard,last online 1 hours ago,17 Hundred Tons per month,7 Mbbl per month,Central Planning,$789 million,450 Mbbl; 7 Mbbl,,Meagre,,East Indies,Soviet Union,19891 km 2,http://blocgame.com/stats.php?id=59475,
Chagondowidi,Tom Spanks,,6k active personnel,0 ships,Second World War surplus,Good,None,Poor,last online 35 hours ago,5 Hundred Tons per month,,Mixed Economy,$789 million,91 Mbbl,Untapped,None,,Congo,Neutral,4381 km 2,http://blocgame.com/stats.php?id=64136,
Cuttlefish,DruidOfDiscord,Interpol,37k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Elite,last online 13 hours ago,3 Hundred Tons per month,2 Mbbl per month,Central Planning,$785 million,193 Mbbl; 2 Mbbl,Untapped,Large,,Pacific Rim,United States,22906 km 2,http://blocgame.com/stats.php?id=63884,
Pingaslavia,CowsRTasty,Interpol,38k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 3 hours ago,12 Hundred Tons per month,3 Mbbl per month,Free Market,$784 million,498 Mbbl,Untapped,Large,1 Tons,East Indies,United States,24645 km 2,http://blocgame.com/stats.php?id=6730,
Isla Grande,King Richard,PIRATES,79k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Poor,last online 8 hours ago,19 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$783 million,218 Mbbl; 3 Mbbl,Untapped,Somewhat Large,,Caribbean,United States,27316 km 2,http://blocgame.com/stats.php?id=64171,
Lewd Place,Cute Girl,Lithuanian Coalition,79k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 60 hours ago,23 Hundred Tons per month,10 Mbbl per month,Mixed Economy,$781 million,1233 Mbbl,Plentiful,Somewhat Large,,Caribbean,Soviet Union,30807 km 2,http://blocgame.com/stats.php?id=61620,
Deuss Vult,Jeremiah IX,The Order,39k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,online now,8 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$781 million,2242 Mbbl,Untapped,Small,,Arabia,United States,24724 km 2,http://blocgame.com/stats.php?id=64697,
La Federacion,Jose Raul Martinez,The Divine Council,51k active personnel,0 ships,Second World War surplus,Angelic,1 factory,Poor,last online 33 hours ago,5 Hundred Tons per month,1 Mbbl per month,Central Planning,$779 million,320 Mbbl; 1 Mbbl,Untapped,Large,,Mesoamerica,Soviet Union,27265 km 2,http://blocgame.com/stats.php?id=64281,
Rafeal,Rafeal98,,18k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Elite,last online 1 hours ago,4 Hundred Tons per month,3 Mbbl per month,Free Market,$779 million,3 Mbbl,Untapped,Small,,Amazonia,United States,11345 km 2,http://blocgame.com/stats.php?id=64358,
Ebry�,Thaira,The Order,53k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 10 hours ago,3 Hundred Tons per month,2 Mbbl per month,Central Planning,$779 million,129 Mbbl; 2 Mbbl,Untapped,Small,,Congo,Soviet Union,29139 km 2,http://blocgame.com/stats.php?id=64495,
Pasir Dengung,Menteri Fasola,PIRATES,33k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 3 hours ago,6 Hundred Tons per month,7 Mbbl per month,Central Planning,$777 million,4663 Mbbl,Untapped,Large,,Atlas,Neutral,22543 km 2,http://blocgame.com/stats.php?id=60712,
Alpha,Ryguy1005,Steel Brotherhood,38k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,last online 7 hours ago,3 Hundred Tons per month,2 Mbbl per month,Central Planning,$771 million,136 Mbbl,Untapped,Mediocre,,Gran Colombia,United States,33068 km 2,http://blocgame.com/stats.php?id=64279,
ENdau 2,Syazwan90,PIRATES,81k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,online now,16 Hundred Tons per month,9 Mbbl per month,Central Planning,$766 million,4406 Mbbl; 9 Mbbl,Near Depletion,Mediocre,,Atlas,Soviet Union,34250 km 2,http://blocgame.com/stats.php?id=64213,
Chaouenne,pyrignis,The Divine Council,50k active personnel,4 ships,First World War surplus,Gandhi-like,2 factories,Poor,last online 4 hours ago,12 Hundred Tons per month,8 Mbbl per month,Central Planning,$765 million,3840 Mbbl; 8 Mbbl,Untapped,Very Powerful,,Atlas,Soviet Union,37099 km 2,http://blocgame.com/stats.php?id=42019,
Kamikazie,kamikazie,PIRATES,88k active personnel,3 ships,Second World War surplus,Angelic,2 factories,Good,last online 3 hours ago,22 Hundred Tons per month,22 Mbbl per month,Free Market,$765 million,6622 Mbbl,Plentiful,Very Powerful,,Egypt,United States,42024 km 2,http://blocgame.com/stats.php?id=61783,
Marigold,Guadian Cancer,,2k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Poor,last online 72 hours ago,5 Hundred Tons per month,2 Mbbl per month,Free Market,$764 million,13 Mbbl,Untapped,Small,,Congo,United States,18353 km 2,http://blocgame.com/stats.php?id=64393,
Ultios,Noctis,The Order,114k active personnel,1 ships,Korean War surplus,Gandhi-like,3 factories,Standard,last online 1 hours ago,30 Hundred Tons per month,12 Mbbl per month,Free Market,$763 million,131 Mbbl,Untapped,Powerful,,Pacific Rim,United States,35313 km 2,http://blocgame.com/stats.php?id=59917,
Dengue,Kraken,The Khilafah,61k active personnel,0 ships,Korean War surplus,Gandhi-like,1 factory,Elite,last online 10 hours ago,10 Hundred Tons per month,5 Mbbl per month,Central Planning,$763 million,2448 Mbbl; 5 Mbbl,Untapped,Very Powerful,,Mesopotamia,Soviet Union,13210 km 2,http://blocgame.com/stats.php?id=64008,
Kazilers Shoil,Haroni Ismaelist,Brotherhood of Nod,46k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,last online 58 hours ago,5 Hundred Tons per month,2 Mbbl per month,Central Planning,$762 million,325 Mbbl; 2 Mbbl,Untapped,Somewhat Large,,Mesoamerica,United States,26695 km 2,http://blocgame.com/stats.php?id=60641,
Carteles,Miss Senza,,8k active personnel,0 ships,First World War surplus,Good,None,Undisciplined Rabble,last online 144 hours ago,2 Hundred Tons per month,,Mixed Economy,$761 million,,Untapped,None,,Mesoamerica,Neutral,5417 km 2,http://blocgame.com/stats.php?id=63771,
Qaramur,Qaram,The Order,11k active personnel,0 ships,Second World War surplus,Angelic,1 factory,Elite,last online 1 hours ago,8 Hundred Tons per month,1 Mbbl per month,Free Market,$757 million,159 Mbbl,,Small,,The Subcontinent,Soviet Union,10292 km 2,http://blocgame.com/stats.php?id=62861,
Arganava,Abdul Hamid Muhammad,,0k active personnel,0 ships,First World War surplus,Normal,None,Undisciplined Rabble,last online 73 hours ago,3 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$755 million,11 Mbbl; 1 Mbbl,Untapped,Meagre,,East Indies,Neutral,7272 km 2,http://blocgame.com/stats.php?id=62223,
new shekelstan,mrluxx0,Brotherhood of Nod,98k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 1 hours ago,17 Hundred Tons per month,11 Mbbl per month,Central Planning,$752 million,2576 Mbbl; 11 Mbbl,Plentiful,Powerful,,Arabia,Soviet Union,16335 km 2,http://blocgame.com/stats.php?id=46292,
Holy,HolyZykr,,9k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 129 hours ago,4 Hundred Tons per month,1 Mbbl per month,Central Planning,$752 million,253 Mbbl,Untapped,None,,Indochina,Neutral,13613 km 2,http://blocgame.com/stats.php?id=60569,
