country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
Druidz,Druidz,,25k active personnel,0 ships,First World War surplus,Nice,None,Elite,last online 84 hours ago,2 Hundred Tons per month,,Central Planning,$339 million,,Untapped,None,Persia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64543,,
Peanuts,Salty_Nuts,,20k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 82 hours ago,2 Hundred Tons per month,,Central Planning,$339 million,,Untapped,None,Pacific Rim,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64546,,
Goskovaria,Miroslav Gregoros,,25k active personnel,0 ships,First World War surplus,Nice,None,Elite,last online 80 hours ago,2 Hundred Tons per month,,Mixed Economy,$339 million,,Untapped,None,Atlas,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64552,,
Korhal,LordArkahm,,51k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Poor,last online 2 hours ago,3 Hundred Tons per month,,Central Planning,$338 million,686 Mbbl,,Mediocre,Congo,Neutral,16335 km 2,http://blocgame.com/stats.php?id=61310,,
Fanboys,Steve Jobs,Comintern,20k active personnel,0 ships,First World War surplus,Gandhi-like,None,Undisciplined Rabble,last online 6 hours ago,3 Hundred Tons per month,6 Mbbl per month,Central Planning,$338 million,2092 Mbbl; 6 Mbbl,Untapped,None,Egypt,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=64178,,
Caladan,Leto Atreides,,7k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Standard,last online 155 hours ago,2 Hundred Tons per month,,Mixed Economy,$336 million,,Untapped,Meagre,Atlas,United States,15692 km 2,http://blocgame.com/stats.php?id=64396,,
Canantartica,El Chepo,Steel Brotherhood,25k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,last online 12 hours ago,5 Hundred Tons per month,2 Mbbl per month,Free Market,$336 million,252 Mbbl,Untapped,None,Gran Colombia,United States,20000 km 2,http://blocgame.com/stats.php?id=64445,,
Grenovia,Arthur V,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Standard,last online 111 hours ago,3 Hundred Tons per month,,Free Market,$336 million,201 Mbbl,Untapped,None,Caribbean,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64498,,
undeadville,21werlingj,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Standard,last online 108 hours ago,2 Hundred Tons per month,,Central Planning,$336 million,,Untapped,None,Congo,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64502,,
Invasion Nation,Chinese Republican,,7k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 25 hours ago,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$336 million,2 Mbbl,Untapped,None,China,United States,16500 km 2,http://blocgame.com/stats.php?id=64541,,
New Bhutan,King Rodriguez,,22k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 152 hours ago,2 Hundred Tons per month,,Mixed Economy,$334 million,,Untapped,None,East Indies,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=64433,,
Rafeal,Rafeal98,,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 9 hours ago,4 Hundred Tons per month,2 Mbbl per month,Free Market,$333 million,2 Mbbl,Untapped,Small,Amazonia,United States,20000 km 2,http://blocgame.com/stats.php?id=64358,,
bram,BramD,,22k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 81 hours ago,2 Hundred Tons per month,,Free Market,$332 million,,Untapped,None,Persia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64194,,
Karipuley,mapley,PIRATES,47k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Standard,last online 15 hours ago,8 Hundred Tons per month,4 Mbbl per month,Mixed Economy,$332 million,335 Mbbl; 4 Mbbl,Untapped,Small,Pacific Rim,Neutral,20594 km 2,http://blocgame.com/stats.php?id=64454,,
Lantany,Colchiz,,9k active personnel,0 ships,Finest of the 19th century,Angelic,None,Standard,last online 67 hours ago,2 Hundred Tons per month,,Central Planning,$332 million,,Untapped,None,Gran Colombia,Neutral,16667 km 2,http://blocgame.com/stats.php?id=64529,,
Papi,Papi_PAPI,,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 124 hours ago,2 Hundred Tons per month,,Central Planning,$331 million,,Untapped,None,East Africa,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64476,,
Johore,Izuddin,,20k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 70 hours ago,2 Hundred Tons per month,,Mixed Economy,$330 million,,Untapped,None,Indochina,Neutral,20000 km 2,http://blocgame.com/stats.php?id=60455,,
Maghreb,Locomocro,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Standard,last online 160 hours ago,3 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$330 million,3011 Mbbl; 2 Mbbl,Untapped,None,Arabia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64417,,
Frisland,tmc050599,,25k active personnel,0 ships,First World War surplus,Nice,None,Elite,last online 66 hours ago,2 Hundred Tons per month,,Mixed Economy,$330 million,,Untapped,None,Mesopotamia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64562,,
Anteiku,IshiFumetsu,,20k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 62 hours ago,2 Hundred Tons per month,,Free Market,$330 million,,Untapped,None,China,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64565,,
identitiesys,Jason5555,,5k active personnel,0 ships,Finest of the 19th century,Good,1 factory,Poor,last online 4 hours ago,2 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$329 million,74 Mbbl,Untapped,None,Pacific Rim,Neutral,15667 km 2,http://blocgame.com/stats.php?id=64475,,
Coltarin,Binbunny,,23k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 26 hours ago,4 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$328 million,2026 Mbbl,Untapped,Mediocre,Arabia,United States,16010 km 2,http://blocgame.com/stats.php?id=40460,,
the Antilles,Chris F.,,14k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Standard,last online 77 hours ago,2 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$327 million,486 Mbbl; 1 Mbbl,Untapped,None,Caribbean,Neutral,20000 km 2,http://blocgame.com/stats.php?id=61529,,
Abingdon,wishon,,8k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 101 hours ago,2 Hundred Tons per month,,Central Planning,$327 million,2163 Mbbl,Untapped,None,Arabia,Neutral,16335 km 2,http://blocgame.com/stats.php?id=64394,,
Katkitia,greensky,,21k active personnel,0 ships,First World War surplus,Good,None,Poor,last online 11 hours ago,3 Hundred Tons per month,1 Mbbl per month,Central Planning,$327 million,4244 Mbbl; 1 Mbbl,Untapped,Small,Egypt,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=64545,,
Utopia,Ozymandias,The Order,129k active personnel,1 ships,First World War surplus,Gandhi-like,2 factories,Standard,last online 2 hours ago,41 Hundred Tons per month,35 Mbbl per month,Free Market,$326 million,5110 Mbbl,Untapped,Mediocre,Arabia,United States,35643 km 2,http://blocgame.com/stats.php?id=40759,,
Seixal,Erina Volevah,Che Guevara League,10k active personnel,0 ships,First World War surplus,Nice,1 factory,Undisciplined Rabble,last online 6 hours ago,6 Hundred Tons per month,1 Mbbl per month,Central Planning,$326 million,491 Mbbl; 1 Mbbl,Untapped,None,Caribbean,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=64079,,
santau,tujutuju,PIRATES,29k active personnel,0 ships,First World War surplus,Angelic,None,Standard,last online 11 hours ago,6 Hundred Tons per month,4 Mbbl per month,Central Planning,$326 million,4908 Mbbl,Untapped,Small,Mesopotamia,Soviet Union,19799 km 2,http://blocgame.com/stats.php?id=64416,,
Tyblaland,Thairar,The Order,18k active personnel,0 ships,First World War surplus,Angelic,None,Standard,last online 18 hours ago,2 Hundred Tons per month,2 Mbbl per month,Central Planning,$326 million,114 Mbbl; 2 Mbbl,Untapped,None,Congo,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=64548,,
Yankee Doodle,SamJason,,42k active personnel,0 ships,Finest of the 19th century,Questionable,None,Good,last online 4 hours ago,2 Hundred Tons per month,,Mixed Economy,$326 million,,Untapped,None,China,Soviet Union,20594 km 2,http://blocgame.com/stats.php?id=64551,,
Iana,Wallace Breen,,20k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 53 hours ago,2 Hundred Tons per month,,Mixed Economy,$325 million,,Untapped,None,Pacific Rim,Neutral,20000 km 2,http://blocgame.com/stats.php?id=45142,,
Bloodia,SpencerReach,,20k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 54 hours ago,2 Hundred Tons per month,,Mixed Economy,$325 million,,Untapped,None,Caribbean,Neutral,20000 km 2,http://blocgame.com/stats.php?id=55380,,
Hepsee,WetBackJuan,,32k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,last online 122 hours ago,4 Hundred Tons per month,1 Mbbl per month,Central Planning,$325 million,393 Mbbl; 1 Mbbl,Untapped,None,China,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64067,,
Real Niggas,Babatunde,,10k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 124 hours ago,2 Hundred Tons per month,,Central Planning,$325 million,,Untapped,None,East Africa,Neutral,16500 km 2,http://blocgame.com/stats.php?id=64478,,
Qaymara,Boris Zakhaev,,2k active personnel,0 ships,First World War surplus,Nice,None,Elite,last online 40 hours ago,2 Hundred Tons per month,,Free Market,$325 million,,Untapped,None,East Indies,United States,19602 km 2,http://blocgame.com/stats.php?id=64558,,
Erin,Lord McGinnis,,20k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 58 hours ago,2 Hundred Tons per month,,Mixed Economy,$325 million,,Untapped,None,Mesopotamia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64571,,
Netanial,Natin Kalim,,20k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 58 hours ago,2 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$325 million,4814 Mbbl; 1 Mbbl,Untapped,None,Egypt,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64573,,
Starck,John Starck,,20k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 57 hours ago,2 Hundred Tons per month,,Mixed Economy,$325 million,,Untapped,None,Egypt,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64574,,
Kazirstan,Patrenkov,,20k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 55 hours ago,2 Hundred Tons per month,,Mixed Economy,$325 million,,Untapped,None,Indochina,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64579,,
Pandamonium,Timchi,,20k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 54 hours ago,2 Hundred Tons per month,,Central Planning,$325 million,,Untapped,None,Pacific Rim,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64581,,
Kedan,kemoto,,25k active personnel,0 ships,First World War surplus,Nice,None,Elite,last online 53 hours ago,2 Hundred Tons per month,,Free Market,$325 million,,Untapped,None,China,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64585,,
