country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
Kateriae,redsky,The United Nations,59k active personnel,0 ships,First World War surplus,Nice,None,Standard,online now,3 Hundred Tons per month,,Free Market,$315 million,250 Mbbl,Plentiful,Meagre,Guinea,United States,20003 km 2,http://blocgame.com/stats.php?id=64503,,
Minmatarr,PapaSanJianSun,,4k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 8 hours ago,2 Hundred Tons per month,,Central Planning,$314 million,,Untapped,None,Pacific Rim,Neutral,19406 km 2,http://blocgame.com/stats.php?id=59483,,
bram,BramD,,22k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 32 hours ago,2 Hundred Tons per month,,Free Market,$314 million,,Untapped,None,Persia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64194,,
santau,tujutuju,PIRATES,17k active personnel,0 ships,Finest of the 19th century,Nice,None,Good,last online 4 hours ago,6 Hundred Tons per month,4 Mbbl per month,Mixed Economy,$314 million,4924 Mbbl,Untapped,None,Mesopotamia,Soviet Union,19799 km 2,http://blocgame.com/stats.php?id=64416,,
Wolfveiria,Sharuez,,31k active personnel,0 ships,First World War surplus,Good,None,Good,last online 4 hours ago,3 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$314 million,118 Mbbl; 1 Mbbl,Untapped,Meagre,Mesoamerica,United States,20000 km 2,http://blocgame.com/stats.php?id=64523,,
Exx Dee,Juny,,15k active personnel,0 ships,First World War surplus,Good,None,Elite,last online 11 hours ago,2 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$312 million,226 Mbbl; 1 Mbbl,Untapped,None,The Subcontinent,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=58436,,
Karipuley,mapley,PIRATES,35k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 2 hours ago,7 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$312 million,350 Mbbl; 2 Mbbl,Untapped,Small,Pacific Rim,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64454,,
swany217,Roman217,,25k active personnel,0 ships,First World War surplus,Nice,None,Elite,last online 60 hours ago,2 Hundred Tons per month,,Mixed Economy,$312 million,,Untapped,None,Caribbean,United States,20000 km 2,http://blocgame.com/stats.php?id=64500,,
Aeminium,Tzar Rosen,The Order,20k active personnel,0 ships,First World War surplus,Nice,None,Standard,last online 55 hours ago,3 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$312 million,1 Mbbl,Untapped,None,Egypt,Neutral,20100 km 2,http://blocgame.com/stats.php?id=64506,,
Qaymara,Boris Zakhaev,,25k active personnel,0 ships,First World War surplus,Normal,None,Elite,last online 18 hours ago,2 Hundred Tons per month,,Free Market,$312 million,,Untapped,None,East Indies,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64558,,
Mak sara,Sufian169,,20k active personnel,0 ships,Finest of the 19th century,Normal,None,Standard,last online 18 hours ago,2 Hundred Tons per month,,Mixed Economy,$312 million,,Untapped,None,East Indies,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64561,,
Asterica,SOBONU,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 154 hours ago,2 Hundred Tons per month,,Central Planning,$311 million,,Untapped,None,Mesoamerica,Neutral,20000 km 2,http://blocgame.com/stats.php?id=60981,,
