country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,uranium,region,alignment,territory,pageUrl,reactor
Levinthia,Morpheus,,9k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 88 hours ago,2 Hundred Tons per month,,Central Planning,$300 million,,Untapped,None,,Mesoamerica,Neutral,16335 km 2,http://blocgame.com/stats.php?id=60720,
Jamac,jamac,,50k active personnel,0 ships,Finest of the 19th century,Normal,None,Undisciplined Rabble,last online 1 hours ago,2 Hundred Tons per month,,Mixed Economy,$300 million,,,None,,Pacific Rim,Neutral,20000 km 2,http://blocgame.com/stats.php?id=60825,
Creamy Meme,Super Snake,HellYeah,12k active personnel,0 ships,First World War surplus,Good,None,Standard,last online 18 hours ago,0 Hundred Tons per month,,Free Market,$300 million,,,Meagre,,The Subcontinent,Soviet Union,18327 km 2,http://blocgame.com/stats.php?id=64874,
asswhipe,asswhipe,,20k active personnel,0 ships,Finest of the 19th century,Normal,None,Standard,last online 404731 hours ago,2 Hundred Tons per month,,Mixed Economy,$300 million,,Untapped,None,,China,Neutral,20000 km 2,http://blocgame.com/stats.php?id=65082,
Strongburnz,SamzWater,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 162 hours ago,2 Hundred Tons per month,,Mixed Economy,$298 million,,Untapped,None,,China,Neutral,20000 km 2,http://blocgame.com/stats.php?id=59220,
Vail,finner,,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 165 hours ago,2 Hundred Tons per month,,Free Market,$298 million,,Untapped,None,,Amazonia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64826,
nodazia,nodaz99,,20k active personnel,0 ships,Finest of the 19th century,Angelic,None,Standard,last online 88 hours ago,2 Hundred Tons per month,,Free Market,$298 million,,Untapped,None,,Amazonia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64952,
Turan Devleti,Engin Ahmet Kahya,,29k active personnel,0 ships,First World War surplus,Nice,None,Good,last online 53 hours ago,2 Hundred Tons per month,,Central Planning,$298 million,,Untapped,None,,Mesopotamia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64982,
Tawah,Pagoonu Mcjenkins,,39k active personnel,0 ships,First World War surplus,Good,None,Standard,last online 23 hours ago,2 Hundred Tons per month,,Free Market,$298 million,,Untapped,Meagre,,Pacific Rim,United States,20000 km 2,http://blocgame.com/stats.php?id=65042,
SG UDANG,JOHNRAMBO,,34k active personnel,0 ships,Finest of the 19th century,Normal,None,Undisciplined Rabble,last online 4 hours ago,3 Hundred Tons per month,1 Mbbl per month,Central Planning,$298 million,2275 Mbbl; 1 Mbbl,Plentiful,None,,Mesopotamia,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=65074,
navifanboy,navifanboy,,6k active personnel,0 ships,Finest of the 19th century,Nice,None,Undisciplined Rabble,last online 9 hours ago,2 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$296 million,3083 Mbbl; 1 Mbbl,Untapped,None,,Atlas,Neutral,15735 km 2,http://blocgame.com/stats.php?id=64317,
