country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium
Pooland,kurwa,Brotherhood of Zion,39k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 11 hours ago,13 Hundred Tons per month,9 Mbbl per month,Central Planning,$718 million,2419 Mbbl; 9 Mbbl,Untapped,Mediocre,Atlas,Soviet Union,39790 km 2,http://blocgame.com/stats.php?id=49295,
Yummy Foods,iiruka,Interpol,67k active personnel,1 ships,First World War surplus,Gandhi-like,2 factories,Elite,online now,26 Hundred Tons per month,1 Mbbl per month,Free Market,$715 million,90 Mbbl; 1 Mbbl,Untapped,Mediocre,Pacific Rim,United States,36361 km 2,http://blocgame.com/stats.php?id=54376,
Bendover,Mike Hawk,Farmington Brigade,8k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 60 hours ago,5 Hundred Tons per month,1 Mbbl per month,Central Planning,$714 million,232 Mbbl; 1 Mbbl,Untapped,None,East Indies,Soviet Union,15851 km 2,http://blocgame.com/stats.php?id=62897,
Russophia,Mikhail Putin,SPQR,9k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Elite,last online 8 hours ago,2 Hundred Tons per month,4 Mbbl per month,Central Planning,$713 million,4 Mbbl,Untapped,None,Arabia,Soviet Union,11575 km 2,http://blocgame.com/stats.php?id=54426,
mani,mani,SPQR,10k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,online now,8 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$711 million,550 Mbbl,Untapped,Meagre,Persia,Neutral,13501 km 2,http://blocgame.com/stats.php?id=62912,
Valtania,Kelvin D. Makumbi,Che Guevara League,76k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Standard,last online 2 hours ago,12 Hundred Tons per month,5 Mbbl per month,Central Planning,$708 million,285 Mbbl; 5 Mbbl,Untapped,Small,Mesoamerica,Soviet Union,27676 km 2,http://blocgame.com/stats.php?id=62525,
Kyranistan,Michael Hussain,Brotherhood of Nod,38k active personnel,0 ships,First World War surplus,Questionable,None,Good,online now,10 Hundred Tons per month,7 Mbbl per month,Central Planning,$706 million,8720 Mbbl; 7 Mbbl,Untapped,Mediocre,Persia,Soviet Union,31565 km 2,http://blocgame.com/stats.php?id=61263,
Jebawka,Shetay,The Order,55k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 11 hours ago,8 Hundred Tons per month,9 Mbbl per month,Free Market,$702 million,2086 Mbbl,Untapped,Meagre,Arabia,United States,20165 km 2,http://blocgame.com/stats.php?id=54304,
Irondale,Roger Red,,9k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 133 hours ago,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$693 million,2795 Mbbl,Untapped,None,Mesopotamia,Soviet Union,13477 km 2,http://blocgame.com/stats.php?id=63209,
Savannah,Watersfall,The United Nations,69k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 4 hours ago,12 Hundred Tons per month,2 Mbbl per month,Central Planning,$692 million,63 Mbbl,Untapped,Small,Pacific Rim,Soviet Union,31927 km 2,http://blocgame.com/stats.php?id=49817,
Rome Reloaded,Tiberius Ceaser,SPQR,32k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 2 hours ago,9 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$690 million,2213 Mbbl,Untapped,Meagre,Mesopotamia,Soviet Union,13405 km 2,http://blocgame.com/stats.php?id=1421,
Conferan,Cryptox,The High Council,79k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 2 hours ago,9 Hundred Tons per month,5 Mbbl per month,Central Planning,$690 million,403 Mbbl,Untapped,Mediocre,East Indies,Soviet Union,36005 km 2,http://blocgame.com/stats.php?id=56710,
temasik,lawrence,,14k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 42 hours ago,2 Hundred Tons per month,2 Mbbl per month,Central Planning,$687 million,2 Mbbl,Untapped,Small,East Indies,United States,16172 km 2,http://blocgame.com/stats.php?id=62827,
KaleCepo,sultan lee,The High Council,79k active personnel,1 ships,First World War surplus,Nice,2 factories,Good,online now,25 Hundred Tons per month,9 Mbbl per month,Free Market,$686 million,909 Mbbl,Untapped,Large,East Indies,United States,43553 km 2,http://blocgame.com/stats.php?id=60711,
Asiana,El_Xanatos,The High Council,17k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,last online 4 hours ago,13 Hundred Tons per month,2 Mbbl per month,Central Planning,$684 million,28 Mbbl; 2 Mbbl,Untapped,Small,Indochina,United States,36636 km 2,http://blocgame.com/stats.php?id=62221,
VinnyNation,VinnyRuler,Brotherhood of Zion,22k active personnel,0 ships,First World War surplus,Questionable,1 factory,Elite,last online 8 hours ago,7 Hundred Tons per month,2 Mbbl per month,Central Planning,$684 million,379 Mbbl; 2 Mbbl,Untapped,None,Congo,Soviet Union,25259 km 2,http://blocgame.com/stats.php?id=62972,
Europea,AugustReed,SPQR,9k active personnel,0 ships,First World War surplus,Gandhi-like,None,Standard,last online 138 hours ago,4 Hundred Tons per month,3 Mbbl per month,Free Market,$683 million,2038 Mbbl,Untapped,Meagre,Arabia,Neutral,13343 km 2,http://blocgame.com/stats.php?id=59848,
Tyrantia,Malakal,The High Council,54k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Standard,last online 6 hours ago,19 Hundred Tons per month,11 Mbbl per month,Central Planning,$680 million,5486 Mbbl; 11 Mbbl,Untapped,Large,Arabia,Soviet Union,42075 km 2,http://blocgame.com/stats.php?id=40238,
FreakTopia,Remington Steel,The Order,37k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,online now,13 Hundred Tons per month,4 Mbbl per month,Mixed Economy,$680 million,850 Mbbl,Untapped,Meagre,The Subcontinent,United States,38924 km 2,http://blocgame.com/stats.php?id=45527,
Hajoki,Makao,The Khilafah,36k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 12 hours ago,3 Hundred Tons per month,9 Mbbl per month,Free Market,$680 million,1616 Mbbl,,Meagre,Atlas,Soviet Union,11460 km 2,http://blocgame.com/stats.php?id=60093,
Tyanra,SaffronMerchant,SPQR,32k active personnel,0 ships,First World War surplus,Nice,1 factory,Standard,last online 3 hours ago,14 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$677 million,1218 Mbbl; 2 Mbbl,Untapped,Small,The Subcontinent,Soviet Union,33183 km 2,http://blocgame.com/stats.php?id=60365,
PasirDuaButir,Col. von Strauffenberg,,10k active personnel,0 ships,Finest of the 19th century,Gandhi-like,1 factory,Good,last online 135 hours ago,6 Hundred Tons per month,2 Mbbl per month,Free Market,$677 million,98 Mbbl,Untapped,Meagre,East Indies,Neutral,22232 km 2,http://blocgame.com/stats.php?id=60754,
Khuzestan,Georgy Zhukov,The Federal Colonies,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,online now,7 Hundred Tons per month,5 Mbbl per month,Central Planning,$676 million,2621 Mbbl; 5 Mbbl,Untapped,Mediocre,Persia,Soviet Union,36081 km 2,http://blocgame.com/stats.php?id=48914,
Robots,stormbot28,Interpol,58k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 4 hours ago,8 Hundred Tons per month,,Free Market,$674 million,,Untapped,Small,Caribbean,United States,13613 km 2,http://blocgame.com/stats.php?id=40242,
Spooktune,Spookwave,Brotherhood of Zion,39k active personnel,0 ships,First World War surplus,Angelic,1 factory,Standard,last online 6 hours ago,10 Hundred Tons per month,4 Mbbl per month,Central Planning,$673 million,480 Mbbl; 4 Mbbl,Untapped,Mediocre,China,Soviet Union,33957 km 2,http://blocgame.com/stats.php?id=62983,
Eisen,Balthazaar,The Order,32k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 5 hours ago,12 Hundred Tons per month,5 Mbbl per month,Central Planning,$672 million,378 Mbbl; 5 Mbbl,Untapped,Large,China,Soviet Union,42762 km 2,http://blocgame.com/stats.php?id=53566,
Markovia,RDM HC,The Federal Colonies,59k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 2 hours ago,8 Hundred Tons per month,4 Mbbl per month,Free Market,$670 million,471 Mbbl; 4 Mbbl,Untapped,Mediocre,Caribbean,United States,31896 km 2,http://blocgame.com/stats.php?id=58369,
the Haunted,thedrunkenarchitect,Brotherhood of Zion,33k active personnel,0 ships,First World War surplus,Good,1 factory,Good,last online 6 hours ago,12 Hundred Tons per month,4 Mbbl per month,Central Planning,$665 million,377 Mbbl; 4 Mbbl,Untapped,Somewhat Large,Southern Africa,Soviet Union,32253 km 2,http://blocgame.com/stats.php?id=63020,
Gulam,Galak,PIRATES,62k active personnel,0 ships,First World War surplus,Questionable,1 factory,Elite,online now,5 Hundred Tons per month,5 Mbbl per month,Central Planning,$665 million,546 Mbbl; 5 Mbbl,,Mediocre,Pacific Rim,Soviet Union,34852 km 2,http://blocgame.com/stats.php?id=63645,
Ambon,Chalkface,The Order,43k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 5 hours ago,15 Hundred Tons per month,5 Mbbl per month,Central Planning,$662 million,435 Mbbl; 5 Mbbl,Plentiful,Meagre,Pacific Rim,Soviet Union,29589 km 2,http://blocgame.com/stats.php?id=42744,
Krasnyyikistan,JohnTheGreat,Comintern,40k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 3 hours ago,2 Hundred Tons per month,10 Mbbl per month,Central Planning,$662 million,3922 Mbbl,Untapped,Mediocre,Arabia,Soviet Union,26091 km 2,http://blocgame.com/stats.php?id=50209,
Communistutopia,Bill Broskis,The Order,41k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Standard,last online 2 hours ago,8 Hundred Tons per month,3 Mbbl per month,Central Planning,$661 million,4143 Mbbl; 3 Mbbl,Plentiful,Meagre,Persia,Soviet Union,29821 km 2,http://blocgame.com/stats.php?id=49796,
Hansetica,Svan,The Order,29k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 12 hours ago,10 Hundred Tons per month,4 Mbbl per month,Central Planning,$661 million,49 Mbbl; 4 Mbbl,Untapped,None,China,Neutral,26686 km 2,http://blocgame.com/stats.php?id=63390,
Rhodistan,stalkerfriend,Freedom Legion,9k active personnel,0 ships,First World War surplus,Gandhi-like,None,Standard,last online 152 hours ago,4 Hundred Tons per month,2 Mbbl per month,Central Planning,$660 million,2185 Mbbl,Untapped,None,Egypt,United States,13751 km 2,http://blocgame.com/stats.php?id=41052,
Mesopotamia,Arcturus,The Order,59k active personnel,0 ships,First World War surplus,Good,1 factory,Standard,last online 6 hours ago,7 Hundred Tons per month,6 Mbbl per month,Free Market,$660 million,1766 Mbbl,,Small,Mesopotamia,United States,33329 km 2,http://blocgame.com/stats.php?id=42045,
FlySoGood,ycheez,Brotherhood of Zion,48k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Poor,online now,12 Hundred Tons per month,11 Mbbl per month,Free Market,$657 million,2600 Mbbl,Untapped,Mediocre,Atlas,United States,36582 km 2,http://blocgame.com/stats.php?id=54541,
Glubistan,Glub,SPQR,37k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,online now,13 Hundred Tons per month,7 Mbbl per month,Central Planning,$656 million,1718 Mbbl; 7 Mbbl,Plentiful,Meagre,Arabia,Neutral,22469 km 2,http://blocgame.com/stats.php?id=63027,
Deklain,Otis,The High Council,30k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 9 hours ago,9 Hundred Tons per month,2 Mbbl per month,Central Planning,$655 million,182 Mbbl; 2 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,33853 km 2,http://blocgame.com/stats.php?id=57066,
jongos,barros,,8k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Standard,last online 55 hours ago,4 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$650 million,8 Mbbl; 3 Mbbl,Untapped,None,East Indies,Neutral,9455 km 2,http://blocgame.com/stats.php?id=61892,
Darkstone,Trakel,The High Council,61k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,online now,20 Hundred Tons per month,13 Mbbl per month,Central Planning,$646 million,5211 Mbbl; 13 Mbbl,Untapped,Mediocre,Arabia,Soviet Union,36403 km 2,http://blocgame.com/stats.php?id=57176,
Jemut,iwaniman/Ferozz,PIRATES,74k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Good,last online 4 hours ago,11 Hundred Tons per month,9 Mbbl per month,Central Planning,$646 million,329 Mbbl; 9 Mbbl,Untapped,Mediocre,East Indies,Soviet Union,33776 km 2,http://blocgame.com/stats.php?id=61811,
Reim,Azrael,The High Council,59k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,online now,14 Hundred Tons per month,4 Mbbl per month,Central Planning,$645 million,456 Mbbl; 4 Mbbl,Untapped,Meagre,Pacific Rim,Soviet Union,36455 km 2,http://blocgame.com/stats.php?id=41073,
Shekel Land,Sheklesteinthefourth,The Order,48k active personnel,0 ships,First World War surplus,Good,None,Elite,online now,8 Hundred Tons per month,3 Mbbl per month,Central Planning,$645 million,4861 Mbbl; 3 Mbbl,Untapped,Somewhat Large,Egypt,Soviet Union,34479 km 2,http://blocgame.com/stats.php?id=54689,
Biji Kurdistan,Myron2point0,Comintern,37k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 20 hours ago,8 Hundred Tons per month,9 Mbbl per month,Central Planning,$644 million,3376 Mbbl; 9 Mbbl,Untapped,Mediocre,Mesopotamia,Soviet Union,20182 km 2,http://blocgame.com/stats.php?id=52906,
Zuyazayuza,Zuyazayuza,Brotherhood of Zion,65k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,online now,15 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$643 million,323 Mbbl,Untapped,Mediocre,Caribbean,United States,36149 km 2,http://blocgame.com/stats.php?id=62470,
Leinad,bloodywaffles12,The United Nations,29k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 5 hours ago,3 Hundred Tons per month,2 Mbbl per month,Central Planning,$641 million,163 Mbbl; 2 Mbbl,Untapped,Small,China,Soviet Union,20512 km 2,http://blocgame.com/stats.php?id=59332,
Kek Slovakia,Fidel Kekstro,The Order,63k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Poor,last online 9 hours ago,8 Hundred Tons per month,5 Mbbl per month,Central Planning,$640 million,331 Mbbl; 5 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,34330 km 2,http://blocgame.com/stats.php?id=63462,
Southern Africa,TheMaster_ZA,The Order,37k active personnel,0 ships,First World War surplus,Questionable,1 factory,Elite,last online 9 hours ago,11 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$637 million,249 Mbbl,Untapped,Meagre,Southern Africa,Soviet Union,38642 km 2,http://blocgame.com/stats.php?id=48410,
Fumakila,ahjibgor,Brotherhood of Nod,6k active personnel,0 ships,Finest of the 19th century,Gandhi-like,1 factory,Poor,last online 133 hours ago,4 Hundred Tons per month,2 Mbbl per month,Free Market,$636 million,311 Mbbl,Untapped,None,East Indies,United States,16335 km 2,http://blocgame.com/stats.php?id=62139,
Texastan,Rebel Lord,Interpol,41k active personnel,0 ships,Second World War surplus,Nice,1 factory,Standard,online now,17 Hundred Tons per month,17 Mbbl per month,Central Planning,$634 million,3194 Mbbl; 17 Mbbl,Untapped,Meagre,Mesopotamia,Soviet Union,36532 km 2,http://blocgame.com/stats.php?id=58149,
Byzantium,The Wolf,The United Nations,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 7 hours ago,15 Hundred Tons per month,8 Mbbl per month,Free Market,$633 million,5152 Mbbl,Untapped,Mediocre,Mesopotamia,United States,33379 km 2,http://blocgame.com/stats.php?id=41125,
Sepidajistan,Shah Squid,Al-Qassam Brigades,21k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 2 hours ago,3 Hundred Tons per month,2 Mbbl per month,Central Planning,$632 million,3810 Mbbl; 2 Mbbl,,Meagre,Atlas,Soviet Union,15693 km 2,http://blocgame.com/stats.php?id=59462,
Cameronia,Cameron Saxonson,Che Guevara League,22k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 8 hours ago,10 Hundred Tons per month,6 Mbbl per month,Central Planning,$632 million,532 Mbbl; 6 Mbbl,Untapped,None,Southern Cone,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=62688,
Wafflonia,Stellarwaffle,SPQR,58k active personnel,0 ships,First World War surplus,Mad Dog,1 factory,Good,last online 10 hours ago,9 Hundred Tons per month,6 Mbbl per month,Central Planning,$632 million,3948 Mbbl; 6 Mbbl,Untapped,Mediocre,Egypt,Soviet Union,30750 km 2,http://blocgame.com/stats.php?id=63064,
Syphirious,Doxal,Interpol,43k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,online now,13 Hundred Tons per month,23 Mbbl per month,Central Planning,$630 million,3295 Mbbl; 23 Mbbl,Untapped,Meagre,Mesopotamia,Soviet Union,33849 km 2,http://blocgame.com/stats.php?id=59670,
Rhod3sia,FreeMindInside,Brotherhood of Zion,35k active personnel,0 ships,First World War surplus,Good,1 factory,Good,last online 8 hours ago,13 Hundred Tons per month,2 Mbbl per month,Central Planning,$629 million,255 Mbbl; 2 Mbbl,Untapped,Meagre,Southern Africa,Soviet Union,33096 km 2,http://blocgame.com/stats.php?id=52679,
Tanah Malaya,Syahmi1089,PIRATES,50k active personnel,0 ships,First World War surplus,Normal,1 factory,Good,online now,6 Hundred Tons per month,8 Mbbl per month,Free Market,$629 million,1710 Mbbl,,Large,Arabia,United States,24599 km 2,http://blocgame.com/stats.php?id=60385,
Conwolves,Sinz,Brotherhood of Zion,38k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,online now,6 Hundred Tons per month,2 Mbbl per month,Central Planning,$628 million,3622 Mbbl; 2 Mbbl,Untapped,Meagre,Arabia,Neutral,24053 km 2,http://blocgame.com/stats.php?id=50890,
����������,������ �������,The High Council,39k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 6 hours ago,10 Hundred Tons per month,2 Mbbl per month,Central Planning,$628 million,43 Mbbl; 2 Mbbl,Untapped,Meagre,Gran Colombia,Soviet Union,33414 km 2,http://blocgame.com/stats.php?id=54626,
Ivalice,Nighthawk571,Interpol,37k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 5 hours ago,8 Hundred Tons per month,8 Mbbl per month,Central Planning,$628 million,1915 Mbbl; 8 Mbbl,Untapped,Small,Arabia,Soviet Union,31585 km 2,http://blocgame.com/stats.php?id=63060,
Tamil Kingdom,Chola I,Brotherhood of Zion,60k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,online now,21 Hundred Tons per month,7 Mbbl per month,Central Planning,$625 million,213 Mbbl; 7 Mbbl,Untapped,Small,The Subcontinent,Soviet Union,37921 km 2,http://blocgame.com/stats.php?id=60964,
