country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium
Lamborghinia,Massimo Marchese,,6k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 138 hours ago,2 Hundred Tons per month,,Free Market,$461 million,,Untapped,None,Persia,Neutral,16335 km 2,http://blocgame.com/stats.php?id=63287,
Bortland,Bort,,10k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 182 hours ago,4 Hundred Tons per month,1 Mbbl per month,Central Planning,$460 million,158 Mbbl; 1 Mbbl,Untapped,None,East Africa,Neutral,16500 km 2,http://blocgame.com/stats.php?id=57906,
Niggerito,Jejomar Binay,SPQR,48k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 7 hours ago,12 Hundred Tons per month,,Free Market,$460 million,,Untapped,Mediocre,East Indies,United States,27000 km 2,http://blocgame.com/stats.php?id=63087,1 Tons
Aratana Kibo,Yuno,,2k active personnel,0 ships,Finest of the 19th century,Questionable,1 factory,Standard,last online 16 hours ago,8 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$460 million,294 Mbbl; 2 Mbbl,Untapped,Meagre,Southern Africa,Neutral,26760 km 2,http://blocgame.com/stats.php?id=63197,
Vorcs,Aiman Nizam,PIRATES,47k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,online now,4 Hundred Tons per month,4 Mbbl per month,Central Planning,$459 million,127 Mbbl; 4 Mbbl,Untapped,Somewhat Large,East Indies,Soviet Union,24422 km 2,http://blocgame.com/stats.php?id=61955,
The Shitposters,The Pez,The Order,43k active personnel,0 ships,First World War surplus,Nice,None,Standard,last online 1 hours ago,4 Hundred Tons per month,3 Mbbl per month,Central Planning,$459 million,,Untapped,Small,Caribbean,Soviet Union,23665 km 2,http://blocgame.com/stats.php?id=63636,
Roskaposti,Mitt Romney XIIV,,8k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 87 hours ago,2 Hundred Tons per month,,Mixed Economy,$458 million,,Untapped,None,Pacific Rim,Neutral,13477 km 2,http://blocgame.com/stats.php?id=50604,
Civilia,Sir_Ranger,Al-Qassam Brigades,10k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Undisciplined Rabble,last online 16 hours ago,3 Hundred Tons per month,2 Mbbl per month,Central Planning,$458 million,2 Mbbl,Untapped,None,China,Neutral,13343 km 2,http://blocgame.com/stats.php?id=62017,
Zarbia,Gorhonen,,10k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Undisciplined Rabble,last online 142 hours ago,3 Hundred Tons per month,,Free Market,$458 million,,Untapped,None,Congo,Neutral,13477 km 2,http://blocgame.com/stats.php?id=62679,
YellowLand,TheChosenOne,Divine League,10k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 102 hours ago,2 Hundred Tons per month,,Central Planning,$458 million,,Untapped,None,Mesopotamia,Neutral,13342 km 2,http://blocgame.com/stats.php?id=62722,
South Minnesota,Generalissimo Alpun,,21k active personnel,0 ships,First World War surplus,Good,1 factory,Good,last online 1 hours ago,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$458 million,115 Mbbl,,Meagre,Gran Colombia,Neutral,16245 km 2,http://blocgame.com/stats.php?id=63460,
Krakozhia,Ilyich,Interpol,50k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Poor,last online 2 hours ago,8 Hundred Tons per month,2 Mbbl per month,Central Planning,$457 million,187 Mbbl; 2 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,23665 km 2,http://blocgame.com/stats.php?id=39065,
Soviet Pacific,Alexandrov Britvy,,9k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 156 hours ago,2 Hundred Tons per month,,Mixed Economy,$457 million,,Untapped,None,Pacific Rim,Neutral,16335 km 2,http://blocgame.com/stats.php?id=52809,
Malayantribes,Fir1999,,8k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 107 hours ago,4 Hundred Tons per month,,Free Market,$457 million,,Untapped,None,East Indies,Neutral,16335 km 2,http://blocgame.com/stats.php?id=60721,
Wick,goku69587,The High Council,9k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 3 hours ago,3 Hundred Tons per month,1 Mbbl per month,Central Planning,$457 million,1 Mbbl,Untapped,Meagre,Arabia,Soviet Union,16335 km 2,http://blocgame.com/stats.php?id=62241,
Drelinka,Catheline lebran,,4k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 70 hours ago,2 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$456 million,3200 Mbbl,Untapped,Meagre,Persia,Neutral,13343 km 2,http://blocgame.com/stats.php?id=61556,
Stings,Sting,The Federal Colonies,31k active personnel,0 ships,First World War surplus,Gandhi-like,None,Standard,last online 12 hours ago,7 Hundred Tons per month,5 Mbbl per month,Mixed Economy,$456 million,4095 Mbbl; 5 Mbbl,Untapped,Mediocre,Mesopotamia,United States,20165 km 2,http://blocgame.com/stats.php?id=62660,
Burke Tome,Haggashed,Brotherhood of Nod,43k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 1 hours ago,9 Hundred Tons per month,7 Mbbl per month,Free Market,$456 million,3266 Mbbl,Untapped,Somewhat Large,Mesopotamia,United States,20000 km 2,http://blocgame.com/stats.php?id=63028,
honoraryans,mister,The Order,14k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 156 hours ago,2 Hundred Tons per month,1 Mbbl per month,Central Planning,$456 million,99 Mbbl; 1 Mbbl,Untapped,None,Pacific Rim,Neutral,20000 km 2,http://blocgame.com/stats.php?id=63471,
Luskan,Invisible_Eddie,The Order,27k active personnel,0 ships,First World War surplus,Angelic,None,Good,last online 78 hours ago,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$456 million,480 Mbbl; 2 Mbbl,Untapped,Meagre,Pacific Rim,Soviet Union,24226 km 2,http://blocgame.com/stats.php?id=63616,
Shitposters,MossadMan,The Order,44k active personnel,0 ships,First World War surplus,Angelic,1 factory,Standard,last online 7 hours ago,10 Hundred Tons per month,7 Mbbl per month,Mixed Economy,$455 million,4773 Mbbl; 7 Mbbl,Untapped,Small,Persia,Soviet Union,31802 km 2,http://blocgame.com/stats.php?id=52681,
Weast America,Prince Pluto Nash,Brotherhood of Zion,31k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,online now,3 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$455 million,4813 Mbbl; 3 Mbbl,Untapped,Mediocre,Persia,United States,26952 km 2,http://blocgame.com/stats.php?id=55778,
Stone,Pak Ann,The Order,7k active personnel,0 ships,Finest of the 19th century,Gandhi-like,1 factory,Poor,last online 119 hours ago,7 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$455 million,330 Mbbl; 1 Mbbl,Untapped,None,East Indies,United States,16335 km 2,http://blocgame.com/stats.php?id=62672,
Zaporozhia,Mykola Derevyanko,The Order,8k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Poor,last online 20 hours ago,5 Hundred Tons per month,4 Mbbl per month,Free Market,$455 million,2836 Mbbl,Untapped,None,Mesopotamia,Neutral,23355 km 2,http://blocgame.com/stats.php?id=63393,
3fylon,Nolyf3,,10k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 138 hours ago,3 Hundred Tons per month,1 Mbbl per month,Free Market,$455 million,1 Mbbl,Untapped,None,China,Neutral,16500 km 2,http://blocgame.com/stats.php?id=63732,
Esboslavia,Swatbot26,,7k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,last online 114 hours ago,2 Hundred Tons per month,,Central Planning,$454 million,,Untapped,Meagre,Caribbean,Soviet Union,13477 km 2,http://blocgame.com/stats.php?id=57376,
Birdland,tweetweetwee,Brotherhood of Nod,32k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 40 hours ago,4 Hundred Tons per month,2 Mbbl per month,Free Market,$454 million,2915 Mbbl,Untapped,Small,Persia,United States,27452 km 2,http://blocgame.com/stats.php?id=61646,
Yar,Johnny Depth,,1k active personnel,0 ships,First World War surplus,Angelic,None,Undisciplined Rabble,last online 4 hours ago,6 Hundred Tons per month,1 Mbbl per month,Central Planning,$454 million,170 Mbbl; 1 Mbbl,Untapped,None,East Indies,Soviet Union,13343 km 2,http://blocgame.com/stats.php?id=62769,
HCLI COG Div,Silphiel,Brotherhood of Zion,33k active personnel,0 ships,First World War surplus,Angelic,None,Elite,last online 6 hours ago,7 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$453 million,284 Mbbl; 1 Mbbl,Untapped,Meagre,Congo,Neutral,27061 km 2,http://blocgame.com/stats.php?id=54510,
Kachan,Chłodna Kaczka,Lithuanian Coalition,5k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 94 hours ago,7 Hundred Tons per month,15 Mbbl per month,Central Planning,$453 million,2792 Mbbl; 15 Mbbl,Untapped,Small,Atlas,Soviet Union,25255 km 2,http://blocgame.com/stats.php?id=62963,
swahilia,benkenobi7,,9k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Standard,last online 123 hours ago,4 Hundred Tons per month,3 Mbbl per month,Central Planning,$453 million,3 Mbbl,Untapped,None,Egypt,Neutral,13477 km 2,http://blocgame.com/stats.php?id=63085,
Kersumsos,Kersumsos,The Order,33k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 1 hours ago,4 Hundred Tons per month,12 Mbbl per month,Central Planning,$452 million,5251 Mbbl; 12 Mbbl,Plentiful,Meagre,Egypt,Soviet Union,27369 km 2,http://blocgame.com/stats.php?id=46317,
