country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_reserves,uranium,reactor,reputation,rm_prod,oil_prod
WAC,Wikid99,,20k active personnel,0 ships,Finest of the 19th century,None,Good,last online 28 hours ago,rankings.php?subregion=con,,$308 million,,Southern Cone,Untapped,None,http://blocgame.com/rankings.php?subregion=con,19800 km 2,http://blocgame.com/stats.php?id=48792,,,,Isolated,2 Hundred Tons per month,
cuba,jediwatts42,,25k active personnel,0 ships,First World War surplus,None,Elite,last online 81 hours ago,rankings.php?subregion=car,,$303 million,,Caribbean,Untapped,None,http://blocgame.com/rankings.php?subregion=car,20000 km 2,http://blocgame.com/stats.php?id=49047,,,,Nice,2 Hundred Tons per month,
Swadiland,Narza,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 16 hours ago,rankings.php?subregion=chi,,$308 million,,China,Untapped,None,http://blocgame.com/rankings.php?subregion=chi,20000 km 2,http://blocgame.com/stats.php?id=54228,302 Mbbl,,,Normal,3 Hundred Tons per month,1 Mbbl per month
The Silver Hand,Morladim,,25k active personnel,0 ships,First World War surplus,None,Elite,last online 52 hours ago,rankings.php?subregion=pac,,$308 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=56161,226 Mbbl; 1 Mbbl,,,Nice,4 Hundred Tons per month,1 Mbbl per month
M�rg,albertps,http://blocgame.com/alliancestats.php?allianceid=2059,44k active personnel,0 ships,Finest of the 19th century,None,Standard,online now,rankings.php?subregion=ind,The United Nations,$308 million,alliancestats.php?allianceid=2059,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,20398 km 2,http://blocgame.com/stats.php?id=58356,37 Mbbl; 5 Mbbl,,,Nice,9 Hundred Tons per month,5 Mbbl per month
Judeau,Flynn MacMaster,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 24 hours ago,rankings.php?subregion=pac,,$308 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=58551,202 Mbbl; 1 Mbbl,,,Normal,4 Hundred Tons per month,1 Mbbl per month
Galaxy,ryanus,,25k active personnel,0 ships,First World War surplus,None,Elite,last online 53 hours ago,rankings.php?subregion=ama,,$308 million,,Amazonia,Untapped,None,http://blocgame.com/rankings.php?subregion=ama,20200 km 2,http://blocgame.com/stats.php?id=60045,,,,Normal,3 Hundred Tons per month,
songsing,grace,,25k active personnel,0 ships,First World War surplus,None,Elite,last online 2 hours ago,rankings.php?subregion=pac,,$308 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=60074,350 Mbbl; 1 Mbbl,,,Normal,4 Hundred Tons per month,1 Mbbl per month
Lixia,Dave Hunter,http://blocgame.com/alliancestats.php?allianceid=2064,39k active personnel,0 ships,First World War surplus,None,Good,last online 17 hours ago,rankings.php?subregion=mes,SPQR,$308 million,alliancestats.php?allianceid=2064,Mesopotamia,Untapped,Small,http://blocgame.com/rankings.php?subregion=mes,20000 km 2,http://blocgame.com/stats.php?id=61520,,,,Nice,6 Hundred Tons per month,
SUNGAI KERAK,Nizarudin,http://blocgame.com/alliancestats.php?allianceid=2044,50k active personnel,0 ships,First World War surplus,1 factory,Poor,last online 1 hours ago,rankings.php?subregion=ind,Aseang MMP,$308 million,alliancestats.php?allianceid=2044,East Indies,,None,http://blocgame.com/rankings.php?subregion=ind,19406 km 2,http://blocgame.com/stats.php?id=61710,350 Mbbl,,,Good,5 Hundred Tons per month,2 Mbbl per month
